projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
AnySoftKeyboard,RESAMPLE_300_25_25,50,1367335433,50,31,50.0,19.354838709677423,$ld$age$lt$la$exp$sexp$Buggy,KNN,CFS,1.0,0.48,0.84,0.3394112549695428,0,0.76,0.3870967741935484
AnySoftKeyboard,RESAMPLE_300_25_25,50,1367335433,50,31,50.0,19.354838709677423,$ld$age$lt$la$exp$sexp$Buggy,DT,CFS,0.67,0.36,0.66,0.3469229821668716,0,0.6533333333333333,0.3548387096774194
AnySoftKeyboard,RESAMPLE_300_25_25,50,1367335433,50,31,50.0,19.354838709677423,$ld$age$lt$la$exp$sexp$Buggy,LR,CFS,1.0,0.32,0.91,0.2262741699796952,0,0.84,0.25806451612903225
AnySoftKeyboard,RESAMPLE_300_25_25,50,1367335433,50,31,50.0,19.354838709677423,$ld$age$lt$la$exp$sexp$Buggy,RF,CFS,0.83,0.52,0.72,0.3861203036475664,0,0.6566666666666667,0.4516129032258064
AnySoftKeyboard,RESAMPLE_300_25_25,50,1367335433,50,31,50.0,19.354838709677423,$ld$age$lt$la$exp$sexp$Buggy,NB,CFS,0.83,0.56,0.71,0.4131451184376851,0,0.6366666666666667,0.4838709677419355
AnySoftKeyboard,RESAMPLE_300_25_25,50,1367335433,50,31,50.0,19.354838709677423,$ld$age$lt$la$exp$sexp$Buggy,SVM,CFS,0.83,0.48,0.74,0.35928942217784376,0,0.6766666666666667,0.41935483870967744
AnySoftKeyboard,RESAMPLE_25_25,50,1367335433,50,31,50.0,19.354838709677423,$entropy$la$lt$ns$exp$sexp$ld$age$nuc$Buggy,KNN,CFS,1.0,0.4,0.88,0.28284271247461895,0,0.8,0.3225806451612903
AnySoftKeyboard,RESAMPLE_25_25,50,1367335433,50,31,50.0,19.354838709677423,$entropy$la$lt$ns$exp$sexp$ld$age$nuc$Buggy,DT,CFS,0.83,0.4,0.77,0.30641293851417056,0,0.7166666666666668,0.3548387096774194
AnySoftKeyboard,RESAMPLE_25_25,50,1367335433,50,31,50.0,19.354838709677423,$entropy$la$lt$ns$exp$sexp$ld$age$nuc$Buggy,LR,CFS,0.67,0.36,0.66,0.3469229821668716,0,0.6533333333333333,0.3548387096774194
AnySoftKeyboard,RESAMPLE_25_25,50,1367335433,50,31,50.0,19.354838709677423,$entropy$la$lt$ns$exp$sexp$ld$age$nuc$Buggy,RF,CFS,0.33,0.2,0.37,0.4921607686744468,0,0.5666666666666667,0.2903225806451613
AnySoftKeyboard,RESAMPLE_25_25,50,1367335433,50,31,50.0,19.354838709677423,$entropy$la$lt$ns$exp$sexp$ld$age$nuc$Buggy,NB,CFS,1.0,0.64,0.74,0.4525483399593904,0,0.6799999999999999,0.5161290322580645
AnySoftKeyboard,RESAMPLE_25_25,50,1367335433,50,31,50.0,19.354838709677423,$entropy$la$lt$ns$exp$sexp$ld$age$nuc$Buggy,SVM,CFS,0.5,0.24,0.54,0.3921734310225515,0,0.6300000000000001,0.2903225806451613
AnySoftKeyboard,RESAMPLE_300_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$entropy$exp$sexp$ld$ns$nuc$Buggy,KNN,CFS,0.88,0.22,0.86,0.1802882636909329,2,0.8263888888888888,0.2
AnySoftKeyboard,RESAMPLE_300_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$entropy$exp$sexp$ld$ns$nuc$Buggy,DT,CFS,0.5,0.19,0.54,0.3770235753981913,2,0.6574074074074074,0.2571428571428571
AnySoftKeyboard,RESAMPLE_300_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$entropy$exp$sexp$ld$ns$nuc$Buggy,LR,CFS,0.75,0.33,0.73,0.2946278254943948,2,0.7083333333333334,0.3142857142857143
AnySoftKeyboard,RESAMPLE_300_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$entropy$exp$sexp$ld$ns$nuc$Buggy,RF,CFS,0.38,0.15,0.43,0.4541876670494948,2,0.6134259259259259,0.2571428571428571
AnySoftKeyboard,RESAMPLE_300_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$entropy$exp$sexp$ld$ns$nuc$Buggy,NB,CFS,0.88,0.63,0.69,0.4539044340538791,3,0.6226851851851851,0.5142857142857142
AnySoftKeyboard,RESAMPLE_300_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$entropy$exp$sexp$ld$ns$nuc$Buggy,SVM,CFS,0.75,0.26,0.75,0.2546717136939827,2,0.7453703703703703,0.2571428571428571
AnySoftKeyboard,RESAMPLE_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$exp$sexp$ld$entropy$Buggy,KNN,CFS,0.75,0.52,0.67,0.4070389748209863,2,0.6157407407407407,0.4571428571428571
AnySoftKeyboard,RESAMPLE_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$exp$sexp$ld$entropy$Buggy,DT,CFS,0.38,0.41,0.41,0.5275442140761404,4,0.4837962962962963,0.4571428571428571
AnySoftKeyboard,RESAMPLE_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$exp$sexp$ld$entropy$Buggy,LR,CFS,0.75,0.3,0.74,0.2741272470942122,2,0.7268518518518519,0.2857142857142857
AnySoftKeyboard,RESAMPLE_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$exp$sexp$ld$entropy$Buggy,RF,CFS,0.62,0.37,0.62,0.3726923739817366,2,0.6273148148148148,0.37142857142857133
AnySoftKeyboard,RESAMPLE_25_25,50,1369951059,50,35,50.0,22.857142857142854,$la$lt$exp$sexp$ld$entropy$Buggy,NB,CFS,0.88,0.63,0.69,0.4539044340538791,3,0.6226851851851851,0.5142857142857142
