projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
Cachet,RESAMPLE_150_25_25,50,1438462870,50,150,50.0,16.666666666666668,$la$entropy$lt$exp$ns$ld$age$sexp$Buggy,KNN,CFS,0.88,0.35,0.82,0.2629676786222976,0,0.764,0.3133333333333333
Cachet,RESAMPLE_150_25_25,50,1438462870,50,150,50.0,16.666666666666668,$la$entropy$lt$exp$ns$ld$age$sexp$Buggy,DT,CFS,0.64,0.18,0.67,0.28588109416329016,0,0.7280000000000001,0.21333333333333332
Cachet,RESAMPLE_150_25_25,50,1438462870,50,150,50.0,16.666666666666668,$la$entropy$lt$exp$ns$ld$age$sexp$Buggy,LR,CFS,0.84,0.34,0.8,0.2631501472543764,0,0.7519999999999999,0.30666666666666664
Cachet,RESAMPLE_150_25_25,50,1438462870,50,150,50.0,16.666666666666668,$la$entropy$lt$exp$ns$ld$age$sexp$Buggy,RF,CFS,0.88,0.25,0.85,0.1948127305901747,0,0.816,0.22666666666666666
Cachet,RESAMPLE_150_25_25,50,1438462870,50,150,50.0,16.666666666666668,$la$entropy$lt$exp$ns$ld$age$sexp$Buggy,NB,CFS,0.88,0.75,0.59,0.5384719119879884,1,0.5640000000000001,0.6466666666666666
Cachet,RESAMPLE_150_25_25,50,1438462870,50,150,50.0,16.666666666666668,$la$entropy$lt$exp$ns$ld$age$sexp$Buggy,SVM,CFS,0.8,0.29,0.78,0.2479354754769877,0,0.7559999999999999,0.2733333333333333
Cachet,RESAMPLE_300_25_25,50,1438462870,50,150,50.0,16.666666666666668,$sexp$lt$la$exp$ld$Buggy,KNN,CFS,0.72,0.25,0.73,0.26448440407706464,0,0.736,0.2533333333333333
Cachet,RESAMPLE_300_25_25,50,1438462870,50,150,50.0,16.666666666666668,$sexp$lt$la$exp$ld$Buggy,DT,CFS,0.6,0.16,0.64,0.30463092423455634,2,0.7200000000000001,0.2
Cachet,RESAMPLE_300_25_25,50,1438462870,50,150,50.0,16.666666666666668,$sexp$lt$la$exp$ld$Buggy,LR,CFS,0.68,0.26,0.69,0.29333939387678565,0,0.708,0.2733333333333333
Cachet,RESAMPLE_300_25_25,50,1438462870,50,150,50.0,16.666666666666668,$sexp$lt$la$exp$ld$Buggy,RF,CFS,0.8,0.22,0.8,0.21233935103979196,1,0.7879999999999999,0.22
Cachet,RESAMPLE_300_25_25,50,1438462870,50,150,50.0,16.666666666666668,$sexp$lt$la$exp$ld$Buggy,NB,CFS,0.6,0.67,0.52,0.5529846290811345,0,0.464,0.6266666666666667
Cachet,RESAMPLE_300_25_25,50,1438462870,50,150,50.0,16.666666666666668,$sexp$lt$la$exp$ld$Buggy,SVM,CFS,0.64,0.22,0.66,0.2968636050444716,0,0.7120000000000001,0.24
Cachet,RESAMPLE_25_25,50,1438462870,50,150,50.0,16.666666666666668,$nuc$ns$lt$la$ndev$exp$sexp$Buggy,KNN,CFS,0.64,0.26,0.66,0.3156707145111817,1,0.6880000000000001,0.28
Cachet,RESAMPLE_25_25,50,1438462870,50,150,50.0,16.666666666666668,$nuc$ns$lt$la$ndev$exp$sexp$Buggy,DT,CFS,0.64,0.26,0.66,0.3123587680856741,1,0.6920000000000001,0.2733333333333333
Cachet,RESAMPLE_25_25,50,1438462870,50,150,50.0,16.666666666666668,$nuc$ns$lt$la$ndev$exp$sexp$Buggy,LR,CFS,0.76,0.14,0.78,0.19505896544378573,0,0.812,0.15333333333333332
Cachet,RESAMPLE_25_25,50,1438462870,50,150,50.0,16.666666666666668,$nuc$ns$lt$la$ndev$exp$sexp$Buggy,RF,CFS,0.56,0.22,0.59,0.3465948643589515,1,0.672,0.2533333333333333
Cachet,RESAMPLE_25_25,50,1438462870,50,150,50.0,16.666666666666668,$nuc$ns$lt$la$ndev$exp$sexp$Buggy,NB,CFS,0.84,0.74,0.58,0.5381152292957337,1,0.5479999999999999,0.6466666666666666
Cachet,RESAMPLE_25_25,50,1438462870,50,150,50.0,16.666666666666668,$nuc$ns$lt$la$ndev$exp$sexp$Buggy,SVM,CFS,0.68,0.3,0.68,0.3121025472500985,1,0.6880000000000001,0.30666666666666664
Cachet,RESAMPLE_150_25_25,50,1439915867,50,128,50.0,16.40625,$la$lt$entropy$exp$nf$ld$sexp$Buggy,KNN,CFS,0.95,0.47,0.82,0.3321349543216191,0,0.7425456163773921,0.3984375
Cachet,RESAMPLE_150_25_25,50,1439915867,50,128,50.0,16.40625,$la$lt$entropy$exp$nf$ld$sexp$Buggy,DT,CFS,0.9,0.29,0.85,0.21564757890089573,1,0.8075211392968402,0.2578125
Cachet,RESAMPLE_150_25_25,50,1439915867,50,128,50.0,16.40625,$la$lt$entropy$exp$nf$ld$sexp$Buggy,LR,CFS,0.9,0.26,0.86,0.1969110091909544,0,0.8215398308856252,0.234375
Cachet,RESAMPLE_150_25_25,50,1439915867,50,128,50.0,16.40625,$la$lt$entropy$exp$nf$ld$sexp$Buggy,RF,CFS,0.9,0.27,0.86,0.2031335666899461,2,0.8168669336893636,0.2421875
Cachet,RESAMPLE_150_25_25,50,1439915867,50,128,50.0,16.40625,$la$lt$entropy$exp$nf$ld$sexp$Buggy,NB,CFS,1.0,0.61,0.76,0.4295508483843513,4,0.6962616822429907,0.5078125
Cachet,RESAMPLE_150_25_25,50,1439915867,50,128,50.0,16.40625,$la$lt$entropy$exp$nf$ld$sexp$Buggy,SVM,CFS,1.0,0.85,0.47,0.6013711877380917,6,0.5747663551401869,0.7109375
Cachet,RESAMPLE_300_25_25,50,1439915867,50,128,50.0,16.40625,$lt$la$entropy$ld$age$ndev$exp$sexp$ns$nuc$Buggy,KNN,CFS,0.95,0.29,0.89,0.20761145859899052,1,0.831330663106364,0.25
Cachet,RESAMPLE_300_25_25,50,1439915867,50,128,50.0,16.40625,$lt$la$entropy$ld$age$ndev$exp$sexp$ns$nuc$Buggy,DT,CFS,0.81,0.67,0.63,0.4945057208340237,3,0.5683133066310637,0.59375
Cachet,RESAMPLE_300_25_25,50,1439915867,50,128,50.0,16.40625,$lt$la$entropy$ld$age$ndev$exp$sexp$ns$nuc$Buggy,LR,CFS,0.9,0.21,0.88,0.16624560672425812,0,0.8449043168669337,0.1953125
Cachet,RESAMPLE_300_25_25,50,1439915867,50,128,50.0,16.40625,$lt$la$entropy$ld$age$ndev$exp$sexp$ns$nuc$Buggy,RF,CFS,0.86,0.27,0.83,0.21663836261507705,1,0.7930574098798399,0.25
Cachet,RESAMPLE_300_25_25,50,1439915867,50,128,50.0,16.40625,$lt$la$entropy$ld$age$ndev$exp$sexp$ns$nuc$Buggy,NB,CFS,0.9,0.45,0.8,0.32427656234973906,1,0.7280818869603916,0.390625
Cachet,RESAMPLE_300_25_25,50,1439915867,50,128,50.0,16.40625,$lt$la$entropy$ld$age$ndev$exp$sexp$ns$nuc$Buggy,SVM,CFS,0.86,0.54,0.73,0.3963792069826661,5,0.657543391188251,0.4765625
Cachet,RESAMPLE_25_25,50,1439915867,50,128,50.0,16.40625,$la$ld$age$ns$lt$Buggy,KNN,CFS,0.86,0.64,0.67,0.4670397958398096,6,0.6061415220293725,0.5625
Cachet,RESAMPLE_25_25,50,1439915867,50,128,50.0,16.40625,$la$ld$age$ns$lt$Buggy,DT,CFS,0.76,0.25,0.76,0.24531920603037305,0,0.7547841566533156,0.25
Cachet,RESAMPLE_25_25,50,1439915867,50,128,50.0,16.40625,$la$ld$age$ns$lt$Buggy,LR,CFS,0.9,0.27,0.86,0.2031335666899461,2,0.8168669336893636,0.2421875
Cachet,RESAMPLE_25_25,50,1439915867,50,128,50.0,16.40625,$la$ld$age$ns$lt$Buggy,RF,CFS,0.76,0.21,0.77,0.22681958814141365,0,0.7734757454383622,0.21875
Cachet,RESAMPLE_25_25,50,1439915867,50,128,50.0,16.40625,$la$ld$age$ns$lt$Buggy,NB,CFS,0.95,0.45,0.83,0.3189889157089107,2,0.7518914107699154,0.3828125
