projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
Catch,RESAMPLE_150_25_25,50,1487002542,50,39,50.0,17.94871794871795,$exp$sexp$la$entropy$ld$nuc$Buggy,KNN,CFS,0.86,0.44,0.78,0.3254338744394213,1,0.7098214285714286,0.38461538461538464
Catch,RESAMPLE_150_25_25,50,1487002542,50,39,50.0,17.94871794871795,$exp$sexp$la$entropy$ld$nuc$Buggy,DT,CFS,0.71,0.69,0.56,0.5264451078038547,1,0.5133928571428572,0.6153846153846154
Catch,RESAMPLE_150_25_25,50,1487002542,50,39,50.0,17.94871794871795,$exp$sexp$la$entropy$ld$nuc$Buggy,LR,CFS,0.57,0.56,0.54,0.5000398581052089,1,0.5044642857142857,0.5384615384615384
Catch,RESAMPLE_150_25_25,50,1487002542,50,39,50.0,17.94871794871795,$exp$sexp$la$entropy$ld$nuc$Buggy,RF,CFS,0.29,0.5,0.32,0.6165241607725739,0,0.3928571428571428,0.5384615384615384
Catch,RESAMPLE_150_25_25,50,1487002542,50,39,50.0,17.94871794871795,$exp$sexp$la$entropy$ld$nuc$Buggy,NB,CFS,0.86,0.78,0.54,0.5615869148071855,1,0.5379464285714286,0.6666666666666666
Catch,RESAMPLE_150_25_25,50,1487002542,50,39,50.0,17.94871794871795,$exp$sexp$la$entropy$ld$nuc$Buggy,SVM,CFS,0.57,0.47,0.56,0.44911024920822906,1,0.5513392857142857,0.4615384615384616
Catch,RESAMPLE_300_25_25,50,1487002542,50,39,50.0,17.94871794871795,$age$la$ndev$sexp$ld$lt$exp$entropy$Buggy,KNN,CFS,0.57,0.75,0.45,0.6108082634459667,1,0.4107142857142857,0.6923076923076923
Catch,RESAMPLE_300_25_25,50,1487002542,50,39,50.0,17.94871794871795,$age$la$ndev$sexp$ld$lt$exp$entropy$Buggy,DT,CFS,0.29,0.09,0.34,0.5094080604646205,0,0.5959821428571428,0.20512820512820512
Catch,RESAMPLE_300_25_25,50,1487002542,50,39,50.0,17.94871794871795,$age$la$ndev$sexp$ld$lt$exp$entropy$Buggy,LR,CFS,0.71,0.62,0.6,0.4859308865781349,1,0.5446428571428572,0.5641025641025641
Catch,RESAMPLE_300_25_25,50,1487002542,50,39,50.0,17.94871794871795,$age$la$ndev$sexp$ld$lt$exp$entropy$Buggy,RF,CFS,0.14,0.06,0.17,0.607700636642344,2,0.5401785714285714,0.20512820512820512
Catch,RESAMPLE_300_25_25,50,1487002542,50,39,50.0,17.94871794871795,$age$la$ndev$sexp$ld$lt$exp$entropy$Buggy,NB,CFS,0.29,0.16,0.33,0.5170194116919852,0,0.5647321428571428,0.2564102564102564
Catch,RESAMPLE_300_25_25,50,1487002542,50,39,50.0,17.94871794871795,$age$la$ndev$sexp$ld$lt$exp$entropy$Buggy,SVM,CFS,0.57,0.59,0.53,0.5177897893391463,1,0.4888392857142857,0.5641025641025641
Catch,RESAMPLE_25_25,50,1487002542,50,39,50.0,17.94871794871795,$la$lt$exp$ld$entropy$age$Buggy,KNN,CFS,0.71,0.75,0.52,0.5675088779310965,1,0.4821428571428572,0.6666666666666666
Catch,RESAMPLE_25_25,50,1487002542,50,39,50.0,17.94871794871795,$la$lt$exp$ld$entropy$age$Buggy,DT,CFS,1.0,0.81,0.54,0.5745242597140698,0,0.59375,0.6666666666666666
Catch,RESAMPLE_25_25,50,1487002542,50,39,50.0,17.94871794871795,$la$lt$exp$ld$entropy$age$Buggy,LR,CFS,0.71,0.31,0.71,0.299406832805486,0,0.7008928571428572,0.3076923076923077
Catch,RESAMPLE_25_25,50,1487002542,50,39,50.0,17.94871794871795,$la$lt$exp$ld$entropy$age$Buggy,RF,CFS,0.43,0.28,0.47,0.4503510712460324,0,0.5736607142857143,0.3333333333333333
Catch,RESAMPLE_25_25,50,1487002542,50,39,50.0,17.94871794871795,$la$lt$exp$ld$entropy$age$Buggy,NB,CFS,0.29,0.09,0.34,0.5094080604646205,0,0.5959821428571428,0.20512820512820512
Catch,RESAMPLE_25_25,50,1487002542,50,39,50.0,17.94871794871795,$la$lt$exp$ld$entropy$age$Buggy,SVM,CFS,0.29,0.41,0.32,0.5810521250854578,5,0.4397321428571429,0.4615384615384616
Catch,RESAMPLE_150_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$nuc$sexp$lt$entropy$age$Buggy,KNN,CFS,0.53,0.58,0.5,0.5258126249812949,5,0.4771929824561403,0.5471698113207547
Catch,RESAMPLE_150_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$nuc$sexp$lt$entropy$age$Buggy,DT,CFS,0.6,0.74,0.48,0.5928474880138409,4,0.43157894736842106,0.6415094339622641
Catch,RESAMPLE_150_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$nuc$sexp$lt$entropy$age$Buggy,LR,CFS,0.27,0.18,0.31,0.5346546996816347,5,0.5412280701754385,0.33962264150943394
Catch,RESAMPLE_150_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$nuc$sexp$lt$entropy$age$Buggy,RF,CFS,0.53,0.55,0.51,0.5114584244235495,4,0.4903508771929824,0.5283018867924528
Catch,RESAMPLE_150_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$nuc$sexp$lt$entropy$age$Buggy,NB,CFS,0.07,0.03,0.09,0.660228608849516,1,0.5201754385964913,0.2830188679245283
Catch,RESAMPLE_150_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$nuc$sexp$lt$entropy$age$Buggy,SVM,CFS,0.6,0.61,0.54,0.5130026755801129,3,0.4973684210526316,0.5471698113207547
Catch,RESAMPLE_300_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$age$ndev$la$ld$entropy$lt$Buggy,KNN,CFS,0.53,0.39,0.54,0.4322007359393394,4,0.5692982456140351,0.4150943396226415
Catch,RESAMPLE_300_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$age$ndev$la$ld$entropy$lt$Buggy,DT,CFS,0.67,0.26,0.68,0.3003025047126963,3,0.7017543859649122,0.2830188679245283
Catch,RESAMPLE_300_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$age$ndev$la$ld$entropy$lt$Buggy,LR,CFS,0.6,0.34,0.61,0.37218007139040393,3,0.6289473684210527,0.3584905660377358
Catch,RESAMPLE_300_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$age$ndev$la$ld$entropy$lt$Buggy,RF,CFS,0.53,0.24,0.56,0.3700486188349191,1,0.6482456140350876,0.3018867924528302
Catch,RESAMPLE_300_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$age$ndev$la$ld$entropy$lt$Buggy,NB,CFS,0.87,0.68,0.65,0.4929106521972858,3,0.5912280701754387,0.5283018867924528
Catch,RESAMPLE_300_25_25,50,1488291549,50,53,50.0,28.301886792452827,$exp$age$ndev$la$ld$entropy$lt$Buggy,SVM,CFS,0.53,0.18,0.57,0.3547613957178246,2,0.6745614035087719,0.2641509433962264
Catch,RESAMPLE_25_25,50,1488291549,50,53,50.0,28.301886792452827,$la$ld$entropy$lt$age$nuc$exp$sexp$ndev$Buggy,KNN,CFS,0.6,0.24,0.63,0.3287051739975237,3,0.6815789473684212,0.2830188679245283
