projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
CodeIgniter,RESAMPLE_300_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$la$ns$lt$nf$nuc$ndev$Buggy,KNN,CFS,0.83,0.52,0.72,0.38766177572864,0,0.6537428118890998,0.4272871496562665
CodeIgniter,RESAMPLE_300_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$la$ns$lt$nf$nuc$ndev$Buggy,DT,CFS,0.26,0.1,0.3,0.530006885876655,0,0.5793610250995278,0.27075621364357483
CodeIgniter,RESAMPLE_300_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$la$ns$lt$nf$nuc$ndev$Buggy,LR,CFS,0.97,0.53,0.8,0.3743882324230011,0,0.7199297955223242,0.3955579058699101
CodeIgniter,RESAMPLE_300_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$la$ns$lt$nf$nuc$ndev$Buggy,RF,CFS,0.51,0.33,0.54,0.4160460379699713,2,0.5912130249282972,0.372818614489688
CodeIgniter,RESAMPLE_300_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$la$ns$lt$nf$nuc$ndev$Buggy,NB,CFS,0.95,0.5,0.81,0.3537402435201182,0,0.7281752543485396,0.3770491803278688
CodeIgniter,RESAMPLE_300_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$la$ns$lt$nf$nuc$ndev$Buggy,SVM,CFS,0.97,0.53,0.8,0.3774460874810768,0,0.7177637305403747,0.3987308302485457
CodeIgniter,RESAMPLE_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$nuc$la$entropy$ld$lt$age$ns$sexp$ndev$Buggy,KNN,CFS,0.87,0.36,0.81,0.2690246351319727,2,0.7560822476848218,0.2966684294024326
CodeIgniter,RESAMPLE_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$nuc$la$entropy$ld$lt$age$ns$sexp$ndev$Buggy,DT,CFS,0.81,0.3,0.79,0.2494845474539559,1,0.7564018778270858,0.2686409307244844
CodeIgniter,RESAMPLE_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$nuc$la$entropy$ld$lt$age$ns$sexp$ndev$Buggy,LR,CFS,0.87,0.35,0.81,0.26423438353760503,2,0.7596923559880709,0.2913802221047065
CodeIgniter,RESAMPLE_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$nuc$la$entropy$ld$lt$age$ns$sexp$ndev$Buggy,RF,CFS,0.82,0.25,0.8,0.22095421187459247,0,0.7817489761847005,0.2342675832892649
CodeIgniter,RESAMPLE_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$nuc$la$entropy$ld$lt$age$ns$sexp$ndev$Buggy,NB,CFS,0.93,0.45,0.82,0.3223136215650838,4,0.7401442616401022,0.3484928609201481
CodeIgniter,RESAMPLE_25_25,50,1339630624,50,1891,50.0,26.75832892649392,$nuc$la$entropy$ld$lt$age$ns$sexp$ndev$Buggy,SVM,CFS,0.87,0.39,0.8,0.29168209918679944,2,0.7391147386595508,0.32152300370174514
CodeIgniter,RESAMPLE_300_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ns$age$entropy$lt$ld$exp$Buggy,KNN,CFS,0.47,0.38,0.49,0.4649432878551617,2,0.5412692589875274,0.4407894736842105
CodeIgniter,RESAMPLE_300_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ns$age$entropy$lt$ld$exp$Buggy,DT,CFS,0.6,0.52,0.57,0.46313203257166796,3,0.541085840058694,0.4736842105263158
CodeIgniter,RESAMPLE_300_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ns$age$entropy$lt$ld$exp$Buggy,LR,CFS,0.47,0.28,0.51,0.4255449595743892,1,0.5944607483492295,0.375
CodeIgniter,RESAMPLE_300_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ns$age$entropy$lt$ld$exp$Buggy,RF,CFS,0.36,0.31,0.4,0.5010662724127434,3,0.5267791636096845,0.4342105263157895
CodeIgniter,RESAMPLE_300_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ns$age$entropy$lt$ld$exp$Buggy,NB,CFS,1.0,0.72,0.66,0.5115240544753749,4,0.6382978723404256,0.4473684210526316
CodeIgniter,RESAMPLE_300_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ns$age$entropy$lt$ld$exp$Buggy,SVM,CFS,0.97,0.65,0.72,0.4595145338574748,3,0.6582905355832722,0.4144736842105263
CodeIgniter,RESAMPLE_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ld$entropy$lt$age$exp$sexp$Buggy,KNN,CFS,0.97,0.61,0.75,0.4294702420002818,4,0.6795671313279531,0.3881578947368421
CodeIgniter,RESAMPLE_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ld$entropy$lt$age$exp$sexp$Buggy,DT,CFS,0.74,0.29,0.73,0.27330208224523794,2,0.7270726338958181,0.27631578947368424
CodeIgniter,RESAMPLE_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ld$entropy$lt$age$exp$sexp$Buggy,LR,CFS,0.84,0.48,0.75,0.35584728169832897,2,0.6830520909757887,0.35526315789473684
CodeIgniter,RESAMPLE_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ld$entropy$lt$age$exp$sexp$Buggy,RF,CFS,0.74,0.6,0.63,0.4592365326713745,4,0.5728173147468819,0.4671052631578948
CodeIgniter,RESAMPLE_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ld$entropy$lt$age$exp$sexp$Buggy,NB,CFS,1.0,0.71,0.67,0.5040016419095604,4,0.6436170212765957,0.4407894736842105
CodeIgniter,RESAMPLE_25_25,50,1340990320,50,152,50.0,38.1578947368421,$nuc$la$ld$entropy$lt$age$exp$sexp$Buggy,SVM,CFS,0.97,0.93,0.27,0.6549039571298749,5,0.5199926632428467,0.5855263157894737
