projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
ServiceStack,RESAMPLE_150_25_25,50,1399330732,50,133,50.0,6.015037593984963,$lt$la$exp$sexp$entropy$Buggy,KNN,CFS,0.25,0.14,0.29,0.5389786637706542,0,0.557,0.17293233082706766
ServiceStack,RESAMPLE_150_25_25,50,1399330732,50,133,50.0,6.015037593984963,$lt$la$exp$sexp$entropy$Buggy,DT,CFS,0.38,0.47,0.4,0.5538090826268561,25,0.4515,0.481203007518797
ServiceStack,RESAMPLE_150_25_25,50,1399330732,50,133,50.0,6.015037593984963,$lt$la$exp$sexp$entropy$Buggy,LR,CFS,0.5,0.19,0.54,0.3787241740369896,2,0.6540000000000001,0.21052631578947367
ServiceStack,RESAMPLE_150_25_25,50,1399330732,50,133,50.0,6.015037593984963,$lt$la$exp$sexp$entropy$Buggy,RF,CFS,0.0,0.09,0.0,0.7098394184602599,11,0.456,0.14285714285714285
ServiceStack,RESAMPLE_150_25_25,50,1399330732,50,133,50.0,6.015037593984963,$lt$la$exp$sexp$entropy$Buggy,NB,CFS,0.5,0.21,0.54,0.3829255802372049,2,0.6460000000000001,0.2255639097744361
ServiceStack,RESAMPLE_150_25_25,50,1399330732,50,133,50.0,6.015037593984963,$lt$la$exp$sexp$entropy$Buggy,SVM,CFS,0.25,0.12,0.29,0.5370754136990447,0,0.5650000000000001,0.15789473684210525
ServiceStack,RESAMPLE_300_25_25,50,1399330732,50,133,50.0,6.015037593984963,$la$exp$sexp$entropy$nuc$Buggy,KNN,CFS,0.75,0.42,0.71,0.3480488471464889,2,0.6629999999999999,0.4135338345864661
ServiceStack,RESAMPLE_300_25_25,50,1399330732,50,133,50.0,6.015037593984963,$la$exp$sexp$entropy$nuc$Buggy,DT,CFS,0.62,0.23,0.65,0.3118084347800745,1,0.6965,0.2406015037593985
ServiceStack,RESAMPLE_300_25_25,50,1399330732,50,133,50.0,6.015037593984963,$la$exp$sexp$entropy$nuc$Buggy,LR,CFS,1.0,0.3,0.92,0.20930360723121805,2,0.852,0.2781954887218045
ServiceStack,RESAMPLE_300_25_25,50,1399330732,50,133,50.0,6.015037593984963,$la$exp$sexp$entropy$nuc$Buggy,RF,CFS,0.12,0.14,0.14,0.6261473468761166,13,0.4945,0.18045112781954886
ServiceStack,RESAMPLE_300_25_25,50,1399330732,50,133,50.0,6.015037593984963,$la$exp$sexp$entropy$nuc$Buggy,NB,CFS,1.0,0.5,0.83,0.35072496346852755,4,0.752,0.4661654135338346
ServiceStack,RESAMPLE_300_25_25,50,1399330732,50,133,50.0,6.015037593984963,$la$exp$sexp$entropy$nuc$Buggy,SVM,CFS,0.38,0.14,0.43,0.4522836499366299,1,0.6194999999999999,0.16541353383458646
ServiceStack,RESAMPLE_25_25,50,1399330732,50,133,50.0,6.015037593984963,$ld$la$lt$age$entropy$Buggy,KNN,CFS,0.25,0.3,0.29,0.5701385796453349,3,0.4769999999999999,0.3233082706766917
ServiceStack,RESAMPLE_25_25,50,1399330732,50,133,50.0,6.015037593984963,$ld$la$lt$age$entropy$Buggy,DT,CFS,0.62,0.41,0.61,0.391847546885265,2,0.6085,0.40601503759398494
ServiceStack,RESAMPLE_25_25,50,1399330732,50,133,50.0,6.015037593984963,$ld$la$lt$age$entropy$Buggy,LR,CFS,0.5,0.22,0.54,0.38513374300364794,1,0.6420000000000001,0.2330827067669173
ServiceStack,RESAMPLE_25_25,50,1399330732,50,133,50.0,6.015037593984963,$ld$la$lt$age$entropy$Buggy,RF,CFS,0.0,0.09,0.0,0.7098394184602599,11,0.456,0.14285714285714285
ServiceStack,RESAMPLE_25_25,50,1399330732,50,133,50.0,6.015037593984963,$ld$la$lt$age$entropy$Buggy,NB,CFS,0.62,0.25,0.64,0.3179064327754316,2,0.6885,0.2556390977443609
ServiceStack,RESAMPLE_25_25,50,1399330732,50,133,50.0,6.015037593984963,$ld$la$lt$age$entropy$Buggy,SVM,CFS,0.38,0.16,0.43,0.4561934896510471,2,0.6075,0.18796992481203006
ServiceStack,RESAMPLE_150_25_25,50,1406716815,50,98,50.0,22.448979591836732,$lt$sexp$la$exp$entropy$Buggy,KNN,CFS,0.41,0.22,0.45,0.4467707352534347,0,0.5927033492822966,0.30612244897959184
ServiceStack,RESAMPLE_150_25_25,50,1406716815,50,98,50.0,22.448979591836732,$lt$sexp$la$exp$entropy$Buggy,DT,CFS,0.05,0.24,0.06,0.6954319548377372,15,0.4043062200956938,0.3979591836734694
ServiceStack,RESAMPLE_150_25_25,50,1406716815,50,98,50.0,22.448979591836732,$lt$sexp$la$exp$entropy$Buggy,LR,CFS,0.45,0.24,0.49,0.4204847464430247,0,0.6088516746411483,0.30612244897959184
ServiceStack,RESAMPLE_150_25_25,50,1406716815,50,98,50.0,22.448979591836732,$lt$sexp$la$exp$entropy$Buggy,RF,CFS,0.09,0.03,0.11,0.6430936175112294,0,0.5322966507177034,0.22448979591836732
ServiceStack,RESAMPLE_150_25_25,50,1406716815,50,98,50.0,22.448979591836732,$lt$sexp$la$exp$entropy$Buggy,NB,CFS,0.59,0.46,0.58,0.4355685132303828,1,0.5651913875598086,0.4489795918367347
ServiceStack,RESAMPLE_150_25_25,50,1406716815,50,98,50.0,22.448979591836732,$lt$sexp$la$exp$entropy$Buggy,SVM,CFS,0.5,0.29,0.53,0.4085309130594743,0,0.6052631578947371,0.33673469387755106
ServiceStack,RESAMPLE_300_25_25,50,1406716815,50,98,50.0,22.448979591836732,$la$ld$age$lt$exp$Buggy,KNN,CFS,0.55,0.39,0.56,0.4256928145759388,1,0.5753588516746411,0.4081632653061225
ServiceStack,RESAMPLE_300_25_25,50,1406716815,50,98,50.0,22.448979591836732,$la$ld$age$lt$exp$Buggy,DT,CFS,0.45,0.36,0.48,0.4602893505798094,3,0.5496411483253588,0.3979591836734694
ServiceStack,RESAMPLE_300_25_25,50,1406716815,50,98,50.0,22.448979591836732,$la$ld$age$lt$exp$Buggy,LR,CFS,0.5,0.3,0.53,0.413271020382616,1,0.5986842105263158,0.3469387755102041
ServiceStack,RESAMPLE_300_25_25,50,1406716815,50,98,50.0,22.448979591836732,$la$ld$age$lt$exp$Buggy,RF,CFS,0.45,0.5,0.46,0.5232211106009699,2,0.4772727272727273,0.5102040816326531
ServiceStack,RESAMPLE_300_25_25,50,1406716815,50,98,50.0,22.448979591836732,$la$ld$age$lt$exp$Buggy,NB,CFS,0.82,0.47,0.74,0.3587719209620566,1,0.6722488038277513,0.4081632653061225
ServiceStack,RESAMPLE_300_25_25,50,1406716815,50,98,50.0,22.448979591836732,$la$ld$age$lt$exp$Buggy,SVM,CFS,0.41,0.17,0.46,0.4349899748782098,0,0.6190191387559809,0.2653061224489796
