projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
Signal-Android,RESAMPLE_150_25_25,50,1382296536,50,64,50.0,34.375,$exp$la$lt$entropy$ld$age$sexp$Buggy,KNN,CFS,0.68,0.26,0.69,0.2914050220310879,3,0.7099567099567099,0.28125
Signal-Android,RESAMPLE_150_25_25,50,1382296536,50,64,50.0,34.375,$exp$la$lt$entropy$ld$age$sexp$Buggy,DT,CFS,0.77,0.38,0.73,0.3136698974361992,2,0.6958874458874459,0.328125
Signal-Android,RESAMPLE_150_25_25,50,1382296536,50,64,50.0,34.375,$exp$la$lt$entropy$ld$age$sexp$Buggy,LR,CFS,0.73,0.26,0.73,0.2673707814979473,1,0.7326839826839827,0.265625
Signal-Android,RESAMPLE_150_25_25,50,1382296536,50,64,50.0,34.375,$exp$la$lt$entropy$ld$age$sexp$Buggy,RF,CFS,0.64,0.29,0.65,0.32700463148088754,3,0.6753246753246753,0.3125
Signal-Android,RESAMPLE_150_25_25,50,1382296536,50,64,50.0,34.375,$exp$la$lt$entropy$ld$age$sexp$Buggy,NB,CFS,0.55,0.12,0.59,0.3322528448703193,1,0.7132034632034632,0.234375
Signal-Android,RESAMPLE_150_25_25,50,1382296536,50,64,50.0,34.375,$exp$la$lt$entropy$ld$age$sexp$Buggy,SVM,CFS,0.73,0.31,0.72,0.291706319739038,1,0.7088744588744589,0.296875
Signal-Android,RESAMPLE_300_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$age$ns$lt$exp$nuc$Buggy,KNN,CFS,0.77,0.31,0.75,0.27153073603564204,2,0.7316017316017316,0.28125
Signal-Android,RESAMPLE_300_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$age$ns$lt$exp$nuc$Buggy,DT,CFS,0.86,0.36,0.8,0.2703202376168655,2,0.7532467532467533,0.28125
Signal-Android,RESAMPLE_300_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$age$ns$lt$exp$nuc$Buggy,LR,CFS,0.82,0.26,0.8,0.2254461748933206,1,0.7781385281385282,0.234375
Signal-Android,RESAMPLE_300_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$age$ns$lt$exp$nuc$Buggy,RF,CFS,0.86,0.29,0.83,0.2238612230641324,2,0.7889610389610391,0.234375
Signal-Android,RESAMPLE_300_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$age$ns$lt$exp$nuc$Buggy,NB,CFS,0.82,0.33,0.78,0.2684855325252931,1,0.7424242424242425,0.28125
Signal-Android,RESAMPLE_300_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$age$ns$lt$exp$nuc$Buggy,SVM,CFS,0.73,0.29,0.73,0.2792962749039813,2,0.7207792207792209,0.28125
Signal-Android,RESAMPLE_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$lt$age$nuc$ns$exp$sexp$nf$Buggy,KNN,CFS,0.95,0.43,0.84,0.3047454553313588,1,0.7629870129870129,0.296875
Signal-Android,RESAMPLE_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$lt$age$nuc$ns$exp$sexp$nf$Buggy,DT,CFS,0.5,0.14,0.55,0.36770107646382144,0,0.6785714285714286,0.265625
Signal-Android,RESAMPLE_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$lt$age$nuc$ns$exp$sexp$nf$Buggy,LR,CFS,1.0,0.38,0.89,0.2693740118805895,1,0.8095238095238095,0.25
Signal-Android,RESAMPLE_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$lt$age$nuc$ns$exp$sexp$nf$Buggy,RF,CFS,0.91,0.33,0.85,0.24431084085753174,1,0.787878787878788,0.25
Signal-Android,RESAMPLE_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$lt$age$nuc$ns$exp$sexp$nf$Buggy,NB,CFS,0.91,0.45,0.8,0.3262767145284925,1,0.7283549783549784,0.328125
Signal-Android,RESAMPLE_25_25,50,1382296536,50,64,50.0,34.375,$la$ld$entropy$lt$age$nuc$ns$exp$sexp$nf$Buggy,SVM,CFS,1.0,0.48,0.84,0.3367175148507369,1,0.7619047619047619,0.3125
Signal-Android,RESAMPLE_150_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$age$lt$ns$la$ndev$entropy$exp$nuc$Buggy,KNN,CFS,1.0,0.43,0.87,0.3030457633656632,3,0.7857142857142857,0.2903225806451613
Signal-Android,RESAMPLE_150_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$age$lt$ns$la$ndev$entropy$exp$nuc$Buggy,DT,CFS,0.8,0.43,0.74,0.3344199974491321,4,0.6857142857142857,0.3548387096774194
Signal-Android,RESAMPLE_150_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$age$lt$ns$la$ndev$entropy$exp$nuc$Buggy,LR,CFS,1.0,0.43,0.87,0.3030457633656632,3,0.7857142857142857,0.2903225806451613
Signal-Android,RESAMPLE_150_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$age$lt$ns$la$ndev$entropy$exp$nuc$Buggy,RF,CFS,0.9,0.62,0.71,0.4434072364365099,2,0.6404761904761904,0.4516129032258064
Signal-Android,RESAMPLE_150_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$age$lt$ns$la$ndev$entropy$exp$nuc$Buggy,NB,CFS,0.5,0.81,0.38,0.6728033881402281,5,0.34523809523809523,0.7096774193548387
Signal-Android,RESAMPLE_150_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$age$lt$ns$la$ndev$entropy$exp$nuc$Buggy,SVM,CFS,1.0,0.43,0.87,0.3030457633656632,3,0.7857142857142857,0.2903225806451613
Signal-Android,RESAMPLE_300_25_25,50,1386005647,50,31,50.0,32.25806451612903,$lt$la$ns$ld$age$entropy$exp$sexp$Buggy,KNN,CFS,1.0,0.38,0.89,0.2693740118805895,3,0.8095238095238095,0.25806451612903225
Signal-Android,RESAMPLE_300_25_25,50,1386005647,50,31,50.0,32.25806451612903,$lt$la$ns$ld$age$entropy$exp$sexp$Buggy,DT,CFS,0.8,0.33,0.77,0.2748737083745107,4,0.7333333333333334,0.2903225806451613
Signal-Android,RESAMPLE_300_25_25,50,1386005647,50,31,50.0,32.25806451612903,$lt$la$ns$ld$age$entropy$exp$sexp$Buggy,LR,CFS,1.0,0.29,0.92,0.20203050891044214,3,0.8571428571428572,0.1935483870967742
Signal-Android,RESAMPLE_300_25_25,50,1386005647,50,31,50.0,32.25806451612903,$lt$la$ns$ld$age$entropy$exp$sexp$Buggy,RF,CFS,1.0,0.38,0.89,0.2693740118805895,3,0.8095238095238095,0.25806451612903225
Signal-Android,RESAMPLE_300_25_25,50,1386005647,50,31,50.0,32.25806451612903,$lt$la$ns$ld$age$entropy$exp$sexp$Buggy,NB,CFS,0.8,0.67,0.62,0.4921607686744466,4,0.5666666666666667,0.5161290322580645
Signal-Android,RESAMPLE_300_25_25,50,1386005647,50,31,50.0,32.25806451612903,$lt$la$ns$ld$age$entropy$exp$sexp$Buggy,SVM,CFS,1.0,0.33,0.91,0.2357022603955158,3,0.8333333333333334,0.2258064516129032
Signal-Android,RESAMPLE_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$entropy$age$la$lt$exp$Buggy,KNN,CFS,1.0,0.29,0.92,0.20203050891044214,3,0.8571428571428572,0.1935483870967742
Signal-Android,RESAMPLE_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$entropy$age$la$lt$exp$Buggy,DT,CFS,0.8,0.38,0.76,0.30424062561834825,3,0.7095238095238096,0.3225806451612903
Signal-Android,RESAMPLE_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$entropy$age$la$lt$exp$Buggy,LR,CFS,1.0,0.24,0.94,0.16835875742536846,3,0.8809523809523809,0.16129032258064516
Signal-Android,RESAMPLE_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$entropy$age$la$lt$exp$Buggy,RF,CFS,1.0,0.24,0.94,0.16835875742536846,2,0.8809523809523809,0.16129032258064516
Signal-Android,RESAMPLE_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$entropy$age$la$lt$exp$Buggy,NB,CFS,0.9,0.29,0.85,0.21404748662530992,2,0.8071428571428572,0.2258064516129032
Signal-Android,RESAMPLE_25_25,50,1386005647,50,31,50.0,32.25806451612903,$ld$entropy$age$la$lt$exp$Buggy,SVM,CFS,0.9,0.24,0.87,0.18260523322680008,2,0.8309523809523808,0.1935483870967742
Signal-Android,RESAMPLE_150_25_25,50,1393232313,50,167,50.0,40.11976047904192,$ld$ns$age$nuc$lt$la$exp$Buggy,KNN,CFS,0.64,0.21,0.67,0.2936099926795613,0,0.7158955223880596,0.2694610778443114
Signal-Android,RESAMPLE_150_25_25,50,1393232313,50,167,50.0,40.11976047904192,$ld$ns$age$nuc$lt$la$exp$Buggy,DT,CFS,0.57,0.29,0.59,0.3684066013593545,0,0.6385820895522387,0.3473053892215569
Signal-Android,RESAMPLE_150_25_25,50,1393232313,50,167,50.0,40.11976047904192,$ld$ns$age$nuc$lt$la$exp$Buggy,LR,CFS,0.54,0.22,0.58,0.3622698299846209,0,0.6586567164179105,0.31736526946107785
Signal-Android,RESAMPLE_150_25_25,50,1393232313,50,167,50.0,40.11976047904192,$ld$ns$age$nuc$lt$la$exp$Buggy,RF,CFS,0.55,0.24,0.58,0.3592284001015493,0,0.6561194029850747,0.32335329341317365
Signal-Android,RESAMPLE_150_25_25,50,1393232313,50,167,50.0,40.11976047904192,$ld$ns$age$nuc$lt$la$exp$Buggy,NB,CFS,0.43,0.22,0.47,0.4301599737651424,0,0.6064179104477612,0.3592814371257485
Signal-Android,RESAMPLE_150_25_25,50,1393232313,50,167,50.0,40.11976047904192,$ld$ns$age$nuc$lt$la$exp$Buggy,SVM,CFS,0.55,0.2,0.59,0.3467636708761729,0,0.6761194029850747,0.2994011976047904
Signal-Android,RESAMPLE_300_25_25,50,1393232313,50,167,50.0,40.11976047904192,$entropy$ld$age$la$lt$ns$Buggy,KNN,CFS,0.69,0.21,0.71,0.2667771940878084,0,0.7382835820895522,0.25149700598802394
Signal-Android,RESAMPLE_300_25_25,50,1393232313,50,167,50.0,40.11976047904192,$entropy$ld$age$la$lt$ns$Buggy,DT,CFS,0.48,0.22,0.52,0.4008049930569042,0,0.6288059701492538,0.3413173652694611
