projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
ThinkUp,RESAMPLE_150_25_25,50,1280244939,50,53,50.0,28.301886792452827,$entropy$ndev$sexp$nuc$ns$exp$age$Buggy,KNN,CFS,0.93,0.79,0.55,0.5602290346391314,1,0.5719298245614035,0.5849056603773585
ThinkUp,RESAMPLE_150_25_25,50,1280244939,50,53,50.0,28.301886792452827,$entropy$ndev$sexp$nuc$ns$exp$age$Buggy,DT,CFS,0.93,0.84,0.47,0.5973214037194178,1,0.5456140350877193,0.6226415094339622
ThinkUp,RESAMPLE_150_25_25,50,1280244939,50,53,50.0,28.301886792452827,$entropy$ndev$sexp$nuc$ns$exp$age$Buggy,LR,CFS,0.93,0.87,0.42,0.6158731886915455,1,0.5324561403508772,0.6415094339622641
ThinkUp,RESAMPLE_150_25_25,50,1280244939,50,53,50.0,28.301886792452827,$entropy$ndev$sexp$nuc$ns$exp$age$Buggy,RF,CFS,0.93,0.97,0.13,0.6901106383300794,1,0.4798245614035088,0.7169811320754716
ThinkUp,RESAMPLE_150_25_25,50,1280244939,50,53,50.0,28.301886792452827,$entropy$ndev$sexp$nuc$ns$exp$age$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.2830188679245283
ThinkUp,RESAMPLE_150_25_25,50,1280244939,50,53,50.0,28.301886792452827,$entropy$ndev$sexp$nuc$ns$exp$age$Buggy,SVM,CFS,0.93,0.79,0.55,0.5602290346391314,1,0.5719298245614035,0.5849056603773585
ThinkUp,RESAMPLE_300_25_25,50,1280244939,50,53,50.0,28.301886792452827,$la$entropy$sexp$exp$lt$ld$Buggy,KNN,CFS,0.8,0.71,0.59,0.5219423557392918,1,0.5447368421052632,0.5660377358490566
ThinkUp,RESAMPLE_300_25_25,50,1280244939,50,53,50.0,28.301886792452827,$la$entropy$sexp$exp$lt$ld$Buggy,DT,CFS,0.8,0.58,0.68,0.4331166444513891,1,0.6105263157894737,0.4716981132075472
ThinkUp,RESAMPLE_300_25_25,50,1280244939,50,53,50.0,28.301886792452827,$la$entropy$sexp$exp$lt$ld$Buggy,LR,CFS,1.0,0.74,0.64,0.5210260492953508,1,0.631578947368421,0.5283018867924528
ThinkUp,RESAMPLE_300_25_25,50,1280244939,50,53,50.0,28.301886792452827,$la$entropy$sexp$exp$lt$ld$Buggy,RF,CFS,0.33,0.13,0.38,0.4804984203069903,0,0.6008771929824561,0.2830188679245283
ThinkUp,RESAMPLE_300_25_25,50,1280244939,50,53,50.0,28.301886792452827,$la$entropy$sexp$exp$lt$ld$Buggy,NB,CFS,1.0,0.74,0.64,0.5210260492953508,1,0.631578947368421,0.5283018867924528
ThinkUp,RESAMPLE_300_25_25,50,1280244939,50,53,50.0,28.301886792452827,$la$entropy$sexp$exp$lt$ld$Buggy,SVM,CFS,1.0,0.76,0.61,0.5396341224844705,1,0.618421052631579,0.5471698113207547
ThinkUp,RESAMPLE_25_25,50,1280244939,50,53,50.0,28.301886792452827,$entropy$sexp$la$ld$lt$age$Buggy,KNN,CFS,0.93,0.71,0.65,0.5046246574800954,1,0.6114035087719298,0.5283018867924528
