projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
Twig,RESAMPLE_150_25_25,50,1292492829,50,68,50.0,32.35294117647059,$ld$la$age$exp$sexp$Buggy,KNN,CFS,0.5,0.41,0.52,0.4585874589071518,2,0.5434782608695652,0.4411764705882353
Twig,RESAMPLE_150_25_25,50,1292492829,50,68,50.0,32.35294117647059,$ld$la$age$exp$sexp$Buggy,DT,CFS,0.91,0.78,0.56,0.5571089809544961,3,0.5632411067193676,0.5588235294117647
Twig,RESAMPLE_150_25_25,50,1292492829,50,68,50.0,32.35294117647059,$ld$la$age$exp$sexp$Buggy,LR,CFS,0.68,0.5,0.63,0.4190702026042221,3,0.5909090909090908,0.4411764705882353
Twig,RESAMPLE_150_25_25,50,1292492829,50,68,50.0,32.35294117647059,$ld$la$age$exp$sexp$Buggy,RF,CFS,0.23,0.22,0.27,0.5676118467855379,3,0.5049407114624506,0.3970588235294117
Twig,RESAMPLE_150_25_25,50,1292492829,50,68,50.0,32.35294117647059,$ld$la$age$exp$sexp$Buggy,NB,CFS,0.91,0.91,0.32,0.6488115504538372,2,0.4980237154150198,0.6470588235294118
Twig,RESAMPLE_150_25_25,50,1292492829,50,68,50.0,32.35294117647059,$ld$la$age$exp$sexp$Buggy,SVM,CFS,0.23,0.22,0.27,0.5676118467855379,1,0.5049407114624506,0.3970588235294117
Twig,RESAMPLE_300_25_25,50,1292492829,50,68,50.0,32.35294117647059,$la$ld$entropy$age$sexp$lt$exp$nuc$Buggy,KNN,CFS,0.82,0.61,0.67,0.44920387810831214,2,0.6047430830039526,0.4705882352941176
Twig,RESAMPLE_300_25_25,50,1292492829,50,68,50.0,32.35294117647059,$la$ld$entropy$age$sexp$lt$exp$nuc$Buggy,DT,CFS,0.73,0.76,0.52,0.5715341899498918,2,0.483201581027668,0.6029411764705882
Twig,RESAMPLE_300_25_25,50,1292492829,50,68,50.0,32.35294117647059,$la$ld$entropy$age$sexp$lt$exp$nuc$Buggy,LR,CFS,0.73,0.61,0.62,0.471641051152612,2,0.5592885375494071,0.5
Twig,RESAMPLE_300_25_25,50,1292492829,50,68,50.0,32.35294117647059,$la$ld$entropy$age$sexp$lt$exp$nuc$Buggy,RF,CFS,0.36,0.24,0.4,0.4806984722907229,5,0.5622529644268776,0.36764705882352944
Twig,RESAMPLE_300_25_25,50,1292492829,50,68,50.0,32.35294117647059,$la$ld$entropy$age$sexp$lt$exp$nuc$Buggy,NB,CFS,0.77,0.7,0.59,0.5174866373308236,2,0.5385375494071146,0.5441176470588235
Twig,RESAMPLE_300_25_25,50,1292492829,50,68,50.0,32.35294117647059,$la$ld$entropy$age$sexp$lt$exp$nuc$Buggy,SVM,CFS,0.59,0.46,0.58,0.4334555745399424,2,0.567193675889328,0.4411764705882353
Twig,RESAMPLE_25_25,50,1292492829,50,68,50.0,32.35294117647059,$lt$la$ndev$ld$age$entropy$exp$sexp$Buggy,KNN,CFS,0.55,0.43,0.55,0.4447738116571897,2,0.5553359683794467,0.4411764705882353
Twig,RESAMPLE_25_25,50,1292492829,50,68,50.0,32.35294117647059,$lt$la$ndev$ld$age$entropy$exp$sexp$Buggy,DT,CFS,0.59,0.24,0.62,0.3350662149039693,2,0.6758893280632411,0.29411764705882354
Twig,RESAMPLE_25_25,50,1292492829,50,68,50.0,32.35294117647059,$lt$la$ndev$ld$age$entropy$exp$sexp$Buggy,LR,CFS,0.73,0.52,0.66,0.4162882928428922,2,0.6027667984189723,0.4411764705882353
Twig,RESAMPLE_25_25,50,1292492829,50,68,50.0,32.35294117647059,$lt$la$ndev$ld$age$entropy$exp$sexp$Buggy,RF,CFS,0.68,0.33,0.68,0.3221586353297845,2,0.6778656126482212,0.3235294117647059
Twig,RESAMPLE_25_25,50,1292492829,50,68,50.0,32.35294117647059,$lt$la$ndev$ld$age$entropy$exp$sexp$Buggy,NB,CFS,0.86,0.87,0.41,0.6223900339092442,3,0.4970355731225297,0.6323529411764706
Twig,RESAMPLE_25_25,50,1292492829,50,68,50.0,32.35294117647059,$lt$la$ndev$ld$age$entropy$exp$sexp$Buggy,SVM,CFS,0.45,0.39,0.47,0.4746787091205081,1,0.5316205533596838,0.4411764705882353
Twig,RESAMPLE_150_25_25,50,1294566422,50,99,50.0,47.47474747474747,$ld$lt$la$age$exp$sexp$Buggy,KNN,CFS,0.77,0.27,0.76,0.2522509898939772,2,0.7483633387888707,0.2525252525252525
Twig,RESAMPLE_150_25_25,50,1294566422,50,99,50.0,47.47474747474747,$ld$lt$la$age$exp$sexp$Buggy,DT,CFS,0.85,0.42,0.78,0.317156164718489,3,0.7139934533551553,0.2929292929292929
Twig,RESAMPLE_150_25_25,50,1294566422,50,99,50.0,47.47474747474747,$ld$lt$la$age$exp$sexp$Buggy,LR,CFS,0.79,0.38,0.75,0.3108040755291807,2,0.7013093289689034,0.30303030303030304
