projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
WP-API,RESAMPLE_150_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ld$age$entropy$sexp$ndev$lt$la$nuc$nf$Buggy,KNN,CFS,0.22,0.33,0.25,0.597878954380134,7,0.4452947845804989,0.38565022421524653
WP-API,RESAMPLE_150_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ld$age$entropy$sexp$ndev$lt$la$nuc$nf$Buggy,DT,CFS,0.59,0.35,0.6,0.3807318820182225,22,0.620275888133031,0.3587443946188341
WP-API,RESAMPLE_150_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ld$age$entropy$sexp$ndev$lt$la$nuc$nf$Buggy,LR,CFS,0.52,0.29,0.55,0.3958895490353506,6,0.6164021164021164,0.3094170403587444
WP-API,RESAMPLE_150_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ld$age$entropy$sexp$ndev$lt$la$nuc$nf$Buggy,RF,CFS,0.56,0.31,0.58,0.381603077796022,9,0.6247165532879818,0.32286995515695066
WP-API,RESAMPLE_150_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ld$age$entropy$sexp$ndev$lt$la$nuc$nf$Buggy,NB,CFS,0.0,0.18,0.0,0.7182923343256703,35,0.4107142857142857,0.27802690582959644
WP-API,RESAMPLE_150_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ld$age$entropy$sexp$ndev$lt$la$nuc$nf$Buggy,SVM,CFS,0.19,0.16,0.22,0.5869151561060576,4,0.5135109599395313,0.2376681614349776
WP-API,RESAMPLE_300_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ns$age$ld$lt$la$Buggy,KNN,CFS,0.56,0.48,0.55,0.4650048489709405,20,0.5354308390022676,0.4798206278026906
WP-API,RESAMPLE_300_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ns$age$ld$lt$la$Buggy,DT,CFS,0.67,0.53,0.62,0.4400409558808307,31,0.5705782312925171,0.5022421524663677
WP-API,RESAMPLE_300_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ns$age$ld$lt$la$Buggy,LR,CFS,0.96,0.64,0.72,0.455322439725373,34,0.66005291005291,0.5695067264573991
WP-API,RESAMPLE_300_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ns$age$ld$lt$la$Buggy,RF,CFS,0.81,0.46,0.74,0.3534506877216872,24,0.6752645502645502,0.4304932735426009
WP-API,RESAMPLE_300_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ns$age$ld$lt$la$Buggy,NB,CFS,0.93,0.72,0.64,0.5149623446620971,36,0.6007180650037793,0.6457399103139013
WP-API,RESAMPLE_300_25_25,50,1403035725,50,223,50.0,12.10762331838565,$exp$ns$age$ld$lt$la$Buggy,SVM,CFS,0.93,0.67,0.68,0.4755007249752144,35,0.6287792894935752,0.5964125560538116
WP-API,RESAMPLE_25_25,50,1403035725,50,223,50.0,12.10762331838565,$sexp$age$exp$nf$la$fix$lt$entropy$Buggy,KNN,CFS,0.56,0.34,0.58,0.3964739697531877,13,0.6068594104308391,0.3542600896860987
WP-API,RESAMPLE_25_25,50,1403035725,50,223,50.0,12.10762331838565,$sexp$age$exp$nf$la$fix$lt$entropy$Buggy,DT,CFS,0.93,0.71,0.65,0.507784920060937,38,0.6058201058201058,0.6367713004484304
WP-API,RESAMPLE_25_25,50,1403035725,50,223,50.0,12.10762331838565,$sexp$age$exp$nf$la$fix$lt$entropy$Buggy,LR,CFS,0.89,0.61,0.71,0.4399940306921202,37,0.6383219954648526,0.5515695067264574
WP-API,RESAMPLE_25_25,50,1403035725,50,223,50.0,12.10762331838565,$sexp$age$exp$nf$la$fix$lt$entropy$Buggy,RF,CFS,0.74,0.52,0.67,0.4078944491808282,36,0.6127173091458806,0.4843049327354261
WP-API,RESAMPLE_25_25,50,1403035725,50,223,50.0,12.10762331838565,$sexp$age$exp$nf$la$fix$lt$entropy$Buggy,NB,CFS,0.85,0.71,0.61,0.515825530306701,37,0.5687830687830688,0.6457399103139013
WP-API,RESAMPLE_25_25,50,1403035725,50,223,50.0,12.10762331838565,$sexp$age$exp$nf$la$fix$lt$entropy$Buggy,SVM,CFS,0.7,0.46,0.66,0.3894564928773807,18,0.6197089947089947,0.4439461883408072
WP-API,RESAMPLE_150_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$exp$ld$lt$ndev$entropy$sexp$la$age$ns$nuc$Buggy,KNN,CFS,0.63,0.42,0.62,0.3986948953175048,1,0.6021039026316735,0.4152046783625731
WP-API,RESAMPLE_150_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$exp$ld$lt$ndev$entropy$sexp$la$age$ns$nuc$Buggy,DT,CFS,0.53,0.23,0.57,0.3716791387013011,4,0.6483682188633182,0.2690058479532164
WP-API,RESAMPLE_150_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$exp$ld$lt$ndev$entropy$sexp$la$age$ns$nuc$Buggy,LR,CFS,0.77,0.38,0.73,0.3149275913966841,4,0.6943417226151583,0.3576998050682261
WP-API,RESAMPLE_150_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$exp$ld$lt$ndev$entropy$sexp$la$age$ns$nuc$Buggy,RF,CFS,0.18,0.11,0.21,0.5848100421037379,2,0.5357268516856353,0.2202729044834308
WP-API,RESAMPLE_150_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$exp$ld$lt$ndev$entropy$sexp$la$age$ns$nuc$Buggy,NB,CFS,0.04,0.03,0.05,0.6811965650801077,7,0.501292499910243,0.18031189083820665
WP-API,RESAMPLE_150_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$exp$ld$lt$ndev$entropy$sexp$la$age$ns$nuc$Buggy,SVM,CFS,0.69,0.45,0.66,0.3864497795723028,2,0.6198650055649302,0.42787524366471735
WP-API,RESAMPLE_300_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$lt$la$nf$ld$age$ns$entropy$Buggy,KNN,CFS,0.81,0.48,0.73,0.36089000180231184,3,0.6692600438013858,0.4298245614035088
WP-API,RESAMPLE_300_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$lt$la$nf$ld$age$ns$entropy$Buggy,DT,CFS,0.04,0.02,0.05,0.6809512729874649,4,0.5070728467310524,0.1705653021442495
WP-API,RESAMPLE_300_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$lt$la$nf$ld$age$ns$entropy$Buggy,LR,CFS,0.74,0.29,0.73,0.2771287846005111,4,0.7233224428248304,0.2875243664717349
WP-API,RESAMPLE_300_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$lt$la$nf$ld$age$ns$entropy$Buggy,RF,CFS,0.35,0.12,0.4,0.4689276903978785,1,0.6137974365418447,0.2037037037037037
WP-API,RESAMPLE_300_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$lt$la$nf$ld$age$ns$entropy$Buggy,NB,CFS,0.96,0.7,0.67,0.4928186621382542,3,0.6333895810146124,0.5925925925925926
WP-API,RESAMPLE_300_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$lt$la$nf$ld$age$ns$entropy$Buggy,SVM,CFS,0.78,0.36,0.75,0.2991923927602885,4,0.7098014576526765,0.3401559454191033
WP-API,RESAMPLE_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$ld$age$lt$entropy$la$sexp$ns$exp$Buggy,KNN,CFS,0.78,0.6,0.66,0.4489483032390474,2,0.5930384518723297,0.5370370370370371
WP-API,RESAMPLE_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$ld$age$lt$entropy$la$sexp$ns$exp$Buggy,DT,CFS,0.49,0.28,0.52,0.4116875153319382,14,0.6043011524790866,0.31773879142300193
WP-API,RESAMPLE_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$ld$age$lt$entropy$la$sexp$ns$exp$Buggy,LR,CFS,0.68,0.35,0.67,0.336311446759662,3,0.6639428427817471,0.34502923976608185
WP-API,RESAMPLE_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$ld$age$lt$entropy$la$sexp$ns$exp$Buggy,RF,CFS,0.43,0.25,0.47,0.43965788137586187,1,0.5917423616845583,0.2962962962962963
WP-API,RESAMPLE_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$ld$age$lt$entropy$la$sexp$ns$exp$Buggy,NB,CFS,0.89,0.64,0.69,0.4606019998450929,3,0.6258176857071052,0.5584795321637427
WP-API,RESAMPLE_25_25,50,1426939384,50,1026,50.0,15.692007797270955,$ld$age$lt$entropy$la$sexp$ns$exp$Buggy,SVM,CFS,0.77,0.53,0.68,0.4088940652324439,1,0.6197752486267188,0.4834307992202729
WP-API,RESAMPLE_150_25_25,50,1428578147,50,89,50.0,21.348314606741575,$exp$la$ndev$ld$entropy$nuc$lt$age$Buggy,KNN,CFS,0.68,0.39,0.66,0.3524900721253241,0,0.6492481203007521,0.3707865168539326
WP-API,RESAMPLE_150_25_25,50,1428578147,50,89,50.0,21.348314606741575,$exp$la$ndev$ld$entropy$nuc$lt$age$Buggy,DT,CFS,0.53,0.24,0.56,0.3764015961301663,0,0.6417293233082706,0.2921348314606741
WP-API,RESAMPLE_150_25_25,50,1428578147,50,89,50.0,21.348314606741575,$exp$la$ndev$ld$entropy$nuc$lt$age$Buggy,LR,CFS,1.0,0.44,0.86,0.3131472888111853,0,0.7785714285714286,0.34831460674157305
WP-API,RESAMPLE_150_25_25,50,1428578147,50,89,50.0,21.348314606741575,$exp$la$ndev$ld$entropy$nuc$lt$age$Buggy,RF,CFS,0.42,0.06,0.47,0.4113668445099282,0,0.6819548872180451,0.16853932584269662
WP-API,RESAMPLE_150_25_25,50,1428578147,50,89,50.0,21.348314606741575,$exp$la$ndev$ld$entropy$nuc$lt$age$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.21348314606741567
WP-API,RESAMPLE_150_25_25,50,1428578147,50,89,50.0,21.348314606741575,$exp$la$ndev$ld$entropy$nuc$lt$age$Buggy,SVM,CFS,0.79,0.4,0.74,0.31962582001450474,0,0.6947368421052632,0.3595505617977528
WP-API,RESAMPLE_300_25_25,50,1428578147,50,89,50.0,21.348314606741575,$age$lt$entropy$ld$la$exp$sexp$ns$Buggy,KNN,CFS,0.95,0.43,0.84,0.3053224135976985,0,0.7593984962406015,0.34831460674157305
WP-API,RESAMPLE_300_25_25,50,1428578147,50,89,50.0,21.348314606741575,$age$lt$entropy$ld$la$exp$sexp$ns$Buggy,DT,CFS,0.68,0.27,0.69,0.29444563256865075,0,0.7063909774436089,0.2808988764044944
WP-API,RESAMPLE_300_25_25,50,1428578147,50,89,50.0,21.348314606741575,$age$lt$entropy$ld$la$exp$sexp$ns$Buggy,LR,CFS,1.0,0.91,0.33,0.6464976285134149,0,0.5428571428571429,0.7191011235955056
WP-API,RESAMPLE_300_25_25,50,1428578147,50,89,50.0,21.348314606741575,$age$lt$entropy$ld$la$exp$sexp$ns$Buggy,RF,CFS,0.79,0.37,0.75,0.30189444621701683,0,0.7090225563909776,0.33707865168539325
WP-API,RESAMPLE_300_25_25,50,1428578147,50,89,50.0,21.348314606741575,$age$lt$entropy$ld$la$exp$sexp$ns$Buggy,NB,CFS,0.95,0.54,0.78,0.3856578539674211,0,0.7022556390977444,0.4382022471910113
WP-API,RESAMPLE_300_25_25,50,1428578147,50,89,50.0,21.348314606741575,$age$lt$entropy$ld$la$exp$sexp$ns$Buggy,SVM,CFS,0.89,0.34,0.83,0.25360535563956016,0,0.7759398496240602,0.2921348314606741
WP-API,RESAMPLE_25_25,50,1428578147,50,89,50.0,21.348314606741575,$ld$age$ns$exp$entropy$lt$la$Buggy,KNN,CFS,0.68,0.26,0.69,0.2879630537667485,0,0.7135338345864661,0.2696629213483146
WP-API,RESAMPLE_25_25,50,1428578147,50,89,50.0,21.348314606741575,$ld$age$ns$exp$entropy$lt$la$Buggy,DT,CFS,0.74,0.21,0.75,0.2399692114722904,0,0.7612781954887219,0.2247191011235955
WP-API,RESAMPLE_25_25,50,1428578147,50,89,50.0,21.348314606741575,$ld$age$ns$exp$entropy$lt$la$Buggy,LR,CFS,1.0,0.54,0.81,0.38385796692984,0,0.7285714285714286,0.42696629213483145
WP-API,RESAMPLE_25_25,50,1428578147,50,89,50.0,21.348314606741575,$ld$age$ns$exp$entropy$lt$la$Buggy,RF,CFS,0.84,0.24,0.82,0.20482961182306186,0,0.7996240601503759,0.2247191011235955
WP-API,RESAMPLE_25_25,50,1428578147,50,89,50.0,21.348314606741575,$ld$age$ns$exp$entropy$lt$la$Buggy,NB,CFS,1.0,0.97,0.13,0.6869037302955032,0,0.5142857142857142,0.7640449438202247
WP-API,RESAMPLE_25_25,50,1428578147,50,89,50.0,21.348314606741575,$ld$age$ns$exp$entropy$lt$la$Buggy,SVM,CFS,1.0,0.96,0.17,0.6768022048499812,0,0.5214285714285714,0.7528089887640449
WP-API,RESAMPLE_150_25_25,50,1430246124,50,206,50.0,17.475728155339805,$age$lt$ndev$ld$entropy$exp$la$fix$sexp$Buggy,KNN,CFS,0.58,0.46,0.57,0.438252291638606,6,0.5622549019607844,0.4514563106796117
WP-API,RESAMPLE_150_25_25,50,1430246124,50,206,50.0,17.475728155339805,$age$lt$ndev$ld$entropy$exp$la$fix$sexp$Buggy,DT,CFS,0.25,0.22,0.29,0.5522093091457861,1,0.5161764705882352,0.3106796116504854
WP-API,RESAMPLE_150_25_25,50,1430246124,50,206,50.0,17.475728155339805,$age$lt$ndev$ld$entropy$exp$la$fix$sexp$Buggy,LR,CFS,0.97,0.91,0.33,0.6450141408647585,6,0.5302287581699346,0.7572815533980582
WP-API,RESAMPLE_150_25_25,50,1430246124,50,206,50.0,17.475728155339805,$age$lt$ndev$ld$entropy$exp$la$fix$sexp$Buggy,RF,CFS,0.53,0.42,0.54,0.44577062089399655,1,0.5550653594771241,0.4271844660194175
WP-API,RESAMPLE_150_25_25,50,1430246124,50,206,50.0,17.475728155339805,$age$lt$ndev$ld$entropy$exp$la$fix$sexp$Buggy,NB,CFS,0.0,0.03,0.0,0.7074125571062173,5,0.4852941176470588,0.19902912621359226
WP-API,RESAMPLE_150_25_25,50,1430246124,50,206,50.0,17.475728155339805,$age$lt$ndev$ld$entropy$exp$la$fix$sexp$Buggy,SVM,CFS,0.53,0.38,0.55,0.42964380525430096,4,0.5727124183006536,0.3980582524271845
WP-API,RESAMPLE_300_25_25,50,1430246124,50,206,50.0,17.475728155339805,$la$ns$ld$lt$nf$exp$age$ndev$nuc$entropy$Buggy,KNN,CFS,0.78,0.31,0.76,0.2707212107346714,1,0.7330065359477124,0.2961165048543689
WP-API,RESAMPLE_300_25_25,50,1430246124,50,206,50.0,17.475728155339805,$la$ns$ld$lt$nf$exp$age$ndev$nuc$entropy$Buggy,DT,CFS,0.89,0.44,0.8,0.3217004485643731,3,0.7238562091503268,0.383495145631068
WP-API,RESAMPLE_300_25_25,50,1430246124,50,206,50.0,17.475728155339805,$la$ns$ld$lt$nf$exp$age$ndev$nuc$entropy$Buggy,LR,CFS,0.94,0.59,0.75,0.4177961111587571,6,0.6781045751633987,0.4951456310679612
WP-API,RESAMPLE_300_25_25,50,1430246124,50,206,50.0,17.475728155339805,$la$ns$ld$lt$nf$exp$age$ndev$nuc$entropy$Buggy,RF,CFS,0.56,0.16,0.6,0.3337332600238853,0,0.6983660130718954,0.2087378640776699
