projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
ajenti,RESAMPLE_150_25_25,50,1310727012,50,18,50.0,61.111111111111114,$la$sexp$lt$exp$ndev$entropy$nuc$ld$age$ns$Buggy,KNN,CFS,0.82,0.57,0.69,0.4240214991510261,0,0.6233766233766235,0.3333333333333333
ajenti,RESAMPLE_150_25_25,50,1310727012,50,18,50.0,61.111111111111114,$la$sexp$lt$exp$ndev$entropy$nuc$ld$age$ns$Buggy,DT,CFS,0.73,0.29,0.73,0.2792962749039813,0,0.7207792207792209,0.2777777777777778
ajenti,RESAMPLE_150_25_25,50,1310727012,50,18,50.0,61.111111111111114,$la$sexp$lt$exp$ndev$entropy$nuc$ld$age$ns$Buggy,LR,CFS,1.0,0.71,0.67,0.5050762722761053,0,0.6428571428571428,0.2777777777777778
ajenti,RESAMPLE_150_25_25,50,1310727012,50,18,50.0,61.111111111111114,$la$sexp$lt$exp$ndev$entropy$nuc$ld$age$ns$Buggy,RF,CFS,0.36,0.57,0.37,0.6047682572402623,0,0.3961038961038961,0.6111111111111112
ajenti,RESAMPLE_150_25_25,50,1310727012,50,18,50.0,61.111111111111114,$la$sexp$lt$exp$ndev$entropy$nuc$ld$age$ns$Buggy,NB,CFS,1.0,0.86,0.45,0.6060915267313264,0,0.5714285714285714,0.3333333333333333
ajenti,RESAMPLE_150_25_25,50,1310727012,50,18,50.0,61.111111111111114,$la$sexp$lt$exp$ndev$entropy$nuc$ld$age$ns$Buggy,SVM,CFS,1.0,0.57,0.79,0.40406101782088427,0,0.7142857142857143,0.2222222222222222
ajenti,RESAMPLE_300_25_25,50,1310727012,50,18,50.0,61.111111111111114,$age$lt$sexp$entropy$la$exp$Buggy,KNN,CFS,0.82,0.57,0.69,0.4240214991510261,0,0.6233766233766235,0.3333333333333333
ajenti,RESAMPLE_300_25_25,50,1310727012,50,18,50.0,61.111111111111114,$age$lt$sexp$entropy$la$exp$Buggy,DT,CFS,0.45,0.29,0.49,0.4354040159542911,0,0.5844155844155845,0.4444444444444444
ajenti,RESAMPLE_300_25_25,50,1310727012,50,18,50.0,61.111111111111114,$age$lt$sexp$entropy$la$exp$Buggy,LR,CFS,1.0,0.86,0.45,0.6060915267313264,0,0.5714285714285714,0.3333333333333333
ajenti,RESAMPLE_300_25_25,50,1310727012,50,18,50.0,61.111111111111114,$age$lt$sexp$entropy$la$exp$Buggy,RF,CFS,0.73,0.0,0.77,0.1928473039599675,0,0.8636363636363636,0.16666666666666666
ajenti,RESAMPLE_300_25_25,50,1310727012,50,18,50.0,61.111111111111114,$age$lt$sexp$entropy$la$exp$Buggy,NB,CFS,1.0,0.86,0.45,0.6060915267313264,0,0.5714285714285714,0.3333333333333333
ajenti,RESAMPLE_300_25_25,50,1310727012,50,18,50.0,61.111111111111114,$age$lt$sexp$entropy$la$exp$Buggy,SVM,CFS,0.82,0.43,0.75,0.3291893988477032,0,0.6948051948051949,0.2777777777777778
ajenti,RESAMPLE_25_25,50,1310727012,50,18,50.0,61.111111111111114,$ld$age$la$exp$sexp$lt$Buggy,KNN,CFS,0.82,0.71,0.6,0.5211822775537952,0,0.551948051948052,0.3888888888888889
ajenti,RESAMPLE_25_25,50,1310727012,50,18,50.0,61.111111111111114,$ld$age$la$exp$sexp$lt$Buggy,DT,CFS,0.82,0.14,0.83,0.16350231574044374,0,0.8376623376623378,0.16666666666666666
ajenti,RESAMPLE_25_25,50,1310727012,50,18,50.0,61.111111111111114,$ld$age$la$exp$sexp$lt$Buggy,LR,CFS,0.91,0.86,0.43,0.6094909106627175,0,0.525974025974026,0.3888888888888889
ajenti,RESAMPLE_25_25,50,1310727012,50,18,50.0,61.111111111111114,$ld$age$la$exp$sexp$lt$Buggy,RF,CFS,0.64,0.43,0.62,0.3974323051454378,0,0.6038961038961038,0.3888888888888889
ajenti,RESAMPLE_25_25,50,1310727012,50,18,50.0,61.111111111111114,$ld$age$la$exp$sexp$lt$Buggy,NB,CFS,1.0,0.86,0.45,0.6060915267313264,0,0.5714285714285714,0.3333333333333333
ajenti,RESAMPLE_25_25,50,1310727012,50,18,50.0,61.111111111111114,$ld$age$la$exp$sexp$lt$Buggy,SVM,CFS,0.82,0.57,0.69,0.4240214991510261,0,0.6233766233766235,0.3333333333333333
ajenti,RESAMPLE_150_25_25,50,1312988839,50,17,50.0,58.82352941176471,$sexp$ns$la$ndev$lt$exp$entropy$age$Buggy,KNN,CFS,0.9,0.29,0.85,0.21404748662530992,0,0.8071428571428572,0.17647058823529413
ajenti,RESAMPLE_150_25_25,50,1312988839,50,17,50.0,58.82352941176471,$sexp$ns$la$ndev$lt$exp$entropy$age$Buggy,DT,CFS,0.9,0.57,0.74,0.4102015432960351,1,0.6642857142857143,0.29411764705882354
ajenti,RESAMPLE_150_25_25,50,1312988839,50,17,50.0,58.82352941176471,$sexp$ns$la$ndev$lt$exp$entropy$age$Buggy,LR,CFS,0.9,0.29,0.85,0.21404748662530992,0,0.8071428571428572,0.17647058823529413
ajenti,RESAMPLE_150_25_25,50,1312988839,50,17,50.0,58.82352941176471,$sexp$ns$la$ndev$lt$exp$entropy$age$Buggy,RF,CFS,0.9,0.57,0.74,0.4102015432960351,1,0.6642857142857143,0.29411764705882354
ajenti,RESAMPLE_150_25_25,50,1312988839,50,17,50.0,58.82352941176471,$sexp$ns$la$ndev$lt$exp$entropy$age$Buggy,NB,CFS,0.9,0.57,0.74,0.4102015432960351,1,0.6642857142857143,0.29411764705882354
