projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
android,RESAMPLE_150_25_25,50,1372270210,50,160,50.0,21.875,$lt$entropy$la$ld$age$ns$exp$sexp$nuc$Buggy,KNN,CFS,0.66,0.2,0.68,0.2806697529198357,4,0.7285714285714285,0.23125
android,RESAMPLE_150_25_25,50,1372270210,50,160,50.0,21.875,$lt$entropy$la$ld$age$ns$exp$sexp$nuc$Buggy,DT,CFS,0.06,0.06,0.07,0.6682348359060363,4,0.4965714285714285,0.25625
android,RESAMPLE_150_25_25,50,1372270210,50,160,50.0,21.875,$lt$entropy$la$ld$age$ns$exp$sexp$nuc$Buggy,LR,CFS,0.77,0.3,0.75,0.26444365936734393,5,0.7377142857142857,0.28125
android,RESAMPLE_150_25_25,50,1372270210,50,160,50.0,21.875,$lt$entropy$la$ld$age$ns$exp$sexp$nuc$Buggy,RF,CFS,0.34,0.12,0.39,0.4723540698956015,0,0.6114285714285714,0.2375
android,RESAMPLE_150_25_25,50,1372270210,50,160,50.0,21.875,$lt$entropy$la$ld$age$ns$exp$sexp$nuc$Buggy,NB,CFS,0.83,0.46,0.75,0.3497740378458933,8,0.6822857142857144,0.4
android,RESAMPLE_150_25_25,50,1372270210,50,160,50.0,21.875,$lt$entropy$la$ld$age$ns$exp$sexp$nuc$Buggy,SVM,CFS,0.63,0.17,0.66,0.2882561219414684,2,0.7302857142857142,0.2125
android,RESAMPLE_300_25_25,50,1372270210,50,160,50.0,21.875,$entropy$ld$age$nf$la$ns$Buggy,KNN,CFS,0.66,0.29,0.67,0.31661887215401674,6,0.6845714285714285,0.3
android,RESAMPLE_300_25_25,50,1372270210,50,160,50.0,21.875,$entropy$ld$age$nf$la$ns$Buggy,DT,CFS,0.51,0.17,0.55,0.3634159925945326,3,0.6731428571428572,0.2375
android,RESAMPLE_300_25_25,50,1372270210,50,160,50.0,21.875,$entropy$ld$age$nf$la$ns$Buggy,LR,CFS,0.69,0.28,0.7,0.2976369518424095,4,0.7028571428571428,0.2875
android,RESAMPLE_300_25_25,50,1372270210,50,160,50.0,21.875,$entropy$ld$age$nf$la$ns$Buggy,RF,CFS,0.57,0.21,0.6,0.33685120556987397,3,0.6817142857142857,0.25625
android,RESAMPLE_300_25_25,50,1372270210,50,160,50.0,21.875,$entropy$ld$age$nf$la$ns$Buggy,NB,CFS,0.66,0.27,0.67,0.3094632614771609,6,0.6925714285714285,0.2875
android,RESAMPLE_300_25_25,50,1372270210,50,160,50.0,21.875,$entropy$ld$age$nf$la$ns$Buggy,SVM,CFS,0.63,0.24,0.65,0.3126972846647932,3,0.6942857142857143,0.26875
android,RESAMPLE_25_25,50,1372270210,50,160,50.0,21.875,$la$lt$ld$age$exp$Buggy,KNN,CFS,0.71,0.38,0.69,0.3339226355469366,6,0.6691428571428573,0.35625
android,RESAMPLE_25_25,50,1372270210,50,160,50.0,21.875,$la$lt$ld$age$exp$Buggy,DT,CFS,0.26,0.22,0.3,0.5486404718455783,3,0.5165714285714286,0.3375
android,RESAMPLE_25_25,50,1372270210,50,160,50.0,21.875,$la$lt$ld$age$exp$Buggy,LR,CFS,0.8,0.41,0.75,0.3212973700483712,8,0.6960000000000001,0.3625
android,RESAMPLE_25_25,50,1372270210,50,160,50.0,21.875,$la$lt$ld$age$exp$Buggy,RF,CFS,0.63,0.3,0.64,0.3358386395826643,4,0.6662857142857143,0.3125
android,RESAMPLE_25_25,50,1372270210,50,160,50.0,21.875,$la$lt$ld$age$exp$Buggy,NB,CFS,1.0,0.6,0.77,0.4242640687119285,11,0.7,0.46875
android,RESAMPLE_25_25,50,1372270210,50,160,50.0,21.875,$la$lt$ld$age$exp$Buggy,SVM,CFS,0.63,0.28,0.65,0.32890666128361506,3,0.6742857142857143,0.3
android,RESAMPLE_150_25_25,50,1375381721,50,25,50.0,24.0,$la$ld$age$entropy$ndev$lt$exp$Buggy,KNN,CFS,0.83,0.16,0.83,0.1623399607308925,1,0.8377192982456141,0.16
android,RESAMPLE_150_25_25,50,1375381721,50,25,50.0,24.0,$la$ld$age$entropy$ndev$lt$exp$Buggy,DT,CFS,0.67,0.42,0.65,0.37973440038444495,0,0.6228070175438596,0.4
android,RESAMPLE_150_25_25,50,1375381721,50,25,50.0,24.0,$la$ld$age$entropy$ndev$lt$exp$Buggy,LR,CFS,1.0,0.26,0.93,0.1860807318911967,0,0.8684210526315791,0.2
android,RESAMPLE_150_25_25,50,1375381721,50,25,50.0,24.0,$la$ld$age$entropy$ndev$lt$exp$Buggy,RF,CFS,0.67,0.05,0.71,0.23862228962693766,0,0.8070175438596492,0.12
android,RESAMPLE_150_25_25,50,1375381721,50,25,50.0,24.0,$la$ld$age$entropy$ndev$lt$exp$Buggy,NB,CFS,0.83,0.37,0.78,0.2859299300527477,2,0.7324561403508772,0.32
android,RESAMPLE_150_25_25,50,1375381721,50,25,50.0,24.0,$la$ld$age$entropy$ndev$lt$exp$Buggy,SVM,CFS,1.0,0.26,0.93,0.1860807318911967,1,0.8684210526315791,0.2
