projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
bitcoin,RESAMPLE_150_25_25,50,1290717717,50,18,50.0,50.0,$ld$nf$lt$age$la$ns$entropy$Buggy,KNN,CFS,0.89,0.33,0.84,0.24845199749997665,2,0.7777777777777778,0.2222222222222222
bitcoin,RESAMPLE_150_25_25,50,1290717717,50,18,50.0,50.0,$ld$nf$lt$age$la$ns$entropy$Buggy,DT,CFS,0.89,0.33,0.84,0.24845199749997665,2,0.7777777777777778,0.2222222222222222
bitcoin,RESAMPLE_150_25_25,50,1290717717,50,18,50.0,50.0,$ld$nf$lt$age$la$ns$entropy$Buggy,LR,CFS,1.0,1.0,0.0,0.7071067811865475,3,0.5,0.5
bitcoin,RESAMPLE_150_25_25,50,1290717717,50,18,50.0,50.0,$ld$nf$lt$age$la$ns$entropy$Buggy,RF,CFS,1.0,0.22,0.95,0.15713484026367722,1,0.8888888888888888,0.1111111111111111
bitcoin,RESAMPLE_150_25_25,50,1290717717,50,18,50.0,50.0,$ld$nf$lt$age$la$ns$entropy$Buggy,NB,CFS,1.0,1.0,0.0,0.7071067811865475,3,0.5,0.5
bitcoin,RESAMPLE_150_25_25,50,1290717717,50,18,50.0,50.0,$ld$nf$lt$age$la$ns$entropy$Buggy,SVM,CFS,0.67,0.22,0.69,0.28327886186626583,1,0.7222222222222222,0.2777777777777778
bitcoin,RESAMPLE_300_25_25,50,1290717717,50,18,50.0,50.0,$ld$age$ndev$lt$entropy$exp$sexp$la$nuc$Buggy,KNN,CFS,0.89,0.33,0.84,0.24845199749997665,2,0.7777777777777778,0.2222222222222222
bitcoin,RESAMPLE_300_25_25,50,1290717717,50,18,50.0,50.0,$ld$age$ndev$lt$entropy$exp$sexp$la$nuc$Buggy,DT,CFS,0.44,0.22,0.48,0.4230985058813282,1,0.6111111111111112,0.3888888888888889
bitcoin,RESAMPLE_300_25_25,50,1290717717,50,18,50.0,50.0,$ld$age$ndev$lt$entropy$exp$sexp$la$nuc$Buggy,LR,CFS,0.78,0.33,0.76,0.2832788618662658,2,0.7222222222222223,0.2777777777777778
bitcoin,RESAMPLE_300_25_25,50,1290717717,50,18,50.0,50.0,$ld$age$ndev$lt$entropy$exp$sexp$la$nuc$Buggy,RF,CFS,0.33,0.22,0.37,0.4969039949999533,1,0.5555555555555556,0.4444444444444444
