projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
brackets,RESAMPLE_150_25_25,50,1328953236,50,247,50.0,23.07692307692308,$age$ns$ndev$la$ld$lt$Buggy,KNN,CFS,0.89,0.37,0.82,0.2745179608027936,2,0.7605263157894737,0.3117408906882591
brackets,RESAMPLE_150_25_25,50,1328953236,50,247,50.0,23.07692307692308,$age$ns$ndev$la$ld$lt$Buggy,DT,CFS,0.72,0.21,0.73,0.2481076425215956,0,0.7543859649122808,0.2267206477732793
brackets,RESAMPLE_150_25_25,50,1328953236,50,247,50.0,23.07692307692308,$age$ns$ndev$la$ld$lt$Buggy,LR,CFS,0.86,0.33,0.81,0.2546006353750809,0,0.7640350877192983,0.2874493927125506
brackets,RESAMPLE_150_25_25,50,1328953236,50,247,50.0,23.07692307692308,$age$ns$ndev$la$ld$lt$Buggy,RF,CFS,0.68,0.24,0.69,0.2813698190447086,0,0.7210526315789474,0.2591093117408907
brackets,RESAMPLE_150_25_25,50,1328953236,50,247,50.0,23.07692307692308,$age$ns$ndev$la$ld$lt$Buggy,NB,CFS,0.88,0.37,0.82,0.2746048393420794,1,0.7543859649122807,0.3117408906882591
brackets,RESAMPLE_150_25_25,50,1328953236,50,247,50.0,23.07692307692308,$age$ns$ndev$la$ld$lt$Buggy,SVM,CFS,1.0,0.47,0.85,0.3312237027663301,2,0.7657894736842106,0.3603238866396761
brackets,RESAMPLE_300_25_25,50,1328953236,50,247,50.0,23.07692307692308,$la$nf$entropy$ld$ns$age$lt$ndev$nuc$exp$Buggy,KNN,CFS,0.49,0.13,0.54,0.3706781321090904,1,0.6824561403508772,0.2145748987854251
brackets,RESAMPLE_300_25_25,50,1328953236,50,247,50.0,23.07692307692308,$la$nf$entropy$ld$ns$age$lt$ndev$nuc$exp$Buggy,DT,CFS,0.61,0.22,0.64,0.3126771581557872,2,0.6991228070175439,0.2550607287449393
brackets,RESAMPLE_300_25_25,50,1328953236,50,247,50.0,23.07692307692308,$la$nf$entropy$ld$ns$age$lt$ndev$nuc$exp$Buggy,LR,CFS,0.7,0.23,0.71,0.2670011752365825,0,0.7350877192982456,0.24696356275303644
brackets,RESAMPLE_300_25_25,50,1328953236,50,247,50.0,23.07692307692308,$la$nf$entropy$ld$ns$age$lt$ndev$nuc$exp$Buggy,RF,CFS,0.74,0.22,0.75,0.24064203136114384,1,0.7605263157894737,0.2267206477732793
