projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
canal,RESAMPLE_150_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$la$ld$nuc$age$sexp$nf$exp$Buggy,KNN,CFS,0.64,0.4,0.63,0.3802806706744307,1,0.6200686106346484,0.38372093023255816
canal,RESAMPLE_150_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$la$ld$nuc$age$sexp$nf$exp$Buggy,DT,CFS,0.27,0.28,0.31,0.5518266482492452,2,0.4948542024013722,0.4534883720930232
canal,RESAMPLE_150_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$la$ld$nuc$age$sexp$nf$exp$Buggy,LR,CFS,0.7,0.19,0.72,0.2524155523687148,0,0.7541452258433391,0.2325581395348837
canal,RESAMPLE_150_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$la$ld$nuc$age$sexp$nf$exp$Buggy,RF,CFS,0.85,0.45,0.77,0.3376477609269312,2,0.6978273299028016,0.3372093023255814
canal,RESAMPLE_150_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$la$ld$nuc$age$sexp$nf$exp$Buggy,NB,CFS,0.97,0.51,0.81,0.3608609396663061,2,0.7301315037164093,0.32558139534883723
canal,RESAMPLE_150_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$la$ld$nuc$age$sexp$nf$exp$Buggy,SVM,CFS,0.45,0.19,0.49,0.40811794787634265,0,0.6329331046312179,0.32558139534883723
canal,RESAMPLE_300_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$ns$la$ld$age$sexp$nf$Buggy,KNN,CFS,0.73,0.42,0.69,0.3512004243135343,0,0.6560891938250428,0.36046511627906974
canal,RESAMPLE_300_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$ns$la$ld$age$sexp$nf$Buggy,DT,CFS,0.73,0.21,0.74,0.2423385988508077,1,0.7598627787307033,0.2325581395348837
canal,RESAMPLE_300_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$ns$la$ld$age$sexp$nf$Buggy,LR,CFS,0.73,0.25,0.73,0.2593683911295079,0,0.7409948542024014,0.2558139534883721
canal,RESAMPLE_300_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$ns$la$ld$age$sexp$nf$Buggy,RF,CFS,0.76,0.32,0.74,0.2843001070881033,1,0.7184105202973128,0.2906976744186047
canal,RESAMPLE_300_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$ns$la$ld$age$sexp$nf$Buggy,NB,CFS,0.91,0.51,0.78,0.3659148977003189,2,0.6998284734133791,0.3488372093023256
canal,RESAMPLE_300_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$ns$la$ld$age$sexp$nf$Buggy,SVM,CFS,0.7,0.32,0.7,0.3120183913011246,0,0.6881074899942825,0.313953488372093
canal,RESAMPLE_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$nf$la$age$ns$exp$ld$Buggy,KNN,CFS,0.79,0.3,0.77,0.2608936987445561,0,0.7429959977129789,0.26744186046511625
canal,RESAMPLE_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$nf$la$age$ns$exp$ld$Buggy,DT,CFS,0.85,0.34,0.8,0.2629642368883122,2,0.7544311034877074,0.26744186046511625
canal,RESAMPLE_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$nf$la$age$ns$exp$ld$Buggy,LR,CFS,0.76,0.21,0.77,0.22566052048559254,0,0.7750142938822184,0.22093023255813954
canal,RESAMPLE_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$nf$la$age$ns$exp$ld$Buggy,RF,CFS,0.88,0.36,0.82,0.2675891106405473,1,0.7601486563750716,0.26744186046511625
canal,RESAMPLE_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$nf$la$age$ns$exp$ld$Buggy,NB,CFS,0.97,0.66,0.71,0.4674486759273813,3,0.6546598056032018,0.4186046511627907
canal,RESAMPLE_25_25,50,1532105109,50,86,50.0,38.37209302325581,$lt$nf$la$age$ns$exp$ld$Buggy,SVM,CFS,0.76,0.32,0.74,0.2843001070881033,0,0.7184105202973128,0.2906976744186047
canal,RESAMPLE_150_25_25,50,1533667883,50,49,50.0,24.489795918367342,$la$ns$entropy$age$nf$lt$ld$Buggy,KNN,CFS,0.67,0.27,0.68,0.30344450077656376,0,0.6981981981981981,0.2857142857142857
canal,RESAMPLE_150_25_25,50,1533667883,50,49,50.0,24.489795918367342,$la$ns$entropy$age$nf$lt$ld$Buggy,DT,CFS,0.33,0.19,0.37,0.4900188739990059,3,0.572072072072072,0.30612244897959184
canal,RESAMPLE_150_25_25,50,1533667883,50,49,50.0,24.489795918367342,$la$ns$entropy$age$nf$lt$ld$Buggy,LR,CFS,0.67,0.22,0.69,0.28094533566689506,0,0.7252252252252251,0.24489795918367346
canal,RESAMPLE_150_25_25,50,1533667883,50,49,50.0,24.489795918367342,$la$ns$entropy$age$nf$lt$ld$Buggy,RF,CFS,0.5,0.19,0.54,0.3780162359648476,0,0.6554054054054054,0.2653061224489796
canal,RESAMPLE_150_25_25,50,1533667883,50,49,50.0,24.489795918367342,$la$ns$entropy$age$nf$lt$ld$Buggy,NB,CFS,0.75,0.43,0.71,0.3531981091536521,0,0.6587837837837838,0.3877551020408163
