projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
capybara,RESAMPLE_150_25_25,50,1278193653,50,51,50.0,11.764705882352944,$entropy$ns$la$ld$age$nf$lt$Buggy,KNN,CFS,1.0,0.27,0.93,0.18856180831641267,2,0.8666666666666667,0.2352941176470588
capybara,RESAMPLE_150_25_25,50,1278193653,50,51,50.0,11.764705882352944,$entropy$ns$la$ld$age$nf$lt$Buggy,DT,CFS,0.83,0.22,0.82,0.1964185503295965,2,0.8055555555555556,0.21568627450980396
capybara,RESAMPLE_150_25_25,50,1278193653,50,51,50.0,11.764705882352944,$entropy$ns$la$ld$age$nf$lt$Buggy,LR,CFS,1.0,0.27,0.93,0.18856180831641267,2,0.8666666666666667,0.2352941176470588
capybara,RESAMPLE_150_25_25,50,1278193653,50,51,50.0,11.764705882352944,$entropy$ns$la$ld$age$nf$lt$Buggy,RF,CFS,0.83,0.18,0.83,0.1723118046585647,0,0.8277777777777778,0.17647058823529413
capybara,RESAMPLE_150_25_25,50,1278193653,50,51,50.0,11.764705882352944,$entropy$ns$la$ld$age$nf$lt$Buggy,NB,CFS,0.83,0.38,0.78,0.2919707409660203,2,0.7277777777777779,0.35294117647058826
capybara,RESAMPLE_150_25_25,50,1278193653,50,51,50.0,11.764705882352944,$entropy$ns$la$ld$age$nf$lt$Buggy,SVM,CFS,0.83,0.27,0.81,0.22236106773543884,2,0.7833333333333334,0.2549019607843137
capybara,RESAMPLE_300_25_25,50,1278193653,50,51,50.0,11.764705882352944,$lt$ns$la$fix$entropy$ld$age$nuc$Buggy,KNN,CFS,0.83,0.18,0.83,0.1723118046585647,0,0.8277777777777778,0.17647058823529413
capybara,RESAMPLE_300_25_25,50,1278193653,50,51,50.0,11.764705882352944,$lt$ns$la$fix$entropy$ld$age$nuc$Buggy,DT,CFS,0.5,0.33,0.53,0.4249182927993987,4,0.5833333333333334,0.35294117647058826
capybara,RESAMPLE_300_25_25,50,1278193653,50,51,50.0,11.764705882352944,$lt$ns$la$fix$entropy$ld$age$nuc$Buggy,LR,CFS,1.0,0.24,0.94,0.17284832429004493,2,0.8777777777777778,0.21568627450980396
capybara,RESAMPLE_300_25_25,50,1278193653,50,51,50.0,11.764705882352944,$lt$ns$la$fix$entropy$ld$age$nuc$Buggy,RF,CFS,0.33,0.31,0.37,0.5202088849208722,4,0.5111111111111111,0.35294117647058826
