projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
curl,RESAMPLE_150_25_25,50,971704325,50,54,50.0,22.222222222222218,$ld$age$entropy$la$exp$ns$lt$sexp$nuc$ndev$Buggy,KNN,CFS,0.58,0.67,0.5,0.5559026693385971,2,0.4583333333333334,0.6111111111111112
curl,RESAMPLE_150_25_25,50,971704325,50,54,50.0,22.222222222222218,$ld$age$entropy$la$exp$ns$lt$sexp$nuc$ndev$Buggy,DT,CFS,0.75,0.33,0.73,0.2946278254943948,0,0.7083333333333334,0.3148148148148148
curl,RESAMPLE_150_25_25,50,971704325,50,54,50.0,22.222222222222218,$ld$age$entropy$la$exp$ns$lt$sexp$nuc$ndev$Buggy,LR,CFS,0.75,0.38,0.72,0.32219925244581804,2,0.6845238095238095,0.35185185185185186
curl,RESAMPLE_150_25_25,50,971704325,50,54,50.0,22.222222222222218,$ld$age$entropy$la$exp$ns$lt$sexp$nuc$ndev$Buggy,RF,CFS,0.75,0.5,0.68,0.3952847075210474,1,0.625,0.4444444444444444
curl,RESAMPLE_150_25_25,50,971704325,50,54,50.0,22.222222222222218,$ld$age$entropy$la$exp$ns$lt$sexp$nuc$ndev$Buggy,NB,CFS,0.33,0.1,0.38,0.4761904761904762,0,0.6190476190476191,0.2222222222222222
curl,RESAMPLE_150_25_25,50,971704325,50,54,50.0,22.222222222222218,$ld$age$entropy$la$exp$ns$lt$sexp$nuc$ndev$Buggy,SVM,CFS,0.83,0.69,0.62,0.5022624549935473,3,0.5714285714285715,0.5740740740740741
curl,RESAMPLE_300_25_25,50,971704325,50,54,50.0,22.222222222222218,$lt$la$entropy$exp$ld$sexp$age$nuc$Buggy,KNN,CFS,0.67,0.36,0.66,0.3454432887749264,2,0.6547619047619047,0.35185185185185186
curl,RESAMPLE_300_25_25,50,971704325,50,54,50.0,22.222222222222218,$lt$la$entropy$exp$ld$sexp$age$nuc$Buggy,DT,CFS,0.83,0.52,0.72,0.388686374221774,2,0.6547619047619048,0.4444444444444444
curl,RESAMPLE_300_25_25,50,971704325,50,54,50.0,22.222222222222218,$lt$la$entropy$exp$ld$sexp$age$nuc$Buggy,LR,CFS,0.67,0.36,0.66,0.3454432887749264,2,0.6547619047619047,0.35185185185185186
curl,RESAMPLE_300_25_25,50,971704325,50,54,50.0,22.222222222222218,$lt$la$entropy$exp$ld$sexp$age$nuc$Buggy,RF,CFS,0.83,0.67,0.64,0.485912657903775,3,0.5833333333333335,0.5555555555555556
