projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
devise,RESAMPLE_150_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$sexp$nf$exp$nuc$la$Buggy,KNN,CFS,0.67,0.42,0.65,0.3785526196840453,6,0.6238738738738738,0.3979591836734694
devise,RESAMPLE_150_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$sexp$nf$exp$nuc$la$Buggy,DT,CFS,0.54,0.34,0.56,0.40261883284279537,0,0.6019144144144144,0.3673469387755102
devise,RESAMPLE_150_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$sexp$nf$exp$nuc$la$Buggy,LR,CFS,0.67,0.41,0.65,0.3711230616945221,0,0.6306306306306305,0.3877551020408163
devise,RESAMPLE_150_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$sexp$nf$exp$nuc$la$Buggy,RF,CFS,0.29,0.27,0.33,0.5360886727506355,2,0.5106981981981983,0.3775510204081632
devise,RESAMPLE_150_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$sexp$nf$exp$nuc$la$Buggy,NB,CFS,0.58,0.55,0.55,0.4901974122355419,0,0.5146396396396397,0.5204081632653061
devise,RESAMPLE_150_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$sexp$nf$exp$nuc$la$Buggy,SVM,CFS,0.54,0.36,0.56,0.4142437772962321,0,0.5884009009009008,0.3877551020408163
devise,RESAMPLE_300_25_25,50,1280175928,50,98,50.0,24.489795918367342,$lt$entropy$ns$la$ld$age$exp$nuc$Buggy,KNN,CFS,0.5,0.32,0.53,0.4214180035003426,2,0.5878378378378379,0.3673469387755102
devise,RESAMPLE_300_25_25,50,1280175928,50,98,50.0,24.489795918367342,$lt$entropy$ns$la$ld$age$exp$nuc$Buggy,DT,CFS,0.46,0.45,0.48,0.49612022962352703,3,0.5061936936936937,0.4693877551020408
devise,RESAMPLE_300_25_25,50,1280175928,50,98,50.0,24.489795918367342,$lt$entropy$ns$la$ld$age$exp$nuc$Buggy,LR,CFS,0.54,0.39,0.55,0.426408665117778,0,0.5748873873873873,0.4081632653061225
devise,RESAMPLE_300_25_25,50,1280175928,50,98,50.0,24.489795918367342,$lt$entropy$ns$la$ld$age$exp$nuc$Buggy,RF,CFS,0.5,0.19,0.54,0.3780162359648476,0,0.6554054054054054,0.2653061224489796
devise,RESAMPLE_300_25_25,50,1280175928,50,98,50.0,24.489795918367342,$lt$entropy$ns$la$ld$age$exp$nuc$Buggy,NB,CFS,0.62,0.5,0.59,0.44194173824159216,0,0.5625,0.4693877551020408
devise,RESAMPLE_300_25_25,50,1280175928,50,98,50.0,24.489795918367342,$lt$entropy$ns$la$ld$age$exp$nuc$Buggy,SVM,CFS,0.5,0.31,0.53,0.4162951838040369,2,0.5945945945945946,0.35714285714285715
devise,RESAMPLE_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$lt$nuc$nf$la$ns$Buggy,KNN,CFS,0.71,0.55,0.64,0.4427444744196008,0,0.5771396396396397,0.4897959183673469
devise,RESAMPLE_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$lt$nuc$nf$la$ns$Buggy,DT,CFS,0.62,0.39,0.62,0.3835389516923973,0,0.6165540540540541,0.3877551020408163
devise,RESAMPLE_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$lt$nuc$nf$la$ns$Buggy,LR,CFS,0.71,0.5,0.65,0.4093100563414271,0,0.6041666666666667,0.4489795918367347
devise,RESAMPLE_25_25,50,1280175928,50,98,50.0,24.489795918367342,$entropy$lt$nuc$nf$la$ns$Buggy,RF,CFS,0.58,0.27,0.6,0.3511816695836188,2,0.6565315315315315,0.30612244897959184
