projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
diaspora,RESAMPLE_150_25_25,50,1300102370,50,979,50.0,30.132788559754854,$nuc$entropy$la$ns$ld$age$exp$ndev$sexp$Buggy,KNN,CFS,0.82,0.42,0.76,0.3227668273915095,0,0.7013380909901874,0.3472931562819203
diaspora,RESAMPLE_150_25_25,50,1300102370,50,979,50.0,30.132788559754854,$nuc$entropy$la$ns$ld$age$exp$ndev$sexp$Buggy,DT,CFS,0.35,0.43,0.38,0.5529561118295768,3,0.4587000693824958,0.4964249233912155
diaspora,RESAMPLE_150_25_25,50,1300102370,50,979,50.0,30.132788559754854,$nuc$entropy$la$ns$ld$age$exp$ndev$sexp$Buggy,LR,CFS,0.82,0.44,0.75,0.3398812123025384,1,0.6862523540489642,0.36567926455566907
diaspora,RESAMPLE_150_25_25,50,1300102370,50,979,50.0,30.132788559754854,$nuc$entropy$la$ns$ld$age$exp$ndev$sexp$Buggy,RF,CFS,0.65,0.32,0.66,0.33288923798704984,0,0.667528991971454,0.3258426966292135
diaspora,RESAMPLE_150_25_25,50,1300102370,50,979,50.0,30.132788559754854,$nuc$entropy$la$ns$ld$age$exp$ndev$sexp$Buggy,NB,CFS,0.08,0.07,0.1,0.6491618595569303,0,0.5065541679056398,0.3258426966292135
diaspora,RESAMPLE_150_25_25,50,1300102370,50,979,50.0,30.132788559754854,$nuc$entropy$la$ns$ld$age$exp$ndev$sexp$Buggy,SVM,CFS,0.78,0.43,0.73,0.3422997457931527,0,0.6751511547229655,0.3677221654749744
diaspora,RESAMPLE_300_25_25,50,1300102370,50,979,50.0,30.132788559754854,$la$ns$ld$entropy$age$nuc$Buggy,KNN,CFS,0.83,0.44,0.76,0.3305585554676166,0,0.6974179799781942,0.35546475995914206
diaspora,RESAMPLE_300_25_25,50,1300102370,50,979,50.0,30.132788559754854,$la$ns$ld$entropy$age$nuc$Buggy,DT,CFS,0.82,0.45,0.75,0.3465833421755222,0,0.6811353949846367,0.37282941777323797
diaspora,RESAMPLE_300_25_25,50,1300102370,50,979,50.0,30.132788559754854,$la$ns$ld$entropy$age$nuc$Buggy,LR,CFS,0.92,0.58,0.74,0.41204858770679614,1,0.6722742590940629,0.42696629213483145
diaspora,RESAMPLE_300_25_25,50,1300102370,50,979,50.0,30.132788559754854,$la$ns$ld$entropy$age$nuc$Buggy,RF,CFS,0.7,0.26,0.71,0.2778885556749186,0,0.7229234810189316,0.2686414708886619
diaspora,RESAMPLE_300_25_25,50,1300102370,50,979,50.0,30.132788559754854,$la$ns$ld$entropy$age$nuc$Buggy,NB,CFS,0.86,0.5,0.75,0.3669579597330374,1,0.6805084745762712,0.3912155260469867
