projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
django-rest-framework,RESAMPLE_150_25_25,50,1325167061,50,41,50.0,24.39024390243902,$entropy$lt$la$nuc$ld$age$Buggy,KNN,CFS,0.6,0.16,0.64,0.3049709561238321,0,0.7193548387096774,0.2195121951219512
django-rest-framework,RESAMPLE_150_25_25,50,1325167061,50,41,50.0,24.39024390243902,$entropy$lt$la$nuc$ld$age$Buggy,DT,CFS,0.4,0.13,0.45,0.4339638945933336,0,0.6354838709677418,0.24390243902439024
django-rest-framework,RESAMPLE_150_25_25,50,1325167061,50,41,50.0,24.39024390243902,$entropy$lt$la$nuc$ld$age$Buggy,LR,CFS,0.6,0.19,0.63,0.314214081597056,1,0.7032258064516129,0.24390243902439024
django-rest-framework,RESAMPLE_150_25_25,50,1325167061,50,41,50.0,24.39024390243902,$entropy$lt$la$nuc$ld$age$Buggy,RF,CFS,0.3,0.48,0.33,0.6017188352642441,3,0.4080645161290323,0.5365853658536586
django-rest-framework,RESAMPLE_150_25_25,50,1325167061,50,41,50.0,24.39024390243902,$entropy$lt$la$nuc$ld$age$Buggy,NB,CFS,0.6,0.26,0.62,0.33659864414827306,0,0.6709677419354839,0.2926829268292683
django-rest-framework,RESAMPLE_150_25_25,50,1325167061,50,41,50.0,24.39024390243902,$entropy$lt$la$nuc$ld$age$Buggy,SVM,CFS,0.6,0.1,0.64,0.2910027873895203,0,0.7516129032258065,0.17073170731707318
django-rest-framework,RESAMPLE_300_25_25,50,1325167061,50,41,50.0,24.39024390243902,$la$age$entropy$lt$exp$ld$nuc$Buggy,KNN,CFS,0.7,0.26,0.71,0.27981895440169124,1,0.7209677419354839,0.2682926829268293
django-rest-framework,RESAMPLE_300_25_25,50,1325167061,50,41,50.0,24.39024390243902,$la$age$entropy$lt$exp$ld$nuc$Buggy,DT,CFS,0.9,0.39,0.82,0.2827047157291959,2,0.7564516129032258,0.3170731707317073
django-rest-framework,RESAMPLE_300_25_25,50,1325167061,50,41,50.0,24.39024390243902,$la$age$entropy$lt$exp$ld$nuc$Buggy,LR,CFS,0.9,0.29,0.85,0.21712577096289856,2,0.8048387096774193,0.24390243902439024
django-rest-framework,RESAMPLE_300_25_25,50,1325167061,50,41,50.0,24.39024390243902,$la$age$entropy$lt$exp$ld$nuc$Buggy,RF,CFS,0.4,0.13,0.45,0.4339638945933336,0,0.6354838709677418,0.24390243902439024
django-rest-framework,RESAMPLE_300_25_25,50,1325167061,50,41,50.0,24.39024390243902,$la$age$entropy$lt$exp$ld$nuc$Buggy,NB,CFS,0.7,0.39,0.68,0.3462974968080559,2,0.6564516129032258,0.36585365853658536
django-rest-framework,RESAMPLE_300_25_25,50,1325167061,50,41,50.0,24.39024390243902,$la$age$entropy$lt$exp$ld$nuc$Buggy,SVM,CFS,0.7,0.26,0.71,0.27981895440169124,1,0.7209677419354839,0.2682926829268293
django-rest-framework,RESAMPLE_25_25,50,1325167061,50,41,50.0,24.39024390243902,$nf$lt$entropy$ld$la$age$exp$Buggy,KNN,CFS,0.6,0.19,0.63,0.314214081597056,3,0.7032258064516129,0.24390243902439024
django-rest-framework,RESAMPLE_25_25,50,1325167061,50,41,50.0,24.39024390243902,$nf$lt$entropy$ld$la$age$exp$Buggy,DT,CFS,0.8,0.26,0.79,0.23086499787203724,2,0.7709677419354839,0.24390243902439024
django-rest-framework,RESAMPLE_25_25,50,1325167061,50,41,50.0,24.39024390243902,$nf$lt$entropy$ld$la$age$exp$Buggy,LR,CFS,0.6,0.1,0.64,0.2910027873895203,0,0.7516129032258065,0.17073170731707318
django-rest-framework,RESAMPLE_25_25,50,1325167061,50,41,50.0,24.39024390243902,$nf$lt$entropy$ld$la$age$exp$Buggy,RF,CFS,0.8,0.29,0.78,0.2492861817595052,4,0.7548387096774194,0.2682926829268293
django-rest-framework,RESAMPLE_25_25,50,1325167061,50,41,50.0,24.39024390243902,$nf$lt$entropy$ld$la$age$exp$Buggy,NB,CFS,0.6,0.1,0.64,0.2910027873895203,0,0.7516129032258065,0.17073170731707318
django-rest-framework,RESAMPLE_25_25,50,1325167061,50,41,50.0,24.39024390243902,$nf$lt$entropy$ld$la$age$exp$Buggy,SVM,CFS,0.6,0.1,0.64,0.2910027873895203,0,0.7516129032258065,0.17073170731707318
django-rest-framework,RESAMPLE_150_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$entropy$la$ld$fix$Buggy,KNN,CFS,0.62,0.14,0.66,0.28375443896554825,0,0.7410714285714286,0.1827956989247312
django-rest-framework,RESAMPLE_150_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$entropy$la$ld$fix$Buggy,DT,CFS,0.44,0.17,0.49,0.41527714454861264,0,0.6343344155844157,0.23655913978494625
django-rest-framework,RESAMPLE_150_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$entropy$la$ld$fix$Buggy,LR,CFS,0.56,0.12,0.6,0.3202092386333601,0,0.7228084415584416,0.1720430107526882
django-rest-framework,RESAMPLE_150_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$entropy$la$ld$fix$Buggy,RF,CFS,0.38,0.09,0.43,0.4465923548438314,0,0.6420454545454546,0.1827956989247312
django-rest-framework,RESAMPLE_150_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$entropy$la$ld$fix$Buggy,NB,CFS,0.62,0.16,0.65,0.28715187698392075,1,0.7345779220779219,0.1935483870967742
django-rest-framework,RESAMPLE_150_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$entropy$la$ld$fix$Buggy,SVM,CFS,0.56,0.12,0.6,0.3202092386333601,0,0.7228084415584416,0.1720430107526882
django-rest-framework,RESAMPLE_300_25_25,50,1327757909,50,93,50.0,17.204301075268816,$la$lt$exp$ndev$entropy$ld$age$sexp$fix$Buggy,KNN,CFS,0.75,0.35,0.73,0.3045118775276354,0,0.6996753246753247,0.3333333333333333
django-rest-framework,RESAMPLE_300_25_25,50,1327757909,50,93,50.0,17.204301075268816,$la$lt$exp$ndev$entropy$ld$age$sexp$fix$Buggy,DT,CFS,0.5,0.19,0.54,0.37943976064923,0,0.6525974025974026,0.24731182795698925
django-rest-framework,RESAMPLE_300_25_25,50,1327757909,50,93,50.0,17.204301075268816,$la$lt$exp$ndev$entropy$ld$age$sexp$fix$Buggy,LR,CFS,0.75,0.36,0.73,0.31203477767604504,0,0.6931818181818181,0.3440860215053764
django-rest-framework,RESAMPLE_300_25_25,50,1327757909,50,93,50.0,17.204301075268816,$la$lt$exp$ndev$entropy$ld$age$sexp$fix$Buggy,RF,CFS,0.25,0.04,0.29,0.5310451781896356,0,0.6055194805194806,0.16129032258064516
django-rest-framework,RESAMPLE_300_25_25,50,1327757909,50,93,50.0,17.204301075268816,$la$lt$exp$ndev$entropy$ld$age$sexp$fix$Buggy,NB,CFS,0.88,0.51,0.76,0.3688906830756827,1,0.6842532467532467,0.4408602150537633
django-rest-framework,RESAMPLE_300_25_25,50,1327757909,50,93,50.0,17.204301075268816,$la$lt$exp$ndev$entropy$ld$age$sexp$fix$Buggy,SVM,CFS,0.56,0.21,0.59,0.3424790881347065,0,0.6773538961038961,0.24731182795698925
django-rest-framework,RESAMPLE_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$la$ld$entropy$age$ns$Buggy,KNN,CFS,0.75,0.29,0.74,0.2684517210423733,0,0.7321428571428571,0.27956989247311825
django-rest-framework,RESAMPLE_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$la$ld$entropy$age$ns$Buggy,DT,CFS,0.69,0.29,0.69,0.299406832805486,0,0.7008928571428571,0.2903225806451613
django-rest-framework,RESAMPLE_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$la$ld$entropy$age$ns$Buggy,LR,CFS,0.75,0.39,0.72,0.3273348863872896,0,0.6801948051948052,0.3655913978494624
django-rest-framework,RESAMPLE_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$la$ld$entropy$age$ns$Buggy,RF,CFS,0.81,0.34,0.77,0.2731044711054677,1,0.7374188311688311,0.3118279569892473
django-rest-framework,RESAMPLE_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$la$ld$entropy$age$ns$Buggy,NB,CFS,0.88,0.65,0.68,0.4675902403879437,0,0.6128246753246753,0.5591397849462365
django-rest-framework,RESAMPLE_25_25,50,1327757909,50,93,50.0,17.204301075268816,$lt$la$ld$entropy$age$ns$Buggy,SVM,CFS,0.62,0.23,0.65,0.31246731993062044,0,0.6956168831168831,0.25806451612903225
django-rest-framework,RESAMPLE_150_25_25,50,1329769987,50,84,50.0,16.666666666666668,$entropy$age$ld$exp$lt$la$Buggy,KNN,CFS,0.71,0.23,0.72,0.25872528966106895,4,0.7428571428571429,0.2380952380952381
django-rest-framework,RESAMPLE_150_25_25,50,1329769987,50,84,50.0,16.666666666666668,$entropy$age$ld$exp$lt$la$Buggy,DT,CFS,0.86,0.4,0.79,0.3003399434518377,9,0.7285714285714286,0.35714285714285715
django-rest-framework,RESAMPLE_150_25_25,50,1329769987,50,84,50.0,16.666666666666668,$entropy$age$ld$exp$lt$la$Buggy,LR,CFS,0.64,0.21,0.67,0.2945075446869757,4,0.7142857142857142,0.2380952380952381
django-rest-framework,RESAMPLE_150_25_25,50,1329769987,50,84,50.0,16.666666666666668,$entropy$age$ld$exp$lt$la$Buggy,RF,CFS,0.79,0.14,0.8,0.1821078397711709,2,0.8214285714285714,0.15476190476190474
django-rest-framework,RESAMPLE_150_25_25,50,1329769987,50,84,50.0,16.666666666666668,$entropy$age$ld$exp$lt$la$Buggy,NB,CFS,0.64,0.23,0.66,0.2998298837402193,4,0.7071428571428572,0.25
django-rest-framework,RESAMPLE_150_25_25,50,1329769987,50,84,50.0,16.666666666666668,$entropy$age$ld$exp$lt$la$Buggy,SVM,CFS,0.71,0.23,0.72,0.25872528966106895,4,0.7428571428571429,0.2380952380952381
django-rest-framework,RESAMPLE_300_25_25,50,1329769987,50,84,50.0,16.666666666666668,$la$entropy$ld$age$exp$lt$nuc$Buggy,KNN,CFS,0.71,0.36,0.69,0.3234066120763363,8,0.6785714285714285,0.34523809523809523
django-rest-framework,RESAMPLE_300_25_25,50,1329769987,50,84,50.0,16.666666666666668,$la$entropy$ld$age$exp$lt$nuc$Buggy,DT,CFS,0.64,0.39,0.63,0.3717031951787911,8,0.6285714285714286,0.3809523809523809
django-rest-framework,RESAMPLE_300_25_25,50,1329769987,50,84,50.0,16.666666666666668,$la$entropy$ld$age$exp$lt$nuc$Buggy,LR,CFS,0.64,0.34,0.64,0.3500728787097956,7,0.6499999999999999,0.34523809523809523
django-rest-framework,RESAMPLE_300_25_25,50,1329769987,50,84,50.0,16.666666666666668,$la$entropy$ld$age$exp$lt$nuc$Buggy,RF,CFS,0.71,0.34,0.7,0.31558174334820743,8,0.6857142857142858,0.3333333333333333
django-rest-framework,RESAMPLE_300_25_25,50,1329769987,50,84,50.0,16.666666666666668,$la$entropy$ld$age$exp$lt$nuc$Buggy,NB,CFS,0.64,0.39,0.63,0.3717031951787911,8,0.6285714285714286,0.3809523809523809
django-rest-framework,RESAMPLE_300_25_25,50,1329769987,50,84,50.0,16.666666666666668,$la$entropy$ld$age$exp$lt$nuc$Buggy,SVM,CFS,0.71,0.36,0.69,0.3234066120763363,8,0.6785714285714285,0.34523809523809523
django-rest-framework,RESAMPLE_25_25,50,1329769987,50,84,50.0,16.666666666666668,$exp$entropy$la$nf$sexp$lt$Buggy,KNN,CFS,0.71,0.27,0.71,0.2786629886161593,7,0.7214285714285715,0.27380952380952384
django-rest-framework,RESAMPLE_25_25,50,1329769987,50,84,50.0,16.666666666666668,$exp$entropy$la$nf$sexp$lt$Buggy,DT,CFS,0.71,0.37,0.69,0.3313546715640915,6,0.6714285714285715,0.35714285714285715
django-rest-framework,RESAMPLE_25_25,50,1329769987,50,84,50.0,16.666666666666668,$exp$entropy$la$nf$sexp$lt$Buggy,LR,CFS,0.79,0.21,0.79,0.21428571428571427,4,0.7857142857142856,0.21428571428571427
