projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
druid,RESAMPLE_300_25_25,50,1342020177,50,25,50.0,44.0,$ndev$lt$ns$la$fix$ld$age$Buggy,KNN,CFS,1.0,0.86,0.45,0.6060915267313264,1,0.5714285714285714,0.48
druid,RESAMPLE_300_25_25,50,1342020177,50,25,50.0,44.0,$ndev$lt$ns$la$fix$ld$age$Buggy,DT,CFS,0.55,0.57,0.52,0.5163052306982914,1,0.48701298701298706,0.52
druid,RESAMPLE_300_25_25,50,1342020177,50,25,50.0,44.0,$ndev$lt$ns$la$fix$ld$age$Buggy,LR,CFS,1.0,0.79,0.57,0.5555838995037159,1,0.6071428571428572,0.44
druid,RESAMPLE_300_25_25,50,1342020177,50,25,50.0,44.0,$ndev$lt$ns$la$fix$ld$age$Buggy,RF,CFS,0.82,0.71,0.6,0.5211822775537952,1,0.551948051948052,0.48
druid,RESAMPLE_300_25_25,50,1342020177,50,25,50.0,44.0,$ndev$lt$ns$la$fix$ld$age$Buggy,NB,CFS,0.73,0.79,0.49,0.5881016511049626,1,0.4707792207792208,0.56
druid,RESAMPLE_300_25_25,50,1342020177,50,25,50.0,44.0,$ndev$lt$ns$la$fix$ld$age$Buggy,SVM,CFS,1.0,0.86,0.45,0.6060915267313264,1,0.5714285714285714,0.48
druid,RESAMPLE_25_25,50,1342020177,50,25,50.0,44.0,$la$ns$nf$ndev$lt$exp$Buggy,KNN,CFS,0.91,0.79,0.55,0.5592903546394428,1,0.5616883116883117,0.48
druid,RESAMPLE_25_25,50,1342020177,50,25,50.0,44.0,$la$ns$nf$ndev$lt$exp$Buggy,DT,CFS,0.45,0.5,0.46,0.5232211106009699,2,0.4772727272727273,0.52
druid,RESAMPLE_25_25,50,1342020177,50,25,50.0,44.0,$la$ns$nf$ndev$lt$exp$Buggy,LR,CFS,1.0,0.57,0.79,0.40406101782088427,0,0.7142857142857143,0.32
druid,RESAMPLE_25_25,50,1342020177,50,25,50.0,44.0,$la$ns$nf$ndev$lt$exp$Buggy,RF,CFS,0.45,0.86,0.31,0.7184060616072379,4,0.2987012987012987,0.72
druid,RESAMPLE_25_25,50,1342020177,50,25,50.0,44.0,$la$ns$nf$ndev$lt$exp$Buggy,NB,CFS,0.64,0.79,0.45,0.61220027104461,1,0.4253246753246753,0.6
druid,RESAMPLE_25_25,50,1342020177,50,25,50.0,44.0,$la$ns$nf$ndev$lt$exp$Buggy,SVM,CFS,0.91,0.79,0.55,0.5592903546394428,1,0.5616883116883117,0.48
druid,RESAMPLE_300_25_25,50,1343930475,50,90,50.0,33.333333333333336,$ld$ns$ndev$la$lt$age$exp$sexp$Buggy,KNN,CFS,0.77,0.62,0.64,0.4662200243566455,0,0.575,0.4888888888888889
druid,RESAMPLE_300_25_25,50,1343930475,50,90,50.0,33.333333333333336,$ld$ns$ndev$la$lt$age$exp$sexp$Buggy,DT,CFS,0.5,0.42,0.51,0.4602233757161359,0,0.5416666666666666,0.4444444444444444
druid,RESAMPLE_300_25_25,50,1343930475,50,90,50.0,33.333333333333336,$ld$ns$ndev$la$lt$age$exp$sexp$Buggy,LR,CFS,0.83,0.62,0.67,0.4516943410955884,0,0.6083333333333334,0.4666666666666667
druid,RESAMPLE_300_25_25,50,1343930475,50,90,50.0,33.333333333333336,$ld$ns$ndev$la$lt$age$exp$sexp$Buggy,RF,CFS,0.33,0.4,0.36,0.5497474167490214,0,0.4666666666666666,0.4888888888888889
druid,RESAMPLE_300_25_25,50,1343930475,50,90,50.0,33.333333333333336,$ld$ns$ndev$la$lt$age$exp$sexp$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.3333333333333333
druid,RESAMPLE_300_25_25,50,1343930475,50,90,50.0,33.333333333333336,$ld$ns$ndev$la$lt$age$exp$sexp$Buggy,SVM,CFS,0.77,0.53,0.68,0.41163630117428224,0,0.6166666666666667,0.43333333333333335
druid,RESAMPLE_25_25,50,1343930475,50,90,50.0,33.333333333333336,$la$ns$exp$sexp$lt$ndev$Buggy,KNN,CFS,0.4,0.62,0.4,0.6083904082814661,5,0.39166666666666666,0.6111111111111112
druid,RESAMPLE_25_25,50,1343930475,50,90,50.0,33.333333333333336,$la$ns$exp$sexp$lt$ndev$Buggy,DT,CFS,0.53,0.43,0.54,0.4503085362035431,7,0.5499999999999999,0.4444444444444444
druid,RESAMPLE_25_25,50,1343930475,50,90,50.0,33.333333333333336,$la$ns$exp$sexp$lt$ndev$Buggy,LR,CFS,0.97,0.73,0.64,0.5190803834132478,0,0.6166666666666667,0.5
druid,RESAMPLE_25_25,50,1343930475,50,90,50.0,33.333333333333336,$la$ns$exp$sexp$lt$ndev$Buggy,RF,CFS,0.3,0.42,0.33,0.5760256552928484,11,0.44166666666666665,0.5111111111111111
druid,RESAMPLE_25_25,50,1343930475,50,90,50.0,33.333333333333336,$la$ns$exp$sexp$lt$ndev$Buggy,NB,CFS,0.9,0.82,0.5,0.5817836558569021,0,0.5416666666666666,0.5777777777777777
druid,RESAMPLE_25_25,50,1343930475,50,90,50.0,33.333333333333336,$la$ns$exp$sexp$lt$ndev$Buggy,SVM,CFS,0.93,0.83,0.49,0.5911382616989399,0,0.5499999999999999,0.5777777777777777
druid,RESAMPLE_300_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ndev$la$ns$ld$lt$age$Buggy,KNN,CFS,0.62,0.5,0.59,0.44233125031452203,4,0.5615147840686503,0.4689075630252101
druid,RESAMPLE_300_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ndev$la$ns$ld$lt$age$Buggy,DT,CFS,0.64,0.44,0.62,0.4036518260713451,4,0.598568230575506,0.4235294117647059
druid,RESAMPLE_300_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ndev$la$ns$ld$lt$age$Buggy,LR,CFS,0.82,0.56,0.7,0.41411665362911854,3,0.6303050088611137,0.4672268907563025
druid,RESAMPLE_300_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ndev$la$ns$ld$lt$age$Buggy,RF,CFS,0.56,0.43,0.56,0.43136652527693625,3,0.5686658582843641,0.42857142857142855
druid,RESAMPLE_300_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ndev$la$ns$ld$lt$age$Buggy,NB,CFS,0.84,0.58,0.7,0.4277084875250549,3,0.627623356030221,0.4823529411764706
druid,RESAMPLE_300_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ndev$la$ns$ld$lt$age$Buggy,SVM,CFS,0.87,0.61,0.7,0.4415738007204527,2,0.6308802039610732,0.4957983193277311
druid,RESAMPLE_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ns$la$lt$exp$sexp$Buggy,KNN,CFS,0.81,0.59,0.68,0.4394073753833779,2,0.60912383795044,0.4957983193277311
druid,RESAMPLE_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ns$la$lt$exp$sexp$Buggy,DT,CFS,0.87,0.48,0.77,0.34887439689615474,2,0.6982091222833691,0.39327731092436974
druid,RESAMPLE_25_25,50,1346596935,50,595,50.0,23.865546218487395,$ns$la$lt$exp$sexp$Buggy,LR,CFS,0.96,0.57,0.77,0.40382985162644464,2,0.6941050275160899,0.4436974789915966
