projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
elasticsearch,RESAMPLE_150_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$nuc$nf$la$ld$ns$lt$age$exp$sexp$Buggy,KNN,CFS,0.79,0.25,0.78,0.2350384231597027,0,0.7658823529411765,0.23728813559322035
elasticsearch,RESAMPLE_150_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$nuc$nf$la$ld$ns$lt$age$exp$sexp$Buggy,DT,CFS,0.73,0.41,0.7,0.3468870739314825,0,0.6607843137254903,0.3502824858757062
elasticsearch,RESAMPLE_150_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$nuc$nf$la$ld$ns$lt$age$exp$sexp$Buggy,LR,CFS,0.83,0.3,0.8,0.24739923637858585,0,0.7613725490196077,0.2485875706214689
elasticsearch,RESAMPLE_150_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$nuc$nf$la$ld$ns$lt$age$exp$sexp$Buggy,RF,CFS,0.63,0.2,0.66,0.2981815965374935,0,0.7152941176470589,0.2711864406779661
elasticsearch,RESAMPLE_150_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$nuc$nf$la$ld$ns$lt$age$exp$sexp$Buggy,NB,CFS,0.44,0.26,0.48,0.437989271645008,0,0.5876470588235294,0.3898305084745763
elasticsearch,RESAMPLE_150_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$nuc$nf$la$ld$ns$lt$age$exp$sexp$Buggy,SVM,CFS,0.77,0.25,0.77,0.2411978310323971,0,0.7592156862745099,0.24293785310734464
elasticsearch,RESAMPLE_300_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$la$ld$nuc$lt$Buggy,KNN,CFS,0.83,0.43,0.76,0.3287299199130788,0,0.6976470588235295,0.3220338983050847
elasticsearch,RESAMPLE_300_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$la$ld$nuc$lt$Buggy,DT,CFS,0.79,0.65,0.63,0.4817656236274946,1,0.5698039215686275,0.4632768361581921
elasticsearch,RESAMPLE_300_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$la$ld$nuc$lt$Buggy,LR,CFS,0.83,0.41,0.77,0.31590712041265,0,0.7074509803921568,0.3107344632768362
elasticsearch,RESAMPLE_300_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$la$ld$nuc$lt$Buggy,RF,CFS,0.81,0.35,0.77,0.2823224384395326,1,0.7301960784313726,0.2824858757062147
elasticsearch,RESAMPLE_300_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$la$ld$nuc$lt$Buggy,NB,CFS,0.84,0.41,0.77,0.3123701114146331,0,0.7141176470588235,0.3050847457627119
elasticsearch,RESAMPLE_300_25_25,50,1273878953,50,177,50.0,42.3728813559322,$entropy$la$ld$nuc$lt$Buggy,SVM,CFS,0.79,0.37,0.75,0.3035653826788195,0,0.7070588235294117,0.3050847457627119
elasticsearch,RESAMPLE_25_25,50,1273878953,50,177,50.0,42.3728813559322,$sexp$entropy$la$ld$lt$age$exp$Buggy,KNN,CFS,0.72,0.32,0.71,0.3025485748411456,1,0.6982352941176471,0.3050847457627119
elasticsearch,RESAMPLE_25_25,50,1273878953,50,177,50.0,42.3728813559322,$sexp$entropy$la$ld$lt$age$exp$Buggy,DT,CFS,0.61,0.24,0.64,0.3200581454286229,3,0.6890196078431372,0.2994350282485876
elasticsearch,RESAMPLE_25_25,50,1273878953,50,177,50.0,42.3728813559322,$sexp$entropy$la$ld$lt$age$exp$Buggy,LR,CFS,0.72,0.21,0.73,0.24575144277561745,0,0.7570588235294118,0.23728813559322035
elasticsearch,RESAMPLE_25_25,50,1273878953,50,177,50.0,42.3728813559322,$sexp$entropy$la$ld$lt$age$exp$Buggy,RF,CFS,0.61,0.25,0.63,0.32371604836529594,1,0.6841176470588235,0.3050847457627119
