projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
fluentd,RESAMPLE_150_25_25,50,1348661678,50,29,50.0,34.48275862068966,$exp$lt$la$ndev$ld$age$sexp$entropy$Buggy,KNN,CFS,0.5,0.32,0.53,0.4181644363702817,0,0.5921052631578948,0.3793103448275862
fluentd,RESAMPLE_150_25_25,50,1348661678,50,29,50.0,34.48275862068966,$exp$lt$la$ndev$ld$age$sexp$entropy$Buggy,DT,CFS,0.2,0.53,0.23,0.6771293488873849,0,0.3368421052631579,0.6206896551724138
fluentd,RESAMPLE_150_25_25,50,1348661678,50,29,50.0,34.48275862068966,$exp$lt$la$ndev$ld$age$sexp$entropy$Buggy,LR,CFS,0.5,0.37,0.52,0.43916629653364825,0,0.5657894736842105,0.4137931034482759
fluentd,RESAMPLE_150_25_25,50,1348661678,50,29,50.0,34.48275862068966,$exp$lt$la$ndev$ld$age$sexp$entropy$Buggy,RF,CFS,0.2,0.11,0.24,0.5705612729628485,0,0.5473684210526316,0.3448275862068966
fluentd,RESAMPLE_150_25_25,50,1348661678,50,29,50.0,34.48275862068966,$exp$lt$la$ndev$ld$age$sexp$entropy$Buggy,NB,CFS,0.2,0.11,0.24,0.5705612729628485,0,0.5473684210526316,0.3448275862068966
fluentd,RESAMPLE_150_25_25,50,1348661678,50,29,50.0,34.48275862068966,$exp$lt$la$ndev$ld$age$sexp$entropy$Buggy,SVM,CFS,0.5,0.37,0.52,0.43916629653364825,0,0.5657894736842105,0.4137931034482759
fluentd,RESAMPLE_300_25_25,50,1348661678,50,29,50.0,34.48275862068966,$lt$ndev$entropy$la$ns$ld$sexp$Buggy,KNN,CFS,0.7,0.16,0.72,0.2397193650108786,0,0.7710526315789472,0.20689655172413796
fluentd,RESAMPLE_300_25_25,50,1348661678,50,29,50.0,34.48275862068966,$lt$ndev$entropy$la$ns$ld$sexp$Buggy,DT,CFS,0.5,0.16,0.54,0.3707632316738255,0,0.6710526315789473,0.27586206896551724
fluentd,RESAMPLE_300_25_25,50,1348661678,50,29,50.0,34.48275862068966,$lt$ndev$entropy$la$ns$ld$sexp$Buggy,LR,CFS,0.5,0.16,0.54,0.3707632316738255,0,0.6710526315789473,0.27586206896551724
fluentd,RESAMPLE_300_25_25,50,1348661678,50,29,50.0,34.48275862068966,$lt$ndev$entropy$la$ns$ld$sexp$Buggy,RF,CFS,0.3,0.05,0.35,0.4963718782840608,0,0.6236842105263158,0.27586206896551724
fluentd,RESAMPLE_300_25_25,50,1348661678,50,29,50.0,34.48275862068966,$lt$ndev$entropy$la$ns$ld$sexp$Buggy,NB,CFS,0.4,0.16,0.45,0.4387087575615727,0,0.6210526315789473,0.3103448275862069
