projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
fresco,RESAMPLE_150_25_25,50,1445268175,50,86,50.0,25.58139534883721,$ld$la$age$entropy$exp$Buggy,KNN,CFS,0.86,0.47,0.76,0.3451967582570222,2,0.6974431818181819,0.38372093023255816
fresco,RESAMPLE_150_25_25,50,1445268175,50,86,50.0,25.58139534883721,$ld$la$age$entropy$exp$Buggy,DT,CFS,0.5,0.58,0.48,0.5404759548883743,3,0.4609375,0.5581395348837209
fresco,RESAMPLE_150_25_25,50,1445268175,50,86,50.0,25.58139534883721,$ld$la$age$entropy$exp$Buggy,LR,CFS,0.73,0.41,0.7,0.34599077140095524,3,0.6605113636363636,0.372093023255814
fresco,RESAMPLE_150_25_25,50,1445268175,50,86,50.0,25.58139534883721,$ld$la$age$entropy$exp$Buggy,RF,CFS,0.5,0.41,0.52,0.4555431167847891,3,0.546875,0.4302325581395349
fresco,RESAMPLE_150_25_25,50,1445268175,50,86,50.0,25.58139534883721,$ld$la$age$entropy$exp$Buggy,NB,CFS,0.59,0.42,0.59,0.4155321212167757,4,0.5845170454545454,0.4186046511627907
fresco,RESAMPLE_150_25_25,50,1445268175,50,86,50.0,25.58139534883721,$ld$la$age$entropy$exp$Buggy,SVM,CFS,0.77,0.34,0.75,0.291390592729058,3,0.7144886363636364,0.313953488372093
fresco,RESAMPLE_300_25_25,50,1445268175,50,86,50.0,25.58139534883721,$age$entropy$la$ld$lt$exp$nuc$Buggy,KNN,CFS,0.73,0.55,0.65,0.4321182887325276,4,0.5901988636363636,0.4767441860465117
fresco,RESAMPLE_300_25_25,50,1445268175,50,86,50.0,25.58139534883721,$age$entropy$la$ld$lt$exp$nuc$Buggy,DT,CFS,0.73,0.48,0.68,0.3930644386829316,2,0.6214488636363636,0.4302325581395349
fresco,RESAMPLE_300_25_25,50,1445268175,50,86,50.0,25.58139534883721,$age$entropy$la$ld$lt$exp$nuc$Buggy,LR,CFS,0.77,0.47,0.71,0.3683608659059642,3,0.6519886363636364,0.4069767441860465
fresco,RESAMPLE_300_25_25,50,1445268175,50,86,50.0,25.58139534883721,$age$entropy$la$ld$lt$exp$nuc$Buggy,RF,CFS,0.68,0.31,0.68,0.3153537057190605,3,0.6846590909090909,0.313953488372093
fresco,RESAMPLE_300_25_25,50,1445268175,50,86,50.0,25.58139534883721,$age$entropy$la$ld$lt$exp$nuc$Buggy,NB,CFS,0.64,0.36,0.64,0.3615119607866921,3,0.6384943181818181,0.36046511627906974
fresco,RESAMPLE_300_25_25,50,1445268175,50,86,50.0,25.58139534883721,$age$entropy$la$ld$lt$exp$nuc$Buggy,SVM,CFS,0.73,0.39,0.7,0.3368739051293942,3,0.6683238636363636,0.36046511627906974
fresco,RESAMPLE_25_25,50,1445268175,50,86,50.0,25.58139534883721,$la$lt$ld$fix$entropy$age$exp$ns$nuc$Buggy,KNN,CFS,0.86,0.61,0.69,0.4415500718759505,4,0.6271306818181819,0.4883720930232558
fresco,RESAMPLE_25_25,50,1445268175,50,86,50.0,25.58139534883721,$la$lt$ld$fix$entropy$age$exp$ns$nuc$Buggy,DT,CFS,0.64,0.45,0.62,0.4108245797074937,1,0.5916193181818181,0.4302325581395349
