projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
glide,RESAMPLE_150_25_25,50,1410710117,50,35,50.0,51.42857142857143,$la$ns$exp$lt$entropy$sexp$ld$Buggy,KNN,CFS,0.78,0.71,0.58,0.5232841542809961,5,0.5359477124183006,0.4571428571428571
glide,RESAMPLE_150_25_25,50,1410710117,50,35,50.0,51.42857142857143,$la$ns$exp$lt$entropy$sexp$ld$Buggy,DT,CFS,0.78,0.41,0.73,0.3308571361326239,3,0.6830065359477124,0.3142857142857143
glide,RESAMPLE_150_25_25,50,1410710117,50,35,50.0,51.42857142857143,$la$ns$exp$lt$entropy$sexp$ld$Buggy,LR,CFS,0.83,0.29,0.8,0.2390428498085609,2,0.7696078431372549,0.22857142857142854
glide,RESAMPLE_150_25_25,50,1410710117,50,35,50.0,51.42857142857143,$la$ns$exp$lt$entropy$sexp$ld$Buggy,RF,CFS,0.78,0.29,0.76,0.26066060918443484,2,0.7418300653594772,0.2571428571428571
glide,RESAMPLE_150_25_25,50,1410710117,50,35,50.0,51.42857142857143,$la$ns$exp$lt$entropy$sexp$ld$Buggy,NB,CFS,1.0,0.65,0.73,0.4575396819442366,4,0.6764705882352942,0.3142857142857143
glide,RESAMPLE_150_25_25,50,1410710117,50,35,50.0,51.42857142857143,$la$ns$exp$lt$entropy$sexp$ld$Buggy,SVM,CFS,0.83,0.29,0.8,0.2390428498085609,4,0.7696078431372549,0.22857142857142854
glide,RESAMPLE_300_25_25,50,1410710117,50,35,50.0,51.42857142857143,$entropy$la$ndev$nuc$ld$lt$age$exp$Buggy,KNN,CFS,0.67,0.35,0.67,0.34327728235316857,4,0.6568627450980391,0.3428571428571429
glide,RESAMPLE_300_25_25,50,1410710117,50,35,50.0,51.42857142857143,$entropy$la$ndev$nuc$ld$lt$age$exp$Buggy,DT,CFS,0.72,0.41,0.69,0.3512197793672369,4,0.6552287581699348,0.3428571428571429
glide,RESAMPLE_300_25_25,50,1410710117,50,35,50.0,51.42857142857143,$entropy$la$ndev$nuc$ld$lt$age$exp$Buggy,LR,CFS,0.83,0.41,0.77,0.3141082224235449,4,0.7107843137254903,0.2857142857142857
glide,RESAMPLE_300_25_25,50,1410710117,50,35,50.0,51.42857142857143,$entropy$la$ndev$nuc$ld$lt$age$exp$Buggy,RF,CFS,0.39,0.18,0.44,0.4497769773096259,1,0.6062091503267973,0.4
glide,RESAMPLE_300_25_25,50,1410710117,50,35,50.0,51.42857142857143,$entropy$la$ndev$nuc$ld$lt$age$exp$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.5142857142857142
glide,RESAMPLE_300_25_25,50,1410710117,50,35,50.0,51.42857142857143,$entropy$la$ndev$nuc$ld$lt$age$exp$Buggy,SVM,CFS,0.72,0.41,0.69,0.3512197793672369,4,0.6552287581699348,0.3428571428571429
glide,RESAMPLE_25_25,50,1410710117,50,35,50.0,51.42857142857143,$ld$age$la$lt$exp$entropy$Buggy,KNN,CFS,0.67,0.59,0.59,0.4780856996171219,3,0.5392156862745098,0.4571428571428571
glide,RESAMPLE_25_25,50,1410710117,50,35,50.0,51.42857142857143,$ld$age$la$lt$exp$entropy$Buggy,DT,CFS,0.61,0.12,0.65,0.2872937506726012,0,0.7467320261437909,0.2571428571428571
glide,RESAMPLE_25_25,50,1410710117,50,35,50.0,51.42857142857143,$ld$age$la$lt$exp$entropy$Buggy,LR,CFS,0.83,0.53,0.72,0.39246311571074705,4,0.6519607843137255,0.3428571428571429
glide,RESAMPLE_25_25,50,1410710117,50,35,50.0,51.42857142857143,$ld$age$la$lt$exp$entropy$Buggy,RF,CFS,0.22,0.0,0.26,0.5499719409228703,0,0.6111111111111112,0.4
glide,RESAMPLE_25_25,50,1410710117,50,35,50.0,51.42857142857143,$ld$age$la$lt$exp$entropy$Buggy,NB,CFS,0.83,0.65,0.65,0.4724737552949603,4,0.5931372549019609,0.4
glide,RESAMPLE_25_25,50,1410710117,50,35,50.0,51.42857142857143,$ld$age$la$lt$exp$entropy$Buggy,SVM,CFS,0.67,0.47,0.64,0.4077771439820671,4,0.5980392156862745,0.4
glide,RESAMPLE_150_25_25,50,1415348913,50,128,50.0,42.1875,$entropy$la$nuc$ndev$exp$sexp$lt$nf$Buggy,KNN,CFS,0.93,0.61,0.73,0.4331757377766868,0,0.658908908908909,0.3828125
glide,RESAMPLE_150_25_25,50,1415348913,50,128,50.0,42.1875,$entropy$la$nuc$ndev$exp$sexp$lt$nf$Buggy,DT,CFS,0.63,0.72,0.5,0.5701490505207211,0,0.4567067067067067,0.5703125
glide,RESAMPLE_150_25_25,50,1415348913,50,128,50.0,42.1875,$entropy$la$nuc$ndev$exp$sexp$lt$nf$Buggy,LR,CFS,0.93,0.59,0.74,0.4236919283931673,0,0.6656656656656657,0.375
