projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
go-ethereum,RESAMPLE_150_25_25,50,1412673659,50,42,50.0,26.190476190476193,$sexp$exp$ns$entropy$la$lt$ld$Buggy,KNN,CFS,0.91,0.29,0.86,0.215118181056813,0,0.8093841642228741,0.2380952380952381
go-ethereum,RESAMPLE_150_25_25,50,1412673659,50,42,50.0,26.190476190476193,$sexp$exp$ns$entropy$la$lt$ld$Buggy,DT,CFS,0.91,0.19,0.89,0.1512042343284078,0,0.8577712609970675,0.16666666666666666
go-ethereum,RESAMPLE_150_25_25,50,1412673659,50,42,50.0,26.190476190476193,$sexp$exp$ns$entropy$la$lt$ld$Buggy,LR,CFS,0.91,0.29,0.86,0.215118181056813,0,0.8093841642228741,0.2380952380952381
go-ethereum,RESAMPLE_150_25_25,50,1412673659,50,42,50.0,26.190476190476193,$sexp$exp$ns$entropy$la$lt$ld$Buggy,RF,CFS,0.91,0.19,0.89,0.1512042343284078,0,0.8577712609970675,0.16666666666666666
go-ethereum,RESAMPLE_150_25_25,50,1412673659,50,42,50.0,26.190476190476193,$sexp$exp$ns$entropy$la$lt$ld$Buggy,NB,CFS,1.0,0.39,0.89,0.2737187540076958,1,0.8064516129032258,0.2857142857142857
go-ethereum,RESAMPLE_150_25_25,50,1412673659,50,42,50.0,26.190476190476193,$sexp$exp$ns$entropy$la$lt$ld$Buggy,SVM,CFS,0.82,0.19,0.82,0.1877749043235439,0,0.8123167155425219,0.19047619047619047
go-ethereum,RESAMPLE_300_25_25,50,1412673659,50,42,50.0,26.190476190476193,$exp$entropy$ns$lt$la$nf$ld$Buggy,KNN,CFS,0.91,0.16,0.9,0.1309179723492652,0,0.8739002932551321,0.14285714285714285
go-ethereum,RESAMPLE_300_25_25,50,1412673659,50,42,50.0,26.190476190476193,$exp$entropy$ns$lt$la$nf$ld$Buggy,DT,CFS,0.64,0.29,0.65,0.32902781477493953,0,0.6730205278592376,0.30952380952380953
go-ethereum,RESAMPLE_300_25_25,50,1412673659,50,42,50.0,26.190476190476193,$exp$entropy$ns$lt$la$nf$ld$Buggy,LR,CFS,0.91,0.16,0.9,0.1309179723492652,0,0.8739002932551321,0.14285714285714285
go-ethereum,RESAMPLE_300_25_25,50,1412673659,50,42,50.0,26.190476190476193,$exp$entropy$ns$lt$la$nf$ld$Buggy,RF,CFS,0.73,0.16,0.75,0.22404768850339066,0,0.7829912023460409,0.19047619047619047
go-ethereum,RESAMPLE_300_25_25,50,1412673659,50,42,50.0,26.190476190476193,$exp$entropy$ns$lt$la$nf$ld$Buggy,NB,CFS,0.91,0.16,0.9,0.1309179723492652,0,0.8739002932551321,0.14285714285714285
go-ethereum,RESAMPLE_300_25_25,50,1412673659,50,42,50.0,26.190476190476193,$exp$entropy$ns$lt$la$nf$ld$Buggy,SVM,CFS,0.91,0.1,0.91,0.09388745216177198,0,0.9061583577712611,0.09523809523809523
go-ethereum,RESAMPLE_25_25,50,1412673659,50,42,50.0,26.190476190476193,$ld$age$la$lt$ns$exp$sexp$entropy$nuc$Buggy,KNN,CFS,0.91,0.55,0.76,0.3930603456966538,1,0.6803519061583578,0.42857142857142855
go-ethereum,RESAMPLE_25_25,50,1412673659,50,42,50.0,26.190476190476193,$ld$age$la$lt$ns$exp$sexp$entropy$nuc$Buggy,DT,CFS,0.82,0.42,0.76,0.3231998855111871,1,0.6994134897360704,0.35714285714285715
go-ethereum,RESAMPLE_25_25,50,1412673659,50,42,50.0,26.190476190476193,$ld$age$la$lt$ns$exp$sexp$entropy$nuc$Buggy,LR,CFS,0.91,0.32,0.85,0.23698389759917404,0,0.7932551319648095,0.2619047619047619
go-ethereum,RESAMPLE_25_25,50,1412673659,50,42,50.0,26.190476190476193,$ld$age$la$lt$ns$exp$sexp$entropy$nuc$Buggy,RF,CFS,0.73,0.13,0.75,0.21334184881368687,0,0.7991202346041055,0.16666666666666666
go-ethereum,RESAMPLE_25_25,50,1412673659,50,42,50.0,26.190476190476193,$ld$age$la$lt$ns$exp$sexp$entropy$nuc$Buggy,NB,CFS,0.91,0.29,0.86,0.215118181056813,1,0.8093841642228741,0.2380952380952381
go-ethereum,RESAMPLE_25_25,50,1412673659,50,42,50.0,26.190476190476193,$ld$age$la$lt$ns$exp$sexp$entropy$nuc$Buggy,SVM,CFS,0.91,0.32,0.85,0.23698389759917404,1,0.7932551319648095,0.2619047619047619
go-ethereum,RESAMPLE_150_25_25,50,1419171186,50,736,50.0,33.69565217391305,$ns$age$entropy$sexp$ld$exp$la$Buggy,KNN,CFS,0.81,0.3,0.79,0.2531799703335567,0,0.7526110523532521,0.264945652173913
go-ethereum,RESAMPLE_150_25_25,50,1419171186,50,736,50.0,33.69565217391305,$ns$age$entropy$sexp$ld$exp$la$Buggy,DT,CFS,0.55,0.2,0.59,0.3506747884588288,0,0.6717345319936542,0.2880434782608696
go-ethereum,RESAMPLE_150_25_25,50,1419171186,50,736,50.0,33.69565217391305,$ns$age$entropy$sexp$ld$exp$la$Buggy,LR,CFS,0.72,0.25,0.73,0.26758027233742565,0,0.7328463775780011,0.26222826086956524
go-ethereum,RESAMPLE_150_25_25,50,1419171186,50,736,50.0,33.69565217391305,$ns$age$entropy$sexp$ld$exp$la$Buggy,RF,CFS,0.64,0.19,0.67,0.2866442852949564,0,0.7263022210470651,0.2459239130434783
go-ethereum,RESAMPLE_150_25_25,50,1419171186,50,736,50.0,33.69565217391305,$ns$age$entropy$sexp$ld$exp$la$Buggy,NB,CFS,0.52,0.14,0.56,0.35372114223047263,0,0.6893839238498148,0.2554347826086957
go-ethereum,RESAMPLE_150_25_25,50,1419171186,50,736,50.0,33.69565217391305,$ns$age$entropy$sexp$ld$exp$la$Buggy,SVM,CFS,0.67,0.19,0.69,0.2723300727292866,0,0.7373744050766792,0.2391304347826087
go-ethereum,RESAMPLE_300_25_25,50,1419171186,50,736,50.0,33.69565217391305,$exp$la$entropy$ld$lt$nuc$age$ns$sexp$nf$Buggy,KNN,CFS,0.81,0.28,0.79,0.2423111642236501,0,0.761832363828662,0.25271739130434784
go-ethereum,RESAMPLE_300_25_25,50,1419171186,50,736,50.0,33.69565217391305,$exp$la$entropy$ld$lt$nuc$age$ns$sexp$nf$Buggy,DT,CFS,0.81,0.38,0.76,0.3022700995348471,1,0.7126520359598096,0.3179347826086957
go-ethereum,RESAMPLE_300_25_25,50,1419171186,50,736,50.0,33.69565217391305,$exp$la$entropy$ld$lt$nuc$age$ns$sexp$nf$Buggy,LR,CFS,0.87,0.35,0.81,0.2623335695762086,0,0.7603120042305658,0.27445652173913043
go-ethereum,RESAMPLE_300_25_25,50,1419171186,50,736,50.0,33.69565217391305,$exp$la$entropy$ld$lt$nuc$age$ns$sexp$nf$Buggy,RF,CFS,0.71,0.24,0.72,0.2680962724477981,1,0.7329124801692227,0.2595108695652174
go-ethereum,RESAMPLE_300_25_25,50,1419171186,50,736,50.0,33.69565217391305,$exp$la$entropy$ld$lt$nuc$age$ns$sexp$nf$Buggy,NB,CFS,0.54,0.17,0.58,0.3439043388635618,0,0.6871364357482814,0.266304347826087
go-ethereum,RESAMPLE_300_25_25,50,1419171186,50,736,50.0,33.69565217391305,$exp$la$entropy$ld$lt$nuc$age$ns$sexp$nf$Buggy,SVM,CFS,0.74,0.2,0.75,0.2325988257218651,0,0.7695663670015864,0.22010869565217392
go-ethereum,RESAMPLE_25_25,50,1419171186,50,736,50.0,33.69565217391305,$exp$la$entropy$ld$lt$age$sexp$Buggy,KNN,CFS,0.72,0.23,0.73,0.25319872982576275,0,0.7481821787414067,0.24320652173913046
