projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
gradle,RESAMPLE_300_25_25,50,1228425482,50,251,50.0,35.059760956175296,$entropy$ndev$age$nuc$la$nf$exp$Buggy,KNN,CFS,0.77,0.26,0.76,0.2462166471437529,0,0.7544617958728388,0.25099601593625503
gradle,RESAMPLE_300_25_25,50,1228425482,50,251,50.0,35.059760956175296,$entropy$ndev$age$nuc$la$nf$exp$Buggy,DT,CFS,0.67,0.22,0.69,0.2805163617543838,0,0.7247978248745119,0.2589641434262948
gradle,RESAMPLE_300_25_25,50,1228425482,50,251,50.0,35.059760956175296,$entropy$ndev$age$nuc$la$nf$exp$Buggy,LR,CFS,0.8,0.29,0.78,0.2499808498445951,0,0.7535554935861684,0.2589641434262948
gradle,RESAMPLE_300_25_25,50,1228425482,50,251,50.0,35.059760956175296,$entropy$ndev$age$nuc$la$nf$exp$Buggy,RF,CFS,0.59,0.21,0.62,0.32669690575595306,0,0.6880925822643613,0.2828685258964144
gradle,RESAMPLE_300_25_25,50,1228425482,50,251,50.0,35.059760956175296,$entropy$ndev$age$nuc$la$nf$exp$Buggy,NB,CFS,0.86,0.4,0.79,0.3021138112645045,0,0.7293641940881205,0.3107569721115538
gradle,RESAMPLE_300_25_25,50,1228425482,50,251,50.0,35.059760956175296,$entropy$ndev$age$nuc$la$nf$exp$Buggy,SVM,CFS,0.75,0.26,0.75,0.2569945350580817,0,0.7430981595092023,0.2589641434262948
gradle,RESAMPLE_25_25,50,1228425482,50,251,50.0,35.059760956175296,$nf$la$entropy$ndev$lt$exp$sexp$Buggy,KNN,CFS,0.64,0.23,0.66,0.3054344924585179,0,0.7016174010039039,0.2788844621513944
gradle,RESAMPLE_25_25,50,1228425482,50,251,50.0,35.059760956175296,$nf$la$entropy$ndev$lt$exp$sexp$Buggy,DT,CFS,0.62,0.45,0.6,0.4130357704237205,2,0.5885736196319018,0.4223107569721116
gradle,RESAMPLE_25_25,50,1228425482,50,251,50.0,35.059760956175296,$nf$la$entropy$ndev$lt$exp$sexp$Buggy,LR,CFS,0.7,0.18,0.72,0.2438717071737246,0,0.7633156720580034,0.2191235059760956
gradle,RESAMPLE_25_25,50,1228425482,50,251,50.0,35.059760956175296,$nf$la$entropy$ndev$lt$exp$sexp$Buggy,RF,CFS,0.58,0.17,0.62,0.32116202928733456,0,0.7038831567205801,0.2589641434262948
gradle,RESAMPLE_25_25,50,1228425482,50,251,50.0,35.059760956175296,$nf$la$entropy$ndev$lt$exp$sexp$Buggy,NB,CFS,0.76,0.29,0.75,0.26801578057213965,0,0.7334425543781371,0.2749003984063745
gradle,RESAMPLE_25_25,50,1228425482,50,251,50.0,35.059760956175296,$nf$la$entropy$ndev$lt$exp$sexp$Buggy,SVM,CFS,0.66,0.15,0.69,0.2643318592719395,0,0.7528583379810374,0.2191235059760956
gradle,RESAMPLE_300_25_25,50,1231328767,50,51,50.0,49.01960784313725,$entropy$nuc$ns$la$exp$sexp$Buggy,KNN,CFS,0.8,0.19,0.8,0.19619154992087454,1,0.8038461538461539,0.19607843137254904
gradle,RESAMPLE_300_25_25,50,1231328767,50,51,50.0,49.01960784313725,$entropy$nuc$ns$la$exp$sexp$Buggy,DT,CFS,0.68,0.12,0.71,0.24053441486350305,0,0.7823076923076924,0.21568627450980396
gradle,RESAMPLE_300_25_25,50,1231328767,50,51,50.0,49.01960784313725,$entropy$nuc$ns$la$exp$sexp$Buggy,LR,CFS,0.88,0.19,0.87,0.160284510356912,0,0.8438461538461538,0.1568627450980392
gradle,RESAMPLE_300_25_25,50,1231328767,50,51,50.0,49.01960784313725,$entropy$nuc$ns$la$exp$sexp$Buggy,RF,CFS,0.64,0.12,0.68,0.2673140563713921,0,0.7623076923076924,0.2352941176470588
gradle,RESAMPLE_300_25_25,50,1231328767,50,51,50.0,49.01960784313725,$entropy$nuc$ns$la$exp$sexp$Buggy,NB,CFS,0.92,0.38,0.84,0.2777849834699855,1,0.7676923076923078,0.2352941176470588
gradle,RESAMPLE_300_25_25,50,1231328767,50,51,50.0,49.01960784313725,$entropy$nuc$ns$la$exp$sexp$Buggy,SVM,CFS,0.92,0.23,0.89,0.17270558455044596,1,0.8446153846153845,0.1568627450980392
gradle,RESAMPLE_25_25,50,1231328767,50,51,50.0,49.01960784313725,$la$ndev$entropy$ld$nf$age$exp$Buggy,KNN,CFS,0.68,0.12,0.71,0.24053441486350305,0,0.7823076923076924,0.21568627450980396
gradle,RESAMPLE_25_25,50,1231328767,50,51,50.0,49.01960784313725,$la$ndev$entropy$ld$nf$age$exp$Buggy,DT,CFS,0.72,0.31,0.71,0.29417219125285937,0,0.7061538461538461,0.29411764705882354
gradle,RESAMPLE_25_25,50,1231328767,50,51,50.0,49.01960784313725,$la$ndev$entropy$ld$nf$age$exp$Buggy,LR,CFS,0.76,0.15,0.78,0.20157956128195936,0,0.803076923076923,0.19607843137254904
gradle,RESAMPLE_25_25,50,1231328767,50,51,50.0,49.01960784313725,$la$ndev$entropy$ld$nf$age$exp$Buggy,RF,CFS,0.68,0.19,0.7,0.2639907654831036,0,0.7438461538461539,0.2549019607843137
gradle,RESAMPLE_25_25,50,1231328767,50,51,50.0,49.01960784313725,$la$ndev$entropy$ld$nf$age$exp$Buggy,NB,CFS,0.88,0.38,0.81,0.28489383468481744,1,0.7476923076923077,0.2549019607843137
gradle,RESAMPLE_25_25,50,1231328767,50,51,50.0,49.01960784313725,$la$ndev$entropy$ld$nf$age$exp$Buggy,SVM,CFS,0.72,0.12,0.75,0.2141420200094503,0,0.8023076923076923,0.19607843137254904
gradle,RESAMPLE_300_25_25,50,1242827389,50,318,50.0,38.050314465408796,$entropy$la$age$exp$sexp$nuc$Buggy,KNN,CFS,0.8,0.48,0.72,0.3687076931657135,0,0.6597096950119562,0.3742138364779874
gradle,RESAMPLE_300_25_25,50,1242827389,50,318,50.0,38.050314465408796,$entropy$la$age$exp$sexp$nuc$Buggy,DT,CFS,0.69,0.37,0.68,0.3397190396433283,0,0.66182825019927,0.34591194968553457
gradle,RESAMPLE_300_25_25,50,1242827389,50,318,50.0,38.050314465408796,$entropy$la$age$exp$sexp$nuc$Buggy,LR,CFS,0.83,0.47,0.75,0.3536815056387401,0,0.6813147627637707,0.3553459119496855
gradle,RESAMPLE_300_25_25,50,1242827389,50,318,50.0,38.050314465408796,$entropy$la$age$exp$sexp$nuc$Buggy,RF,CFS,0.72,0.29,0.72,0.285196467184861,0,0.7148340814699836,0.2861635220125786
gradle,RESAMPLE_300_25_25,50,1242827389,50,318,50.0,38.050314465408796,$entropy$la$age$exp$sexp$nuc$Buggy,NB,CFS,0.89,0.6,0.71,0.4303055216777681,0,0.6467886059487352,0.4119496855345912
