projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
grape,RESAMPLE_150_25_25,50,1350039967,50,125,50.0,22.4,$nuc$la$ld$ns$lt$exp$age$entropy$Buggy,KNN,CFS,0.82,0.33,0.78,0.26525433501928797,1,0.7457658321060383,0.29600000000000004
grape,RESAMPLE_150_25_25,50,1350039967,50,125,50.0,22.4,$nuc$la$ld$ns$lt$exp$age$entropy$Buggy,DT,CFS,0.68,0.31,0.68,0.3154119723696125,1,0.6846465390279823,0.312
grape,RESAMPLE_150_25_25,50,1350039967,50,125,50.0,22.4,$nuc$la$ld$ns$lt$exp$age$entropy$Buggy,LR,CFS,0.86,0.43,0.78,0.3224036565677689,0,0.7120765832106039,0.368
grape,RESAMPLE_150_25_25,50,1350039967,50,125,50.0,22.4,$nuc$la$ld$ns$lt$exp$age$entropy$Buggy,RF,CFS,0.54,0.3,0.57,0.3904764593422797,1,0.6183726067746684,0.336
grape,RESAMPLE_150_25_25,50,1350039967,50,125,50.0,22.4,$nuc$la$ld$ns$lt$exp$age$entropy$Buggy,NB,CFS,0.96,0.58,0.76,0.4090069782192263,1,0.6934830633284241,0.456
grape,RESAMPLE_150_25_25,50,1350039967,50,125,50.0,22.4,$nuc$la$ld$ns$lt$exp$age$entropy$Buggy,SVM,CFS,0.79,0.34,0.76,0.2843049560287279,1,0.7227540500736376,0.312
grape,RESAMPLE_300_25_25,50,1350039967,50,125,50.0,22.4,$nuc$lt$ns$la$ld$age$entropy$Buggy,KNN,CFS,0.93,0.44,0.82,0.3175027691192399,0,0.7426362297496318,0.36
grape,RESAMPLE_300_25_25,50,1350039967,50,125,50.0,22.4,$nuc$lt$ns$la$ld$age$entropy$Buggy,DT,CFS,0.71,0.34,0.7,0.3141439970453673,1,0.687039764359352,0.32799999999999996
grape,RESAMPLE_300_25_25,50,1350039967,50,125,50.0,22.4,$nuc$lt$ns$la$ld$age$entropy$Buggy,LR,CFS,0.93,0.26,0.88,0.18911346248228966,1,0.835419734904271,0.21600000000000003
grape,RESAMPLE_300_25_25,50,1350039967,50,125,50.0,22.4,$nuc$lt$ns$la$ld$age$entropy$Buggy,RF,CFS,0.86,0.26,0.83,0.20836737488515367,1,0.7997054491899852,0.23199999999999998
grape,RESAMPLE_300_25_25,50,1350039967,50,125,50.0,22.4,$nuc$lt$ns$la$ld$age$entropy$Buggy,NB,CFS,0.86,0.51,0.75,0.37120706670643466,1,0.6759941089837997,0.424
grape,RESAMPLE_300_25_25,50,1350039967,50,125,50.0,22.4,$nuc$lt$ns$la$ld$age$entropy$Buggy,SVM,CFS,0.93,0.27,0.88,0.19614808896546698,1,0.8302650957290133,0.22399999999999998
grape,RESAMPLE_25_25,50,1350039967,50,125,50.0,22.4,$nuc$ns$entropy$la$nf$ld$Buggy,KNN,CFS,0.82,0.22,0.81,0.1984411413616746,1,0.8024668630338734,0.20800000000000002
grape,RESAMPLE_25_25,50,1350039967,50,125,50.0,22.4,$nuc$ns$entropy$la$nf$ld$Buggy,DT,CFS,0.71,0.28,0.71,0.2820564327579262,0,0.7179675994108984,0.28
grape,RESAMPLE_25_25,50,1350039967,50,125,50.0,22.4,$nuc$ns$entropy$la$nf$ld$Buggy,LR,CFS,0.82,0.32,0.79,0.2588667684603605,1,0.7509204712812959,0.28800000000000003
grape,RESAMPLE_25_25,50,1350039967,50,125,50.0,22.4,$nuc$ns$entropy$la$nf$ld$Buggy,RF,CFS,0.68,0.2,0.7,0.2661614613254021,1,0.7413475699558174,0.22399999999999998
grape,RESAMPLE_25_25,50,1350039967,50,125,50.0,22.4,$nuc$ns$entropy$la$nf$ld$Buggy,NB,CFS,0.89,0.35,0.83,0.2591724158567545,1,0.7711708394698086,0.29600000000000004
grape,RESAMPLE_25_25,50,1350039967,50,125,50.0,22.4,$nuc$ns$entropy$la$nf$ld$Buggy,SVM,CFS,0.79,0.19,0.79,0.20044136631701373,1,0.8000736377025036,0.192
grape,RESAMPLE_150_25_25,50,1356362747,50,63,50.0,20.63492063492064,$ld$nuc$la$lt$age$entropy$exp$Buggy,KNN,CFS,0.69,0.08,0.73,0.22480497793978865,0,0.8061538461538462,0.12698412698412698
grape,RESAMPLE_150_25_25,50,1356362747,50,63,50.0,20.63492063492064,$ld$nuc$la$lt$age$entropy$exp$Buggy,DT,CFS,0.92,0.58,0.74,0.4137131613589985,3,0.6715384615384616,0.4761904761904762
grape,RESAMPLE_150_25_25,50,1356362747,50,63,50.0,20.63492063492064,$ld$nuc$la$lt$age$entropy$exp$Buggy,LR,CFS,0.92,0.26,0.88,0.191725271890945,2,0.8315384615384616,0.2222222222222222
grape,RESAMPLE_150_25_25,50,1356362747,50,63,50.0,20.63492063492064,$ld$nuc$la$lt$age$entropy$exp$Buggy,RF,CFS,0.62,0.2,0.65,0.30653628992571186,0,0.7076923076923077,0.2380952380952381
grape,RESAMPLE_150_25_25,50,1356362747,50,63,50.0,20.63492063492064,$ld$nuc$la$lt$age$entropy$exp$Buggy,NB,CFS,0.69,0.12,0.72,0.2335321778824256,2,0.7861538461538461,0.15873015873015872
grape,RESAMPLE_150_25_25,50,1356362747,50,63,50.0,20.63492063492064,$ld$nuc$la$lt$age$entropy$exp$Buggy,SVM,CFS,0.69,0.12,0.72,0.2335321778824256,0,0.7861538461538461,0.15873015873015872
grape,RESAMPLE_300_25_25,50,1356362747,50,63,50.0,20.63492063492064,$lt$ns$entropy$nf$la$nuc$Buggy,KNN,CFS,0.77,0.14,0.79,0.1908591599450004,2,0.8146153846153846,0.15873015873015872
grape,RESAMPLE_300_25_25,50,1356362747,50,63,50.0,20.63492063492064,$lt$ns$entropy$nf$la$nuc$Buggy,DT,CFS,0.62,0.22,0.65,0.31331213995218904,2,0.6976923076923077,0.25396825396825395
grape,RESAMPLE_300_25_25,50,1356362747,50,63,50.0,20.63492063492064,$lt$ns$entropy$nf$la$nuc$Buggy,LR,CFS,0.77,0.14,0.79,0.1908591599450004,2,0.8146153846153846,0.15873015873015872
grape,RESAMPLE_300_25_25,50,1356362747,50,63,50.0,20.63492063492064,$lt$ns$entropy$nf$la$nuc$Buggy,RF,CFS,0.69,0.08,0.73,0.22480497793978865,1,0.8061538461538462,0.12698412698412698
grape,RESAMPLE_300_25_25,50,1356362747,50,63,50.0,20.63492063492064,$lt$ns$entropy$nf$la$nuc$Buggy,NB,CFS,0.77,0.14,0.79,0.1908591599450004,2,0.8146153846153846,0.15873015873015872
