projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
grav,RESAMPLE_150_25_25,50,1414779148,50,71,50.0,30.985915492957748,$ld$entropy$la$age$lt$exp$Buggy,KNN,CFS,0.73,0.27,0.73,0.2690422865444846,1,0.7309833024118738,0.2676056338028169
grav,RESAMPLE_150_25_25,50,1414779148,50,71,50.0,30.985915492957748,$ld$entropy$la$age$lt$exp$Buggy,DT,CFS,0.73,0.39,0.7,0.3352120108587549,2,0.6697588126159555,0.35211267605633795
grav,RESAMPLE_150_25_25,50,1414779148,50,71,50.0,30.985915492957748,$ld$entropy$la$age$lt$exp$Buggy,LR,CFS,0.68,0.2,0.7,0.2672910232385542,1,0.7388682745825603,0.23943661971830985
grav,RESAMPLE_150_25_25,50,1414779148,50,71,50.0,30.985915492957748,$ld$entropy$la$age$lt$exp$Buggy,RF,CFS,0.73,0.22,0.74,0.24977573316950386,1,0.75139146567718,0.23943661971830985
grav,RESAMPLE_150_25_25,50,1414779148,50,71,50.0,30.985915492957748,$ld$entropy$la$age$lt$exp$Buggy,NB,CFS,0.77,0.41,0.73,0.33034084194006313,2,0.6822820037105751,0.35211267605633795
grav,RESAMPLE_150_25_25,50,1414779148,50,71,50.0,30.985915492957748,$ld$entropy$la$age$lt$exp$Buggy,SVM,CFS,0.68,0.14,0.71,0.2466250521406876,1,0.7694805194805194,0.19718309859154928
grav,RESAMPLE_300_25_25,50,1414779148,50,71,50.0,30.985915492957748,$sexp$lt$ns$age$exp$la$ld$entropy$Buggy,KNN,CFS,0.86,0.73,0.6,0.5283796622852112,2,0.5644712430426716,0.5492957746478874
grav,RESAMPLE_300_25_25,50,1414779148,50,71,50.0,30.985915492957748,$sexp$lt$ns$age$exp$la$ld$entropy$Buggy,DT,CFS,0.68,0.51,0.63,0.4251751840924553,2,0.5858070500927643,0.4507042253521127
grav,RESAMPLE_300_25_25,50,1414779148,50,71,50.0,30.985915492957748,$sexp$lt$ns$age$exp$la$ld$entropy$Buggy,LR,CFS,0.91,0.63,0.7,0.4519482042704869,2,0.6382189239332097,0.4647887323943662
grav,RESAMPLE_300_25_25,50,1414779148,50,71,50.0,30.985915492957748,$sexp$lt$ns$age$exp$la$ld$entropy$Buggy,RF,CFS,0.82,0.49,0.73,0.3694305705332073,2,0.6641929499072357,0.39436619718309857
grav,RESAMPLE_300_25_25,50,1414779148,50,71,50.0,30.985915492957748,$sexp$lt$ns$age$exp$la$ld$entropy$Buggy,NB,CFS,0.95,0.73,0.63,0.5205003407364077,2,0.6099257884972171,0.5211267605633803
grav,RESAMPLE_300_25_25,50,1414779148,50,71,50.0,30.985915492957748,$sexp$lt$ns$age$exp$la$ld$entropy$Buggy,SVM,CFS,0.86,0.67,0.65,0.485878615276257,2,0.5950834879406308,0.5070422535211268
grav,RESAMPLE_25_25,50,1414779148,50,71,50.0,30.985915492957748,$la$exp$sexp$ns$ld$entropy$age$lt$Buggy,KNN,CFS,0.64,0.53,0.6,0.4548520415444618,2,0.5528756957328385,0.4788732394366197
grav,RESAMPLE_25_25,50,1414779148,50,71,50.0,30.985915492957748,$la$exp$sexp$ns$ld$entropy$age$lt$Buggy,DT,CFS,0.64,0.41,0.63,0.3865414958992332,1,0.6141001855287569,0.39436619718309857
grav,RESAMPLE_25_25,50,1414779148,50,71,50.0,30.985915492957748,$la$exp$sexp$ns$ld$entropy$age$lt$Buggy,LR,CFS,0.68,0.55,0.62,0.4499239711517376,1,0.5653988868274582,0.4788732394366197
grav,RESAMPLE_25_25,50,1414779148,50,71,50.0,30.985915492957748,$la$exp$sexp$ns$ld$entropy$age$lt$Buggy,RF,CFS,0.68,0.24,0.69,0.2839143179145918,0,0.7184601113172541,0.2676056338028169
