projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
guava,RESAMPLE_150_25_25,50,1316438955,50,30,50.0,40.0,$ld$entropy$lt$la$age$exp$Buggy,KNN,CFS,0.67,0.5,0.63,0.4249182927993987,0,0.5833333333333333,0.43333333333333335
guava,RESAMPLE_150_25_25,50,1316438955,50,30,50.0,40.0,$ld$entropy$lt$la$age$exp$Buggy,DT,CFS,0.33,0.39,0.36,0.5457467417885694,3,0.4722222222222223,0.5
guava,RESAMPLE_150_25_25,50,1316438955,50,30,50.0,40.0,$ld$entropy$lt$la$age$exp$Buggy,LR,CFS,0.67,0.44,0.64,0.3928371006591931,0,0.6111111111111112,0.4
guava,RESAMPLE_150_25_25,50,1316438955,50,30,50.0,40.0,$ld$entropy$lt$la$age$exp$Buggy,RF,CFS,0.33,0.06,0.38,0.4730385101646223,0,0.6388888888888888,0.3
guava,RESAMPLE_150_25_25,50,1316438955,50,30,50.0,40.0,$ld$entropy$lt$la$age$exp$Buggy,NB,CFS,0.75,0.61,0.63,0.4668815642769892,0,0.5694444444444444,0.4666666666666667
guava,RESAMPLE_150_25_25,50,1316438955,50,30,50.0,40.0,$ld$entropy$lt$la$age$exp$Buggy,SVM,CFS,0.5,0.39,0.52,0.4479032082388083,0,0.5555555555555556,0.43333333333333335
guava,RESAMPLE_300_25_25,50,1316438955,50,30,50.0,40.0,$la$exp$lt$entropy$ld$Buggy,KNN,CFS,0.67,0.44,0.64,0.3928371006591931,0,0.6111111111111112,0.4
guava,RESAMPLE_300_25_25,50,1316438955,50,30,50.0,40.0,$la$exp$lt$entropy$ld$Buggy,DT,CFS,0.5,0.33,0.53,0.4249182927993987,3,0.5833333333333334,0.4
guava,RESAMPLE_300_25_25,50,1316438955,50,30,50.0,40.0,$la$exp$lt$entropy$ld$Buggy,LR,CFS,0.67,0.44,0.64,0.3928371006591931,0,0.6111111111111112,0.4
guava,RESAMPLE_300_25_25,50,1316438955,50,30,50.0,40.0,$la$exp$lt$entropy$ld$Buggy,RF,CFS,0.58,0.33,0.6,0.37730771408905894,0,0.6250000000000001,0.36666666666666653
guava,RESAMPLE_300_25_25,50,1316438955,50,30,50.0,40.0,$la$exp$lt$entropy$ld$Buggy,NB,CFS,0.58,0.5,0.56,0.4602233757161358,0,0.5416666666666667,0.4666666666666667
guava,RESAMPLE_300_25_25,50,1316438955,50,30,50.0,40.0,$la$exp$lt$entropy$ld$Buggy,SVM,CFS,0.42,0.33,0.45,0.4750730937913074,0,0.5416666666666667,0.43333333333333335
guava,RESAMPLE_25_25,50,1316438955,50,30,50.0,40.0,$la$entropy$exp$ld$lt$nf$Buggy,KNN,CFS,0.58,0.56,0.55,0.4910463758239913,0,0.513888888888889,0.5
