projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
homebrew-cask,RESAMPLE_150_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$ndev$age$entropy$sexp$la$lt$Buggy,KNN,CFS,0.25,0.28,0.29,0.5669117117231649,2,0.4833333333333333,0.3382352941176471
homebrew-cask,RESAMPLE_150_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$ndev$age$entropy$sexp$la$lt$Buggy,DT,CFS,0.25,0.43,0.28,0.6124858275004319,13,0.4083333333333333,0.4705882352941176
homebrew-cask,RESAMPLE_150_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$ndev$age$entropy$sexp$la$lt$Buggy,LR,CFS,0.62,0.4,0.62,0.38770156048177057,2,0.6125,0.3970588235294117
homebrew-cask,RESAMPLE_150_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$ndev$age$entropy$sexp$la$lt$Buggy,RF,CFS,0.25,0.25,0.29,0.5590169943749475,1,0.5,0.3088235294117647
homebrew-cask,RESAMPLE_150_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$ndev$age$entropy$sexp$la$lt$Buggy,NB,CFS,0.62,0.3,0.63,0.3395769426801531,2,0.6625,0.3088235294117647
homebrew-cask,RESAMPLE_150_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$ndev$age$entropy$sexp$la$lt$Buggy,SVM,CFS,0.62,0.5,0.59,0.44194173824159216,2,0.5625,0.4852941176470588
homebrew-cask,RESAMPLE_300_25_25,50,1367152103,50,68,50.0,11.764705882352944,$nuc$ndev$exp$ns$lt$sexp$la$Buggy,KNN,CFS,0.88,0.38,0.81,0.28510475657593337,3,0.7458333333333333,0.35294117647058826
homebrew-cask,RESAMPLE_300_25_25,50,1367152103,50,68,50.0,11.764705882352944,$nuc$ndev$exp$ns$lt$sexp$la$Buggy,DT,CFS,0.75,0.3,0.74,0.2761340254296815,2,0.7249999999999999,0.29411764705882354
homebrew-cask,RESAMPLE_300_25_25,50,1367152103,50,68,50.0,11.764705882352944,$nuc$ndev$exp$ns$lt$sexp$la$Buggy,LR,CFS,0.5,0.28,0.53,0.4063728446745537,3,0.6083333333333333,0.3088235294117647
homebrew-cask,RESAMPLE_300_25_25,50,1367152103,50,68,50.0,11.764705882352944,$nuc$ndev$exp$ns$lt$sexp$la$Buggy,RF,CFS,0.5,0.18,0.54,0.3765707842565001,2,0.6583333333333333,0.22058823529411764
homebrew-cask,RESAMPLE_300_25_25,50,1367152103,50,68,50.0,11.764705882352944,$nuc$ndev$exp$ns$lt$sexp$la$Buggy,NB,CFS,0.62,0.3,0.63,0.3395769426801531,2,0.6625,0.3088235294117647
homebrew-cask,RESAMPLE_300_25_25,50,1367152103,50,68,50.0,11.764705882352944,$nuc$ndev$exp$ns$lt$sexp$la$Buggy,SVM,CFS,0.62,0.37,0.62,0.3708567408342772,3,0.6291666666666667,0.36764705882352944
homebrew-cask,RESAMPLE_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$lt$entropy$age$ns$sexp$nuc$Buggy,KNN,CFS,0.38,0.18,0.43,0.460562759627345,5,0.5958333333333333,0.2352941176470588
homebrew-cask,RESAMPLE_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$lt$entropy$age$ns$sexp$nuc$Buggy,DT,CFS,0.5,0.22,0.54,0.38532093405656304,1,0.6416666666666667,0.25
homebrew-cask,RESAMPLE_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$lt$entropy$age$ns$sexp$nuc$Buggy,LR,CFS,0.5,0.28,0.53,0.4063728446745537,2,0.6083333333333333,0.3088235294117647
homebrew-cask,RESAMPLE_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$lt$entropy$age$ns$sexp$nuc$Buggy,RF,CFS,0.62,0.23,0.65,0.3123054950240585,1,0.6958333333333332,0.25
homebrew-cask,RESAMPLE_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$lt$entropy$age$ns$sexp$nuc$Buggy,NB,CFS,0.75,0.5,0.68,0.3952847075210474,3,0.625,0.4705882352941176
homebrew-cask,RESAMPLE_25_25,50,1367152103,50,68,50.0,11.764705882352944,$exp$lt$entropy$age$ns$sexp$nuc$Buggy,SVM,CFS,0.5,0.28,0.53,0.4063728446745537,1,0.6083333333333333,0.3088235294117647
homebrew-cask,RESAMPLE_150_25_25,50,1368297771,50,143,50.0,9.090909090909092,$exp$ndev$entropy$sexp$ns$age$la$nuc$Buggy,KNN,CFS,0.62,0.39,0.62,0.3884805783605064,1,0.6115384615384616,0.3916083916083916
homebrew-cask,RESAMPLE_150_25_25,50,1368297771,50,143,50.0,9.090909090909092,$exp$ndev$entropy$sexp$ns$age$la$nuc$Buggy,DT,CFS,0.54,0.42,0.55,0.4427255551238976,2,0.5576923076923076,0.42657342657342656
homebrew-cask,RESAMPLE_150_25_25,50,1368297771,50,143,50.0,9.090909090909092,$exp$ndev$entropy$sexp$ns$age$la$nuc$Buggy,LR,CFS,0.92,0.52,0.78,0.3684687649845381,1,0.7038461538461539,0.4755244755244755
homebrew-cask,RESAMPLE_150_25_25,50,1368297771,50,143,50.0,9.090909090909092,$exp$ndev$entropy$sexp$ns$age$la$nuc$Buggy,RF,CFS,0.54,0.31,0.56,0.392232270276368,2,0.6153846153846153,0.3216783216783217
homebrew-cask,RESAMPLE_150_25_25,50,1368297771,50,143,50.0,9.090909090909092,$exp$ndev$entropy$sexp$ns$age$la$nuc$Buggy,NB,CFS,0.69,0.39,0.67,0.3525477851701842,11,0.6500000000000001,0.38461538461538464
homebrew-cask,RESAMPLE_150_25_25,50,1368297771,50,143,50.0,9.090909090909092,$exp$ndev$entropy$sexp$ns$age$la$nuc$Buggy,SVM,CFS,0.69,0.55,0.62,0.4432598447195825,2,0.5730769230769229,0.5244755244755245
homebrew-cask,RESAMPLE_300_25_25,50,1368297771,50,143,50.0,9.090909090909092,$ns$exp$ndev$lt$nuc$sexp$nf$Buggy,KNN,CFS,0.85,0.43,0.77,0.32344301602505593,2,0.7076923076923076,0.4055944055944056
homebrew-cask,RESAMPLE_300_25_25,50,1368297771,50,143,50.0,9.090909090909092,$ns$exp$ndev$lt$nuc$sexp$nf$Buggy,DT,CFS,0.69,0.18,0.71,0.2537295769610868,1,0.7538461538461538,0.1958041958041958
homebrew-cask,RESAMPLE_300_25_25,50,1368297771,50,143,50.0,9.090909090909092,$ns$exp$ndev$lt$nuc$sexp$nf$Buggy,LR,CFS,0.92,0.31,0.86,0.2242673805709731,1,0.8076923076923077,0.2867132867132867
homebrew-cask,RESAMPLE_300_25_25,50,1368297771,50,143,50.0,9.090909090909092,$ns$exp$ndev$lt$nuc$sexp$nf$Buggy,RF,CFS,0.69,0.25,0.7,0.27862723501961284,0,0.7230769230769231,0.2517482517482518
homebrew-cask,RESAMPLE_300_25_25,50,1368297771,50,143,50.0,9.090909090909092,$ns$exp$ndev$lt$nuc$sexp$nf$Buggy,NB,CFS,0.69,0.39,0.67,0.3525477851701842,12,0.6500000000000001,0.38461538461538464
homebrew-cask,RESAMPLE_300_25_25,50,1368297771,50,143,50.0,9.090909090909092,$ns$exp$ndev$lt$nuc$sexp$nf$Buggy,SVM,CFS,1.0,0.47,0.85,0.3317962588644569,2,0.7653846153846153,0.42657342657342656
