projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
ionic,RESAMPLE_300_25_25,50,1431452003,50,75,50.0,26.66666666666667,$la$ns$ndev$age$exp$entropy$sexp$lt$Buggy,KNN,CFS,0.15,0.04,0.18,0.6015905227185626,0,0.5568181818181818,0.2533333333333333
ionic,RESAMPLE_300_25_25,50,1431452003,50,75,50.0,26.66666666666667,$la$ns$ndev$age$exp$entropy$sexp$lt$Buggy,DT,CFS,0.05,0.09,0.06,0.6748201474503844,5,0.4795454545454546,0.32
ionic,RESAMPLE_300_25_25,50,1431452003,50,75,50.0,26.66666666666667,$la$ns$ndev$age$exp$entropy$sexp$lt$Buggy,LR,CFS,0.3,0.05,0.35,0.4964751789422962,0,0.6227272727272727,0.22666666666666666
ionic,RESAMPLE_300_25_25,50,1431452003,50,75,50.0,26.66666666666667,$la$ns$ndev$age$exp$entropy$sexp$lt$Buggy,RF,CFS,0.0,0.02,0.0,0.7072236486827901,1,0.4909090909090909,0.28
ionic,RESAMPLE_300_25_25,50,1431452003,50,75,50.0,26.66666666666667,$la$ns$ndev$age$exp$entropy$sexp$lt$Buggy,NB,CFS,0.1,0.13,0.12,0.6427279156483862,2,0.4863636363636365,0.3333333333333333
ionic,RESAMPLE_300_25_25,50,1431452003,50,75,50.0,26.66666666666667,$la$ns$ndev$age$exp$entropy$sexp$lt$Buggy,SVM,CFS,0.15,0.05,0.18,0.6022770154221271,0,0.5477272727272727,0.26666666666666666
ionic,RESAMPLE_25_25,50,1431452003,50,75,50.0,26.66666666666667,$exp$entropy$la$age$ns$Buggy,KNN,CFS,0.4,0.22,0.44,0.4514439642885504,0,0.5909090909090908,0.32
ionic,RESAMPLE_25_25,50,1431452003,50,75,50.0,26.66666666666667,$exp$entropy$la$age$ns$Buggy,DT,CFS,0.05,0.02,0.06,0.6718744594462557,1,0.515909090909091,0.26666666666666666
ionic,RESAMPLE_25_25,50,1431452003,50,75,50.0,26.66666666666667,$exp$entropy$la$age$ns$Buggy,LR,CFS,0.1,0.13,0.12,0.6427279156483862,2,0.4863636363636365,0.3333333333333333
ionic,RESAMPLE_25_25,50,1431452003,50,75,50.0,26.66666666666667,$exp$entropy$la$age$ns$Buggy,RF,CFS,0.2,0.09,0.24,0.5693261204309519,2,0.5545454545454545,0.28
ionic,RESAMPLE_25_25,50,1431452003,50,75,50.0,26.66666666666667,$exp$entropy$la$age$ns$Buggy,NB,CFS,0.2,0.02,0.24,0.5658315025307431,1,0.5909090909090909,0.22666666666666666
ionic,RESAMPLE_25_25,50,1431452003,50,75,50.0,26.66666666666667,$exp$entropy$la$age$ns$Buggy,SVM,CFS,0.15,0.11,0.18,0.6059706372615263,2,0.5204545454545454,0.30666666666666664
ionic,RESAMPLE_300_25_25,50,1435682230,50,390,50.0,18.46153846153846,$ns$exp$entropy$fix$sexp$nuc$Buggy,KNN,CFS,0.0,0.01,0.0,0.7071382466123585,3,0.4952830188679245,0.19230769230769232
ionic,RESAMPLE_300_25_25,50,1435682230,50,390,50.0,18.46153846153846,$ns$exp$entropy$fix$sexp$nuc$Buggy,DT,CFS,0.01,0.03,0.01,0.6975127274158278,7,0.4943658280922432,0.20256410256410254
ionic,RESAMPLE_300_25_25,50,1435682230,50,390,50.0,18.46153846153846,$ns$exp$entropy$fix$sexp$nuc$Buggy,LR,CFS,0.08,0.03,0.1,0.6485625115249596,2,0.5259433962264151,0.19487179487179487
ionic,RESAMPLE_300_25_25,50,1435682230,50,390,50.0,18.46153846153846,$ns$exp$entropy$fix$sexp$nuc$Buggy,RF,CFS,0.01,0.02,0.01,0.6973744850115065,5,0.4990828092243186,0.19487179487179487
ionic,RESAMPLE_300_25_25,50,1435682230,50,390,50.0,18.46153846153846,$ns$exp$entropy$fix$sexp$nuc$Buggy,NB,CFS,0.07,0.08,0.09,0.6607354285716122,5,0.492269392033543,0.24102564102564106
ionic,RESAMPLE_300_25_25,50,1435682230,50,390,50.0,18.46153846153846,$ns$exp$entropy$fix$sexp$nuc$Buggy,SVM,CFS,0.07,0.03,0.09,0.658306402358097,3,0.5205712788259957,0.19487179487179487
ionic,RESAMPLE_25_25,50,1435682230,50,390,50.0,18.46153846153846,$la$lt$entropy$age$exp$sexp$fix$ld$Buggy,KNN,CFS,0.56,0.27,0.59,0.3667272832991891,7,0.6441299790356394,0.3
ionic,RESAMPLE_25_25,50,1435682230,50,390,50.0,18.46153846153846,$la$lt$entropy$age$exp$sexp$fix$ld$Buggy,DT,CFS,0.58,0.44,0.58,0.4286213702369176,12,0.5715408805031447,0.4358974358974359
ionic,RESAMPLE_25_25,50,1435682230,50,390,50.0,18.46153846153846,$la$lt$entropy$age$exp$sexp$fix$ld$Buggy,LR,CFS,0.43,0.17,0.48,0.4201802351164933,1,0.6303721174004193,0.2435897435897436
ionic,RESAMPLE_25_25,50,1435682230,50,390,50.0,18.46153846153846,$la$lt$entropy$age$exp$sexp$fix$ld$Buggy,RF,CFS,0.46,0.26,0.5,0.4261329010267186,9,0.5970911949685535,0.3153846153846154
ionic,RESAMPLE_25_25,50,1435682230,50,390,50.0,18.46153846153846,$la$lt$entropy$age$exp$sexp$fix$ld$Buggy,NB,CFS,0.1,0.1,0.12,0.6420712188919808,3,0.4998689727463313,0.24615384615384614
ionic,RESAMPLE_25_25,50,1435682230,50,390,50.0,18.46153846153846,$la$lt$entropy$age$exp$sexp$fix$ld$Buggy,SVM,CFS,0.51,0.2,0.55,0.3720273774977189,6,0.6563155136268344,0.25384615384615383
ionic,RESAMPLE_300_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$lt$ns$exp$entropy$la$age$sexp$Buggy,KNN,CFS,0.14,0.02,0.17,0.6062230427417127,3,0.5625,0.07641196013289038
ionic,RESAMPLE_300_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$lt$ns$exp$entropy$la$age$sexp$Buggy,DT,CFS,0.1,0.01,0.12,0.6398081353916802,2,0.5422619047619048,0.07308970099667775
ionic,RESAMPLE_300_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$lt$ns$exp$entropy$la$age$sexp$Buggy,LR,CFS,0.48,0.06,0.53,0.3725867169908296,1,0.7095238095238096,0.08970099667774087
ionic,RESAMPLE_300_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$lt$ns$exp$entropy$la$age$sexp$Buggy,RF,CFS,0.19,0.02,0.23,0.5725590256632767,1,0.5863095238095237,0.07308970099667775
ionic,RESAMPLE_300_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$lt$ns$exp$entropy$la$age$sexp$Buggy,NB,CFS,0.24,0.21,0.28,0.5589719923293266,2,0.5136904761904761,0.24916943521594684
ionic,RESAMPLE_300_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$lt$ns$exp$entropy$la$age$sexp$Buggy,SVM,CFS,0.1,0.0,0.12,0.6397682625023028,0,0.5458333333333334,0.0664451827242525
ionic,RESAMPLE_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$ns$la$entropy$lt$age$exp$Buggy,KNN,CFS,0.38,0.28,0.42,0.4789806648751733,6,0.5529761904761905,0.29900332225913623
ionic,RESAMPLE_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$ns$la$entropy$lt$age$exp$Buggy,DT,CFS,0.38,0.28,0.42,0.4800114558345731,8,0.5511904761904761,0.3023255813953488
ionic,RESAMPLE_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$ns$la$entropy$lt$age$exp$Buggy,LR,CFS,0.52,0.24,0.56,0.3757117206744477,7,0.644047619047619,0.25249169435215946
ionic,RESAMPLE_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$ns$la$entropy$lt$age$exp$Buggy,RF,CFS,0.29,0.21,0.33,0.5265950017977453,10,0.5374999999999999,0.24584717607973425
ionic,RESAMPLE_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$ns$la$entropy$lt$age$exp$Buggy,NB,CFS,0.48,0.93,0.22,0.75606438990208,29,0.2720238095238095,0.903654485049834
ionic,RESAMPLE_25_25,50,1439496246,50,301,50.0,6.9767441860465125,$ns$la$entropy$lt$age$exp$Buggy,SVM,CFS,0.38,0.3,0.42,0.4853297088617745,10,0.5422619047619047,0.31893687707641194
ionic,RESAMPLE_300_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$entropy$lt$age$fix$exp$ndev$sexp$ld$ns$nuc$Buggy,KNN,CFS,0.34,0.14,0.39,0.4757795396743969,12,0.6005068025367228,0.1605550049554014
ionic,RESAMPLE_300_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$entropy$lt$age$fix$exp$ndev$sexp$ld$ns$nuc$Buggy,DT,CFS,0.32,0.22,0.36,0.5071849617572793,10,0.5502737275733103,0.23290386521308226
ionic,RESAMPLE_300_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$entropy$lt$age$fix$exp$ndev$sexp$ld$ns$nuc$Buggy,LR,CFS,0.29,0.04,0.34,0.5033480836126486,2,0.6231096536397637,0.06838453914767098
ionic,RESAMPLE_300_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$entropy$lt$age$fix$exp$ndev$sexp$ld$ns$nuc$Buggy,RF,CFS,0.24,0.13,0.28,0.5476254374643388,12,0.5525096211176758,0.15559960356788902
ionic,RESAMPLE_300_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$entropy$lt$age$fix$exp$ndev$sexp$ld$ns$nuc$Buggy,NB,CFS,0.24,0.32,0.28,0.5846706053102985,21,0.459306737492547,0.33498513379583744
ionic,RESAMPLE_300_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$entropy$lt$age$fix$exp$ndev$sexp$ld$ns$nuc$Buggy,SVM,CFS,0.29,0.07,0.34,0.5050714068927608,4,0.608176594937395,0.0971258671952428
ionic,RESAMPLE_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$ns$lt$age$exp$sexp$Buggy,KNN,CFS,0.66,0.47,0.63,0.4131973475141282,10,0.592078161417963,0.468780971258672
ionic,RESAMPLE_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$ns$lt$age$exp$sexp$Buggy,DT,CFS,0.63,0.37,0.63,0.3670144679162676,10,0.6329882378448696,0.3657086223984143
ionic,RESAMPLE_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$ns$lt$age$exp$sexp$Buggy,LR,CFS,0.55,0.27,0.58,0.3694211641863435,8,0.6414033280936636,0.27651139742319125
ionic,RESAMPLE_25_25,50,1446761357,50,1009,50.0,3.7661050545094152,$la$ns$lt$age$exp$sexp$Buggy,RF,CFS,0.42,0.29,0.46,0.45898216613129705,9,0.5637703940592986,0.30426164519326065
