projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
ipython,RESAMPLE_150_25_25,50,1249403915,50,444,50.0,44.81981981981982,$la$ns$entropy$lt$fix$exp$nuc$sexp$ld$age$Buggy,KNN,CFS,0.73,0.31,0.72,0.2869176763267997,0,0.7137729463644754,0.2882882882882883
ipython,RESAMPLE_150_25_25,50,1249403915,50,444,50.0,44.81981981981982,$la$ns$entropy$lt$fix$exp$nuc$sexp$ld$age$Buggy,DT,CFS,0.78,0.79,0.51,0.5813316905015694,0,0.4935288688339658,0.536036036036036
ipython,RESAMPLE_150_25_25,50,1249403915,50,444,50.0,44.81981981981982,$la$ns$entropy$lt$fix$exp$nuc$sexp$ld$age$Buggy,LR,CFS,0.73,0.36,0.71,0.3185076410704413,0,0.6852015177930468,0.31981981981981983
ipython,RESAMPLE_150_25_25,50,1249403915,50,444,50.0,44.81981981981982,$la$ns$entropy$lt$fix$exp$nuc$sexp$ld$age$Buggy,RF,CFS,0.59,0.24,0.62,0.3358962971033618,0,0.6740334324684648,0.31756756756756754
ipython,RESAMPLE_150_25_25,50,1249403915,50,444,50.0,44.81981981981982,$la$ns$entropy$lt$fix$exp$nuc$sexp$ld$age$Buggy,NB,CFS,0.88,0.47,0.78,0.3398932735681719,0,0.7070454312378216,0.3108108108108108
ipython,RESAMPLE_150_25_25,50,1249403915,50,444,50.0,44.81981981981982,$la$ns$entropy$lt$fix$exp$nuc$sexp$ld$age$Buggy,SVM,CFS,0.63,0.22,0.66,0.3071441069366826,0,0.7018254537996103,0.2905405405405405
ipython,RESAMPLE_300_25_25,50,1249403915,50,444,50.0,44.81981981981982,$exp$la$ns$entropy$lt$nuc$ndev$Buggy,KNN,CFS,0.61,0.24,0.64,0.3237868120488224,0,0.6856527535637371,0.3063063063063063
ipython,RESAMPLE_300_25_25,50,1249403915,50,444,50.0,44.81981981981982,$exp$la$ns$entropy$lt$nuc$ndev$Buggy,DT,CFS,0.72,0.74,0.53,0.5590076805929323,0,0.4899087273100195,0.5337837837837838
ipython,RESAMPLE_300_25_25,50,1249403915,50,444,50.0,44.81981981981982,$exp$la$ns$entropy$lt$nuc$ndev$Buggy,LR,CFS,0.64,0.24,0.66,0.30437416809529305,0,0.701199876935699,0.2927927927927928
ipython,RESAMPLE_300_25_25,50,1249403915,50,444,50.0,44.81981981981982,$exp$la$ns$entropy$lt$nuc$ndev$Buggy,RF,CFS,0.63,0.26,0.65,0.3167725981567318,0,0.6880114860014357,0.3063063063063063
ipython,RESAMPLE_300_25_25,50,1249403915,50,444,50.0,44.81981981981982,$exp$la$ns$entropy$lt$nuc$ndev$Buggy,NB,CFS,0.88,0.56,0.73,0.4044944177117841,0,0.6601066557276176,0.36261261261261263
ipython,RESAMPLE_300_25_25,50,1249403915,50,444,50.0,44.81981981981982,$exp$la$ns$entropy$lt$nuc$ndev$Buggy,SVM,CFS,0.58,0.21,0.61,0.3340847313663715,0,0.6828222746384986,0.3063063063063063
ipython,RESAMPLE_25_25,50,1249403915,50,444,50.0,44.81981981981982,$ns$nuc$sexp$exp$ndev$nf$Buggy,KNN,CFS,0.64,0.27,0.66,0.3161206477617541,0,0.6869141626499846,0.30855855855855857
ipython,RESAMPLE_25_25,50,1249403915,50,444,50.0,44.81981981981982,$ns$nuc$sexp$exp$ndev$nf$Buggy,DT,CFS,0.69,0.33,0.69,0.3187998824940386,0,0.681427545892729,0.31981981981981983
ipython,RESAMPLE_25_25,50,1249403915,50,444,50.0,44.81981981981982,$ns$nuc$sexp$exp$ndev$nf$Buggy,LR,CFS,0.92,0.54,0.77,0.3875406767400066,0,0.6908829863603734,0.3333333333333333
ipython,RESAMPLE_25_25,50,1249403915,50,444,50.0,44.81981981981982,$ns$nuc$sexp$exp$ndev$nf$Buggy,RF,CFS,0.7,0.37,0.68,0.3360435750841591,0,0.6655727617680238,0.33783783783783783
ipython,RESAMPLE_25_25,50,1249403915,50,444,50.0,44.81981981981982,$ns$nuc$sexp$exp$ndev$nf$Buggy,NB,CFS,0.87,0.56,0.73,0.4032422049597375,0,0.6571223464260076,0.3648648648648649
ipython,RESAMPLE_25_25,50,1249403915,50,444,50.0,44.81981981981982,$ns$nuc$sexp$exp$ndev$nf$Buggy,SVM,CFS,0.94,0.55,0.77,0.3890875839498861,0,0.6963798584760537,0.3288288288288289
ipython,RESAMPLE_150_25_25,50,1286837205,50,909,50.0,49.28492849284928,$fix$la$lt$ns$exp$ld$Buggy,KNN,CFS,0.75,0.66,0.6,0.499237870874136,0,0.5441659242330337,0.4587458745874588
ipython,RESAMPLE_150_25_25,50,1286837205,50,909,50.0,49.28492849284928,$fix$la$lt$ns$exp$ld$Buggy,DT,CFS,0.58,0.53,0.55,0.4776200659109245,5,0.5255364889990704,0.4752475247524752
ipython,RESAMPLE_150_25_25,50,1286837205,50,909,50.0,49.28492849284928,$fix$la$lt$ns$exp$ld$Buggy,LR,CFS,0.68,0.65,0.57,0.5104783093398061,0,0.5160753021382088,0.4862486248624863
