projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
istio,RESAMPLE_150_25_25,50,1504209063,50,236,50.0,55.932203389830505,$la$sexp$entropy$exp$lt$Buggy,KNN,CFS,0.79,0.47,0.72,0.3653637607763901,1,0.6583624708624709,0.326271186440678
istio,RESAMPLE_150_25_25,50,1504209063,50,236,50.0,55.932203389830505,$la$sexp$entropy$exp$lt$Buggy,DT,CFS,0.73,0.64,0.61,0.4946784052861641,1,0.5415209790209791,0.4364406779661017
istio,RESAMPLE_150_25_25,50,1504209063,50,236,50.0,55.932203389830505,$la$sexp$entropy$exp$lt$Buggy,LR,CFS,0.88,0.38,0.81,0.2851502870519177,1,0.7470862470862472,0.23728813559322035
istio,RESAMPLE_150_25_25,50,1504209063,50,236,50.0,55.932203389830505,$la$sexp$entropy$exp$lt$Buggy,RF,CFS,0.54,0.51,0.53,0.4864482783035956,0,0.5141317016317016,0.4830508474576271
istio,RESAMPLE_150_25_25,50,1504209063,50,236,50.0,55.932203389830505,$la$sexp$entropy$exp$lt$Buggy,NB,CFS,0.89,0.7,0.64,0.5027967924806479,2,0.5922202797202797,0.3728813559322034
istio,RESAMPLE_150_25_25,50,1504209063,50,236,50.0,55.932203389830505,$la$sexp$entropy$exp$lt$Buggy,SVM,CFS,0.68,0.4,0.66,0.3635459980510163,1,0.6389860139860141,0.3559322033898305
istio,RESAMPLE_300_25_25,50,1504209063,50,236,50.0,55.932203389830505,$ld$exp$sexp$la$entropy$lt$Buggy,KNN,CFS,0.8,0.21,0.8,0.2080713383496941,0,0.791958041958042,0.2076271186440678
istio,RESAMPLE_300_25_25,50,1504209063,50,236,50.0,55.932203389830505,$ld$exp$sexp$la$entropy$lt$Buggy,DT,CFS,0.58,0.19,0.61,0.3293659689826797,0,0.6917249417249417,0.3220338983050847
istio,RESAMPLE_300_25_25,50,1504209063,50,236,50.0,55.932203389830505,$ld$exp$sexp$la$entropy$lt$Buggy,LR,CFS,0.85,0.24,0.83,0.20092486711737395,1,0.8040501165501165,0.1906779661016949
istio,RESAMPLE_300_25_25,50,1504209063,50,236,50.0,55.932203389830505,$ld$exp$sexp$la$entropy$lt$Buggy,RF,CFS,0.66,0.24,0.68,0.2949608207695323,1,0.7093531468531469,0.2966101694915254
istio,RESAMPLE_300_25_25,50,1504209063,50,236,50.0,55.932203389830505,$ld$exp$sexp$la$entropy$lt$Buggy,NB,CFS,0.85,0.57,0.71,0.4152076943471415,2,0.6405885780885782,0.3347457627118644
