projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
jekyll,RESAMPLE_150_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$exp$ns$la$lt$age$fix$nuc$Buggy,KNN,CFS,0.86,0.35,0.81,0.2658863949441489,2,0.7546583850931676,0.3
jekyll,RESAMPLE_150_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$exp$ns$la$lt$age$fix$nuc$Buggy,DT,CFS,0.14,0.04,0.17,0.6068707591898223,1,0.5496894409937888,0.2333333333333333
jekyll,RESAMPLE_150_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$exp$ns$la$lt$age$fix$nuc$Buggy,LR,CFS,0.71,0.26,0.72,0.2735741061558415,1,0.7267080745341614,0.26666666666666666
jekyll,RESAMPLE_150_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$exp$ns$la$lt$age$fix$nuc$Buggy,RF,CFS,0.43,0.09,0.48,0.4087126428909838,1,0.6708074534161491,0.2
jekyll,RESAMPLE_150_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$exp$ns$la$lt$age$fix$nuc$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.2333333333333333
jekyll,RESAMPLE_150_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$exp$ns$la$lt$age$fix$nuc$Buggy,SVM,CFS,0.57,0.26,0.6,0.3547720390930392,1,0.65527950310559,0.3
jekyll,RESAMPLE_300_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$age$lt$nuc$la$ns$Buggy,KNN,CFS,0.57,0.35,0.58,0.3902924904191989,2,0.6118012422360248,0.36666666666666653
jekyll,RESAMPLE_300_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$age$lt$nuc$la$ns$Buggy,DT,CFS,0.71,0.26,0.72,0.2735741061558415,1,0.7267080745341614,0.26666666666666666
jekyll,RESAMPLE_300_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$age$lt$nuc$la$ns$Buggy,LR,CFS,0.71,0.22,0.72,0.25386180518864354,1,0.7484472049689441,0.2333333333333333
jekyll,RESAMPLE_300_25_25,50,1263308956,50,30,50.0,23.33333333333333,$ld$entropy$age$lt$nuc$la$ns$Buggy,RF,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.2333333333333333
