projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
kafka,RESAMPLE_25_25,50,1398166090,50,63,50.0,20.63492063492064,$la$lt$ns$entropy$ld$age$nuc$Buggy,KNN,CFS,0.62,0.22,0.65,0.31331213995218904,4,0.6976923076923077,0.25396825396825395
kafka,RESAMPLE_25_25,50,1398166090,50,63,50.0,20.63492063492064,$la$lt$ns$entropy$ld$age$nuc$Buggy,DT,CFS,0.54,0.3,0.57,0.38924141061768464,2,0.619230769230769,0.3333333333333333
kafka,RESAMPLE_25_25,50,1398166090,50,63,50.0,20.63492063492064,$la$lt$ns$entropy$ld$age$nuc$Buggy,LR,CFS,0.85,0.46,0.76,0.3429785992254141,3,0.6930769230769231,0.3968253968253968
kafka,RESAMPLE_25_25,50,1398166090,50,63,50.0,20.63492063492064,$la$lt$ns$entropy$ld$age$nuc$Buggy,RF,CFS,0.46,0.1,0.51,0.3872601376351346,1,0.6807692307692309,0.19047619047619047
kafka,RESAMPLE_25_25,50,1398166090,50,63,50.0,20.63492063492064,$la$lt$ns$entropy$ld$age$nuc$Buggy,NB,CFS,1.0,0.52,0.82,0.3676955262170047,5,0.74,0.4126984126984127
kafka,RESAMPLE_25_25,50,1398166090,50,63,50.0,20.63492063492064,$la$lt$ns$entropy$ld$age$nuc$Buggy,SVM,CFS,0.62,0.18,0.65,0.3002740365756255,4,0.7176923076923077,0.2222222222222222
kafka,RESAMPLE_25_25,50,1413879964,50,165,50.0,15.151515151515152,$nuc$entropy$age$ns$la$lt$Buggy,KNN,CFS,0.72,0.27,0.72,0.2757475923627939,0,0.7242857142857144,0.2727272727272727
kafka,RESAMPLE_25_25,50,1413879964,50,165,50.0,15.151515151515152,$nuc$entropy$age$ns$la$lt$Buggy,DT,CFS,0.52,0.33,0.54,0.4113144683046472,3,0.5957142857142858,0.3515151515151515
kafka,RESAMPLE_25_25,50,1413879964,50,165,50.0,15.151515151515152,$nuc$entropy$age$ns$la$lt$Buggy,LR,CFS,0.84,0.29,0.81,0.2315519953069121,0,0.7771428571428571,0.26666666666666666
kafka,RESAMPLE_25_25,50,1413879964,50,165,50.0,15.151515151515152,$nuc$entropy$age$ns$la$lt$Buggy,RF,CFS,0.52,0.15,0.56,0.3555980877338909,0,0.685,0.2
kafka,RESAMPLE_25_25,50,1413879964,50,165,50.0,15.151515151515152,$nuc$entropy$age$ns$la$lt$Buggy,NB,CFS,0.8,0.33,0.77,0.2719918966379967,0,0.7357142857142858,0.3090909090909091
kafka,RESAMPLE_25_25,50,1413879964,50,165,50.0,15.151515151515152,$nuc$entropy$age$ns$la$lt$Buggy,SVM,CFS,0.64,0.24,0.66,0.30427062336824096,0,0.7021428571428571,0.2545454545454545
kafka,RESAMPLE_25_25,50,1421171077,50,62,50.0,16.129032258064516,$age$nuc$lt$la$entropy$exp$Buggy,KNN,CFS,0.9,0.37,0.83,0.26786742724691565,0,0.7673076923076922,0.3225806451612903
kafka,RESAMPLE_25_25,50,1421171077,50,62,50.0,16.129032258064516,$age$nuc$lt$la$entropy$exp$Buggy,DT,CFS,0.7,0.35,0.69,0.32390005032965075,0,0.676923076923077,0.3387096774193548
kafka,RESAMPLE_25_25,50,1421171077,50,62,50.0,16.129032258064516,$age$nuc$lt$la$entropy$exp$Buggy,LR,CFS,0.8,0.31,0.78,0.2594942737451231,0,0.7461538461538462,0.2903225806451613
kafka,RESAMPLE_25_25,50,1421171077,50,62,50.0,16.129032258064516,$age$nuc$lt$la$entropy$exp$Buggy,RF,CFS,0.9,0.27,0.86,0.20308275049913974,0,0.8153846153846155,0.2419354838709677
kafka,RESAMPLE_25_25,50,1421171077,50,62,50.0,16.129032258064516,$age$nuc$lt$la$entropy$exp$Buggy,NB,CFS,0.8,0.29,0.78,0.2482036051023409,0,0.7557692307692309,0.27419354838709675
kafka,RESAMPLE_25_25,50,1421171077,50,62,50.0,16.129032258064516,$age$nuc$lt$la$entropy$exp$Buggy,SVM,CFS,0.9,0.33,0.84,0.2417423196555085,0,0.7865384615384616,0.2903225806451613
kafka,RESAMPLE_25_25,50,1424785930,50,28,50.0,21.428571428571427,$exp$la$lt$age$entropy$nuc$Buggy,KNN,CFS,0.67,0.18,0.7,0.2684855325252932,1,0.7424242424242422,0.21428571428571427
kafka,RESAMPLE_25_25,50,1424785930,50,28,50.0,21.428571428571427,$exp$la$lt$age$entropy$nuc$Buggy,DT,CFS,0.67,0.45,0.64,0.39857413448381535,4,0.606060606060606,0.42857142857142855
kafka,RESAMPLE_25_25,50,1424785930,50,28,50.0,21.428571428571427,$exp$la$lt$age$entropy$nuc$Buggy,LR,CFS,0.67,0.45,0.64,0.39857413448381535,5,0.606060606060606,0.42857142857142855
kafka,RESAMPLE_25_25,50,1424785930,50,28,50.0,21.428571428571427,$exp$la$lt$age$entropy$nuc$Buggy,RF,CFS,0.67,0.18,0.7,0.2684855325252932,0,0.7424242424242422,0.21428571428571427
kafka,RESAMPLE_25_25,50,1424785930,50,28,50.0,21.428571428571427,$exp$la$lt$age$entropy$nuc$Buggy,NB,CFS,0.33,0.18,0.37,0.4886216817150637,3,0.5757575757575757,0.2857142857142857
kafka,RESAMPLE_25_25,50,1424785930,50,28,50.0,21.428571428571427,$exp$la$lt$age$entropy$nuc$Buggy,SVM,CFS,0.67,0.27,0.68,0.30454168548851185,2,0.696969696969697,0.2857142857142857
kafka,RESAMPLE_25_25,50,1441218737,50,261,50.0,26.436781609195403,$entropy$la$ns$age$lt$exp$nuc$Buggy,KNN,CFS,0.67,0.27,0.68,0.30138658873290225,0,0.7005208333333333,0.2835249042145594
