projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
libsass,RESAMPLE_150_25_25,50,1401819271,50,193,50.0,34.196891191709845,$exp$ns$sexp$la$entropy$lt$ndev$Buggy,KNN,CFS,0.65,0.34,0.65,0.3435694390512392,0,0.6564662371748985,0.34196891191709844
libsass,RESAMPLE_150_25_25,50,1401819271,50,193,50.0,34.196891191709845,$exp$ns$sexp$la$entropy$lt$ndev$Buggy,DT,CFS,0.45,0.24,0.49,0.42030986947563337,0,0.6091624910522548,0.34196891191709844
libsass,RESAMPLE_150_25_25,50,1401819271,50,193,50.0,34.196891191709845,$exp$ns$sexp$la$entropy$lt$ndev$Buggy,LR,CFS,0.8,0.26,0.79,0.23055931618631714,0,0.7715938916726317,0.2383419689119171
libsass,RESAMPLE_150_25_25,50,1401819271,50,193,50.0,34.196891191709845,$exp$ns$sexp$la$entropy$lt$ndev$Buggy,RF,CFS,0.42,0.22,0.46,0.4359500448781001,3,0.6018849916487712,0.34196891191709844
libsass,RESAMPLE_150_25_25,50,1401819271,50,193,50.0,34.196891191709845,$exp$ns$sexp$la$entropy$lt$ndev$Buggy,NB,CFS,0.74,0.39,0.71,0.332675202631144,3,0.6743617275113338,0.3471502590673575
libsass,RESAMPLE_150_25_25,50,1401819271,50,193,50.0,34.196891191709845,$exp$ns$sexp$la$entropy$lt$ndev$Buggy,SVM,CFS,0.77,0.32,0.75,0.2791729759543358,0,0.7249463135289906,0.2901554404145077
libsass,RESAMPLE_300_25_25,50,1401819271,50,193,50.0,34.196891191709845,$ndev$la$ns$exp$entropy$sexp$lt$Buggy,KNN,CFS,0.7,0.45,0.66,0.3829267341355543,3,0.6240753996659509,0.39896373056994816
libsass,RESAMPLE_300_25_25,50,1401819271,50,193,50.0,34.196891191709845,$ndev$la$ns$exp$entropy$sexp$lt$Buggy,DT,CFS,0.17,0.05,0.2,0.5902018506021705,1,0.5597112860892388,0.3160621761658031
libsass,RESAMPLE_300_25_25,50,1401819271,50,193,50.0,34.196891191709845,$ndev$la$ns$exp$entropy$sexp$lt$Buggy,LR,CFS,0.79,0.29,0.77,0.2548269789367991,0,0.7482701026008113,0.26424870466321243
libsass,RESAMPLE_300_25_25,50,1401819271,50,193,50.0,34.196891191709845,$ndev$la$ns$exp$entropy$sexp$lt$Buggy,RF,CFS,0.15,0.03,0.18,0.6003826030509046,0,0.560009544261513,0.31088082901554404
libsass,RESAMPLE_300_25_25,50,1401819271,50,193,50.0,34.196891191709845,$ndev$la$ns$exp$entropy$sexp$lt$Buggy,NB,CFS,0.56,0.35,0.58,0.3956635401705628,3,0.6070746838463373,0.3782383419689119
libsass,RESAMPLE_300_25_25,50,1401819271,50,193,50.0,34.196891191709845,$ndev$la$ns$exp$entropy$sexp$lt$Buggy,SVM,CFS,0.65,0.44,0.63,0.3974129329100183,3,0.6052851348126937,0.4093264248704663
libsass,RESAMPLE_25_25,50,1401819271,50,193,50.0,34.196891191709845,$la$ns$lt$exp$ndev$entropy$Buggy,KNN,CFS,0.48,0.19,0.52,0.38800332149805394,0,0.6479360534478645,0.3005181347150259
libsass,RESAMPLE_25_25,50,1401819271,50,193,50.0,34.196891191709845,$la$ns$lt$exp$ndev$entropy$Buggy,DT,CFS,0.17,0.11,0.2,0.5943889588259917,0,0.5282152230971129,0.35751295336787564
libsass,RESAMPLE_25_25,50,1401819271,50,193,50.0,34.196891191709845,$la$ns$lt$exp$ndev$entropy$Buggy,LR,CFS,0.58,0.2,0.61,0.33070508918615393,0,0.6894535910283941,0.2746113989637305
libsass,RESAMPLE_25_25,50,1401819271,50,193,50.0,34.196891191709845,$la$ns$lt$exp$ndev$entropy$Buggy,RF,CFS,0.23,0.11,0.27,0.5519327234004963,0,0.5585182534001432,0.3367875647668393
libsass,RESAMPLE_25_25,50,1401819271,50,193,50.0,34.196891191709845,$la$ns$lt$exp$ndev$entropy$Buggy,NB,CFS,0.86,0.44,0.78,0.3263643900512828,3,0.7113457408732999,0.3367875647668393
libsass,RESAMPLE_25_25,50,1401819271,50,193,50.0,34.196891191709845,$la$ns$lt$exp$ndev$entropy$Buggy,SVM,CFS,0.32,0.11,0.37,0.4883789805887943,0,0.6039727988546886,0.3056994818652849
libsass,RESAMPLE_150_25_25,50,1412262347,50,296,50.0,41.8918918918919,$age$ndev$entropy$exp$fix$ns$sexp$la$lt$ld$Buggy,KNN,CFS,0.69,0.37,0.68,0.3408561346130066,0,0.6607276819204801,0.34459459459459457
libsass,RESAMPLE_150_25_25,50,1412262347,50,296,50.0,41.8918918918919,$age$ndev$entropy$exp$fix$ns$sexp$la$lt$ld$Buggy,DT,CFS,0.6,0.38,0.6,0.3907715023261576,0,0.6094336084021005,0.3885135135135135
libsass,RESAMPLE_150_25_25,50,1412262347,50,296,50.0,41.8918918918919,$age$ndev$entropy$exp$fix$ns$sexp$la$lt$ld$Buggy,LR,CFS,0.69,0.32,0.69,0.3131803058343344,0,0.6868904726181546,0.3141891891891892
libsass,RESAMPLE_150_25_25,50,1412262347,50,296,50.0,41.8918918918919,$age$ndev$entropy$exp$fix$ns$sexp$la$lt$ld$Buggy,RF,CFS,0.64,0.41,0.63,0.3886482415933859,0,0.6121530382595649,0.3918918918918919
libsass,RESAMPLE_150_25_25,50,1412262347,50,296,50.0,41.8918918918919,$age$ndev$entropy$exp$fix$ns$sexp$la$lt$ld$Buggy,NB,CFS,0.02,0.01,0.02,0.6900483458533992,1,0.5062828207051763,0.4155405405405405
libsass,RESAMPLE_150_25_25,50,1412262347,50,296,50.0,41.8918918918919,$age$ndev$entropy$exp$fix$ns$sexp$la$lt$ld$Buggy,SVM,CFS,0.75,0.27,0.75,0.26188617743151643,0,0.7383720930232558,0.2635135135135135
libsass,RESAMPLE_300_25_25,50,1412262347,50,296,50.0,41.8918918918919,$la$ndev$exp$ns$entropy$age$sexp$lt$Buggy,KNN,CFS,0.25,0.06,0.29,0.5319211433645477,0,0.5959302325581396,0.34797297297297297
libsass,RESAMPLE_300_25_25,50,1412262347,50,296,50.0,41.8918918918919,$la$ndev$exp$ns$entropy$age$sexp$lt$Buggy,DT,CFS,0.21,0.51,0.24,0.663497376415749,1,0.3519317329332333,0.625
