projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
macvim,RESAMPLE_150_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$lt$ld$age$exp$Buggy,KNN,CFS,0.53,0.52,0.52,0.4946467822361025,4,0.5061032863849765,0.5116279069767442
macvim,RESAMPLE_150_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$lt$ld$age$exp$Buggy,DT,CFS,0.33,0.44,0.36,0.563507419144338,0,0.44835680751173707,0.4767441860465117
macvim,RESAMPLE_150_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$lt$ld$age$exp$Buggy,LR,CFS,0.67,0.23,0.69,0.28451246527935564,0,0.7206572769953051,0.2441860465116279
macvim,RESAMPLE_150_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$lt$ld$age$exp$Buggy,RF,CFS,0.27,0.34,0.31,0.5709819703041386,13,0.4643192488262911,0.4069767441860465
macvim,RESAMPLE_150_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$lt$ld$age$exp$Buggy,NB,CFS,0.87,0.65,0.67,0.4677262887120294,1,0.6093896713615023,0.5581395348837209
macvim,RESAMPLE_150_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$lt$ld$age$exp$Buggy,SVM,CFS,0.4,0.38,0.43,0.5023017837198956,10,0.5098591549295775,0.4186046511627907
macvim,RESAMPLE_300_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$ld$fix$lt$entropy$age$exp$sexp$Buggy,KNN,CFS,0.67,0.66,0.56,0.5240791047780652,1,0.5023474178403755,0.6046511627906976
macvim,RESAMPLE_300_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$ld$fix$lt$entropy$age$exp$sexp$Buggy,DT,CFS,0.6,0.63,0.53,0.5299556635758128,1,0.4830985915492958,0.5930232558139535
macvim,RESAMPLE_300_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$ld$fix$lt$entropy$age$exp$sexp$Buggy,LR,CFS,0.8,0.39,0.75,0.3126697119011198,0,0.7028169014084508,0.36046511627906974
macvim,RESAMPLE_300_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$ld$fix$lt$entropy$age$exp$sexp$Buggy,RF,CFS,0.27,0.21,0.31,0.5396349594716867,1,0.5276995305164319,0.3023255813953488
macvim,RESAMPLE_300_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$ld$fix$lt$entropy$age$exp$sexp$Buggy,NB,CFS,0.13,0.1,0.16,0.616778487264128,3,0.5173708920187794,0.2325581395348837
macvim,RESAMPLE_300_25_25,50,1218908850,50,86,50.0,17.441860465116278,$nuc$la$ld$fix$lt$entropy$age$exp$sexp$Buggy,SVM,CFS,0.73,0.65,0.6,0.4954135119463289,1,0.5427230046948357,0.5813953488372093
macvim,RESAMPLE_25_25,50,1218908850,50,86,50.0,17.441860465116278,$ld$nuc$lt$ns$entropy$la$age$exp$sexp$Buggy,KNN,CFS,0.8,0.66,0.63,0.4889819551981675,1,0.5690140845070423,0.5813953488372093
macvim,RESAMPLE_25_25,50,1218908850,50,86,50.0,17.441860465116278,$ld$nuc$lt$ns$entropy$la$age$exp$sexp$Buggy,DT,CFS,0.73,0.59,0.63,0.4588255008402393,3,0.5708920187793427,0.5348837209302325
macvim,RESAMPLE_25_25,50,1218908850,50,86,50.0,17.441860465116278,$ld$nuc$lt$ns$entropy$la$age$exp$sexp$Buggy,LR,CFS,0.8,0.68,0.62,0.4985239072442052,1,0.5619718309859155,0.5930232558139535
macvim,RESAMPLE_25_25,50,1218908850,50,86,50.0,17.441860465116278,$ld$nuc$lt$ns$entropy$la$age$exp$sexp$Buggy,RF,CFS,0.53,0.21,0.57,0.3622235352430994,0,0.6610328638497653,0.2558139534883721
macvim,RESAMPLE_25_25,50,1218908850,50,86,50.0,17.441860465116278,$ld$nuc$lt$ns$entropy$la$age$exp$sexp$Buggy,NB,CFS,0.93,0.77,0.58,0.5497835000160943,1,0.5793427230046948,0.6511627906976745
macvim,RESAMPLE_25_25,50,1218908850,50,86,50.0,17.441860465116278,$ld$nuc$lt$ns$entropy$la$age$exp$sexp$Buggy,SVM,CFS,0.93,0.68,0.67,0.4803626841421502,1,0.6286384976525822,0.5697674418604651
macvim,RESAMPLE_150_25_25,50,1222464820,50,57,50.0,28.070175438596486,$la$ld$lt$age$nuc$exp$Buggy,KNN,CFS,0.56,0.39,0.57,0.4145458680235751,0,0.5861280487804879,0.4035087719298245
macvim,RESAMPLE_150_25_25,50,1222464820,50,57,50.0,28.070175438596486,$la$ld$lt$age$nuc$exp$Buggy,DT,CFS,0.5,0.41,0.52,0.4593046240308898,1,0.5426829268292683,0.43859649122807015
