projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
metasploit-framework,RESAMPLE_150_25_25,50,1329677530,50,504,50.0,26.785714285714285,$exp$sexp$nuc$ns$la$lt$Buggy,KNN,CFS,0.54,0.2,0.58,0.35435586855113643,0,0.6700993676603433,0.2698412698412698
metasploit-framework,RESAMPLE_150_25_25,50,1329677530,50,504,50.0,26.785714285714285,$exp$sexp$nuc$ns$la$lt$Buggy,DT,CFS,0.54,0.23,0.57,0.3624500470618687,2,0.6565492321589883,0.2896825396825397
metasploit-framework,RESAMPLE_150_25_25,50,1329677530,50,504,50.0,26.785714285714285,$exp$sexp$nuc$ns$la$lt$Buggy,LR,CFS,0.76,0.26,0.76,0.250288409500686,4,0.7500451671183379,0.2559523809523809
metasploit-framework,RESAMPLE_150_25_25,50,1329677530,50,504,50.0,26.785714285714285,$exp$sexp$nuc$ns$la$lt$Buggy,RF,CFS,0.51,0.13,0.56,0.3582219161692821,3,0.6891598915989161,0.2281746031746032
metasploit-framework,RESAMPLE_150_25_25,50,1329677530,50,504,50.0,26.785714285714285,$exp$sexp$nuc$ns$la$lt$Buggy,NB,CFS,0.81,0.61,0.67,0.4503314548104091,6,0.6001806684733514,0.4960317460317461
metasploit-framework,RESAMPLE_150_25_25,50,1329677530,50,504,50.0,26.785714285714285,$exp$sexp$nuc$ns$la$lt$Buggy,SVM,CFS,0.53,0.16,0.57,0.3537736219060872,0,0.6830171635049684,0.24404761904761904
metasploit-framework,RESAMPLE_300_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$nuc$exp$ndev$sexp$ns$Buggy,KNN,CFS,0.38,0.13,0.43,0.4498855580012168,0,0.6224932249322493,0.2638888888888889
metasploit-framework,RESAMPLE_300_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$nuc$exp$ndev$sexp$ns$Buggy,DT,CFS,0.47,0.1,0.52,0.3833813952230675,0,0.6845528455284553,0.21428571428571427
metasploit-framework,RESAMPLE_300_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$nuc$exp$ndev$sexp$ns$Buggy,LR,CFS,0.39,0.08,0.44,0.4380383237075212,1,0.6546522131887986,0.22023809523809526
metasploit-framework,RESAMPLE_300_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$nuc$exp$ndev$sexp$ns$Buggy,RF,CFS,0.51,0.11,0.56,0.3545123585231959,0,0.6999999999999998,0.2123015873015873
metasploit-framework,RESAMPLE_300_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$nuc$exp$ndev$sexp$ns$Buggy,NB,CFS,0.68,0.56,0.61,0.45781849232933,6,0.5588979223125565,0.49801587301587297
metasploit-framework,RESAMPLE_300_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$nuc$exp$ndev$sexp$ns$Buggy,SVM,CFS,0.27,0.02,0.32,0.513435898053128,0,0.6289069557362241,0.20634920634920634
metasploit-framework,RESAMPLE_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$exp$la$nuc$entropy$Buggy,KNN,CFS,0.62,0.46,0.6,0.4227701340703383,3,0.5794037940379404,0.4404761904761905
metasploit-framework,RESAMPLE_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$exp$la$nuc$entropy$Buggy,DT,CFS,0.71,0.41,0.68,0.35263461615249153,4,0.6523035230352303,0.375
metasploit-framework,RESAMPLE_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$exp$la$nuc$entropy$Buggy,LR,CFS,0.67,0.41,0.65,0.3699215338402123,4,0.6324299909665763,0.3869047619047619
metasploit-framework,RESAMPLE_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$exp$la$nuc$entropy$Buggy,RF,CFS,0.61,0.35,0.62,0.3729924369887467,2,0.6275519421860886,0.3630952380952381
metasploit-framework,RESAMPLE_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$exp$la$nuc$entropy$Buggy,NB,CFS,0.34,0.1,0.39,0.47152785967721,2,0.6202348690153568,0.25
metasploit-framework,RESAMPLE_25_25,50,1329677530,50,504,50.0,26.785714285714285,$lt$exp$la$nuc$entropy$Buggy,SVM,CFS,0.67,0.51,0.62,0.4337271167628609,4,0.575880758807588,0.4662698412698413
metasploit-framework,RESAMPLE_150_25_25,50,1330954103,50,200,50.0,21.5,$lt$sexp$la$entropy$exp$nuc$age$nf$Buggy,KNN,CFS,0.7,0.22,0.71,0.2629631261834865,3,0.7405569545252555,0.235
metasploit-framework,RESAMPLE_150_25_25,50,1330954103,50,200,50.0,21.5,$lt$sexp$la$entropy$exp$nuc$age$nf$Buggy,DT,CFS,0.74,0.27,0.74,0.2617303461209564,3,0.7383350614723745,0.265
metasploit-framework,RESAMPLE_150_25_25,50,1330954103,50,200,50.0,21.5,$lt$sexp$la$entropy$exp$nuc$age$nf$Buggy,LR,CFS,0.86,0.43,0.78,0.32176373394807,5,0.7136720485853947,0.37
metasploit-framework,RESAMPLE_150_25_25,50,1330954103,50,200,50.0,21.5,$lt$sexp$la$entropy$exp$nuc$age$nf$Buggy,RF,CFS,0.74,0.25,0.74,0.2521379940183782,3,0.7478892015997629,0.25
metasploit-framework,RESAMPLE_150_25_25,50,1330954103,50,200,50.0,21.5,$lt$sexp$la$entropy$exp$nuc$age$nf$Buggy,NB,CFS,0.7,0.4,0.68,0.35526151510554604,3,0.6482002666271663,0.38
metasploit-framework,RESAMPLE_150_25_25,50,1330954103,50,200,50.0,21.5,$lt$sexp$la$entropy$exp$nuc$age$nf$Buggy,SVM,CFS,0.79,0.22,0.79,0.21622351860408054,4,0.7838838690564361,0.22
metasploit-framework,RESAMPLE_300_25_25,50,1330954103,50,200,50.0,21.5,$lt$nuc$la$entropy$exp$age$Buggy,KNN,CFS,0.42,0.33,0.45,0.4731388497717381,2,0.5436972300399942,0.385
metasploit-framework,RESAMPLE_300_25_25,50,1330954103,50,200,50.0,21.5,$lt$nuc$la$entropy$exp$age$Buggy,DT,CFS,0.56,0.17,0.6,0.3336657896024487,2,0.6962672196711599,0.225
metasploit-framework,RESAMPLE_300_25_25,50,1330954103,50,200,50.0,21.5,$lt$nuc$la$entropy$exp$age$Buggy,LR,CFS,0.65,0.14,0.68,0.2658223877060417,3,0.7555177010813214,0.185
metasploit-framework,RESAMPLE_300_25_25,50,1330954103,50,200,50.0,21.5,$lt$nuc$la$entropy$exp$age$Buggy,RF,CFS,0.51,0.12,0.56,0.3557758604886394,2,0.6953043993482447,0.2
metasploit-framework,RESAMPLE_300_25_25,50,1330954103,50,200,50.0,21.5,$lt$nuc$la$entropy$exp$age$Buggy,NB,CFS,0.4,0.04,0.45,0.4287137383640707,1,0.6753814249740779,0.165
metasploit-framework,RESAMPLE_300_25_25,50,1330954103,50,200,50.0,21.5,$lt$nuc$la$entropy$exp$age$Buggy,SVM,CFS,0.23,0.08,0.27,0.5458128209887884,2,0.5748777958820915,0.23
metasploit-framework,RESAMPLE_25_25,50,1330954103,50,200,50.0,21.5,$la$lt$ns$sexp$entropy$ndev$age$Buggy,KNN,CFS,0.86,0.61,0.69,0.4434858459146127,5,0.6245000740631017,0.51
metasploit-framework,RESAMPLE_25_25,50,1330954103,50,200,50.0,21.5,$la$lt$ns$sexp$entropy$ndev$age$Buggy,DT,CFS,0.79,0.68,0.61,0.5041273555334483,4,0.5545845059991112,0.58
metasploit-framework,RESAMPLE_25_25,50,1330954103,50,200,50.0,21.5,$la$lt$ns$sexp$entropy$ndev$age$Buggy,LR,CFS,0.98,0.64,0.73,0.4551874851902053,5,0.6667160420678417,0.51
metasploit-framework,RESAMPLE_25_25,50,1330954103,50,200,50.0,21.5,$la$lt$ns$sexp$entropy$ndev$age$Buggy,RF,CFS,0.65,0.34,0.65,0.34325456804757204,2,0.6567915864316398,0.34
metasploit-framework,RESAMPLE_25_25,50,1330954103,50,200,50.0,21.5,$la$lt$ns$sexp$entropy$ndev$age$Buggy,NB,CFS,0.93,0.77,0.58,0.5471960195979126,5,0.5797659605984298,0.62
metasploit-framework,RESAMPLE_25_25,50,1330954103,50,200,50.0,21.5,$la$lt$ns$sexp$entropy$ndev$age$Buggy,SVM,CFS,0.56,0.62,0.51,0.5371033467405193,4,0.4701525699896312,0.58
metasploit-framework,RESAMPLE_150_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$la$sexp$exp$age$Buggy,KNN,CFS,0.53,0.36,0.55,0.4208399337526597,1,0.5826489877388079,0.3868954758190328
metasploit-framework,RESAMPLE_150_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$la$sexp$exp$age$Buggy,DT,CFS,0.56,0.49,0.55,0.46442248642382206,1,0.5360564585115484,0.4758190327613104
metasploit-framework,RESAMPLE_150_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$la$sexp$exp$age$Buggy,LR,CFS,0.61,0.27,0.63,0.3335149619211244,1,0.6714143142286855,0.296411856474259
metasploit-framework,RESAMPLE_150_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$la$sexp$exp$age$Buggy,RF,CFS,0.1,0.06,0.12,0.6379967339341381,3,0.518063872255489,0.24648985959438374
metasploit-framework,RESAMPLE_150_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$la$sexp$exp$age$Buggy,NB,CFS,0.31,0.12,0.36,0.4917348974168576,0,0.599258625605931,0.24024960998439934
metasploit-framework,RESAMPLE_150_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$la$sexp$exp$age$Buggy,SVM,CFS,0.26,0.19,0.3,0.5428271553287147,0,0.5317650413458797,0.31357254290171604
metasploit-framework,RESAMPLE_300_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$ns$la$entropy$exp$sexp$Buggy,KNN,CFS,0.5,0.18,0.54,0.3756799088092054,4,0.6601796407185628,0.249609984399376
metasploit-framework,RESAMPLE_300_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$ns$la$entropy$exp$sexp$Buggy,DT,CFS,0.72,0.28,0.72,0.2780088395693619,1,0.7219917308240662,0.27769110764430577
metasploit-framework,RESAMPLE_300_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$ns$la$entropy$exp$sexp$Buggy,LR,CFS,0.78,0.26,0.77,0.23906615463609254,0,0.7615412033076704,0.24804992199687986
metasploit-framework,RESAMPLE_300_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$ns$la$entropy$exp$sexp$Buggy,RF,CFS,0.79,0.32,0.77,0.2731198200839016,1,0.732178500142572,0.29797191887675506
metasploit-framework,RESAMPLE_300_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$ns$la$entropy$exp$sexp$Buggy,NB,CFS,0.6,0.27,0.62,0.3410346554772829,0,0.6652694610778443,0.29797191887675506
metasploit-framework,RESAMPLE_300_25_25,50,1335219673,50,641,50.0,21.840873634945396,$lt$nuc$ns$la$entropy$exp$sexp$Buggy,SVM,CFS,0.61,0.38,0.61,0.3851304381251843,7,0.6149486740804107,0.3806552262090484
metasploit-framework,RESAMPLE_25_25,50,1335219673,50,641,50.0,21.840873634945396,$nuc$lt$la$entropy$sexp$ns$Buggy,KNN,CFS,0.6,0.21,0.63,0.3186624089746113,4,0.6962075848303394,0.249609984399376
metasploit-framework,RESAMPLE_25_25,50,1335219673,50,641,50.0,21.840873634945396,$nuc$lt$la$entropy$sexp$ns$Buggy,DT,CFS,0.64,0.49,0.61,0.4311882159617856,1,0.5733461648132306,0.4617784711388456
metasploit-framework,RESAMPLE_25_25,50,1335219673,50,641,50.0,21.840873634945396,$nuc$lt$la$entropy$sexp$ns$Buggy,LR,CFS,0.54,0.13,0.58,0.34087668353111555,2,0.7029868833761049,0.20280811232449295
metasploit-framework,RESAMPLE_25_25,50,1335219673,50,641,50.0,21.840873634945396,$nuc$lt$la$entropy$sexp$ns$Buggy,RF,CFS,0.58,0.21,0.61,0.3321848149775448,0,0.6854932991160537,0.2542901716068643
metasploit-framework,RESAMPLE_25_25,50,1335219673,50,641,50.0,21.840873634945396,$nuc$lt$la$entropy$sexp$ns$Buggy,NB,CFS,0.64,0.28,0.65,0.3206542988216595,0,0.6817080125463358,0.296411856474259
metasploit-framework,RESAMPLE_25_25,50,1335219673,50,641,50.0,21.840873634945396,$nuc$lt$la$entropy$sexp$ns$Buggy,SVM,CFS,0.65,0.48,0.62,0.418373516438808,1,0.5864770459081836,0.4492979719188768
metasploit-framework,RESAMPLE_150_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$sexp$lt$exp$entropy$age$Buggy,KNN,CFS,0.6,0.31,0.62,0.3589263503840307,3,0.64375,0.3333333333333333
metasploit-framework,RESAMPLE_150_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$sexp$lt$exp$entropy$age$Buggy,DT,CFS,0.3,0.38,0.33,0.5615269361304049,5,0.4625,0.4523809523809524
metasploit-framework,RESAMPLE_150_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$sexp$lt$exp$entropy$age$Buggy,LR,CFS,0.6,0.41,0.6,0.4031371122211399,4,0.596875,0.4047619047619048
metasploit-framework,RESAMPLE_150_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$sexp$lt$exp$entropy$age$Buggy,RF,CFS,0.9,0.47,0.79,0.3389148584084209,1,0.715625,0.3809523809523809
metasploit-framework,RESAMPLE_150_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$sexp$lt$exp$entropy$age$Buggy,NB,CFS,0.5,0.28,0.53,0.405648593304599,4,0.609375,0.3333333333333333
metasploit-framework,RESAMPLE_150_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$sexp$lt$exp$entropy$age$Buggy,SVM,CFS,0.9,0.44,0.8,0.3173375568696526,1,0.73125,0.35714285714285715
metasploit-framework,RESAMPLE_300_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$ndev$lt$sexp$ns$Buggy,KNN,CFS,0.7,0.28,0.7,0.2907761703613279,4,0.709375,0.2857142857142857
metasploit-framework,RESAMPLE_300_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$ndev$lt$sexp$ns$Buggy,DT,CFS,0.3,0.34,0.34,0.5514363347205187,7,0.478125,0.42857142857142855
metasploit-framework,RESAMPLE_300_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$ndev$lt$sexp$ns$Buggy,LR,CFS,0.6,0.22,0.63,0.3223752181077199,3,0.690625,0.2619047619047619
metasploit-framework,RESAMPLE_300_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$ndev$lt$sexp$ns$Buggy,RF,CFS,0.4,0.19,0.45,0.4444976096673636,0,0.60625,0.2857142857142857
metasploit-framework,RESAMPLE_300_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$ndev$lt$sexp$ns$Buggy,NB,CFS,0.9,0.81,0.52,0.5788593309259168,2,0.54375,0.6428571428571429
metasploit-framework,RESAMPLE_300_25_25,50,1335832488,50,42,50.0,23.809523809523807,$la$ndev$lt$sexp$ns$Buggy,SVM,CFS,0.7,0.31,0.7,0.30631376887107115,6,0.69375,0.30952380952380953
metasploit-framework,RESAMPLE_25_25,50,1335832488,50,42,50.0,23.809523809523807,$lt$exp$entropy$la$ld$sexp$age$Buggy,KNN,CFS,0.6,0.34,0.61,0.3729370338944633,5,0.628125,0.35714285714285715
metasploit-framework,RESAMPLE_25_25,50,1335832488,50,42,50.0,23.809523809523807,$lt$exp$entropy$la$ld$sexp$age$Buggy,DT,CFS,0.3,0.16,0.34,0.5071558254126635,2,0.571875,0.2857142857142857
metasploit-framework,RESAMPLE_25_25,50,1335832488,50,42,50.0,23.809523809523807,$lt$exp$entropy$la$ld$sexp$age$Buggy,LR,CFS,0.6,0.25,0.62,0.3335416016031584,3,0.675,0.2857142857142857
metasploit-framework,RESAMPLE_25_25,50,1335832488,50,42,50.0,23.809523809523807,$lt$exp$entropy$la$ld$sexp$age$Buggy,RF,CFS,0.3,0.28,0.34,0.5334330147731765,4,0.509375,0.3809523809523809
metasploit-framework,RESAMPLE_25_25,50,1335832488,50,42,50.0,23.809523809523807,$lt$exp$entropy$la$ld$sexp$age$Buggy,NB,CFS,0.7,0.28,0.7,0.2907761703613279,3,0.709375,0.2857142857142857
metasploit-framework,RESAMPLE_25_25,50,1335832488,50,42,50.0,23.809523809523807,$lt$exp$entropy$la$ld$sexp$age$Buggy,SVM,CFS,0.5,0.25,0.54,0.3952847075210474,4,0.625,0.30952380952380953
metasploit-framework,RESAMPLE_150_25_25,50,1336567642,50,79,50.0,11.39240506329114,$la$sexp$exp$lt$entropy$age$Buggy,KNN,CFS,0.56,0.29,0.58,0.3736064220933276,0,0.6349206349206349,0.3037974683544304
metasploit-framework,RESAMPLE_150_25_25,50,1336567642,50,79,50.0,11.39240506329114,$la$sexp$exp$lt$entropy$age$Buggy,DT,CFS,0.78,0.44,0.72,0.3503606463552767,2,0.6674603174603175,0.4177215189873418
metasploit-framework,RESAMPLE_150_25_25,50,1336567642,50,79,50.0,11.39240506329114,$la$sexp$exp$lt$entropy$age$Buggy,LR,CFS,1.0,0.5,0.83,0.3535533905932737,2,0.75,0.4430379746835443
metasploit-framework,RESAMPLE_150_25_25,50,1336567642,50,79,50.0,11.39240506329114,$la$sexp$exp$lt$entropy$age$Buggy,RF,CFS,0.44,0.26,0.48,0.4328766708245166,2,0.5936507936507937,0.2911392405063291
metasploit-framework,RESAMPLE_150_25_25,50,1336567642,50,79,50.0,11.39240506329114,$la$sexp$exp$lt$entropy$age$Buggy,NB,CFS,1.0,0.57,0.79,0.40406101782088427,2,0.7142857142857143,0.5063291139240507
metasploit-framework,RESAMPLE_150_25_25,50,1336567642,50,79,50.0,11.39240506329114,$la$sexp$exp$lt$entropy$age$Buggy,SVM,CFS,0.33,0.19,0.37,0.4893537781415465,0,0.5738095238095238,0.2405063291139241
metasploit-framework,RESAMPLE_300_25_25,50,1336567642,50,79,50.0,11.39240506329114,$lt$la$nuc$entropy$age$Buggy,KNN,CFS,0.78,0.17,0.79,0.19845713788047975,2,0.8031746031746031,0.17721518987341772
metasploit-framework,RESAMPLE_300_25_25,50,1336567642,50,79,50.0,11.39240506329114,$lt$la$nuc$entropy$age$Buggy,DT,CFS,0.78,0.36,0.75,0.2974338047848176,3,0.7103174603174602,0.34177215189873417
