projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
mezzanine,RESAMPLE_150_25_25,50,1285828439,50,30,50.0,20.0,$ld$entropy$la$age$nf$exp$Buggy,KNN,CFS,1.0,0.25,0.94,0.17677669529663687,0,0.875,0.2
mezzanine,RESAMPLE_150_25_25,50,1285828439,50,30,50.0,20.0,$ld$entropy$la$age$nf$exp$Buggy,DT,CFS,0.67,0.21,0.69,0.2779513346692986,0,0.7291666666666665,0.2333333333333333
mezzanine,RESAMPLE_150_25_25,50,1285828439,50,30,50.0,20.0,$ld$entropy$la$age$nf$exp$Buggy,LR,CFS,0.83,0.17,0.83,0.16666666666666666,0,0.8333333333333334,0.16666666666666666
mezzanine,RESAMPLE_150_25_25,50,1285828439,50,30,50.0,20.0,$ld$entropy$la$age$nf$exp$Buggy,RF,CFS,0.5,0.12,0.55,0.3644344934278312,0,0.6875,0.2
mezzanine,RESAMPLE_150_25_25,50,1285828439,50,30,50.0,20.0,$ld$entropy$la$age$nf$exp$Buggy,NB,CFS,1.0,0.5,0.83,0.3535533905932737,1,0.75,0.4
mezzanine,RESAMPLE_150_25_25,50,1285828439,50,30,50.0,20.0,$ld$entropy$la$age$nf$exp$Buggy,SVM,CFS,0.83,0.12,0.84,0.14731391274719735,0,0.8541666666666667,0.13333333333333333
mezzanine,RESAMPLE_300_25_25,50,1285828439,50,30,50.0,20.0,$exp$sexp$entropy$age$ld$la$lt$Buggy,KNN,CFS,0.83,0.38,0.78,0.2901747557746691,2,0.7291666666666667,0.3333333333333333
mezzanine,RESAMPLE_300_25_25,50,1285828439,50,30,50.0,20.0,$exp$sexp$entropy$age$ld$la$lt$Buggy,DT,CFS,0.83,0.42,0.76,0.31732387941099616,2,0.7083333333333334,0.36666666666666653
mezzanine,RESAMPLE_300_25_25,50,1285828439,50,30,50.0,20.0,$exp$sexp$entropy$age$ld$la$lt$Buggy,LR,CFS,0.67,0.33,0.67,0.3333333333333333,1,0.6666666666666667,0.3333333333333333
mezzanine,RESAMPLE_300_25_25,50,1285828439,50,30,50.0,20.0,$exp$sexp$entropy$age$ld$la$lt$Buggy,RF,CFS,0.5,0.46,0.51,0.4796193513842224,2,0.5208333333333334,0.4666666666666667
mezzanine,RESAMPLE_300_25_25,50,1285828439,50,30,50.0,20.0,$exp$sexp$entropy$age$ld$la$lt$Buggy,NB,CFS,0.67,0.08,0.71,0.24295632895188754,0,0.7916666666666666,0.13333333333333333
mezzanine,RESAMPLE_300_25_25,50,1285828439,50,30,50.0,20.0,$exp$sexp$entropy$age$ld$la$lt$Buggy,SVM,CFS,0.83,0.42,0.76,0.31732387941099616,1,0.7083333333333334,0.36666666666666653
