projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
middleman,RESAMPLE_300_25_25,50,1288553150,50,23,50.0,30.43478260869565,$la$entropy$ld$lt$nuc$age$Buggy,KNN,CFS,1.0,0.44,0.86,0.3093592167691145,0,0.78125,0.3043478260869565
middleman,RESAMPLE_300_25_25,50,1288553150,50,23,50.0,30.43478260869565,$la$entropy$ld$lt$nuc$age$Buggy,DT,CFS,0.71,0.19,0.73,0.2416494393343635,0,0.7633928571428572,0.21739130434782608
middleman,RESAMPLE_300_25_25,50,1288553150,50,23,50.0,30.43478260869565,$la$entropy$ld$lt$nuc$age$Buggy,LR,CFS,0.86,0.44,0.78,0.3254338744394213,0,0.7098214285714286,0.3478260869565217
middleman,RESAMPLE_300_25_25,50,1288553150,50,23,50.0,30.43478260869565,$la$entropy$ld$lt$nuc$age$Buggy,RF,CFS,0.29,0.19,0.33,0.5221878644858826,0,0.5491071428571428,0.3478260869565217
middleman,RESAMPLE_300_25_25,50,1288553150,50,23,50.0,30.43478260869565,$la$entropy$ld$lt$nuc$age$Buggy,NB,CFS,0.86,0.19,0.85,0.16667995270173633,0,0.8348214285714286,0.17391304347826084
middleman,RESAMPLE_300_25_25,50,1288553150,50,23,50.0,30.43478260869565,$la$entropy$ld$lt$nuc$age$Buggy,SVM,CFS,1.0,0.75,0.62,0.5303300858899106,0,0.625,0.5217391304347826
middleman,RESAMPLE_25_25,50,1288553150,50,23,50.0,30.43478260869565,$entropy$ns$lt$nf$ld$fix$la$nuc$Buggy,KNN,CFS,1.0,0.62,0.75,0.44194173824159216,0,0.6875,0.43478260869565216
middleman,RESAMPLE_25_25,50,1288553150,50,23,50.0,30.43478260869565,$entropy$ns$lt$nf$ld$fix$la$nuc$Buggy,DT,CFS,0.71,0.19,0.73,0.2416494393343635,0,0.7633928571428572,0.21739130434782608
middleman,RESAMPLE_25_25,50,1288553150,50,23,50.0,30.43478260869565,$entropy$ns$lt$nf$ld$fix$la$nuc$Buggy,LR,CFS,1.0,0.56,0.8,0.397747564417433,0,0.71875,0.39130434782608703
middleman,RESAMPLE_25_25,50,1288553150,50,23,50.0,30.43478260869565,$entropy$ns$lt$nf$ld$fix$la$nuc$Buggy,RF,CFS,0.86,0.25,0.84,0.2036027544819889,0,0.8035714285714285,0.21739130434782608
middleman,RESAMPLE_25_25,50,1288553150,50,23,50.0,30.43478260869565,$entropy$ns$lt$nf$ld$fix$la$nuc$Buggy,NB,CFS,0.86,0.31,0.82,0.2429654432890675,0,0.7723214285714286,0.2608695652173913
middleman,RESAMPLE_25_25,50,1288553150,50,23,50.0,30.43478260869565,$entropy$ns$lt$nf$ld$fix$la$nuc$Buggy,SVM,CFS,1.0,0.62,0.75,0.44194173824159216,0,0.6875,0.43478260869565216
middleman,RESAMPLE_300_25_25,50,1307990054,50,29,50.0,24.13793103448276,$lt$nf$la$ld$entropy$Buggy,KNN,CFS,0.71,0.23,0.72,0.2581526153491457,0,0.7435064935064934,0.2413793103448276
middleman,RESAMPLE_300_25_25,50,1307990054,50,29,50.0,24.13793103448276,$lt$nf$la$ld$entropy$Buggy,DT,CFS,0.71,0.5,0.65,0.4072055089639778,4,0.6071428571428572,0.4482758620689655
middleman,RESAMPLE_300_25_25,50,1307990054,50,29,50.0,24.13793103448276,$lt$nf$la$ld$entropy$Buggy,LR,CFS,1.0,0.36,0.9,0.25712973861329,1,0.8181818181818181,0.27586206896551724
middleman,RESAMPLE_300_25_25,50,1307990054,50,29,50.0,24.13793103448276,$lt$nf$la$ld$entropy$Buggy,RF,CFS,0.86,0.23,0.84,0.18981709067848654,1,0.814935064935065,0.20689655172413796
middleman,RESAMPLE_300_25_25,50,1307990054,50,29,50.0,24.13793103448276,$lt$nf$la$ld$entropy$Buggy,NB,CFS,0.71,0.5,0.65,0.4072055089639778,2,0.6071428571428572,0.4482758620689655
middleman,RESAMPLE_300_25_25,50,1307990054,50,29,50.0,24.13793103448276,$lt$nf$la$ld$entropy$Buggy,SVM,CFS,1.0,0.64,0.74,0.4499770425732575,2,0.6818181818181819,0.4827586206896552
middleman,RESAMPLE_25_25,50,1307990054,50,29,50.0,24.13793103448276,$sexp$entropy$ns$age$exp$nf$nuc$la$Buggy,KNN,CFS,0.57,0.18,0.61,0.3291893988477033,1,0.6948051948051948,0.2413793103448276
middleman,RESAMPLE_25_25,50,1307990054,50,29,50.0,24.13793103448276,$sexp$entropy$ns$age$exp$nf$nuc$la$Buggy,DT,CFS,0.57,0.32,0.59,0.37743419215092494,2,0.6266233766233766,0.3448275862068966
middleman,RESAMPLE_25_25,50,1307990054,50,29,50.0,24.13793103448276,$sexp$entropy$ns$age$exp$nf$nuc$la$Buggy,LR,CFS,1.0,0.36,0.9,0.25712973861329,1,0.8181818181818181,0.27586206896551724
middleman,RESAMPLE_25_25,50,1307990054,50,29,50.0,24.13793103448276,$sexp$entropy$ns$age$exp$nf$nuc$la$Buggy,RF,CFS,0.43,0.18,0.48,0.4240214991510261,1,0.6233766233766234,0.27586206896551724
middleman,RESAMPLE_25_25,50,1307990054,50,29,50.0,24.13793103448276,$sexp$entropy$ns$age$exp$nf$nuc$la$Buggy,NB,CFS,1.0,0.41,0.88,0.2892709559399513,1,0.7954545454545454,0.3103448275862069
middleman,RESAMPLE_25_25,50,1307990054,50,29,50.0,24.13793103448276,$sexp$entropy$ns$age$exp$nf$nuc$la$Buggy,SVM,CFS,1.0,0.55,0.8,0.385694607919935,1,0.7272727272727273,0.4137931034482759
middleman,RESAMPLE_300_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$ns$lt$la$ndev$ld$Buggy,KNN,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_300_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$ns$lt$la$ndev$ld$Buggy,DT,CFS,0.67,0.5,0.63,0.4249182927993987,0,0.5833333333333333,0.4375
middleman,RESAMPLE_300_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$ns$lt$la$ndev$ld$Buggy,LR,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_300_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$ns$lt$la$ndev$ld$Buggy,RF,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_300_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$ns$lt$la$ndev$ld$Buggy,NB,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_300_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$ns$lt$la$ndev$ld$Buggy,SVM,CFS,0.83,0.4,0.77,0.30641293851417056,0,0.7166666666666668,0.3125
middleman,RESAMPLE_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$lt$ld$ns$age$Buggy,KNN,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$lt$ld$ns$age$Buggy,DT,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$lt$ld$ns$age$Buggy,LR,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$lt$ld$ns$age$Buggy,RF,CFS,0.67,0.2,0.69,0.2748737083745107,0,0.7333333333333333,0.25
middleman,RESAMPLE_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$lt$ld$ns$age$Buggy,NB,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_25_25,50,1310400283,50,16,50.0,37.5,$entropy$nf$lt$ld$ns$age$Buggy,SVM,CFS,0.67,0.4,0.65,0.3681787005729087,0,0.6333333333333333,0.375
middleman,RESAMPLE_300_25_25,50,1312141909,50,29,50.0,20.689655172413797,$entropy$ld$la$lt$nf$ndev$Buggy,KNN,CFS,0.33,0.35,0.37,0.5317082993578012,4,0.4927536231884058,0.4137931034482759
middleman,RESAMPLE_300_25_25,50,1312141909,50,29,50.0,20.689655172413797,$entropy$ld$la$lt$nf$ndev$Buggy,DT,CFS,0.5,0.3,0.53,0.4139007122752124,1,0.5978260869565217,0.3448275862068966
