projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
netty,RESAMPLE_150_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$la$ns$sexp$entropy$Buggy,KNN,CFS,0.39,0.27,0.43,0.4723383346865646,0,0.5607358870967742,0.37894736842105264
netty,RESAMPLE_150_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$la$ns$sexp$entropy$Buggy,DT,CFS,0.55,0.16,0.59,0.33791143577869753,0,0.6960685483870968,0.25263157894736843
netty,RESAMPLE_150_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$la$ns$sexp$entropy$Buggy,LR,CFS,0.74,0.22,0.75,0.2392162797396025,0,0.7615927419354839,0.23157894736842105
netty,RESAMPLE_150_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$la$ns$sexp$entropy$Buggy,RF,CFS,0.65,0.2,0.68,0.2891109436795293,0,0.7210181451612903,0.25263157894736843
netty,RESAMPLE_150_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$la$ns$sexp$entropy$Buggy,NB,CFS,0.61,0.58,0.56,0.4919717614945247,0,0.5173891129032258,0.5157894736842106
netty,RESAMPLE_150_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$la$ns$sexp$entropy$Buggy,SVM,CFS,0.55,0.31,0.57,0.3883364934950369,0,0.6179435483870968,0.3578947368421053
netty,RESAMPLE_300_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$entropy$la$exp$sexp$ld$ns$Buggy,KNN,CFS,0.81,0.45,0.74,0.3484130047607026,0,0.6766633064516129,0.3684210526315789
netty,RESAMPLE_300_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$entropy$la$exp$sexp$ld$ns$Buggy,DT,CFS,0.58,0.36,0.59,0.3905181630694145,0,0.6106350806451613,0.37894736842105264
netty,RESAMPLE_300_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$entropy$la$exp$sexp$ld$ns$Buggy,LR,CFS,0.71,0.2,0.73,0.25054636941838343,0,0.7532762096774195,0.23157894736842105
netty,RESAMPLE_300_25_25,50,1330692545,50,95,50.0,32.631578947368425,$lt$entropy$la$exp$sexp$ld$ns$Buggy,RF,CFS,0.61,0.17,0.64,0.2994870015677233,0,0.7205141129032258,0.24210526315789474
