projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
numpy,RESAMPLE_150_25_25,50,1097349846,50,105,50.0,71.42857142857143,$lt$entropy$age$nuc$la$exp$ld$Buggy,KNN,CFS,0.33,0.37,0.36,0.5380004130522992,2,0.4833333333333333,0.580952380952381
numpy,RESAMPLE_150_25_25,50,1097349846,50,105,50.0,71.42857142857143,$lt$entropy$age$nuc$la$exp$ld$Buggy,DT,CFS,0.57,0.53,0.55,0.4829538740339955,0,0.52,0.4571428571428571
numpy,RESAMPLE_150_25_25,50,1097349846,50,105,50.0,71.42857142857143,$lt$entropy$age$nuc$la$exp$ld$Buggy,LR,CFS,0.39,0.27,0.43,0.4729106093591519,2,0.56,0.5142857142857142
numpy,RESAMPLE_150_25_25,50,1097349846,50,105,50.0,71.42857142857143,$lt$entropy$age$nuc$la$exp$ld$Buggy,RF,CFS,0.76,0.8,0.49,0.590592922409336,0,0.48,0.4
numpy,RESAMPLE_150_25_25,50,1097349846,50,105,50.0,71.42857142857143,$lt$entropy$age$nuc$la$exp$ld$Buggy,NB,CFS,0.43,0.47,0.45,0.5227278875710042,1,0.48,0.5428571428571428
numpy,RESAMPLE_150_25_25,50,1097349846,50,105,50.0,71.42857142857143,$lt$entropy$age$nuc$la$exp$ld$Buggy,SVM,CFS,0.28,0.17,0.32,0.5225790742929618,0,0.5566666666666666,0.5619047619047619
numpy,RESAMPLE_300_25_25,50,1097349846,50,105,50.0,71.42857142857143,$la$lt$age$entropy$exp$ld$sexp$nuc$Buggy,KNN,CFS,0.59,0.53,0.56,0.4771209956022103,0,0.5266666666666666,0.4476190476190477
numpy,RESAMPLE_300_25_25,50,1097349846,50,105,50.0,71.42857142857143,$la$lt$age$entropy$exp$ld$sexp$nuc$Buggy,DT,CFS,0.6,0.7,0.5,0.5700877125495689,0,0.4500000000000001,0.4857142857142857
numpy,RESAMPLE_300_25_25,50,1097349846,50,105,50.0,71.42857142857143,$la$lt$age$entropy$exp$ld$sexp$nuc$Buggy,LR,CFS,0.43,0.37,0.46,0.4812252879658109,0,0.53,0.5142857142857142
numpy,RESAMPLE_300_25_25,50,1097349846,50,105,50.0,71.42857142857143,$la$lt$age$entropy$exp$ld$sexp$nuc$Buggy,RF,CFS,0.23,0.47,0.26,0.6386791926398661,2,0.38,0.6857142857142857
numpy,RESAMPLE_300_25_25,50,1097349846,50,105,50.0,71.42857142857143,$la$lt$age$entropy$exp$ld$sexp$nuc$Buggy,NB,CFS,0.51,0.5,0.51,0.4966778522230368,1,0.5033333333333334,0.4952380952380953
numpy,RESAMPLE_300_25_25,50,1097349846,50,105,50.0,71.42857142857143,$la$lt$age$entropy$exp$ld$sexp$nuc$Buggy,SVM,CFS,0.41,0.17,0.46,0.4312514090154115,0,0.6233333333333333,0.4666666666666667
numpy,RESAMPLE_25_25,50,1097349846,50,105,50.0,71.42857142857143,$sexp$entropy$la$lt$age$ns$exp$Buggy,KNN,CFS,0.37,0.37,0.4,0.5133982642917463,2,0.5033333333333333,0.5523809523809524
numpy,RESAMPLE_25_25,50,1097349846,50,105,50.0,71.42857142857143,$sexp$entropy$la$lt$age$ns$exp$Buggy,DT,CFS,0.33,0.5,0.35,0.5892556509887896,1,0.4166666666666666,0.6190476190476191
numpy,RESAMPLE_25_25,50,1097349846,50,105,50.0,71.42857142857143,$sexp$entropy$la$lt$age$ns$exp$Buggy,LR,CFS,0.43,0.47,0.45,0.5227278875710042,2,0.48,0.5428571428571428
numpy,RESAMPLE_25_25,50,1097349846,50,105,50.0,71.42857142857143,$sexp$entropy$la$lt$age$ns$exp$Buggy,RF,CFS,0.09,0.37,0.11,0.691552199363464,2,0.3633333333333333,0.7523809523809524
numpy,RESAMPLE_25_25,50,1097349846,50,105,50.0,71.42857142857143,$sexp$entropy$la$lt$age$ns$exp$Buggy,NB,CFS,0.01,0.07,0.01,0.6992694600636995,1,0.4733333333333334,0.7238095238095238
numpy,RESAMPLE_25_25,50,1097349846,50,105,50.0,71.42857142857143,$sexp$entropy$la$lt$age$ns$exp$Buggy,SVM,CFS,0.31,0.2,0.35,0.5102504831507321,1,0.5533333333333333,0.5523809523809524
numpy,RESAMPLE_150_25_25,50,1129103142,50,343,50.0,62.39067055393586,$nuc$age$lt$entropy$la$exp$Buggy,KNN,CFS,0.67,0.28,0.68,0.3040363295015273,2,0.6969137144099108,0.3090379008746356
