projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
okhttp,RESAMPLE_150_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$ld$lt$fix$ndev$age$entropy$exp$nf$Buggy,KNN,CFS,0.91,0.3,0.86,0.2197215815336794,0,0.8052471660628724,0.2350877192982456
okhttp,RESAMPLE_150_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$ld$lt$fix$ndev$age$entropy$exp$nf$Buggy,DT,CFS,0.48,0.09,0.53,0.3754851917263801,1,0.6931459623699895,0.22105263157894736
okhttp,RESAMPLE_150_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$ld$lt$fix$ndev$age$entropy$exp$nf$Buggy,LR,CFS,1.0,0.28,0.93,0.19898482284646565,0,0.8592964824120604,0.19649122807017544
okhttp,RESAMPLE_150_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$ld$lt$fix$ndev$age$entropy$exp$nf$Buggy,RF,CFS,0.93,0.25,0.89,0.18438711301260266,0,0.8394881383662498,0.19649122807017544
okhttp,RESAMPLE_150_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$ld$lt$fix$ndev$age$entropy$exp$nf$Buggy,NB,CFS,0.44,0.19,0.48,0.4159865229158962,3,0.6279654084375365,0.2982456140350877
okhttp,RESAMPLE_150_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$ld$lt$fix$ndev$age$entropy$exp$nf$Buggy,SVM,CFS,1.0,0.99,0.05,0.7035534807785748,0,0.5025125628140703,0.6947368421052632
okhttp,RESAMPLE_300_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$lt$entropy$ld$age$exp$Buggy,KNN,CFS,0.9,0.21,0.88,0.1634017883822968,0,0.8446593432277667,0.17543859649122806
okhttp,RESAMPLE_300_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$lt$entropy$ld$age$exp$Buggy,DT,CFS,0.45,0.1,0.5,0.3922950999269601,0,0.6790054925791751,0.23157894736842105
okhttp,RESAMPLE_300_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$lt$entropy$ld$age$exp$Buggy,LR,CFS,0.93,0.2,0.9,0.15045018456204662,0,0.8646137665069534,0.16140350877192985
okhttp,RESAMPLE_300_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$lt$entropy$ld$age$exp$Buggy,RF,CFS,0.71,0.17,0.73,0.23664788556574576,0,0.7717365899263761,0.20350877192982456
okhttp,RESAMPLE_300_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$lt$entropy$ld$age$exp$Buggy,NB,CFS,0.94,0.29,0.88,0.21015179672191006,0,0.8252015893420592,0.22105263157894736
okhttp,RESAMPLE_300_25_25,50,1394204391,50,285,50.0,30.175438596491233,$la$ns$lt$entropy$ld$age$exp$Buggy,SVM,CFS,0.93,0.91,0.32,0.6485796096460262,0,0.5078298469089635,0.6596491228070176
okhttp,RESAMPLE_25_25,50,1394204391,50,285,50.0,30.175438596491233,$ns$ndev$la$lt$nf$fix$Buggy,KNN,CFS,0.95,0.29,0.89,0.20869916308523576,0,0.8310155428304312,0.2175438596491228
okhttp,RESAMPLE_25_25,50,1394204391,50,285,50.0,30.175438596491233,$ns$ndev$la$lt$nf$fix$Buggy,DT,CFS,0.79,0.24,0.78,0.2231466817531689,0,0.7772583849479958,0.2280701754385965
okhttp,RESAMPLE_25_25,50,1394204391,50,285,50.0,30.175438596491233,$ns$ndev$la$lt$nf$fix$Buggy,LR,CFS,1.0,0.29,0.92,0.20253812325443826,0,0.8567839195979899,0.2
okhttp,RESAMPLE_25_25,50,1394204391,50,285,50.0,30.175438596491233,$ns$ndev$la$lt$nf$fix$Buggy,RF,CFS,0.9,0.24,0.87,0.18266538469913332,0,0.8295839663433446,0.19649122807017544
okhttp,RESAMPLE_25_25,50,1394204391,50,285,50.0,30.175438596491233,$ns$ndev$la$lt$nf$fix$Buggy,NB,CFS,0.99,0.3,0.91,0.20980589705934652,0,0.8459448404814771,0.21052631578947367
okhttp,RESAMPLE_25_25,50,1394204391,50,285,50.0,30.175438596491233,$ns$ndev$la$lt$nf$fix$Buggy,SVM,CFS,1.0,0.32,0.91,0.2274112261102464,0,0.8391959798994975,0.22456140350877196
okhttp,RESAMPLE_150_25_25,50,1397518666,50,16,50.0,37.5,$la$lt$ns$age$entropy$nuc$Buggy,KNN,CFS,1.0,0.2,0.95,0.1414213562373095,0,0.9,0.125
okhttp,RESAMPLE_150_25_25,50,1397518666,50,16,50.0,37.5,$la$lt$ns$age$entropy$nuc$Buggy,DT,CFS,0.33,0.1,0.38,0.4766783215358364,0,0.6166666666666667,0.3125
okhttp,RESAMPLE_150_25_25,50,1397518666,50,16,50.0,37.5,$la$lt$ns$age$entropy$nuc$Buggy,LR,CFS,0.83,0.1,0.84,0.13743685418725535,0,0.8666666666666667,0.125
okhttp,RESAMPLE_150_25_25,50,1397518666,50,16,50.0,37.5,$la$lt$ns$age$entropy$nuc$Buggy,RF,CFS,0.5,0.1,0.55,0.3605551275463989,0,0.7000000000000001,0.25
okhttp,RESAMPLE_150_25_25,50,1397518666,50,16,50.0,37.5,$la$lt$ns$age$entropy$nuc$Buggy,NB,CFS,1.0,0.2,0.95,0.1414213562373095,0,0.9,0.125
okhttp,RESAMPLE_150_25_25,50,1397518666,50,16,50.0,37.5,$la$lt$ns$age$entropy$nuc$Buggy,SVM,CFS,1.0,0.2,0.95,0.1414213562373095,0,0.9,0.125
okhttp,RESAMPLE_300_25_25,50,1397518666,50,16,50.0,37.5,$ns$ndev$la$nf$lt$fix$Buggy,KNN,CFS,1.0,0.3,0.92,0.21213203435596426,0,0.85,0.1875
okhttp,RESAMPLE_300_25_25,50,1397518666,50,16,50.0,37.5,$ns$ndev$la$nf$lt$fix$Buggy,DT,CFS,1.0,0.1,0.98,0.07071067811865475,0,0.95,0.0625
