projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
pandas,RESAMPLE_150_25_25,50,1316985685,50,39,50.0,35.8974358974359,$ld$ns$entropy$age$la$ndev$lt$nuc$exp$sexp$Buggy,KNN,CFS,0.64,0.4,0.63,0.3791774125710571,0,0.6214285714285714,0.38461538461538464
pandas,RESAMPLE_150_25_25,50,1316985685,50,39,50.0,35.8974358974359,$ld$ns$entropy$age$la$ndev$lt$nuc$exp$sexp$Buggy,DT,CFS,1.0,1.0,0.0,0.7071067811865475,0,0.5,0.6410256410256411
pandas,RESAMPLE_150_25_25,50,1316985685,50,39,50.0,35.8974358974359,$ld$ns$entropy$age$la$ndev$lt$nuc$exp$sexp$Buggy,LR,CFS,1.0,0.56,0.8,0.3959797974644666,0,0.72,0.35897435897435903
pandas,RESAMPLE_150_25_25,50,1316985685,50,39,50.0,35.8974358974359,$ld$ns$entropy$age$la$ndev$lt$nuc$exp$sexp$Buggy,RF,CFS,0.93,0.68,0.67,0.4834780454251912,0,0.6242857142857143,0.4615384615384616
pandas,RESAMPLE_150_25_25,50,1316985685,50,39,50.0,35.8974358974359,$ld$ns$entropy$age$la$ndev$lt$nuc$exp$sexp$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.35897435897435903
pandas,RESAMPLE_150_25_25,50,1316985685,50,39,50.0,35.8974358974359,$ld$ns$entropy$age$la$ndev$lt$nuc$exp$sexp$Buggy,SVM,CFS,0.86,0.4,0.79,0.3003399434518377,0,0.7285714285714286,0.3076923076923077
pandas,RESAMPLE_300_25_25,50,1316985685,50,39,50.0,35.8974358974359,$nuc$nf$entropy$ndev$la$age$exp$sexp$ld$Buggy,KNN,CFS,0.79,0.4,0.74,0.32087253493165996,0,0.6928571428571428,0.3333333333333333
pandas,RESAMPLE_300_25_25,50,1316985685,50,39,50.0,35.8974358974359,$nuc$nf$entropy$ndev$la$age$exp$sexp$ld$Buggy,DT,CFS,0.86,0.68,0.64,0.491328893545508,0,0.5885714285714285,0.4871794871794872
pandas,RESAMPLE_300_25_25,50,1316985685,50,39,50.0,35.8974358974359,$nuc$nf$entropy$ndev$la$age$exp$sexp$ld$Buggy,LR,CFS,0.86,0.4,0.79,0.3003399434518377,0,0.7285714285714286,0.3076923076923077
pandas,RESAMPLE_300_25_25,50,1316985685,50,39,50.0,35.8974358974359,$nuc$nf$entropy$ndev$la$age$exp$sexp$ld$Buggy,RF,CFS,0.5,0.32,0.53,0.4197618372363071,0,0.59,0.38461538461538464
pandas,RESAMPLE_300_25_25,50,1316985685,50,39,50.0,35.8974358974359,$nuc$nf$entropy$ndev$la$age$exp$sexp$ld$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.35897435897435903
pandas,RESAMPLE_300_25_25,50,1316985685,50,39,50.0,35.8974358974359,$nuc$nf$entropy$ndev$la$age$exp$sexp$ld$Buggy,SVM,CFS,0.86,0.48,0.76,0.3541243872323015,0,0.6885714285714286,0.35897435897435903
pandas,RESAMPLE_25_25,50,1316985685,50,39,50.0,35.8974358974359,$exp$entropy$sexp$ndev$la$ld$lt$age$nuc$Buggy,KNN,CFS,0.79,0.4,0.74,0.32087253493165996,0,0.6928571428571428,0.3333333333333333
pandas,RESAMPLE_25_25,50,1316985685,50,39,50.0,35.8974358974359,$exp$entropy$sexp$ndev$la$ld$lt$age$nuc$Buggy,DT,CFS,0.5,0.08,0.55,0.3580502757993631,0,0.7100000000000001,0.2307692307692308
pandas,RESAMPLE_25_25,50,1316985685,50,39,50.0,35.8974358974359,$exp$entropy$sexp$ndev$la$ld$lt$age$nuc$Buggy,LR,CFS,0.64,0.24,0.66,0.3042622392017807,0,0.7014285714285714,0.28205128205128205
pandas,RESAMPLE_25_25,50,1316985685,50,39,50.0,35.8974358974359,$exp$entropy$sexp$ndev$la$ld$lt$age$nuc$Buggy,RF,CFS,0.29,0.04,0.34,0.5058676119463733,0,0.6228571428571428,0.28205128205128205
