projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
passenger,RESAMPLE_150_25_25,50,1209409762,50,64,50.0,20.3125,$entropy$sexp$nf$la$exp$ns$lt$nuc$ld$Buggy,KNN,CFS,0.62,0.29,0.64,0.3423698178828406,5,0.6606334841628959,0.3125
passenger,RESAMPLE_150_25_25,50,1209409762,50,64,50.0,20.3125,$entropy$sexp$nf$la$exp$ns$lt$nuc$ld$Buggy,DT,CFS,0.38,0.47,0.4,0.547791708612545,6,0.4570135746606335,0.5
passenger,RESAMPLE_150_25_25,50,1209409762,50,64,50.0,20.3125,$entropy$sexp$nf$la$exp$ns$lt$nuc$ld$Buggy,LR,CFS,0.54,0.33,0.56,0.4025722684130149,7,0.6025641025641026,0.359375
passenger,RESAMPLE_150_25_25,50,1209409762,50,64,50.0,20.3125,$entropy$sexp$nf$la$exp$ns$lt$nuc$ld$Buggy,RF,CFS,0.08,0.06,0.1,0.6540379245615717,3,0.5090497737556561,0.234375
passenger,RESAMPLE_150_25_25,50,1209409762,50,64,50.0,20.3125,$entropy$sexp$nf$la$exp$ns$lt$nuc$ld$Buggy,NB,CFS,0.54,0.35,0.56,0.4108437814594088,5,0.592760180995475,0.375
passenger,RESAMPLE_150_25_25,50,1209409762,50,64,50.0,20.3125,$entropy$sexp$nf$la$exp$ns$lt$nuc$ld$Buggy,SVM,CFS,0.54,0.22,0.58,0.3602348681702039,4,0.6613876319758673,0.265625
passenger,RESAMPLE_300_25_25,50,1209409762,50,64,50.0,20.3125,$ld$la$entropy$lt$age$ns$exp$sexp$nuc$ndev$Buggy,KNN,CFS,0.62,0.24,0.64,0.31881994595864616,4,0.6900452488687783,0.265625
passenger,RESAMPLE_300_25_25,50,1209409762,50,64,50.0,20.3125,$ld$la$entropy$lt$age$ns$exp$sexp$nuc$ndev$Buggy,DT,CFS,0.38,0.37,0.41,0.5086703239146334,7,0.5060331825037707,0.421875
passenger,RESAMPLE_300_25_25,50,1209409762,50,64,50.0,20.3125,$ld$la$entropy$lt$age$ns$exp$sexp$nuc$ndev$Buggy,LR,CFS,0.62,0.31,0.63,0.3509648681005051,3,0.6508295625942685,0.328125
passenger,RESAMPLE_300_25_25,50,1209409762,50,64,50.0,20.3125,$ld$la$entropy$lt$age$ns$exp$sexp$nuc$ndev$Buggy,RF,CFS,0.38,0.31,0.42,0.4884270201631154,2,0.5354449472096531,0.375
passenger,RESAMPLE_300_25_25,50,1209409762,50,64,50.0,20.3125,$ld$la$entropy$lt$age$ns$exp$sexp$nuc$ndev$Buggy,NB,CFS,0.85,0.63,0.67,0.4568169063466966,1,0.6093514328808447,0.53125
passenger,RESAMPLE_300_25_25,50,1209409762,50,64,50.0,20.3125,$ld$la$entropy$lt$age$ns$exp$sexp$nuc$ndev$Buggy,SVM,CFS,0.54,0.16,0.58,0.3446909284264545,3,0.6907993966817495,0.21875
passenger,RESAMPLE_25_25,50,1209409762,50,64,50.0,20.3125,$ld$age$lt$sexp$la$exp$Buggy,KNN,CFS,0.54,0.39,0.55,0.42825503877792703,1,0.5731523378582202,0.40625
passenger,RESAMPLE_25_25,50,1209409762,50,64,50.0,20.3125,$ld$age$lt$sexp$la$exp$Buggy,DT,CFS,0.38,0.14,0.43,0.44583468514929137,0,0.6236802413273002,0.234375
passenger,RESAMPLE_25_25,50,1209409762,50,64,50.0,20.3125,$ld$age$lt$sexp$la$exp$Buggy,LR,CFS,0.85,0.39,0.79,0.2978721571843633,1,0.7269984917043741,0.34375
passenger,RESAMPLE_25_25,50,1209409762,50,64,50.0,20.3125,$ld$age$lt$sexp$la$exp$Buggy,RF,CFS,0.54,0.25,0.57,0.37282218354798696,2,0.6417797888386123,0.296875
passenger,RESAMPLE_25_25,50,1209409762,50,64,50.0,20.3125,$ld$age$lt$sexp$la$exp$Buggy,NB,CFS,0.85,0.71,0.61,0.5108515123042243,1,0.5701357466063348,0.59375
passenger,RESAMPLE_25_25,50,1209409762,50,64,50.0,20.3125,$ld$age$lt$sexp$la$exp$Buggy,SVM,CFS,0.62,0.16,0.65,0.29371322312975,1,0.7292609351432882,0.203125
passenger,RESAMPLE_150_25_25,50,1210192060,50,33,50.0,45.45454545454545,$entropy$sexp$nf$nuc$ns$age$exp$ndev$Buggy,KNN,CFS,0.73,0.39,0.7,0.3334259130694146,2,0.6722222222222223,0.3333333333333333
passenger,RESAMPLE_150_25_25,50,1210192060,50,33,50.0,45.45454545454545,$entropy$sexp$nf$nuc$ns$age$exp$ndev$Buggy,DT,CFS,0.6,0.28,0.62,0.3443548270513719,1,0.6611111111111112,0.3333333333333333
passenger,RESAMPLE_150_25_25,50,1210192060,50,33,50.0,45.45454545454545,$entropy$sexp$nf$nuc$ns$age$exp$ndev$Buggy,LR,CFS,0.8,0.39,0.75,0.3092204455572388,2,0.7055555555555556,0.30303030303030304
passenger,RESAMPLE_150_25_25,50,1210192060,50,33,50.0,45.45454545454545,$entropy$sexp$nf$nuc$ns$age$exp$ndev$Buggy,RF,CFS,0.47,0.22,0.51,0.4085505846855607,2,0.6222222222222222,0.3636363636363637
passenger,RESAMPLE_150_25_25,50,1210192060,50,33,50.0,45.45454545454545,$entropy$sexp$nf$nuc$ns$age$exp$ndev$Buggy,NB,CFS,0.67,0.44,0.64,0.3928371006591931,2,0.6111111111111112,0.3939393939393939
passenger,RESAMPLE_150_25_25,50,1210192060,50,33,50.0,45.45454545454545,$entropy$sexp$nf$nuc$ns$age$exp$ndev$Buggy,SVM,CFS,0.8,0.39,0.75,0.3092204455572388,2,0.7055555555555556,0.30303030303030304
passenger,RESAMPLE_300_25_25,50,1210192060,50,33,50.0,45.45454545454545,$ld$age$lt$la$ns$exp$sexp$entropy$ndev$nuc$Buggy,KNN,CFS,0.8,0.39,0.75,0.3092204455572388,2,0.7055555555555556,0.30303030303030304
passenger,RESAMPLE_300_25_25,50,1210192060,50,33,50.0,45.45454545454545,$ld$age$lt$la$ns$exp$sexp$entropy$ndev$nuc$Buggy,DT,CFS,0.13,0.39,0.15,0.6716940073472242,1,0.37222222222222223,0.6060606060606061
passenger,RESAMPLE_300_25_25,50,1210192060,50,33,50.0,45.45454545454545,$ld$age$lt$la$ns$exp$sexp$entropy$ndev$nuc$Buggy,LR,CFS,0.87,0.44,0.78,0.3281071791162978,1,0.7111111111111112,0.30303030303030304
passenger,RESAMPLE_300_25_25,50,1210192060,50,33,50.0,45.45454545454545,$ld$age$lt$la$ns$exp$sexp$entropy$ndev$nuc$Buggy,RF,CFS,0.6,0.28,0.62,0.3443548270513719,1,0.6611111111111112,0.3333333333333333
passenger,RESAMPLE_300_25_25,50,1210192060,50,33,50.0,45.45454545454545,$ld$age$lt$la$ns$exp$sexp$entropy$ndev$nuc$Buggy,NB,CFS,0.73,0.5,0.67,0.4006938426723769,1,0.6166666666666667,0.3939393939393939
passenger,RESAMPLE_300_25_25,50,1210192060,50,33,50.0,45.45454545454545,$ld$age$lt$la$ns$exp$sexp$entropy$ndev$nuc$Buggy,SVM,CFS,0.6,0.28,0.62,0.3443548270513719,2,0.6611111111111112,0.3333333333333333
passenger,RESAMPLE_25_25,50,1210192060,50,33,50.0,45.45454545454545,$sexp$exp$ns$la$ndev$lt$fix$entropy$nuc$ld$age$Buggy,KNN,CFS,0.8,0.56,0.69,0.4175176495123541,2,0.6222222222222222,0.3939393939393939
passenger,RESAMPLE_25_25,50,1210192060,50,33,50.0,45.45454545454545,$sexp$exp$ns$la$ndev$lt$fix$entropy$nuc$ld$age$Buggy,DT,CFS,0.8,0.56,0.69,0.4175176495123541,1,0.6222222222222222,0.3939393939393939
