projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
peewee,RESAMPLE_150_25_25,50,1331643980,50,23,50.0,34.78260869565217,$nuc$la$exp$entropy$sexp$age$lt$ld$ndev$Buggy,KNN,CFS,0.5,0.4,0.52,0.4527692569068708,2,0.5499999999999999,0.43478260869565216
peewee,RESAMPLE_150_25_25,50,1331643980,50,23,50.0,34.78260869565217,$nuc$la$exp$entropy$sexp$age$lt$ld$ndev$Buggy,DT,CFS,0.5,0.27,0.53,0.4006938426723769,0,0.6166666666666667,0.3478260869565217
peewee,RESAMPLE_150_25_25,50,1331643980,50,23,50.0,34.78260869565217,$nuc$la$exp$entropy$sexp$age$lt$ld$ndev$Buggy,LR,CFS,0.75,0.33,0.73,0.2946278254943948,2,0.7083333333333334,0.3043478260869565
peewee,RESAMPLE_150_25_25,50,1331643980,50,23,50.0,34.78260869565217,$nuc$la$exp$entropy$sexp$age$lt$ld$ndev$Buggy,RF,CFS,0.12,0.07,0.15,0.6205116616327385,1,0.5291666666666667,0.3478260869565217
peewee,RESAMPLE_150_25_25,50,1331643980,50,23,50.0,34.78260869565217,$nuc$la$exp$entropy$sexp$age$lt$ld$ndev$Buggy,NB,CFS,0.25,0.53,0.28,0.6507474335118213,3,0.3583333333333333,0.6086956521739131
peewee,RESAMPLE_150_25_25,50,1331643980,50,23,50.0,34.78260869565217,$nuc$la$exp$entropy$sexp$age$lt$ld$ndev$Buggy,SVM,CFS,0.38,0.33,0.42,0.5008673033404711,2,0.5208333333333334,0.43478260869565216
peewee,RESAMPLE_300_25_25,50,1331643980,50,23,50.0,34.78260869565217,$ld$age$la$entropy$lt$ns$nuc$exp$sexp$ndev$Buggy,KNN,CFS,0.62,0.33,0.63,0.35477888262346663,2,0.6458333333333334,0.3478260869565217
peewee,RESAMPLE_300_25_25,50,1331643980,50,23,50.0,34.78260869565217,$ld$age$la$entropy$lt$ns$nuc$exp$sexp$ndev$Buggy,DT,CFS,0.62,0.6,0.56,0.5003124024047375,4,0.5125,0.5217391304347826
peewee,RESAMPLE_300_25_25,50,1331643980,50,23,50.0,34.78260869565217,$ld$age$la$entropy$lt$ns$nuc$exp$sexp$ndev$Buggy,LR,CFS,0.75,0.4,0.71,0.3335416016031584,2,0.675,0.3478260869565217
peewee,RESAMPLE_300_25_25,50,1331643980,50,23,50.0,34.78260869565217,$ld$age$la$entropy$lt$ns$nuc$exp$sexp$ndev$Buggy,RF,CFS,0.5,0.13,0.55,0.3659083066683358,1,0.6833333333333333,0.2608695652173913
