projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
phpunit,RESAMPLE_150_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$entropy$ndev$age$exp$sexp$lt$nuc$Buggy,KNN,CFS,0.62,0.39,0.62,0.3836743443325848,6,0.616421568627451,0.3898305084745763
phpunit,RESAMPLE_150_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$entropy$ndev$age$exp$sexp$lt$nuc$Buggy,DT,CFS,0.5,0.12,0.55,0.3632085010361314,1,0.6911764705882353,0.1694915254237288
phpunit,RESAMPLE_150_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$entropy$ndev$age$exp$sexp$lt$nuc$Buggy,LR,CFS,0.75,0.27,0.75,0.26254107530923426,1,0.7377450980392156,0.2711864406779661
phpunit,RESAMPLE_150_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$entropy$ndev$age$exp$sexp$lt$nuc$Buggy,RF,CFS,0.5,0.22,0.54,0.3850458213069702,1,0.6421568627450981,0.2542372881355932
phpunit,RESAMPLE_150_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$entropy$ndev$age$exp$sexp$lt$nuc$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.13559322033898305
phpunit,RESAMPLE_150_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$entropy$ndev$age$exp$sexp$lt$nuc$Buggy,SVM,CFS,0.5,0.24,0.54,0.3907450075172477,6,0.6323529411764706,0.2711864406779661
phpunit,RESAMPLE_300_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$age$entropy$exp$sexp$lt$nuc$ndev$Buggy,KNN,CFS,0.88,0.53,0.75,0.3846438720485461,2,0.6727941176470589,0.4745762711864407
phpunit,RESAMPLE_300_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$age$entropy$exp$sexp$lt$nuc$ndev$Buggy,DT,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.13559322033898305
phpunit,RESAMPLE_300_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$age$entropy$exp$sexp$lt$nuc$ndev$Buggy,LR,CFS,0.62,0.45,0.6,0.4147338388110847,2,0.5870098039215687,0.4406779661016949
phpunit,RESAMPLE_300_25_25,50,1174921059,50,59,50.0,13.559322033898303,$la$ld$age$entropy$exp$sexp$lt$nuc$ndev$Buggy,RF,CFS,0.38,0.29,0.42,0.4884312593965596,7,0.5404411764705882,0.3389830508474576
