projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
portia,RESAMPLE_300_25_25,50,1431945868,50,36,50.0,55.555555555555564,$la$entropy$ns$sexp$lt$exp$ld$age$Buggy,KNN,CFS,0.85,0.38,0.79,0.2855914914698965,2,0.7375,0.25
portia,RESAMPLE_300_25_25,50,1431945868,50,36,50.0,55.555555555555564,$la$entropy$ns$sexp$lt$exp$ld$age$Buggy,DT,CFS,0.85,0.5,0.75,0.3691205765058351,2,0.675,0.3055555555555556
portia,RESAMPLE_300_25_25,50,1431945868,50,36,50.0,55.555555555555564,$la$entropy$ns$sexp$lt$exp$ld$age$Buggy,LR,CFS,0.95,0.38,0.86,0.2675116819879087,1,0.7875,0.19444444444444445
portia,RESAMPLE_300_25_25,50,1431945868,50,36,50.0,55.555555555555564,$la$entropy$ns$sexp$lt$exp$ld$age$Buggy,RF,CFS,0.5,0.38,0.52,0.44194173824159216,2,0.5625,0.4444444444444444
portia,RESAMPLE_300_25_25,50,1431945868,50,36,50.0,55.555555555555564,$la$entropy$ns$sexp$lt$exp$ld$age$Buggy,NB,CFS,0.9,0.5,0.78,0.3605551275463989,1,0.7,0.2777777777777778
portia,RESAMPLE_300_25_25,50,1431945868,50,36,50.0,55.555555555555564,$la$entropy$ns$sexp$lt$exp$ld$age$Buggy,SVM,CFS,0.95,0.38,0.86,0.2675116819879087,2,0.7875,0.19444444444444445
portia,RESAMPLE_25_25,50,1431945868,50,36,50.0,55.555555555555564,$entropy$age$exp$nf$sexp$Buggy,KNN,CFS,0.85,0.38,0.79,0.2855914914698965,1,0.7375,0.25
portia,RESAMPLE_25_25,50,1431945868,50,36,50.0,55.555555555555564,$entropy$age$exp$nf$sexp$Buggy,DT,CFS,0.85,0.19,0.84,0.16978847134007655,0,0.83125,0.16666666666666666
portia,RESAMPLE_25_25,50,1431945868,50,36,50.0,55.555555555555564,$entropy$age$exp$nf$sexp$Buggy,LR,CFS,0.9,0.38,0.83,0.27443123000125186,1,0.7625,0.2222222222222222
portia,RESAMPLE_25_25,50,1431945868,50,36,50.0,55.555555555555564,$entropy$age$exp$nf$sexp$Buggy,RF,CFS,0.9,0.19,0.88,0.15026019100214133,0,0.85625,0.1388888888888889
portia,RESAMPLE_25_25,50,1431945868,50,36,50.0,55.555555555555564,$entropy$age$exp$nf$sexp$Buggy,NB,CFS,0.2,0.12,0.24,0.5725491245299393,1,0.5375,0.5
portia,RESAMPLE_25_25,50,1431945868,50,36,50.0,55.555555555555564,$entropy$age$exp$nf$sexp$Buggy,SVM,CFS,0.6,0.25,0.62,0.3335416016031584,1,0.675,0.3333333333333333
portia,RESAMPLE_300_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$nf$lt$ns$nuc$la$Buggy,KNN,CFS,0.82,0.39,0.77,0.3004715828366576,1,0.7184873949579832,0.2895927601809955
portia,RESAMPLE_300_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$nf$lt$ns$nuc$la$Buggy,DT,CFS,0.78,0.45,0.72,0.34991589463194084,1,0.6694677871148459,0.3393665158371041
portia,RESAMPLE_300_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$nf$lt$ns$nuc$la$Buggy,LR,CFS,0.84,0.39,0.78,0.2949833863731265,1,0.7282913165266107,0.28054298642533937
portia,RESAMPLE_300_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$nf$lt$ns$nuc$la$Buggy,RF,CFS,0.79,0.4,0.74,0.3202248565617207,1,0.6953781512605042,0.3122171945701357
portia,RESAMPLE_300_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$nf$lt$ns$nuc$la$Buggy,NB,CFS,0.75,0.34,0.73,0.2941593274454933,1,0.7093837535014006,0.29411764705882354
portia,RESAMPLE_300_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$nf$lt$ns$nuc$la$Buggy,SVM,CFS,0.82,0.38,0.77,0.29507646833746953,1,0.7226890756302522,0.2850678733031674
portia,RESAMPLE_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$la$ld$lt$exp$Buggy,KNN,CFS,0.68,0.27,0.69,0.2974748373635776,1,0.7037815126050421,0.29411764705882354
portia,RESAMPLE_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$la$ld$lt$exp$Buggy,DT,CFS,0.73,0.53,0.66,0.4216826111295405,1,0.5980392156862746,0.4117647058823529
portia,RESAMPLE_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$la$ld$lt$exp$Buggy,LR,CFS,0.81,0.38,0.76,0.29807429344343656,1,0.7177871148459384,0.2895927601809955
portia,RESAMPLE_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$la$ld$lt$exp$Buggy,RF,CFS,0.67,0.29,0.68,0.31043820977155473,0,0.6904761904761905,0.3076923076923077
portia,RESAMPLE_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$la$ld$lt$exp$Buggy,NB,CFS,0.73,0.36,0.71,0.32087809792652183,1,0.6820728291316527,0.3212669683257919
portia,RESAMPLE_25_25,50,1438864165,50,221,50.0,46.153846153846146,$entropy$la$ld$lt$exp$Buggy,SVM,CFS,0.73,0.34,0.71,0.3068729407002627,1,0.6946778711484594,0.3076923076923077
portia,RESAMPLE_300_25_25,50,1449149029,50,232,50.0,22.844827586206893,$la$lt$entropy$exp$ld$ns$age$Buggy,KNN,CFS,0.85,0.42,0.78,0.3186321854186158,1,0.7122377990934964,0.3620689655172414
portia,RESAMPLE_300_25_25,50,1449149029,50,232,50.0,22.844827586206893,$la$lt$entropy$exp$ld$ns$age$Buggy,DT,CFS,0.32,0.23,0.36,0.5068718698864407,6,0.5458522188257615,0.331896551724138
portia,RESAMPLE_300_25_25,50,1449149029,50,232,50.0,22.844827586206893,$la$lt$entropy$exp$ld$ns$age$Buggy,LR,CFS,0.81,0.41,0.75,0.3177404699315544,0,0.7017497628333509,0.3577586206896552
portia,RESAMPLE_300_25_25,50,1449149029,50,232,50.0,22.844827586206893,$la$lt$entropy$exp$ld$ns$age$Buggy,RF,CFS,0.45,0.23,0.49,0.4209805600571303,0,0.6090966585854327,0.30603448275862066
portia,RESAMPLE_300_25_25,50,1449149029,50,232,50.0,22.844827586206893,$la$lt$entropy$exp$ld$ns$age$Buggy,NB,CFS,0.98,0.67,0.7,0.4742257763193783,0,0.6553705070095921,0.521551724137931
portia,RESAMPLE_300_25_25,50,1449149029,50,232,50.0,22.844827586206893,$la$lt$entropy$exp$ld$ns$age$Buggy,SVM,CFS,0.75,0.74,0.54,0.5495302591433118,1,0.508643406767155,0.625
portia,RESAMPLE_25_25,50,1449149029,50,232,50.0,22.844827586206893,$entropy$la$exp$lt$ns$Buggy,KNN,CFS,0.75,0.32,0.73,0.2842227021997725,0,0.7181406134710658,0.3017241379310345
portia,RESAMPLE_25_25,50,1449149029,50,232,50.0,22.844827586206893,$entropy$la$exp$lt$ns$Buggy,DT,CFS,0.74,0.36,0.72,0.3143341619624236,0,0.6891535785812163,0.3362068965517241
portia,RESAMPLE_25_25,50,1449149029,50,232,50.0,22.844827586206893,$entropy$la$exp$lt$ns$Buggy,LR,CFS,0.85,0.36,0.8,0.2780703241004531,0,0.7429640560767367,0.3146551724137931
portia,RESAMPLE_25_25,50,1449149029,50,232,50.0,22.844827586206893,$entropy$la$exp$lt$ns$Buggy,RF,CFS,0.57,0.32,0.59,0.3829580444730864,0,0.6210076947401707,0.3491379310344828
portia,RESAMPLE_25_25,50,1449149029,50,232,50.0,22.844827586206893,$entropy$la$exp$lt$ns$Buggy,NB,CFS,0.72,0.37,0.7,0.3286719432976434,0,0.6741330241382946,0.3491379310344828
