projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
postgres,RESAMPLE_150_25_25,50,846793556,50,187,50.0,28.34224598930481,$age$exp$entropy$sexp$la$lt$ld$ns$Buggy,KNN,CFS,0.72,0.39,0.69,0.33962480145283763,1,0.6644607152914671,0.3582887700534759
postgres,RESAMPLE_150_25_25,50,846793556,50,187,50.0,28.34224598930481,$age$exp$entropy$sexp$la$lt$ld$ns$Buggy,DT,CFS,0.7,0.65,0.58,0.5062934144943201,1,0.5244297381019432,0.5508021390374331
postgres,RESAMPLE_150_25_25,50,846793556,50,187,50.0,28.34224598930481,$age$exp$entropy$sexp$la$lt$ld$ns$Buggy,LR,CFS,0.68,0.37,0.67,0.34394718931531065,1,0.6567868206139115,0.35294117647058826
postgres,RESAMPLE_150_25_25,50,846793556,50,187,50.0,28.34224598930481,$age$exp$entropy$sexp$la$lt$ld$ns$Buggy,RF,CFS,0.49,0.3,0.52,0.4175102796265767,0,0.5960292875246409,0.3582887700534759
postgres,RESAMPLE_150_25_25,50,846793556,50,187,50.0,28.34224598930481,$age$exp$entropy$sexp$la$lt$ld$ns$Buggy,NB,CFS,0.66,0.47,0.63,0.4101120940730622,0,0.5951140523796113,0.43315508021390375
postgres,RESAMPLE_150_25_25,50,846793556,50,187,50.0,28.34224598930481,$age$exp$entropy$sexp$la$lt$ld$ns$Buggy,SVM,CFS,0.47,0.22,0.51,0.4036951792819929,1,0.6276401013798931,0.3048128342245989
postgres,RESAMPLE_300_25_25,50,846793556,50,187,50.0,28.34224598930481,$lt$exp$la$entropy$ld$fix$sexp$age$ns$Buggy,KNN,CFS,0.81,0.49,0.72,0.3729563397531975,1,0.6593917206420727,0.4064171122994653
postgres,RESAMPLE_300_25_25,50,846793556,50,187,50.0,28.34224598930481,$lt$exp$la$entropy$ld$fix$sexp$age$ns$Buggy,DT,CFS,0.77,0.51,0.69,0.3977511375485603,1,0.6293297662630245,0.43315508021390375
postgres,RESAMPLE_300_25_25,50,846793556,50,187,50.0,28.34224598930481,$lt$exp$la$entropy$ld$fix$sexp$age$ns$Buggy,LR,CFS,0.66,0.36,0.66,0.34903953517361724,1,0.6510842016333428,0.35294117647058826
postgres,RESAMPLE_300_25_25,50,846793556,50,187,50.0,28.34224598930481,$lt$exp$la$entropy$ld$fix$sexp$age$ns$Buggy,RF,CFS,0.53,0.26,0.56,0.3812620038983904,0,0.6335539284708532,0.32085561497326204
postgres,RESAMPLE_300_25_25,50,846793556,50,187,50.0,28.34224598930481,$lt$exp$la$entropy$ld$fix$sexp$age$ns$Buggy,NB,CFS,0.92,0.85,0.45,0.6039309525307579,1,0.536891016615038,0.6310160427807486
postgres,RESAMPLE_300_25_25,50,846793556,50,187,50.0,28.34224598930481,$lt$exp$la$entropy$ld$fix$sexp$age$ns$Buggy,SVM,CFS,0.64,0.39,0.63,0.3735678103507671,1,0.6267248662348633,0.3796791443850268
postgres,RESAMPLE_25_25,50,846793556,50,187,50.0,28.34224598930481,$ld$nf$lt$age$entropy$la$exp$sexp$ns$nuc$Buggy,KNN,CFS,0.75,0.49,0.69,0.3890737490943061,1,0.6310898338496198,0.4224598930481284
postgres,RESAMPLE_25_25,50,846793556,50,187,50.0,28.34224598930481,$ld$nf$lt$age$entropy$la$exp$sexp$ns$nuc$Buggy,DT,CFS,0.68,0.46,0.65,0.3937717422133357,1,0.6120107012109264,0.41711229946524064
postgres,RESAMPLE_25_25,50,846793556,50,187,50.0,28.34224598930481,$ld$nf$lt$age$entropy$la$exp$sexp$ns$nuc$Buggy,LR,CFS,0.6,0.35,0.61,0.3741779770344063,1,0.6265136581244719,0.3636363636363637
postgres,RESAMPLE_25_25,50,846793556,50,187,50.0,28.34224598930481,$ld$nf$lt$age$entropy$la$exp$sexp$ns$nuc$Buggy,RF,CFS,0.74,0.46,0.69,0.3721589058204316,1,0.6403125880033793,0.4010695187165775
postgres,RESAMPLE_25_25,50,846793556,50,187,50.0,28.34224598930481,$ld$nf$lt$age$entropy$la$exp$sexp$ns$nuc$Buggy,NB,CFS,0.83,0.59,0.69,0.4338246920920898,1,0.6203182202196564,0.4705882352941176
postgres,RESAMPLE_25_25,50,846793556,50,187,50.0,28.34224598930481,$ld$nf$lt$age$entropy$la$exp$sexp$ns$nuc$Buggy,SVM,CFS,0.66,0.43,0.64,0.3848933891574243,1,0.617502112081104,0.4010695187165775
postgres,RESAMPLE_150_25_25,50,850094694,50,313,50.0,34.185303514377,$lt$ld$entropy$la$age$exp$sexp$Buggy,KNN,CFS,0.69,0.42,0.66,0.3670173436690585,0,0.6370565284456945,0.3801916932907348
postgres,RESAMPLE_150_25_25,50,850094694,50,313,50.0,34.185303514377,$lt$ld$entropy$la$age$exp$sexp$Buggy,DT,CFS,0.64,0.42,0.63,0.3901840996686605,0,0.6112648579983667,0.3993610223642173
postgres,RESAMPLE_150_25_25,50,850094694,50,313,50.0,34.185303514377,$lt$ld$entropy$la$age$exp$sexp$Buggy,LR,CFS,0.62,0.32,0.63,0.3531810758855808,1,0.6482170401959894,0.34185303514377
postgres,RESAMPLE_150_25_25,50,850094694,50,313,50.0,34.185303514377,$lt$ld$entropy$la$age$exp$sexp$Buggy,RF,CFS,0.54,0.3,0.57,0.3874894227757397,2,0.6205426004899737,0.3546325878594249
postgres,RESAMPLE_150_25_25,50,850094694,50,313,50.0,34.185303514377,$lt$ld$entropy$la$age$exp$sexp$Buggy,NB,CFS,0.79,0.62,0.65,0.4627967798232877,4,0.5865166500317576,0.4792332268370607
postgres,RESAMPLE_150_25_25,50,850094694,50,313,50.0,34.185303514377,$lt$ld$entropy$la$age$exp$sexp$Buggy,SVM,CFS,0.56,0.28,0.59,0.3670864801344103,0,0.6420243172125941,0.33226837060702874
postgres,RESAMPLE_300_25_25,50,850094694,50,313,50.0,34.185303514377,$age$entropy$ld$lt$exp$la$nuc$Buggy,KNN,CFS,0.75,0.46,0.7,0.3687093161412954,0,0.6456764358951094,0.3865814696485623
postgres,RESAMPLE_300_25_25,50,850094694,50,313,50.0,34.185303514377,$age$entropy$ld$lt$exp$la$nuc$Buggy,DT,CFS,0.59,0.44,0.58,0.4242483997573113,3,0.5759459214227384,0.4281150159744409
postgres,RESAMPLE_300_25_25,50,850094694,50,313,50.0,34.185303514377,$age$entropy$ld$lt$exp$la$nuc$Buggy,LR,CFS,0.63,0.33,0.64,0.3549244106907547,0,0.6456083839941928,0.3482428115015975
postgres,RESAMPLE_300_25_25,50,850094694,50,313,50.0,34.185303514377,$age$entropy$ld$lt$exp$la$nuc$Buggy,RF,CFS,0.68,0.45,0.65,0.3875711620858069,3,0.6178205244533164,0.402555910543131
postgres,RESAMPLE_300_25_25,50,850094694,50,313,50.0,34.185303514377,$age$entropy$ld$lt$exp$la$nuc$Buggy,NB,CFS,0.13,0.15,0.16,0.6231555038828631,10,0.492605026767081,0.3929712460063898
