projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
prawn,RESAMPLE_150_25_25,50,1218196810,50,32,50.0,37.5,$la$exp$entropy$age$nuc$ld$Buggy,KNN,CFS,1.0,0.35,0.9,0.2474873734152916,0,0.825,0.21875
prawn,RESAMPLE_150_25_25,50,1218196810,50,32,50.0,37.5,$la$exp$entropy$age$nuc$ld$Buggy,DT,CFS,0.75,0.95,0.2,0.6946221994724902,0,0.4,0.6875
prawn,RESAMPLE_150_25_25,50,1218196810,50,32,50.0,37.5,$la$exp$entropy$age$nuc$ld$Buggy,LR,CFS,0.92,0.5,0.79,0.35843021946010944,0,0.7083333333333333,0.34375
prawn,RESAMPLE_150_25_25,50,1218196810,50,32,50.0,37.5,$la$exp$entropy$age$nuc$ld$Buggy,RF,CFS,0.58,0.4,0.58,0.4084183584947615,0,0.5916666666666667,0.40625
prawn,RESAMPLE_150_25_25,50,1218196810,50,32,50.0,37.5,$la$exp$entropy$age$nuc$ld$Buggy,NB,CFS,0.92,0.75,0.6,0.5335936864527373,0,0.5833333333333333,0.5
prawn,RESAMPLE_150_25_25,50,1218196810,50,32,50.0,37.5,$la$exp$entropy$age$nuc$ld$Buggy,SVM,CFS,0.83,0.5,0.73,0.37267799624996495,0,0.6666666666666667,0.375
prawn,RESAMPLE_300_25_25,50,1218196810,50,32,50.0,37.5,$lt$exp$entropy$la$age$ld$ns$Buggy,KNN,CFS,0.75,0.3,0.74,0.2761340254296815,0,0.7249999999999999,0.28125
prawn,RESAMPLE_300_25_25,50,1218196810,50,32,50.0,37.5,$lt$exp$entropy$la$age$ld$ns$Buggy,DT,CFS,0.67,0.5,0.63,0.4249182927993987,0,0.5833333333333333,0.4375
prawn,RESAMPLE_300_25_25,50,1218196810,50,32,50.0,37.5,$lt$exp$entropy$la$age$ld$ns$Buggy,LR,CFS,0.83,0.4,0.77,0.30641293851417056,0,0.7166666666666668,0.3125
prawn,RESAMPLE_300_25_25,50,1218196810,50,32,50.0,37.5,$lt$exp$entropy$la$age$ld$ns$Buggy,RF,CFS,0.67,0.25,0.68,0.2946278254943948,0,0.7083333333333334,0.28125
prawn,RESAMPLE_300_25_25,50,1218196810,50,32,50.0,37.5,$lt$exp$entropy$la$age$ld$ns$Buggy,NB,CFS,0.75,0.6,0.64,0.4596194077712559,2,0.575,0.46875
prawn,RESAMPLE_300_25_25,50,1218196810,50,32,50.0,37.5,$lt$exp$entropy$la$age$ld$ns$Buggy,SVM,CFS,0.75,0.45,0.7,0.36400549446402586,0,0.6500000000000001,0.375
prawn,RESAMPLE_25_25,50,1218196810,50,32,50.0,37.5,$nuc$sexp$la$lt$nf$Buggy,KNN,CFS,0.67,0.45,0.64,0.3959868123505574,0,0.6083333333333333,0.40625
prawn,RESAMPLE_25_25,50,1218196810,50,32,50.0,37.5,$nuc$sexp$la$lt$nf$Buggy,DT,CFS,0.67,0.3,0.68,0.31710495984067416,0,0.6833333333333332,0.3125
prawn,RESAMPLE_25_25,50,1218196810,50,32,50.0,37.5,$nuc$sexp$la$lt$nf$Buggy,LR,CFS,0.83,0.4,0.77,0.30641293851417056,0,0.7166666666666668,0.3125
prawn,RESAMPLE_25_25,50,1218196810,50,32,50.0,37.5,$nuc$sexp$la$lt$nf$Buggy,RF,CFS,0.58,0.35,0.59,0.3847798793538398,0,0.6166666666666667,0.375
prawn,RESAMPLE_25_25,50,1218196810,50,32,50.0,37.5,$nuc$sexp$la$lt$nf$Buggy,NB,CFS,0.83,0.65,0.65,0.4744880281828919,3,0.5916666666666668,0.46875
prawn,RESAMPLE_25_25,50,1218196810,50,32,50.0,37.5,$nuc$sexp$la$lt$nf$Buggy,SVM,CFS,0.75,0.3,0.74,0.2761340254296815,0,0.7249999999999999,0.28125
prawn,RESAMPLE_150_25_25,50,1221236127,50,100,50.0,30.0,$la$entropy$exp$nf$ns$nuc$lt$Buggy,KNN,CFS,0.73,0.43,0.69,0.3569205657417811,0,0.6523809523809524,0.38
prawn,RESAMPLE_150_25_25,50,1221236127,50,100,50.0,30.0,$la$entropy$exp$nf$ns$nuc$lt$Buggy,DT,CFS,0.67,0.51,0.62,0.4333594968553697,0,0.5761904761904761,0.46
prawn,RESAMPLE_150_25_25,50,1221236127,50,100,50.0,30.0,$la$entropy$exp$nf$ns$nuc$lt$Buggy,LR,CFS,0.73,0.4,0.7,0.33993463423951903,0,0.6666666666666667,0.36
prawn,RESAMPLE_150_25_25,50,1221236127,50,100,50.0,30.0,$la$entropy$exp$nf$ns$nuc$lt$Buggy,RF,CFS,0.6,0.4,0.6,0.4,0,0.6,0.4
prawn,RESAMPLE_150_25_25,50,1221236127,50,100,50.0,30.0,$la$entropy$exp$nf$ns$nuc$lt$Buggy,NB,CFS,0.97,0.6,0.75,0.4249182927993987,0,0.6833333333333333,0.43
prawn,RESAMPLE_150_25_25,50,1221236127,50,100,50.0,30.0,$la$entropy$exp$nf$ns$nuc$lt$Buggy,SVM,CFS,0.73,0.39,0.7,0.3315770056225196,0,0.6738095238095239,0.35
prawn,RESAMPLE_300_25_25,50,1221236127,50,100,50.0,30.0,$lt$la$entropy$nuc$exp$ld$sexp$Buggy,KNN,CFS,0.8,0.44,0.74,0.3436003848801626,0,0.6785714285714286,0.37
