projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
pry,RESAMPLE_150_25_25,50,1311819035,50,47,50.0,14.893617021276595,$nuc$entropy$la$ld$nf$age$exp$sexp$lt$ndev$Buggy,KNN,CFS,0.71,0.18,0.73,0.2369152306851804,2,0.7696428571428572,0.1914893617021277
pry,RESAMPLE_150_25_25,50,1311819035,50,47,50.0,14.893617021276595,$nuc$entropy$la$ld$nf$age$exp$sexp$lt$ndev$Buggy,DT,CFS,0.57,0.32,0.59,0.3803277990022259,5,0.6232142857142857,0.3404255319148936
pry,RESAMPLE_150_25_25,50,1311819035,50,47,50.0,14.893617021276595,$nuc$entropy$la$ld$nf$age$exp$sexp$lt$ndev$Buggy,LR,CFS,0.29,0.15,0.33,0.5160930544158935,4,0.5678571428571428,0.23404255319148934
pry,RESAMPLE_150_25_25,50,1311819035,50,47,50.0,14.893617021276595,$nuc$entropy$la$ld$nf$age$exp$sexp$lt$ndev$Buggy,RF,CFS,0.57,0.18,0.61,0.3273365770791244,1,0.6982142857142857,0.2127659574468085
pry,RESAMPLE_150_25_25,50,1311819035,50,47,50.0,14.893617021276595,$nuc$entropy$la$ld$nf$age$exp$sexp$lt$ndev$Buggy,NB,CFS,0.71,0.35,0.7,0.3194782097899827,4,0.6821428571428572,0.3404255319148936
pry,RESAMPLE_150_25_25,50,1311819035,50,47,50.0,14.893617021276595,$nuc$entropy$la$ld$nf$age$exp$sexp$lt$ndev$Buggy,SVM,CFS,0.43,0.15,0.48,0.4177502915887061,4,0.6392857142857142,0.2127659574468085
pry,RESAMPLE_300_25_25,50,1311819035,50,47,50.0,14.893617021276595,$lt$entropy$la$ld$age$nf$exp$ns$nuc$sexp$Buggy,KNN,CFS,0.71,0.38,0.69,0.3333599054034726,3,0.6696428571428572,0.3617021276595745
pry,RESAMPLE_300_25_25,50,1311819035,50,47,50.0,14.893617021276595,$lt$entropy$la$ld$age$nf$exp$ns$nuc$sexp$Buggy,DT,CFS,0.57,0.15,0.61,0.3210712299379649,1,0.7107142857142856,0.1914893617021277
pry,RESAMPLE_300_25_25,50,1311819035,50,47,50.0,14.893617021276595,$lt$entropy$la$ld$age$nf$exp$ns$nuc$sexp$Buggy,LR,CFS,0.71,0.25,0.72,0.2684517210423733,2,0.7321428571428572,0.2553191489361702
pry,RESAMPLE_300_25_25,50,1311819035,50,47,50.0,14.893617021276595,$lt$entropy$la$ld$age$nf$exp$ns$nuc$sexp$Buggy,RF,CFS,0.57,0.2,0.6,0.3344199974491321,1,0.6857142857142857,0.23404255319148934
pry,RESAMPLE_300_25_25,50,1311819035,50,47,50.0,14.893617021276595,$lt$entropy$la$ld$age$nf$exp$ns$nuc$sexp$Buggy,NB,CFS,0.86,0.72,0.61,0.5225098866362751,13,0.5660714285714286,0.6382978723404256
pry,RESAMPLE_300_25_25,50,1311819035,50,47,50.0,14.893617021276595,$lt$entropy$la$ld$age$nf$exp$ns$nuc$sexp$Buggy,SVM,CFS,0.71,0.2,0.73,0.24660966430902956,2,0.7571428571428572,0.2127659574468085
pry,RESAMPLE_25_25,50,1311819035,50,47,50.0,14.893617021276595,$exp$entropy$ns$la$lt$nuc$sexp$nf$Buggy,KNN,CFS,0.71,0.57,0.63,0.4540141259152761,4,0.5696428571428571,0.5319148936170213
pry,RESAMPLE_25_25,50,1311819035,50,47,50.0,14.893617021276595,$exp$entropy$ns$la$lt$nuc$sexp$nf$Buggy,DT,CFS,0.57,0.52,0.55,0.4792173146849742,8,0.5232142857142856,0.5106382978723404
pry,RESAMPLE_25_25,50,1311819035,50,47,50.0,14.893617021276595,$exp$entropy$ns$la$lt$nuc$sexp$nf$Buggy,LR,CFS,0.71,0.38,0.69,0.3333599054034726,2,0.6696428571428572,0.3617021276595745
pry,RESAMPLE_25_25,50,1311819035,50,47,50.0,14.893617021276595,$exp$entropy$ns$la$lt$nuc$sexp$nf$Buggy,RF,CFS,0.43,0.18,0.48,0.4225846733170158,2,0.6267857142857143,0.23404255319148934
pry,RESAMPLE_25_25,50,1311819035,50,47,50.0,14.893617021276595,$exp$entropy$ns$la$lt$nuc$sexp$nf$Buggy,NB,CFS,0.86,0.78,0.54,0.5572401471831091,11,0.5410714285714285,0.6808510638297872
pry,RESAMPLE_25_25,50,1311819035,50,47,50.0,14.893617021276595,$exp$entropy$ns$la$lt$nuc$sexp$nf$Buggy,SVM,CFS,0.71,0.48,0.66,0.3919551333132559,4,0.6196428571428572,0.44680851063829785
pry,RESAMPLE_150_25_25,50,1315513688,50,143,50.0,34.96503496503497,$entropy$nuc$la$lt$ld$Buggy,KNN,CFS,0.48,0.23,0.52,0.4008669065849727,2,0.6270967741935484,0.32867132867132864
pry,RESAMPLE_150_25_25,50,1315513688,50,143,50.0,34.96503496503497,$entropy$nuc$la$lt$ld$Buggy,DT,CFS,0.26,0.32,0.3,0.570814449989081,7,0.4687096774193549,0.4685314685314685
pry,RESAMPLE_150_25_25,50,1315513688,50,143,50.0,34.96503496503497,$entropy$nuc$la$lt$ld$Buggy,LR,CFS,0.5,0.18,0.54,0.3764400799233398,2,0.6586021505376343,0.2937062937062937
pry,RESAMPLE_150_25_25,50,1315513688,50,143,50.0,34.96503496503497,$entropy$nuc$la$lt$ld$Buggy,RF,CFS,0.22,0.31,0.25,0.5939851322887164,3,0.4540860215053764,0.4755244755244755
pry,RESAMPLE_150_25_25,50,1315513688,50,143,50.0,34.96503496503497,$entropy$nuc$la$lt$ld$Buggy,NB,CFS,0.42,0.16,0.47,0.42568448888711496,1,0.6293548387096773,0.3076923076923077
pry,RESAMPLE_150_25_25,50,1315513688,50,143,50.0,34.96503496503497,$entropy$nuc$la$lt$ld$Buggy,SVM,CFS,0.4,0.17,0.45,0.44136084871046816,2,0.6139784946236558,0.3216783216783217
pry,RESAMPLE_300_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$lt$ns$age$exp$nf$nuc$Buggy,KNN,CFS,0.72,0.39,0.69,0.33781941373391416,0,0.6664516129032259,0.34965034965034963
pry,RESAMPLE_300_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$lt$ns$age$exp$nf$nuc$Buggy,DT,CFS,0.66,0.35,0.66,0.34749856826002595,3,0.6525806451612903,0.34965034965034963
pry,RESAMPLE_300_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$lt$ns$age$exp$nf$nuc$Buggy,LR,CFS,0.64,0.28,0.65,0.3223036803834474,2,0.6802150537634409,0.3076923076923077
pry,RESAMPLE_300_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$lt$ns$age$exp$nf$nuc$Buggy,RF,CFS,0.52,0.27,0.55,0.3890132962562115,2,0.6255913978494623,0.34265734265734266
pry,RESAMPLE_300_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$lt$ns$age$exp$nf$nuc$Buggy,NB,CFS,0.72,0.35,0.7,0.3196173570736858,3,0.6825806451612904,0.32867132867132864
pry,RESAMPLE_300_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$lt$ns$age$exp$nf$nuc$Buggy,SVM,CFS,0.66,0.25,0.68,0.2972903801398789,2,0.7063440860215054,0.2797202797202797
pry,RESAMPLE_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$ns$age$exp$nf$sexp$Buggy,KNN,CFS,0.72,0.39,0.69,0.33781941373391416,5,0.6664516129032259,0.34965034965034963
pry,RESAMPLE_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$ns$age$exp$nf$sexp$Buggy,DT,CFS,0.46,0.42,0.48,0.4834555205751712,1,0.5203225806451612,0.4615384615384616
pry,RESAMPLE_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$ns$age$exp$nf$sexp$Buggy,LR,CFS,0.7,0.44,0.67,0.3770661276336357,6,0.6295698924731182,0.3916083916083916
pry,RESAMPLE_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$ns$age$exp$nf$sexp$Buggy,RF,CFS,0.44,0.23,0.48,0.4269593385733649,2,0.6070967741935483,0.34265734265734266
pry,RESAMPLE_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$ns$age$exp$nf$sexp$Buggy,NB,CFS,0.9,0.78,0.56,0.5595268511377971,0,0.5575268817204301,0.5454545454545454
pry,RESAMPLE_25_25,50,1315513688,50,143,50.0,34.96503496503497,$la$entropy$ld$ns$age$exp$nf$sexp$Buggy,SVM,CFS,0.58,0.26,0.61,0.3485665607060663,4,0.6609677419354839,0.3146853146853147
pry,RESAMPLE_150_25_25,50,1316455178,50,74,50.0,35.135135135135144,$entropy$sexp$fix$nf$lt$Buggy,KNN,CFS,0.54,0.25,0.57,0.3711588281849766,2,0.6442307692307692,0.32432432432432434
pry,RESAMPLE_150_25_25,50,1316455178,50,74,50.0,35.135135135135144,$entropy$sexp$fix$nf$lt$Buggy,DT,CFS,0.27,0.08,0.31,0.5200808173176058,0,0.5929487179487178,0.3108108108108108
pry,RESAMPLE_150_25_25,50,1316455178,50,74,50.0,35.135135135135144,$entropy$sexp$fix$nf$lt$Buggy,LR,CFS,0.54,0.33,0.56,0.4025722684130149,2,0.6025641025641026,0.3783783783783784
pry,RESAMPLE_150_25_25,50,1316455178,50,74,50.0,35.135135135135144,$entropy$sexp$fix$nf$lt$Buggy,RF,CFS,0.35,0.08,0.4,0.4660789832978165,0,0.6314102564102564,0.28378378378378377
pry,RESAMPLE_150_25_25,50,1316455178,50,74,50.0,35.135135135135144,$entropy$sexp$fix$nf$lt$Buggy,NB,CFS,0.54,0.4,0.55,0.4299428911245467,2,0.5713141025641025,0.4189189189189189
pry,RESAMPLE_150_25_25,50,1316455178,50,74,50.0,35.135135135135144,$entropy$sexp$fix$nf$lt$Buggy,SVM,CFS,0.62,0.35,0.63,0.3697046266011679,2,0.6306089743589743,0.3648648648648649
pry,RESAMPLE_300_25_25,50,1316455178,50,74,50.0,35.135135135135144,$lt$entropy$la$ld$age$exp$Buggy,KNN,CFS,0.5,0.4,0.52,0.4509346004565283,3,0.5520833333333334,0.4324324324324325
pry,RESAMPLE_300_25_25,50,1316455178,50,74,50.0,35.135135135135144,$lt$entropy$la$ld$age$exp$Buggy,DT,CFS,0.62,0.27,0.64,0.3326256819063169,0,0.6722756410256411,0.3108108108108108
pry,RESAMPLE_300_25_25,50,1316455178,50,74,50.0,35.135135135135144,$lt$entropy$la$ld$age$exp$Buggy,LR,CFS,0.62,0.21,0.65,0.30929902348748045,2,0.703525641025641,0.2702702702702703
pry,RESAMPLE_300_25_25,50,1316455178,50,74,50.0,35.135135135135144,$lt$entropy$la$ld$age$exp$Buggy,RF,CFS,0.27,0.02,0.32,0.5169418228470353,0,0.624198717948718,0.2702702702702703
pry,RESAMPLE_300_25_25,50,1316455178,50,74,50.0,35.135135135135144,$lt$entropy$la$ld$age$exp$Buggy,NB,CFS,0.62,0.25,0.64,0.3243678421814038,2,0.6826923076923077,0.2972972972972973
pry,RESAMPLE_300_25_25,50,1316455178,50,74,50.0,35.135135135135144,$lt$entropy$la$ld$age$exp$Buggy,SVM,CFS,0.5,0.1,0.55,0.3611444963199941,0,0.6979166666666666,0.2432432432432433
pry,RESAMPLE_25_25,50,1316455178,50,74,50.0,35.135135135135144,$exp$entropy$la$ld$lt$age$Buggy,KNN,CFS,0.58,0.29,0.6,0.3633617531363759,3,0.6426282051282051,0.33783783783783783
pry,RESAMPLE_25_25,50,1316455178,50,74,50.0,35.135135135135144,$exp$entropy$la$ld$lt$age$Buggy,DT,CFS,0.5,0.31,0.53,0.4169270020039479,2,0.59375,0.3783783783783784
