projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
raiden,RESAMPLE_150_25_25,50,1485536257,50,111,50.0,37.837837837837846,$exp$entropy$lt$ns$age$la$sexp$ld$Buggy,KNN,CFS,0.64,0.33,0.65,0.3454432887749264,1,0.6547619047619049,0.34234234234234234
raiden,RESAMPLE_150_25_25,50,1485536257,50,111,50.0,37.837837837837846,$exp$entropy$lt$ns$age$la$sexp$ld$Buggy,DT,CFS,0.67,0.22,0.69,0.28139837447750143,3,0.7246376811594203,0.2612612612612613
raiden,RESAMPLE_150_25_25,50,1485536257,50,111,50.0,37.837837837837846,$exp$entropy$lt$ns$age$la$sexp$ld$Buggy,LR,CFS,0.69,0.33,0.69,0.32164895443110225,1,0.6785714285714287,0.32432432432432434
raiden,RESAMPLE_150_25_25,50,1485536257,50,111,50.0,37.837837837837846,$exp$entropy$lt$ns$age$la$sexp$ld$Buggy,RF,CFS,0.67,0.22,0.69,0.28139837447750143,1,0.7246376811594203,0.2612612612612613
raiden,RESAMPLE_150_25_25,50,1485536257,50,111,50.0,37.837837837837846,$exp$entropy$lt$ns$age$la$sexp$ld$Buggy,NB,CFS,0.83,0.48,0.74,0.3581279360333788,1,0.677536231884058,0.3603603603603603
raiden,RESAMPLE_150_25_25,50,1485536257,50,111,50.0,37.837837837837846,$exp$entropy$lt$ns$age$la$sexp$ld$Buggy,SVM,CFS,0.55,0.23,0.58,0.35945705057642297,1,0.6578674948240165,0.3153153153153153
raiden,RESAMPLE_300_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$sexp$ns$nuc$exp$age$ld$Buggy,KNN,CFS,0.88,0.3,0.84,0.2310843296772451,0,0.7883022774327122,0.23423423423423426
raiden,RESAMPLE_300_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$sexp$ns$nuc$exp$age$ld$Buggy,DT,CFS,0.62,0.26,0.64,0.32647943779815497,0,0.6790890269151139,0.3063063063063063
raiden,RESAMPLE_300_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$sexp$ns$nuc$exp$age$ld$Buggy,LR,CFS,0.9,0.45,0.8,0.32474501225677505,0,0.7277432712215319,0.3153153153153153
raiden,RESAMPLE_300_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$sexp$ns$nuc$exp$age$ld$Buggy,RF,CFS,0.88,0.32,0.83,0.2406570701961697,1,0.781055900621118,0.2432432432432433
raiden,RESAMPLE_300_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$sexp$ns$nuc$exp$age$ld$Buggy,NB,CFS,0.95,0.59,0.75,0.421511956142544,1,0.6790890269151139,0.38738738738738737
raiden,RESAMPLE_300_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$sexp$ns$nuc$exp$age$ld$Buggy,SVM,CFS,0.76,0.28,0.75,0.2574041074272992,0,0.7432712215320911,0.2612612612612613
raiden,RESAMPLE_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$ns$exp$entropy$sexp$ld$nuc$Buggy,KNN,CFS,0.52,0.33,0.54,0.4110161071817159,0,0.5952380952380953,0.38738738738738737
raiden,RESAMPLE_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$ns$exp$entropy$sexp$ld$nuc$Buggy,DT,CFS,0.17,0.06,0.2,0.5906797283493668,0,0.5543478260869565,0.35135135135135137
raiden,RESAMPLE_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$ns$exp$entropy$sexp$ld$nuc$Buggy,LR,CFS,0.86,0.35,0.81,0.2658863949441489,0,0.7546583850931676,0.2702702702702703
raiden,RESAMPLE_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$ns$exp$entropy$sexp$ld$nuc$Buggy,RF,CFS,0.62,0.16,0.65,0.29200988456794,0,0.7298136645962733,0.2432432432432433
raiden,RESAMPLE_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$ns$exp$entropy$sexp$ld$nuc$Buggy,NB,CFS,0.98,0.59,0.77,0.4205020678130602,1,0.6909937888198758,0.3783783783783784
raiden,RESAMPLE_25_25,50,1485536257,50,111,50.0,37.837837837837846,$la$lt$ns$exp$entropy$sexp$ld$nuc$Buggy,SVM,CFS,0.6,0.28,0.62,0.3461622496631792,1,0.6599378881987579,0.32432432432432434
raiden,RESAMPLE_150_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$exp$entropy$la$ns$lt$age$sexp$ld$Buggy,KNN,CFS,0.67,0.34,0.67,0.3328540486893969,3,0.6671991817194437,0.33386581469648563
raiden,RESAMPLE_150_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$exp$entropy$la$ns$lt$age$sexp$ld$Buggy,DT,CFS,0.76,0.36,0.73,0.3074818854548711,3,0.6984831229635253,0.3123003194888179
raiden,RESAMPLE_150_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$exp$entropy$la$ns$lt$age$sexp$ld$Buggy,LR,CFS,0.81,0.46,0.74,0.3524076373793755,2,0.6755849756941149,0.3490415335463259
raiden,RESAMPLE_150_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$exp$entropy$la$ns$lt$age$sexp$ld$Buggy,RF,CFS,0.7,0.36,0.69,0.3299491218946374,2,0.6713327639112967,0.33386581469648563
raiden,RESAMPLE_150_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$exp$entropy$la$ns$lt$age$sexp$ld$Buggy,NB,CFS,0.81,0.67,0.63,0.4965890341514507,4,0.5653253614248205,0.4776357827476038
raiden,RESAMPLE_150_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$exp$entropy$la$ns$lt$age$sexp$ld$Buggy,SVM,CFS,0.55,0.2,0.59,0.3443079895560261,2,0.6789988717007792,0.2987220447284345
raiden,RESAMPLE_300_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$lt$exp$ns$la$entropy$sexp$nuc$age$Buggy,KNN,CFS,0.68,0.39,0.66,0.3567098656903101,3,0.6447544631088334,0.3610223642172524
raiden,RESAMPLE_300_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$lt$exp$ns$la$entropy$sexp$nuc$age$Buggy,DT,CFS,0.84,0.59,0.69,0.42937659498161895,2,0.6265777735598368,0.41134185303514376
raiden,RESAMPLE_300_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$lt$exp$ns$la$entropy$sexp$nuc$age$Buggy,LR,CFS,0.88,0.49,0.77,0.357179699945858,2,0.6944312633787817,0.33865814696485624
raiden,RESAMPLE_300_25_25,50,1504182877,50,1252,50.0,41.054313099041536,$lt$exp$ns$la$entropy$sexp$nuc$age$Buggy,RF,CFS,0.56,0.4,0.57,0.4194501004254312,2,0.5808816551200532,0.4161341853035144
