projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
rasa,RESAMPLE_150_25_25,50,1489423074,50,18,50.0,55.555555555555564,$age$ns$sexp$exp$entropy$la$nuc$Buggy,KNN,CFS,0.9,0.88,0.39,0.6227459353540575,1,0.5125,0.4444444444444444
rasa,RESAMPLE_150_25_25,50,1489423074,50,18,50.0,55.555555555555564,$age$ns$sexp$exp$entropy$la$nuc$Buggy,DT,CFS,0.8,0.62,0.66,0.4640177798317646,1,0.5875,0.3888888888888889
rasa,RESAMPLE_150_25_25,50,1489423074,50,18,50.0,55.555555555555564,$age$ns$sexp$exp$entropy$la$nuc$Buggy,LR,CFS,0.9,0.62,0.71,0.4475628447492039,1,0.6375,0.3333333333333333
rasa,RESAMPLE_150_25_25,50,1489423074,50,18,50.0,55.555555555555564,$age$ns$sexp$exp$entropy$la$nuc$Buggy,RF,CFS,0.7,0.75,0.51,0.5711829829397931,1,0.475,0.5
rasa,RESAMPLE_150_25_25,50,1489423074,50,18,50.0,55.555555555555564,$age$ns$sexp$exp$entropy$la$nuc$Buggy,NB,CFS,0.7,0.88,0.36,0.6540737725975565,1,0.4125,0.5555555555555556
rasa,RESAMPLE_150_25_25,50,1489423074,50,18,50.0,55.555555555555564,$age$ns$sexp$exp$entropy$la$nuc$Buggy,SVM,CFS,0.9,0.88,0.39,0.6227459353540575,1,0.5125,0.4444444444444444
rasa,RESAMPLE_300_25_25,50,1489423074,50,18,50.0,55.555555555555564,$exp$ns$age$lt$nuc$la$ndev$Buggy,KNN,CFS,0.8,0.12,0.81,0.16677080080157913,0,0.8375,0.16666666666666666
rasa,RESAMPLE_300_25_25,50,1489423074,50,18,50.0,55.555555555555564,$exp$ns$age$lt$nuc$la$ndev$Buggy,DT,CFS,0.2,0.38,0.23,0.62474994997999,0,0.4125,0.6111111111111112
rasa,RESAMPLE_300_25_25,50,1489423074,50,18,50.0,55.555555555555564,$exp$ns$age$lt$nuc$la$ndev$Buggy,LR,CFS,0.8,0.5,0.71,0.3807886552931954,1,0.65,0.3333333333333333
rasa,RESAMPLE_300_25_25,50,1489423074,50,18,50.0,55.555555555555564,$exp$ns$age$lt$nuc$la$ndev$Buggy,RF,CFS,0.8,0.5,0.71,0.3807886552931954,0,0.65,0.3333333333333333
rasa,RESAMPLE_300_25_25,50,1489423074,50,18,50.0,55.555555555555564,$exp$ns$age$lt$nuc$la$ndev$Buggy,NB,CFS,0.9,0.88,0.39,0.6227459353540575,1,0.5125,0.4444444444444444
rasa,RESAMPLE_300_25_25,50,1489423074,50,18,50.0,55.555555555555564,$exp$ns$age$lt$nuc$la$ndev$Buggy,SVM,CFS,0.9,0.62,0.71,0.4475628447492039,1,0.6375,0.3333333333333333
rasa,RESAMPLE_25_25,50,1489423074,50,18,50.0,55.555555555555564,$ld$ns$age$lt$la$entropy$exp$Buggy,KNN,CFS,0.8,0.5,0.71,0.3807886552931954,1,0.65,0.3333333333333333
rasa,RESAMPLE_25_25,50,1489423074,50,18,50.0,55.555555555555564,$ld$ns$age$lt$la$entropy$exp$Buggy,DT,CFS,0.7,0.12,0.73,0.22980970388562794,1,0.7875,0.2222222222222222
rasa,RESAMPLE_25_25,50,1489423074,50,18,50.0,55.555555555555564,$ld$ns$age$lt$la$entropy$exp$Buggy,LR,CFS,0.9,0.5,0.78,0.3605551275463989,0,0.7,0.2777777777777778
rasa,RESAMPLE_25_25,50,1489423074,50,18,50.0,55.555555555555564,$ld$ns$age$lt$la$entropy$exp$Buggy,RF,CFS,0.8,0.12,0.81,0.16677080080157913,1,0.8375,0.16666666666666666
