projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
realm-java,RESAMPLE_150_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$nuc$exp$ns$ld$age$entropy$Buggy,KNN,CFS,0.57,0.63,0.51,0.5397061404814465,2,0.4699248120300752,0.5769230769230769
realm-java,RESAMPLE_150_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$nuc$exp$ns$ld$age$entropy$Buggy,DT,CFS,0.57,0.42,0.57,0.4248286642561397,1,0.575187969924812,0.4230769230769231
realm-java,RESAMPLE_150_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$nuc$exp$ns$ld$age$entropy$Buggy,LR,CFS,0.71,0.53,0.64,0.4234624914384578,1,0.5939849624060151,0.4615384615384616
realm-java,RESAMPLE_150_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$nuc$exp$ns$ld$age$entropy$Buggy,RF,CFS,0.43,0.32,0.46,0.461656584451391,1,0.5563909774436091,0.38461538461538464
realm-java,RESAMPLE_150_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$nuc$exp$ns$ld$age$entropy$Buggy,NB,CFS,1.0,0.74,0.64,0.5210260492953508,2,0.631578947368421,0.5384615384615384
realm-java,RESAMPLE_150_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$nuc$exp$ns$ld$age$entropy$Buggy,SVM,CFS,0.86,0.68,0.64,0.4942429602870616,1,0.5864661654135338,0.5384615384615384
realm-java,RESAMPLE_300_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$age$entropy$Buggy,KNN,CFS,0.57,0.47,0.56,0.4516913773195666,2,0.5488721804511278,0.4615384615384616
realm-java,RESAMPLE_300_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$age$entropy$Buggy,DT,CFS,1.0,0.58,0.78,0.4093776101606328,2,0.7105263157894737,0.4230769230769231
realm-java,RESAMPLE_300_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$age$entropy$Buggy,LR,CFS,0.57,0.53,0.55,0.4799384229445808,2,0.5225563909774436,0.5
realm-java,RESAMPLE_300_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$age$entropy$Buggy,RF,CFS,0.57,0.53,0.55,0.4799384229445808,1,0.5225563909774436,0.5
realm-java,RESAMPLE_300_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$age$entropy$Buggy,NB,CFS,0.43,0.53,0.44,0.549335472409258,2,0.4511278195488722,0.5384615384615384
realm-java,RESAMPLE_300_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$age$entropy$Buggy,SVM,CFS,0.57,0.53,0.55,0.4799384229445808,2,0.5225563909774436,0.5
realm-java,RESAMPLE_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$exp$entropy$Buggy,KNN,CFS,0.43,0.42,0.45,0.5019043388955979,1,0.5037593984962406,0.4615384615384616
realm-java,RESAMPLE_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$exp$entropy$Buggy,DT,CFS,0.43,0.63,0.42,0.6022551697594221,2,0.3984962406015038,0.6153846153846154
realm-java,RESAMPLE_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$exp$entropy$Buggy,LR,CFS,0.57,0.47,0.56,0.4516913773195666,1,0.5488721804511278,0.4615384615384616
realm-java,RESAMPLE_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$exp$entropy$Buggy,RF,CFS,0.29,0.26,0.33,0.5382639497472312,1,0.5112781954887218,0.38461538461538464
realm-java,RESAMPLE_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$exp$entropy$Buggy,NB,CFS,0.86,0.68,0.64,0.4942429602870616,2,0.5864661654135338,0.5384615384615384
realm-java,RESAMPLE_25_25,50,1349362008,50,26,50.0,26.923076923076927,$la$lt$ld$exp$entropy$Buggy,SVM,CFS,0.57,0.47,0.56,0.4516913773195666,1,0.5488721804511278,0.4615384615384616
realm-java,RESAMPLE_150_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$lt$nuc$sexp$Buggy,KNN,CFS,0.71,0.33,0.7,0.3104382097715547,1,0.6904761904761906,0.32142857142857145
realm-java,RESAMPLE_150_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$lt$nuc$sexp$Buggy,DT,CFS,0.57,0.26,0.6,0.3551531878613405,1,0.6547619047619048,0.3035714285714285
realm-java,RESAMPLE_150_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$lt$nuc$sexp$Buggy,LR,CFS,0.79,0.43,0.73,0.3388154635894692,1,0.6785714285714285,0.375
realm-java,RESAMPLE_150_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$lt$nuc$sexp$Buggy,RF,CFS,0.43,0.24,0.47,0.43773276930595795,0,0.5952380952380951,0.32142857142857145
realm-java,RESAMPLE_150_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$lt$nuc$sexp$Buggy,NB,CFS,0.71,0.67,0.58,0.5128728387747146,2,0.5238095238095238,0.5714285714285714
realm-java,RESAMPLE_150_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$lt$nuc$sexp$Buggy,SVM,CFS,0.79,0.33,0.76,0.2802048165699957,1,0.7261904761904762,0.3035714285714285
realm-java,RESAMPLE_300_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$entropy$lt$ld$Buggy,KNN,CFS,0.79,0.43,0.73,0.3388154635894692,1,0.6785714285714285,0.375
realm-java,RESAMPLE_300_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$entropy$lt$ld$Buggy,DT,CFS,0.71,0.36,0.69,0.3234066120763363,1,0.6785714285714285,0.3392857142857143
realm-java,RESAMPLE_300_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$entropy$lt$ld$Buggy,LR,CFS,0.79,0.4,0.74,0.3238445359222724,1,0.6904761904761905,0.35714285714285715
realm-java,RESAMPLE_300_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$entropy$lt$ld$Buggy,RF,CFS,0.64,0.26,0.66,0.3131653913801405,0,0.6904761904761905,0.2857142857142857
realm-java,RESAMPLE_300_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$entropy$lt$ld$Buggy,NB,CFS,0.79,0.45,0.73,0.35395401779329777,1,0.6666666666666667,0.3928571428571429
realm-java,RESAMPLE_300_25_25,50,1355713474,50,56,50.0,25.0,$exp$la$entropy$lt$ld$Buggy,SVM,CFS,0.79,0.43,0.73,0.3388154635894692,1,0.6785714285714285,0.375
realm-java,RESAMPLE_25_25,50,1355713474,50,56,50.0,25.0,$la$ld$age$lt$entropy$Buggy,KNN,CFS,0.79,0.21,0.79,0.21428571428571427,1,0.7857142857142856,0.21428571428571427
realm-java,RESAMPLE_25_25,50,1355713474,50,56,50.0,25.0,$la$ld$age$lt$entropy$Buggy,DT,CFS,0.57,0.24,0.6,0.3466718994895485,1,0.6666666666666666,0.2857142857142857
realm-java,RESAMPLE_25_25,50,1355713474,50,56,50.0,25.0,$la$ld$age$lt$entropy$Buggy,LR,CFS,0.86,0.38,0.8,0.28769157079987073,1,0.7380952380952381,0.32142857142857145
realm-java,RESAMPLE_25_25,50,1355713474,50,56,50.0,25.0,$la$ld$age$lt$entropy$Buggy,RF,CFS,0.71,0.24,0.72,0.2629847861235062,1,0.7380952380952381,0.25
realm-java,RESAMPLE_25_25,50,1355713474,50,56,50.0,25.0,$la$ld$age$lt$entropy$Buggy,NB,CFS,0.86,0.52,0.74,0.3839170356332641,1,0.6666666666666666,0.42857142857142855
realm-java,RESAMPLE_25_25,50,1355713474,50,56,50.0,25.0,$la$ld$age$lt$entropy$Buggy,SVM,CFS,0.71,0.21,0.72,0.25253813613805265,1,0.7500000000000001,0.23214285714285715
realm-java,RESAMPLE_150_25_25,50,1361986049,50,39,50.0,15.384615384615385,$lt$la$exp$ld$age$Buggy,KNN,CFS,0.5,0.21,0.54,0.38405429865565377,2,0.6439393939393938,0.2564102564102564
realm-java,RESAMPLE_150_25_25,50,1361986049,50,39,50.0,15.384615384615385,$lt$la$exp$ld$age$Buggy,DT,CFS,0.33,0.21,0.37,0.4946917490095306,5,0.5606060606060606,0.28205128205128205
realm-java,RESAMPLE_150_25_25,50,1361986049,50,39,50.0,15.384615384615385,$lt$la$exp$ld$age$Buggy,LR,CFS,0.83,0.3,0.8,0.2445456422964996,2,0.7651515151515152,0.28205128205128205
realm-java,RESAMPLE_150_25_25,50,1361986049,50,39,50.0,15.384615384615385,$lt$la$exp$ld$age$Buggy,RF,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.15384615384615385
realm-java,RESAMPLE_150_25_25,50,1361986049,50,39,50.0,15.384615384615385,$lt$la$exp$ld$age$Buggy,NB,CFS,1.0,0.36,0.9,0.25712973861329,0,0.8181818181818181,0.3076923076923077
realm-java,RESAMPLE_150_25_25,50,1361986049,50,39,50.0,15.384615384615385,$lt$la$exp$ld$age$Buggy,SVM,CFS,0.33,0.09,0.38,0.4757672263062904,2,0.6212121212121211,0.1794871794871795
realm-java,RESAMPLE_300_25_25,50,1361986049,50,39,50.0,15.384615384615385,$la$sexp$ns$lt$exp$entropy$ld$Buggy,KNN,CFS,1.0,0.39,0.89,0.27855721683106416,0,0.803030303030303,0.3333333333333333
realm-java,RESAMPLE_300_25_25,50,1361986049,50,39,50.0,15.384615384615385,$la$sexp$ns$lt$exp$entropy$ld$Buggy,DT,CFS,1.0,0.42,0.87,0.29998469504883835,0,0.7878787878787878,0.35897435897435903
realm-java,RESAMPLE_300_25_25,50,1361986049,50,39,50.0,15.384615384615385,$la$sexp$ns$lt$exp$entropy$ld$Buggy,LR,CFS,0.5,0.27,0.53,0.40272829878793975,3,0.6136363636363635,0.3076923076923077
realm-java,RESAMPLE_300_25_25,50,1361986049,50,39,50.0,15.384615384615385,$la$sexp$ns$lt$exp$entropy$ld$Buggy,RF,CFS,0.33,0.21,0.37,0.4946917490095306,1,0.5606060606060606,0.28205128205128205
realm-java,RESAMPLE_300_25_25,50,1361986049,50,39,50.0,15.384615384615385,$la$sexp$ns$lt$exp$entropy$ld$Buggy,NB,CFS,1.0,0.58,0.78,0.4071220861377092,0,0.7121212121212122,0.4871794871794872
realm-java,RESAMPLE_300_25_25,50,1361986049,50,39,50.0,15.384615384615385,$la$sexp$ns$lt$exp$entropy$ld$Buggy,SVM,CFS,1.0,0.45,0.86,0.3214121732666125,0,0.7727272727272727,0.38461538461538464
realm-java,RESAMPLE_25_25,50,1361986049,50,39,50.0,15.384615384615385,$ld$la$age$lt$exp$entropy$Buggy,KNN,CFS,1.0,0.45,0.86,0.3214121732666125,0,0.7727272727272727,0.38461538461538464
