projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
redisson,RESAMPLE_150_25_25,50,1427990111,50,30,50.0,26.66666666666667,$entropy$nf$lt$la$ns$Buggy,KNN,CFS,0.75,0.05,0.78,0.17967486705502153,0,0.8522727272727273,0.1
redisson,RESAMPLE_150_25_25,50,1427990111,50,30,50.0,26.66666666666667,$entropy$nf$lt$la$ns$Buggy,DT,CFS,1.0,0.09,0.98,0.06428243465332249,0,0.9545454545454544,0.06666666666666668
redisson,RESAMPLE_150_25_25,50,1427990111,50,30,50.0,26.66666666666667,$entropy$nf$lt$la$ns$Buggy,LR,CFS,0.88,0.05,0.89,0.09405082589344801,0,0.9147727272727272,0.06666666666666668
redisson,RESAMPLE_150_25_25,50,1427990111,50,30,50.0,26.66666666666667,$entropy$nf$lt$la$ns$Buggy,RF,CFS,0.75,0.0,0.79,0.17677669529663687,0,0.875,0.06666666666666668
redisson,RESAMPLE_150_25_25,50,1427990111,50,30,50.0,26.66666666666667,$entropy$nf$lt$la$ns$Buggy,NB,CFS,1.0,0.18,0.96,0.128564869306645,1,0.9090909090909092,0.13333333333333333
redisson,RESAMPLE_150_25_25,50,1427990111,50,30,50.0,26.66666666666667,$entropy$nf$lt$la$ns$Buggy,SVM,CFS,0.88,0.05,0.89,0.09405082589344801,0,0.9147727272727272,0.06666666666666668
redisson,RESAMPLE_300_25_25,50,1427990111,50,30,50.0,26.66666666666667,$age$lt$ns$la$entropy$exp$ld$ndev$Buggy,KNN,CFS,0.75,0.09,0.78,0.18810165178689603,1,0.8295454545454545,0.13333333333333333
redisson,RESAMPLE_300_25_25,50,1427990111,50,30,50.0,26.66666666666667,$age$lt$ns$la$entropy$exp$ld$ndev$Buggy,DT,CFS,1.0,0.23,0.94,0.16070608663330624,1,0.8863636363636364,0.16666666666666666
redisson,RESAMPLE_300_25_25,50,1427990111,50,30,50.0,26.66666666666667,$age$lt$ns$la$entropy$exp$ld$ndev$Buggy,LR,CFS,1.0,0.32,0.91,0.22498852128662875,1,0.8409090909090909,0.2333333333333333
redisson,RESAMPLE_300_25_25,50,1427990111,50,30,50.0,26.66666666666667,$age$lt$ns$la$entropy$exp$ld$ndev$Buggy,RF,CFS,0.5,0.09,0.55,0.35934973411004306,1,0.7045454545454545,0.2
redisson,RESAMPLE_300_25_25,50,1427990111,50,30,50.0,26.66666666666667,$age$lt$ns$la$entropy$exp$ld$ndev$Buggy,NB,CFS,1.0,0.64,0.74,0.4499770425732575,3,0.6818181818181819,0.4666666666666667
redisson,RESAMPLE_300_25_25,50,1427990111,50,30,50.0,26.66666666666667,$age$lt$ns$la$entropy$exp$ld$ndev$Buggy,SVM,CFS,0.88,0.14,0.88,0.13080527765024247,1,0.8693181818181819,0.13333333333333333
redisson,RESAMPLE_25_25,50,1427990111,50,30,50.0,26.66666666666667,$lt$ndev$entropy$nf$ns$nuc$la$ld$age$exp$sexp$Buggy,KNN,CFS,1.0,0.14,0.97,0.09642365197998376,1,0.931818181818182,0.1
redisson,RESAMPLE_25_25,50,1427990111,50,30,50.0,26.66666666666667,$lt$ndev$entropy$nf$ns$nuc$la$ld$age$exp$sexp$Buggy,DT,CFS,1.0,0.23,0.94,0.16070608663330624,1,0.8863636363636364,0.16666666666666666
redisson,RESAMPLE_25_25,50,1427990111,50,30,50.0,26.66666666666667,$lt$ndev$entropy$nf$ns$nuc$la$ld$age$exp$sexp$Buggy,LR,CFS,1.0,0.18,0.96,0.128564869306645,1,0.9090909090909092,0.13333333333333333
redisson,RESAMPLE_25_25,50,1427990111,50,30,50.0,26.66666666666667,$lt$ndev$entropy$nf$ns$nuc$la$ld$age$exp$sexp$Buggy,RF,CFS,1.0,0.23,0.94,0.16070608663330624,1,0.8863636363636364,0.16666666666666666
redisson,RESAMPLE_25_25,50,1427990111,50,30,50.0,26.66666666666667,$lt$ndev$entropy$nf$ns$nuc$la$ld$age$exp$sexp$Buggy,NB,CFS,1.0,0.59,0.78,0.4178358252465961,3,0.7045454545454546,0.43333333333333335
redisson,RESAMPLE_25_25,50,1427990111,50,30,50.0,26.66666666666667,$lt$ndev$entropy$nf$ns$nuc$la$ld$age$exp$sexp$Buggy,SVM,CFS,0.88,0.14,0.88,0.13080527765024247,1,0.8693181818181819,0.13333333333333333
redisson,RESAMPLE_150_25_25,50,1436042310,50,53,50.0,30.188679245283016,$nf$entropy$ld$ns$nuc$lt$Buggy,KNN,CFS,0.88,0.11,0.88,0.11685966592181064,0,0.8834459459459459,0.11320754716981132
redisson,RESAMPLE_150_25_25,50,1436042310,50,53,50.0,30.188679245283016,$nf$entropy$ld$ns$nuc$lt$Buggy,DT,CFS,0.81,0.14,0.82,0.16342850844940002,0,0.8386824324324325,0.1509433962264151
redisson,RESAMPLE_150_25_25,50,1436042310,50,53,50.0,30.188679245283016,$nf$entropy$ld$ns$nuc$lt$Buggy,LR,CFS,0.88,0.11,0.88,0.11685966592181064,0,0.8834459459459459,0.11320754716981132
redisson,RESAMPLE_150_25_25,50,1436042310,50,53,50.0,30.188679245283016,$nf$entropy$ld$ns$nuc$lt$Buggy,RF,CFS,0.88,0.11,0.88,0.11685966592181064,0,0.8834459459459459,0.11320754716981132
redisson,RESAMPLE_150_25_25,50,1436042310,50,53,50.0,30.188679245283016,$nf$entropy$ld$ns$nuc$lt$Buggy,NB,CFS,0.81,0.11,0.82,0.15304184564803572,0,0.8521959459459459,0.1320754716981132
redisson,RESAMPLE_150_25_25,50,1436042310,50,53,50.0,30.188679245283016,$nf$entropy$ld$ns$nuc$lt$Buggy,SVM,CFS,0.88,0.11,0.88,0.11685966592181064,0,0.8834459459459459,0.11320754716981132
redisson,RESAMPLE_300_25_25,50,1436042310,50,53,50.0,30.188679245283016,$la$entropy$ns$exp$ld$ndev$lt$age$Buggy,KNN,CFS,0.81,0.19,0.81,0.18834648829492787,0,0.8116554054054054,0.18867924528301888
redisson,RESAMPLE_300_25_25,50,1436042310,50,53,50.0,30.188679245283016,$la$entropy$ns$exp$ld$ndev$lt$age$Buggy,DT,CFS,0.62,0.11,0.66,0.2759640946198566,0,0.7584459459459459,0.18867924528301888
redisson,RESAMPLE_300_25_25,50,1436042310,50,53,50.0,30.188679245283016,$la$entropy$ns$exp$ld$ndev$lt$age$Buggy,LR,CFS,0.81,0.16,0.82,0.17528949888271594,0,0.8251689189189191,0.16981132075471694
redisson,RESAMPLE_300_25_25,50,1436042310,50,53,50.0,30.188679245283016,$la$entropy$ns$exp$ld$ndev$lt$age$Buggy,RF,CFS,0.75,0.14,0.77,0.20094962645896014,0,0.8074324324324325,0.16981132075471694
redisson,RESAMPLE_300_25_25,50,1436042310,50,53,50.0,30.188679245283016,$la$entropy$ns$exp$ld$ndev$lt$age$Buggy,NB,CFS,0.81,0.54,0.7,0.40456169243260026,5,0.6359797297297297,0.4339622641509434
redisson,RESAMPLE_300_25_25,50,1436042310,50,53,50.0,30.188679245283016,$la$entropy$ns$exp$ld$ndev$lt$age$Buggy,SVM,CFS,0.81,0.11,0.82,0.15304184564803572,0,0.8521959459459459,0.1320754716981132
redisson,RESAMPLE_25_25,50,1436042310,50,53,50.0,30.188679245283016,$lt$entropy$ns$la$fix$ld$ndev$age$exp$nuc$Buggy,KNN,CFS,0.75,0.16,0.77,0.2107090017501713,0,0.7939189189189191,0.18867924528301888
redisson,RESAMPLE_25_25,50,1436042310,50,53,50.0,30.188679245283016,$lt$entropy$ns$la$fix$ld$ndev$age$exp$nuc$Buggy,DT,CFS,0.75,0.16,0.77,0.2107090017501713,0,0.7939189189189191,0.18867924528301888
redisson,RESAMPLE_25_25,50,1436042310,50,53,50.0,30.188679245283016,$lt$entropy$ns$la$fix$ld$ndev$age$exp$nuc$Buggy,LR,CFS,0.88,0.08,0.89,0.10535450087508563,0,0.8969594594594594,0.09433962264150944
redisson,RESAMPLE_25_25,50,1436042310,50,53,50.0,30.188679245283016,$lt$entropy$ns$la$fix$ld$ndev$age$exp$nuc$Buggy,RF,CFS,0.88,0.16,0.87,0.1447783941703792,0,0.8564189189189189,0.1509433962264151
redisson,RESAMPLE_25_25,50,1436042310,50,53,50.0,30.188679245283016,$lt$entropy$ns$la$fix$ld$ndev$age$exp$nuc$Buggy,NB,CFS,0.94,0.65,0.7,0.4607880854545385,6,0.6444256756756757,0.4716981132075472
redisson,RESAMPLE_25_25,50,1436042310,50,53,50.0,30.188679245283016,$lt$entropy$ns$la$fix$ld$ndev$age$exp$nuc$Buggy,SVM,CFS,0.88,0.11,0.88,0.11685966592181064,0,0.8834459459459459,0.11320754716981132
redisson,RESAMPLE_150_25_25,50,1437576614,50,99,50.0,55.555555555555564,$entropy$nf$ld$ns$nuc$sexp$Buggy,KNN,CFS,0.93,0.55,0.77,0.3891079010733217,0,0.6909090909090909,0.2828282828282828
redisson,RESAMPLE_150_25_25,50,1437576614,50,99,50.0,55.555555555555564,$entropy$nf$ld$ns$nuc$sexp$Buggy,DT,CFS,0.96,0.68,0.69,0.4828034523009534,0,0.6409090909090909,0.3232323232323233
redisson,RESAMPLE_150_25_25,50,1437576614,50,99,50.0,55.555555555555564,$entropy$nf$ld$ns$nuc$sexp$Buggy,LR,CFS,0.93,0.55,0.77,0.3891079010733217,0,0.6909090909090909,0.2828282828282828
redisson,RESAMPLE_150_25_25,50,1437576614,50,99,50.0,55.555555555555564,$entropy$nf$ld$ns$nuc$sexp$Buggy,RF,CFS,0.93,0.57,0.75,0.4050431055522016,0,0.6795454545454545,0.2929292929292929
redisson,RESAMPLE_150_25_25,50,1437576614,50,99,50.0,55.555555555555564,$entropy$nf$ld$ns$nuc$sexp$Buggy,NB,CFS,0.98,0.64,0.73,0.45016066920508896,0,0.6727272727272728,0.2929292929292929
redisson,RESAMPLE_150_25_25,50,1437576614,50,99,50.0,55.555555555555564,$entropy$nf$ld$ns$nuc$sexp$Buggy,SVM,CFS,0.91,0.55,0.76,0.391014784865574,0,0.6818181818181819,0.2929292929292929
redisson,RESAMPLE_300_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$nf$age$ndev$entropy$ns$la$exp$sexp$nuc$Buggy,KNN,CFS,0.91,0.55,0.76,0.391014784865574,0,0.6818181818181819,0.2929292929292929
redisson,RESAMPLE_300_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$nf$age$ndev$entropy$ns$la$exp$sexp$nuc$Buggy,DT,CFS,0.55,0.25,0.58,0.3668184634447493,2,0.6477272727272727,0.3636363636363637
redisson,RESAMPLE_300_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$nf$age$ndev$entropy$ns$la$exp$sexp$nuc$Buggy,LR,CFS,0.93,0.5,0.79,0.35727388387506515,0,0.7136363636363636,0.26262626262626265
redisson,RESAMPLE_300_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$nf$age$ndev$entropy$ns$la$exp$sexp$nuc$Buggy,RF,CFS,0.76,0.36,0.73,0.3066750507896909,0,0.7000000000000001,0.2929292929292929
redisson,RESAMPLE_300_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$nf$age$ndev$entropy$ns$la$exp$sexp$nuc$Buggy,NB,CFS,1.0,0.75,0.62,0.5303300858899106,0,0.625,0.3333333333333333
redisson,RESAMPLE_300_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$nf$age$ndev$entropy$ns$la$exp$sexp$nuc$Buggy,SVM,CFS,0.93,0.61,0.73,0.4369432703310617,0,0.6568181818181817,0.31313131313131315
redisson,RESAMPLE_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$ndev$entropy$la$ns$nuc$ld$age$nf$exp$Buggy,KNN,CFS,0.82,0.52,0.72,0.3913448944936946,0,0.6477272727272728,0.3333333333333333
redisson,RESAMPLE_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$ndev$entropy$la$ns$nuc$ld$age$nf$exp$Buggy,DT,CFS,0.93,0.61,0.73,0.4369432703310617,0,0.6568181818181817,0.31313131313131315
redisson,RESAMPLE_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$ndev$entropy$la$ns$nuc$ld$age$nf$exp$Buggy,LR,CFS,0.91,0.48,0.79,0.34355037404161304,0,0.7159090909090908,0.26262626262626265
redisson,RESAMPLE_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$ndev$entropy$la$ns$nuc$ld$age$nf$exp$Buggy,RF,CFS,0.75,0.48,0.69,0.3824804861872689,0,0.6340909090909091,0.35353535353535354
redisson,RESAMPLE_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$ndev$entropy$la$ns$nuc$ld$age$nf$exp$Buggy,NB,CFS,0.96,0.64,0.72,0.4507111002269287,0,0.6636363636363636,0.30303030303030304
redisson,RESAMPLE_25_25,50,1437576614,50,99,50.0,55.555555555555564,$lt$ndev$entropy$la$ns$nuc$ld$age$nf$exp$Buggy,SVM,CFS,0.87,0.55,0.73,0.39605492565076295,0,0.6636363636363636,0.31313131313131315
redisson,RESAMPLE_150_25_25,50,1437903458,50,26,50.0,38.46153846153846,$nf$entropy$ndev$lt$nuc$ns$la$Buggy,KNN,CFS,0.9,0.25,0.87,0.1903943276465977,1,0.825,0.19230769230769232
redisson,RESAMPLE_150_25_25,50,1437903458,50,26,50.0,38.46153846153846,$nf$entropy$ndev$lt$nuc$ns$la$Buggy,DT,CFS,0.9,0.12,0.9,0.11319231422671767,1,0.8875,0.1153846153846154
redisson,RESAMPLE_150_25_25,50,1437903458,50,26,50.0,38.46153846153846,$nf$entropy$ndev$lt$nuc$ns$la$Buggy,LR,CFS,0.9,0.19,0.88,0.15026019100214133,1,0.85625,0.15384615384615385
redisson,RESAMPLE_150_25_25,50,1437903458,50,26,50.0,38.46153846153846,$nf$entropy$ndev$lt$nuc$ns$la$Buggy,RF,CFS,1.0,0.12,0.97,0.08838834764831842,1,0.9375,0.07692307692307693
redisson,RESAMPLE_150_25_25,50,1437903458,50,26,50.0,38.46153846153846,$nf$entropy$ndev$lt$nuc$ns$la$Buggy,NB,CFS,1.0,0.25,0.94,0.17677669529663687,1,0.875,0.15384615384615385
redisson,RESAMPLE_150_25_25,50,1437903458,50,26,50.0,38.46153846153846,$nf$entropy$ndev$lt$nuc$ns$la$Buggy,SVM,CFS,0.9,0.25,0.87,0.1903943276465977,1,0.825,0.19230769230769232
