projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
requests,RESAMPLE_300_25_25,50,1311461955,50,33,50.0,24.24242424242424,$lt$la$ns$exp$entropy$ld$age$sexp$ndev$Buggy,KNN,CFS,1.0,0.52,0.82,0.3676955262170047,1,0.74,0.3939393939393939
requests,RESAMPLE_300_25_25,50,1311461955,50,33,50.0,24.24242424242424,$lt$la$ns$exp$entropy$ld$age$sexp$ndev$Buggy,DT,CFS,0.75,0.52,0.67,0.4079828427765069,1,0.615,0.4545454545454545
requests,RESAMPLE_300_25_25,50,1311461955,50,33,50.0,24.24242424242424,$lt$la$ns$exp$entropy$ld$age$sexp$ndev$Buggy,LR,CFS,0.88,0.52,0.75,0.37816993534653176,1,0.6775,0.42424242424242425
requests,RESAMPLE_300_25_25,50,1311461955,50,33,50.0,24.24242424242424,$lt$la$ns$exp$entropy$ld$age$sexp$ndev$Buggy,RF,CFS,0.88,0.52,0.75,0.37816993534653176,1,0.6775,0.42424242424242425
requests,RESAMPLE_300_25_25,50,1311461955,50,33,50.0,24.24242424242424,$lt$la$ns$exp$entropy$ld$age$sexp$ndev$Buggy,NB,CFS,0.5,0.84,0.35,0.6912307863514181,1,0.33,0.7575757575757576
requests,RESAMPLE_300_25_25,50,1311461955,50,33,50.0,24.24242424242424,$lt$la$ns$exp$entropy$ld$age$sexp$ndev$Buggy,SVM,CFS,0.75,0.52,0.67,0.4079828427765069,1,0.615,0.4545454545454545
requests,RESAMPLE_25_25,50,1311461955,50,33,50.0,24.24242424242424,$la$age$entropy$lt$ld$ns$exp$Buggy,KNN,CFS,0.88,0.48,0.77,0.3507313786931531,0,0.6975,0.3939393939393939
requests,RESAMPLE_25_25,50,1311461955,50,33,50.0,24.24242424242424,$la$age$entropy$lt$ld$ns$exp$Buggy,DT,CFS,0.62,0.36,0.62,0.3675765226452854,0,0.6325000000000001,0.3636363636363637
requests,RESAMPLE_25_25,50,1311461955,50,33,50.0,24.24242424242424,$la$age$entropy$lt$ld$ns$exp$Buggy,LR,CFS,0.88,0.52,0.75,0.37816993534653176,0,0.6775,0.42424242424242425
requests,RESAMPLE_25_25,50,1311461955,50,33,50.0,24.24242424242424,$la$age$entropy$lt$ld$ns$exp$Buggy,RF,CFS,0.75,0.32,0.73,0.28714108030722457,0,0.715,0.30303030303030304
requests,RESAMPLE_25_25,50,1311461955,50,33,50.0,24.24242424242424,$la$age$entropy$lt$ld$ns$exp$Buggy,NB,CFS,0.88,0.92,0.29,0.6565154225149626,1,0.4775,0.7272727272727273
requests,RESAMPLE_25_25,50,1311461955,50,33,50.0,24.24242424242424,$la$age$entropy$lt$ld$ns$exp$Buggy,SVM,CFS,0.88,0.52,0.75,0.37816993534653176,1,0.6775,0.42424242424242425
requests,RESAMPLE_300_25_25,50,1313555566,50,103,50.0,21.359223300970875,$la$lt$ns$exp$entropy$ld$age$nf$ndev$Buggy,KNN,CFS,0.59,0.57,0.55,0.4949076601370061,2,0.5115039281705949,0.5339805825242718
requests,RESAMPLE_300_25_25,50,1313555566,50,103,50.0,21.359223300970875,$la$lt$ns$exp$entropy$ld$age$nf$ndev$Buggy,DT,CFS,0.27,0.26,0.31,0.5459583241174965,7,0.5067340067340067,0.3592233009708738
requests,RESAMPLE_300_25_25,50,1313555566,50,103,50.0,21.359223300970875,$la$lt$ns$exp$entropy$ld$age$nf$ndev$Buggy,LR,CFS,0.5,0.33,0.53,0.4249182927993987,8,0.5833333333333334,0.36893203883495146
