projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
rubocop,RESAMPLE_150_25_25,50,1366726932,50,74,50.0,24.324324324324326,$lt$ns$entropy$la$ndev$ld$Buggy,KNN,CFS,0.78,0.54,0.68,0.41010517673381663,2,0.6210317460317459,0.4594594594594595
rubocop,RESAMPLE_150_25_25,50,1366726932,50,74,50.0,24.324324324324326,$lt$ns$entropy$la$ndev$ld$Buggy,DT,CFS,0.61,0.36,0.62,0.37335344401076426,0,0.6269841269841271,0.3648648648648649
rubocop,RESAMPLE_150_25_25,50,1366726932,50,74,50.0,24.324324324324326,$lt$ns$entropy$la$ndev$ld$Buggy,LR,CFS,0.83,0.55,0.71,0.4087903523252414,2,0.6398809523809523,0.4594594594594595
rubocop,RESAMPLE_150_25_25,50,1366726932,50,74,50.0,24.324324324324326,$lt$ns$entropy$la$ndev$ld$Buggy,RF,CFS,0.67,0.5,0.63,0.4249182927993987,1,0.5833333333333333,0.4594594594594595
rubocop,RESAMPLE_150_25_25,50,1366726932,50,74,50.0,24.324324324324326,$lt$ns$entropy$la$ndev$ld$Buggy,NB,CFS,0.67,0.46,0.64,0.4041486951611417,2,0.6011904761904762,0.4324324324324325
rubocop,RESAMPLE_150_25_25,50,1366726932,50,74,50.0,24.324324324324326,$lt$ns$entropy$la$ndev$ld$Buggy,SVM,CFS,0.83,0.55,0.71,0.4087903523252414,2,0.6398809523809523,0.4594594594594595
rubocop,RESAMPLE_300_25_25,50,1366726932,50,74,50.0,24.324324324324326,$ld$nuc$lt$la$ns$age$Buggy,KNN,CFS,1.0,0.73,0.65,0.5177031790830079,2,0.6339285714285714,0.5540540540540541
rubocop,RESAMPLE_300_25_25,50,1366726932,50,74,50.0,24.324324324324326,$ld$nuc$lt$la$ns$age$Buggy,DT,CFS,0.89,0.62,0.7,0.4488711836442309,2,0.6319444444444444,0.5
rubocop,RESAMPLE_300_25_25,50,1366726932,50,74,50.0,24.324324324324326,$ld$nuc$lt$la$ns$age$Buggy,LR,CFS,1.0,0.7,0.68,0.4924493654692027,2,0.6517857142857143,0.527027027027027
rubocop,RESAMPLE_300_25_25,50,1366726932,50,74,50.0,24.324324324324326,$ld$nuc$lt$la$ns$age$Buggy,RF,CFS,0.89,0.48,0.78,0.3498624113178088,4,0.7033730158730158,0.3918918918918919
