projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
sunspot,RESAMPLE_150_25_25,50,1250178764,50,53,50.0,35.849056603773576,$nf$ns$entropy$lt$ld$la$Buggy,KNN,CFS,0.79,0.47,0.72,0.3645371152826012,0,0.6594427244582044,0.37735849056603776
sunspot,RESAMPLE_150_25_25,50,1250178764,50,53,50.0,35.849056603773576,$nf$ns$entropy$lt$ld$la$Buggy,DT,CFS,0.84,0.44,0.76,0.3313362537688335,0,0.7004643962848296,0.33962264150943394
sunspot,RESAMPLE_150_25_25,50,1250178764,50,53,50.0,35.849056603773576,$nf$ns$entropy$lt$ld$la$Buggy,LR,CFS,0.89,0.47,0.78,0.3409791926255942,0,0.7120743034055728,0.33962264150943394
sunspot,RESAMPLE_150_25_25,50,1250178764,50,53,50.0,35.849056603773576,$nf$ns$entropy$lt$ld$la$Buggy,RF,CFS,0.63,0.21,0.66,0.2984305742335693,0,0.7128482972136223,0.2641509433962264
sunspot,RESAMPLE_150_25_25,50,1250178764,50,53,50.0,35.849056603773576,$nf$ns$entropy$lt$ld$la$Buggy,NB,CFS,0.79,0.32,0.77,0.27294011240261645,0,0.7329721362229102,0.2830188679245283
sunspot,RESAMPLE_150_25_25,50,1250178764,50,53,50.0,35.849056603773576,$nf$ns$entropy$lt$ld$la$Buggy,SVM,CFS,0.79,0.47,0.72,0.3645371152826012,0,0.6594427244582044,0.37735849056603776
sunspot,RESAMPLE_300_25_25,50,1250178764,50,53,50.0,35.849056603773576,$lt$entropy$la$ld$age$nuc$fix$Buggy,KNN,CFS,0.84,0.44,0.76,0.3313362537688335,0,0.7004643962848296,0.33962264150943394
sunspot,RESAMPLE_300_25_25,50,1250178764,50,53,50.0,35.849056603773576,$lt$entropy$la$ld$age$nuc$fix$Buggy,DT,CFS,1.0,0.85,0.47,0.6031204898355846,2,0.5735294117647058,0.5471698113207547
sunspot,RESAMPLE_300_25_25,50,1250178764,50,53,50.0,35.849056603773576,$lt$entropy$la$ld$age$nuc$fix$Buggy,LR,CFS,0.89,0.47,0.78,0.3409791926255942,0,0.7120743034055728,0.33962264150943394
sunspot,RESAMPLE_300_25_25,50,1250178764,50,53,50.0,35.849056603773576,$lt$entropy$la$ld$age$nuc$fix$Buggy,RF,CFS,0.79,0.56,0.68,0.4222588463632885,2,0.6153250773993808,0.4339622641509434
sunspot,RESAMPLE_300_25_25,50,1250178764,50,53,50.0,35.849056603773576,$lt$entropy$la$ld$age$nuc$fix$Buggy,NB,CFS,0.11,0.06,0.13,0.6340403079587903,2,0.523219814241486,0.3584905660377358
sunspot,RESAMPLE_300_25_25,50,1250178764,50,53,50.0,35.849056603773576,$lt$entropy$la$ld$age$nuc$fix$Buggy,SVM,CFS,0.89,0.47,0.78,0.3409791926255942,0,0.7120743034055728,0.33962264150943394
sunspot,RESAMPLE_25_25,50,1250178764,50,53,50.0,35.849056603773576,$entropy$lt$exp$fix$ld$la$nuc$Buggy,KNN,CFS,0.84,0.5,0.74,0.3707632316738256,0,0.6710526315789473,0.37735849056603776
sunspot,RESAMPLE_25_25,50,1250178764,50,53,50.0,35.849056603773576,$entropy$lt$exp$fix$ld$la$nuc$Buggy,DT,CFS,0.74,0.47,0.69,0.3812514686919637,0,0.6331269349845201,0.3962264150943397
sunspot,RESAMPLE_25_25,50,1250178764,50,53,50.0,35.849056603773576,$entropy$lt$exp$fix$ld$la$nuc$Buggy,LR,CFS,0.84,0.47,0.75,0.3509872042679544,0,0.6857585139318885,0.3584905660377358
sunspot,RESAMPLE_25_25,50,1250178764,50,53,50.0,35.849056603773576,$entropy$lt$exp$fix$ld$la$nuc$Buggy,RF,CFS,0.74,0.44,0.7,0.3632414870048704,0,0.6478328173374613,0.37735849056603776
sunspot,RESAMPLE_25_25,50,1250178764,50,53,50.0,35.849056603773576,$entropy$lt$exp$fix$ld$la$nuc$Buggy,NB,CFS,0.11,0.06,0.13,0.6340403079587903,2,0.523219814241486,0.3584905660377358
sunspot,RESAMPLE_25_25,50,1250178764,50,53,50.0,35.849056603773576,$entropy$lt$exp$fix$ld$la$nuc$Buggy,SVM,CFS,0.89,0.5,0.77,0.3613034267827889,0,0.6973684210526316,0.3584905660377358
sunspot,RESAMPLE_150_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$lt$la$ns$Buggy,KNN,CFS,0.86,0.22,0.84,0.1839390421734267,0,0.8198757763975155,0.20481927710843373
sunspot,RESAMPLE_150_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$lt$la$ns$Buggy,DT,CFS,0.79,0.32,0.77,0.2716410155120541,0,0.7334368530020703,0.3012048192771085
sunspot,RESAMPLE_150_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$lt$la$ns$Buggy,LR,CFS,0.93,0.19,0.9,0.14247593691174484,0,0.8700828157349897,0.1686746987951807
sunspot,RESAMPLE_150_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$lt$la$ns$Buggy,RF,CFS,0.71,0.1,0.74,0.21438820925223956,0,0.8064182194616978,0.13253012048192772
sunspot,RESAMPLE_150_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$lt$la$ns$Buggy,NB,CFS,0.93,0.28,0.88,0.2011547258375845,0,0.8266045548654245,0.24096385542168675
sunspot,RESAMPLE_150_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$lt$la$ns$Buggy,SVM,CFS,0.93,0.23,0.89,0.17156960272354674,0,0.8483436853002071,0.20481927710843373
sunspot,RESAMPLE_300_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$nf$lt$la$age$Buggy,KNN,CFS,0.93,0.25,0.89,0.18138849757861147,0,0.8410973084886129,0.21686746987951808
sunspot,RESAMPLE_300_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$nf$lt$la$age$Buggy,DT,CFS,0.29,0.19,0.33,0.5223508524038634,0,0.5486542443064182,0.27710843373493976
sunspot,RESAMPLE_300_25_25,50,1252841217,50,83,50.0,16.867469879518072,$entropy$ld$nf$lt$la$age$Buggy,LR,CFS,0.86,0.25,0.84,0.20138234351182766,0,0.8053830227743272,0.2289156626506024
