projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
swoole,RESAMPLE_150_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ns$entropy$ndev$la$Buggy,KNN,CFS,0.74,0.57,0.65,0.4448498003861667,0,0.5827067669172933,0.44680851063829785
swoole,RESAMPLE_150_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ns$entropy$ndev$la$Buggy,DT,CFS,0.79,0.64,0.64,0.4783234448374542,0,0.5733082706766917,0.4680851063829787
swoole,RESAMPLE_150_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ns$entropy$ndev$la$Buggy,LR,CFS,0.53,0.25,0.56,0.3787325780164277,0,0.638157894736842,0.3404255319148936
swoole,RESAMPLE_150_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ns$entropy$ndev$la$Buggy,RF,CFS,0.84,0.61,0.68,0.4435950838895926,0,0.6174812030075187,0.425531914893617
swoole,RESAMPLE_150_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ns$entropy$ndev$la$Buggy,NB,CFS,0.89,0.68,0.66,0.4855612814483058,0,0.6080827067669173,0.44680851063829785
swoole,RESAMPLE_150_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ns$entropy$ndev$la$Buggy,SVM,CFS,0.53,0.25,0.56,0.3787325780164277,0,0.638157894736842,0.3404255319148936
swoole,RESAMPLE_300_25_25,50,1388434716,50,47,50.0,40.42553191489362,$la$ns$exp$entropy$nuc$lt$ld$Buggy,KNN,CFS,0.47,0.32,0.5,0.4360760465675223,0,0.5761278195488722,0.40425531914893614
swoole,RESAMPLE_300_25_25,50,1388434716,50,47,50.0,40.42553191489362,$la$ns$exp$entropy$nuc$lt$ld$Buggy,DT,CFS,0.74,0.32,0.73,0.2937417267711034,0,0.7077067669172933,0.2978723404255319
swoole,RESAMPLE_300_25_25,50,1388434716,50,47,50.0,40.42553191489362,$la$ns$exp$entropy$nuc$lt$ld$Buggy,LR,CFS,0.53,0.14,0.57,0.3498463195227621,0,0.6917293233082706,0.2765957446808511
swoole,RESAMPLE_300_25_25,50,1388434716,50,47,50.0,40.42553191489362,$la$ns$exp$entropy$nuc$lt$ld$Buggy,RF,CFS,0.68,0.32,0.68,0.31862149819210484,0,0.681390977443609,0.3191489361702128
swoole,RESAMPLE_300_25_25,50,1388434716,50,47,50.0,40.42553191489362,$la$ns$exp$entropy$nuc$lt$ld$Buggy,NB,CFS,0.58,0.14,0.62,0.3143990154444372,0,0.7180451127819549,0.2553191489361702
swoole,RESAMPLE_300_25_25,50,1388434716,50,47,50.0,40.42553191489362,$la$ns$exp$entropy$nuc$lt$ld$Buggy,SVM,CFS,0.53,0.11,0.58,0.34340669994823464,0,0.7095864661654135,0.2553191489361702
swoole,RESAMPLE_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ld$ns$entropy$age$la$lt$exp$Buggy,KNN,CFS,0.79,0.39,0.75,0.3151650871636694,0,0.6983082706766918,0.3191489361702128
swoole,RESAMPLE_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ld$ns$entropy$age$la$lt$exp$Buggy,DT,CFS,0.58,0.43,0.58,0.4248286642561397,2,0.575187969924812,0.425531914893617
swoole,RESAMPLE_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ld$ns$entropy$age$la$lt$exp$Buggy,LR,CFS,0.58,0.21,0.61,0.3340686201265359,0,0.6823308270676691,0.2978723404255319
swoole,RESAMPLE_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ld$ns$entropy$age$la$lt$exp$Buggy,RF,CFS,0.42,0.18,0.47,0.4284085728038731,0,0.6212406015037593,0.3404255319148936
swoole,RESAMPLE_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ld$ns$entropy$age$la$lt$exp$Buggy,NB,CFS,0.68,0.25,0.69,0.2848008002883337,0,0.7171052631578947,0.2765957446808511
swoole,RESAMPLE_25_25,50,1388434716,50,47,50.0,40.42553191489362,$nuc$ld$ns$entropy$age$la$lt$exp$Buggy,SVM,CFS,0.68,0.29,0.69,0.30112758487971103,0,0.6992481203007519,0.2978723404255319
swoole,RESAMPLE_150_25_25,50,1390573750,50,40,50.0,65.0,$age$la$nuc$entropy$ld$Buggy,KNN,CFS,0.69,0.36,0.68,0.33333584912305864,0,0.6675824175824175,0.325
swoole,RESAMPLE_150_25_25,50,1390573750,50,40,50.0,65.0,$age$la$nuc$entropy$ld$Buggy,DT,CFS,0.54,0.29,0.57,0.3838296526719336,0,0.6263736263736263,0.4
swoole,RESAMPLE_150_25_25,50,1390573750,50,40,50.0,65.0,$age$la$nuc$entropy$ld$Buggy,LR,CFS,0.88,0.36,0.82,0.26539087199413897,0,0.7637362637362637,0.2
swoole,RESAMPLE_150_25_25,50,1390573750,50,40,50.0,65.0,$age$la$nuc$entropy$ld$Buggy,RF,CFS,0.69,0.14,0.72,0.2398778016806931,0,0.7747252747252749,0.25
swoole,RESAMPLE_150_25_25,50,1390573750,50,40,50.0,65.0,$age$la$nuc$entropy$ld$Buggy,NB,CFS,0.81,0.36,0.77,0.28682160738765244,0,0.7252747252747253,0.25
swoole,RESAMPLE_150_25_25,50,1390573750,50,40,50.0,65.0,$age$la$nuc$entropy$ld$Buggy,SVM,CFS,0.73,0.21,0.74,0.2433141739064234,0,0.7582417582417582,0.25
swoole,RESAMPLE_300_25_25,50,1390573750,50,40,50.0,65.0,$ld$ns$age$entropy$la$ndev$lt$Buggy,KNN,CFS,0.77,0.29,0.76,0.25969895160651585,0,0.7417582417582418,0.25
swoole,RESAMPLE_300_25_25,50,1390573750,50,40,50.0,65.0,$ld$ns$age$entropy$la$ndev$lt$Buggy,DT,CFS,0.62,0.14,0.66,0.2901182149987711,0,0.7362637362637363,0.3
swoole,RESAMPLE_300_25_25,50,1390573750,50,40,50.0,65.0,$ld$ns$age$entropy$la$ndev$lt$Buggy,LR,CFS,0.81,0.29,0.79,0.2435312111228605,0,0.7609890109890111,0.225
swoole,RESAMPLE_300_25_25,50,1390573750,50,40,50.0,65.0,$ld$ns$age$entropy$la$ndev$lt$Buggy,RF,CFS,0.62,0.07,0.66,0.2766143840250961,0,0.771978021978022,0.275
swoole,RESAMPLE_300_25_25,50,1390573750,50,40,50.0,65.0,$ld$ns$age$entropy$la$ndev$lt$Buggy,NB,CFS,0.88,0.29,0.84,0.21788329735053136,0,0.7994505494505495,0.175
swoole,RESAMPLE_300_25_25,50,1390573750,50,40,50.0,65.0,$ld$ns$age$entropy$la$ndev$lt$Buggy,SVM,CFS,0.77,0.21,0.77,0.22268004537537847,0,0.7774725274725275,0.225
swoole,RESAMPLE_25_25,50,1390573750,50,40,50.0,65.0,$nuc$lt$la$ndev$ld$age$entropy$sexp$exp$Buggy,KNN,CFS,0.81,0.21,0.81,0.20359348696317475,0,0.7967032967032968,0.2
swoole,RESAMPLE_25_25,50,1390573750,50,40,50.0,65.0,$nuc$lt$la$ndev$ld$age$entropy$sexp$exp$Buggy,DT,CFS,0.65,0.29,0.66,0.3173760689374082,0,0.6840659340659341,0.325
swoole,RESAMPLE_25_25,50,1390573750,50,40,50.0,65.0,$nuc$lt$la$ndev$ld$age$entropy$sexp$exp$Buggy,LR,CFS,0.81,0.29,0.79,0.2435312111228605,0,0.7609890109890111,0.225
swoole,RESAMPLE_25_25,50,1390573750,50,40,50.0,65.0,$nuc$lt$la$ndev$ld$age$entropy$sexp$exp$Buggy,RF,CFS,0.73,0.21,0.74,0.2433141739064234,0,0.7582417582417582,0.25
swoole,RESAMPLE_25_25,50,1390573750,50,40,50.0,65.0,$nuc$lt$la$ndev$ld$age$entropy$sexp$exp$Buggy,NB,CFS,0.88,0.29,0.84,0.21788329735053136,0,0.7994505494505495,0.175
swoole,RESAMPLE_25_25,50,1390573750,50,40,50.0,65.0,$nuc$lt$la$ndev$ld$age$entropy$sexp$exp$Buggy,SVM,CFS,0.85,0.14,0.85,0.14845336358358568,0,0.8516483516483517,0.15
swoole,RESAMPLE_150_25_25,50,1392404605,50,19,50.0,36.8421052631579,$ns$la$ndev$entropy$exp$age$nuc$nf$ld$Buggy,KNN,CFS,0.86,0.58,0.71,0.42466807099373743,3,0.6369047619047619,0.42105263157894735
swoole,RESAMPLE_150_25_25,50,1392404605,50,19,50.0,36.8421052631579,$ns$la$ndev$entropy$exp$age$nuc$nf$ld$Buggy,DT,CFS,0.57,0.33,0.59,0.3839170356332641,0,0.6190476190476191,0.3684210526315789
