projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
symfony,RESAMPLE_150_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$exp$age$entropy$ld$lt$sexp$Buggy,KNN,CFS,0.75,0.35,0.73,0.3020160287740645,0,0.7020554344440986,0.3008356545961003
symfony,RESAMPLE_150_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$exp$age$entropy$ld$lt$sexp$Buggy,DT,CFS,0.71,0.45,0.67,0.3769643140469502,0,0.6313453752725007,0.3732590529247911
symfony,RESAMPLE_150_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$exp$age$entropy$ld$lt$sexp$Buggy,LR,CFS,0.76,0.33,0.74,0.2850459979750267,0,0.7184989099968857,0.2841225626740947
symfony,RESAMPLE_150_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$exp$age$entropy$ld$lt$sexp$Buggy,RF,CFS,0.73,0.52,0.66,0.4123868468644951,0,0.6060105886016818,0.4011142061281337
symfony,RESAMPLE_150_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$exp$age$entropy$ld$lt$sexp$Buggy,NB,CFS,0.8,0.41,0.75,0.31993202437319873,0,0.6967767050763002,0.30919220055710306
symfony,RESAMPLE_150_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$exp$age$entropy$ld$lt$sexp$Buggy,SVM,CFS,0.76,0.38,0.73,0.3190910340288332,0,0.6895515415758332,0.3147632311977716
symfony,RESAMPLE_300_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$ld$entropy$lt$age$exp$sexp$nf$Buggy,KNN,CFS,0.5,0.21,0.54,0.3802519804696479,0,0.6488477109934601,0.3426183844011142
symfony,RESAMPLE_300_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$ld$entropy$lt$age$exp$sexp$nf$Buggy,DT,CFS,0.37,0.18,0.42,0.4612080620370884,0,0.5969168483338524,0.3899721448467967
symfony,RESAMPLE_300_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$ld$entropy$lt$age$exp$sexp$nf$Buggy,LR,CFS,0.77,0.23,0.77,0.23117444358545386,0,0.7688259109311739,0.2311977715877437
symfony,RESAMPLE_300_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$ld$entropy$lt$age$exp$sexp$nf$Buggy,RF,CFS,0.58,0.33,0.6,0.3761525068034037,0,0.6267829336655247,0.3704735376044568
symfony,RESAMPLE_300_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$ld$entropy$lt$age$exp$sexp$nf$Buggy,NB,CFS,0.85,0.71,0.61,0.5095483829696732,0,0.5734039240112114,0.4428969359331476
symfony,RESAMPLE_300_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$ld$entropy$lt$age$exp$sexp$nf$Buggy,SVM,CFS,0.6,0.27,0.62,0.3385426335117437,0,0.6675646216132046,0.3286908077994429
symfony,RESAMPLE_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$lt$ld$entropy$age$exp$sexp$nf$Buggy,KNN,CFS,0.67,0.21,0.69,0.27562024691324377,0,0.7316879476798506,0.2646239554317549
symfony,RESAMPLE_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$lt$ld$entropy$age$exp$sexp$nf$Buggy,DT,CFS,0.67,0.44,0.64,0.3851913053380716,0,0.6188570538772967,0.38440111420612816
symfony,RESAMPLE_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$lt$ld$entropy$age$exp$sexp$nf$Buggy,LR,CFS,0.69,0.21,0.71,0.2636246250380519,0,0.7408906882591093,0.2562674094707521
symfony,RESAMPLE_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$lt$ld$entropy$age$exp$sexp$nf$Buggy,RF,CFS,0.53,0.18,0.57,0.3552803652695774,0,0.6741669261912178,0.31754874651810583
symfony,RESAMPLE_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$lt$ld$entropy$age$exp$sexp$nf$Buggy,NB,CFS,0.79,0.59,0.67,0.44179739670228857,0,0.6017128620367487,0.4094707520891365
symfony,RESAMPLE_25_25,50,1295250570,50,359,50.0,47.075208913649035,$la$lt$ld$entropy$age$exp$sexp$nf$Buggy,SVM,CFS,0.59,0.23,0.62,0.3319071051117464,0,0.6800685144814699,0.3147632311977716
symfony,RESAMPLE_150_25_25,50,1296868679,50,356,50.0,58.14606741573034,$exp$age$entropy$la$sexp$ld$Buggy,KNN,CFS,0.45,0.11,0.5,0.39340244371447175,1,0.6733618649288332,0.36235955056179775
symfony,RESAMPLE_150_25_25,50,1296868679,50,356,50.0,58.14606741573034,$exp$age$entropy$la$sexp$ld$Buggy,DT,CFS,0.66,0.38,0.65,0.3633114677922753,2,0.6372272476737023,0.3595505617977528
symfony,RESAMPLE_150_25_25,50,1296868679,50,356,50.0,58.14606741573034,$exp$age$entropy$la$sexp$ld$Buggy,LR,CFS,0.61,0.17,0.64,0.3010572849789739,0,0.7204552086372921,0.29775280898876405
symfony,RESAMPLE_150_25_25,50,1296868679,50,356,50.0,58.14606741573034,$exp$age$entropy$la$sexp$ld$Buggy,RF,CFS,0.48,0.19,0.52,0.3921259012318892,0,0.6451707032389845,0.3820224719101124
symfony,RESAMPLE_150_25_25,50,1296868679,50,356,50.0,58.14606741573034,$exp$age$entropy$la$sexp$ld$Buggy,NB,CFS,0.73,0.49,0.67,0.39574074316460456,0,0.619767856563888,0.36235955056179775
symfony,RESAMPLE_150_25_25,50,1296868679,50,356,50.0,58.14606741573034,$exp$age$entropy$la$sexp$ld$Buggy,SVM,CFS,0.42,0.09,0.47,0.4179117872345747,0,0.6641053075252084,0.3764044943820225
symfony,RESAMPLE_300_25_25,50,1296868679,50,356,50.0,58.14606741573034,$la$ld$entropy$age$exp$lt$nf$Buggy,KNN,CFS,0.7,0.26,0.71,0.2781658619648055,0,0.7227247673702298,0.2808988764044944
symfony,RESAMPLE_300_25_25,50,1296868679,50,356,50.0,58.14606741573034,$la$ld$entropy$age$exp$lt$nf$Buggy,DT,CFS,0.76,0.46,0.7,0.3677524842527048,0,0.6500988879162208,0.3314606741573033
symfony,RESAMPLE_300_25_25,50,1296868679,50,356,50.0,58.14606741573034,$la$ld$entropy$age$exp$lt$nf$Buggy,LR,CFS,0.82,0.34,0.78,0.2746421499954396,0,0.7370716207891579,0.25
symfony,RESAMPLE_300_25_25,50,1296868679,50,356,50.0,58.14606741573034,$la$ld$entropy$age$exp$lt$nf$Buggy,RF,CFS,0.65,0.32,0.66,0.332026361369842,0,0.66836883571637,0.3342696629213483
symfony,RESAMPLE_300_25_25,50,1296868679,50,356,50.0,58.14606741573034,$la$ld$entropy$age$exp$lt$nf$Buggy,NB,CFS,0.72,0.29,0.72,0.2820540226355943,0,0.7180235385662874,0.2808988764044944
symfony,RESAMPLE_300_25_25,50,1296868679,50,356,50.0,58.14606741573034,$la$ld$entropy$age$exp$lt$nf$Buggy,SVM,CFS,0.64,0.23,0.66,0.30532985191220857,0,0.7013909152806147,0.3089887640449438
symfony,RESAMPLE_25_25,50,1296868679,50,356,50.0,58.14606741573034,$lt$entropy$la$sexp$ld$age$fix$Buggy,KNN,CFS,0.64,0.21,0.67,0.29543297098686216,0,0.714813734072561,0.29775280898876405
symfony,RESAMPLE_25_25,50,1296868679,50,356,50.0,58.14606741573034,$lt$entropy$la$sexp$ld$age$fix$Buggy,DT,CFS,0.58,0.49,0.56,0.454224812834993,0,0.547304088447946,0.4466292134831461
symfony,RESAMPLE_25_25,50,1296868679,50,356,50.0,58.14606741573034,$lt$entropy$la$sexp$ld$age$fix$Buggy,LR,CFS,0.73,0.28,0.73,0.27390931627178955,0,0.72621016113867,0.27247191011235955
symfony,RESAMPLE_25_25,50,1296868679,50,356,50.0,58.14606741573034,$lt$entropy$la$sexp$ld$age$fix$Buggy,RF,CFS,0.72,0.42,0.69,0.352824149152345,0,0.6542651493045424,0.3342696629213483
symfony,RESAMPLE_25_25,50,1296868679,50,356,50.0,58.14606741573034,$lt$entropy$la$sexp$ld$age$fix$Buggy,NB,CFS,0.65,0.4,0.64,0.3762564581882749,0,0.6247446746425445,0.3707865168539326
symfony,RESAMPLE_25_25,50,1296868679,50,356,50.0,58.14606741573034,$lt$entropy$la$sexp$ld$age$fix$Buggy,SVM,CFS,0.7,0.3,0.7,0.30318287122344056,0,0.6968193755471257,0.30337078651685395
