projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
sympy,RESAMPLE_150_25_25,50,1192918201,50,50,50.0,30.0,$ld$entropy$sexp$age$la$lt$Buggy,KNN,CFS,0.33,0.29,0.37,0.5128728387747147,2,0.5238095238095237,0.4
sympy,RESAMPLE_150_25_25,50,1192918201,50,50,50.0,30.0,$ld$entropy$sexp$age$la$lt$Buggy,DT,CFS,0.27,0.2,0.31,0.5374838498865699,0,0.5333333333333333,0.36
sympy,RESAMPLE_150_25_25,50,1192918201,50,50,50.0,30.0,$ld$entropy$sexp$age$la$lt$Buggy,LR,CFS,0.47,0.14,0.52,0.39041811414799293,0,0.6619047619047621,0.26
sympy,RESAMPLE_150_25_25,50,1192918201,50,50,50.0,30.0,$ld$entropy$sexp$age$la$lt$Buggy,RF,CFS,0.13,0.09,0.16,0.6158157394410365,1,0.5238095238095237,0.32
sympy,RESAMPLE_150_25_25,50,1192918201,50,50,50.0,30.0,$ld$entropy$sexp$age$la$lt$Buggy,NB,CFS,0.4,0.14,0.45,0.4361239292135357,0,0.6285714285714286,0.28
sympy,RESAMPLE_150_25_25,50,1192918201,50,50,50.0,30.0,$ld$entropy$sexp$age$la$lt$Buggy,SVM,CFS,0.27,0.09,0.31,0.5220750504253617,0,0.5904761904761905,0.28
sympy,RESAMPLE_300_25_25,50,1192918201,50,50,50.0,30.0,$la$ld$lt$age$exp$entropy$Buggy,KNN,CFS,0.47,0.4,0.49,0.4714045207910317,1,0.5333333333333333,0.44
sympy,RESAMPLE_300_25_25,50,1192918201,50,50,50.0,30.0,$la$ld$lt$age$exp$entropy$Buggy,DT,CFS,1.0,0.97,0.13,0.6869037302955032,1,0.5142857142857142,0.68
sympy,RESAMPLE_300_25_25,50,1192918201,50,50,50.0,30.0,$la$ld$lt$age$exp$entropy$Buggy,LR,CFS,0.53,0.31,0.56,0.3978399728420081,1,0.6095238095238095,0.36
sympy,RESAMPLE_300_25_25,50,1192918201,50,50,50.0,30.0,$la$ld$lt$age$exp$entropy$Buggy,RF,CFS,0.47,0.4,0.49,0.4714045207910317,0,0.5333333333333333,0.44
sympy,RESAMPLE_300_25_25,50,1192918201,50,50,50.0,30.0,$la$ld$lt$age$exp$entropy$Buggy,NB,CFS,0.4,0.31,0.44,0.4789444175497203,1,0.5428571428571428,0.4
sympy,RESAMPLE_300_25_25,50,1192918201,50,50,50.0,30.0,$la$ld$lt$age$exp$entropy$Buggy,SVM,CFS,0.4,0.23,0.44,0.4540071023448772,0,0.5857142857142857,0.34
sympy,RESAMPLE_25_25,50,1192918201,50,50,50.0,30.0,$ld$lt$age$la$entropy$exp$Buggy,KNN,CFS,0.33,0.26,0.37,0.50525582303623,1,0.5380952380952381,0.38
