projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
sysdig,RESAMPLE_300_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$ndev$entropy$ns$lt$ld$age$exp$nuc$Buggy,KNN,CFS,0.93,0.74,0.61,0.5283997895636372,0,0.5911680911680912,0.5714285714285714
sysdig,RESAMPLE_300_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$ndev$entropy$ns$lt$ld$age$exp$nuc$Buggy,DT,CFS,0.78,0.62,0.64,0.4626450804350208,3,0.5811965811965811,0.5142857142857142
sysdig,RESAMPLE_300_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$ndev$entropy$ns$lt$ld$age$exp$nuc$Buggy,LR,CFS,0.74,0.45,0.69,0.3664445121797456,2,0.646011396011396,0.4
sysdig,RESAMPLE_300_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$ndev$entropy$ns$lt$ld$age$exp$nuc$Buggy,RF,CFS,0.56,0.58,0.52,0.5149616980339029,4,0.4893162393162394,0.5428571428571428
sysdig,RESAMPLE_300_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$ndev$entropy$ns$lt$ld$age$exp$nuc$Buggy,NB,CFS,0.85,0.76,0.56,0.5450249305317856,1,0.5477207977207977,0.6
sysdig,RESAMPLE_300_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$ndev$entropy$ns$lt$ld$age$exp$nuc$Buggy,SVM,CFS,0.81,0.62,0.66,0.4544181871713226,0,0.5997150997150997,0.5047619047619047
sysdig,RESAMPLE_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$nuc$ndev$lt$entropy$fix$exp$ns$Buggy,KNN,CFS,0.7,0.29,0.7,0.2955849037161882,0,0.7044159544159544,0.29523809523809524
sysdig,RESAMPLE_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$nuc$ndev$lt$entropy$fix$exp$ns$Buggy,DT,CFS,0.7,0.56,0.63,0.4505569875309837,1,0.5698005698005698,0.4952380952380953
sysdig,RESAMPLE_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$nuc$ndev$lt$entropy$fix$exp$ns$Buggy,LR,CFS,0.74,0.24,0.74,0.2515465431026402,1,0.7485754985754985,0.24761904761904766
sysdig,RESAMPLE_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$nuc$ndev$lt$entropy$fix$exp$ns$Buggy,RF,CFS,0.63,0.5,0.6,0.4399853470561748,4,0.5648148148148149,0.4666666666666667
sysdig,RESAMPLE_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$nuc$ndev$lt$entropy$fix$exp$ns$Buggy,NB,CFS,0.96,0.67,0.69,0.4721314364437764,1,0.6481481481481481,0.5047619047619047
sysdig,RESAMPLE_25_25,50,1401531517,50,105,50.0,25.714285714285715,$la$nuc$ndev$lt$entropy$fix$exp$ns$Buggy,SVM,CFS,0.74,0.36,0.72,0.31311176432123383,1,0.6908831908831908,0.3333333333333333
sysdig,RESAMPLE_300_25_25,50,1403628071,50,46,50.0,15.217391304347824,$lt$ndev$entropy$la$ns$nuc$sexp$Buggy,KNN,CFS,0.86,0.44,0.78,0.3243568543188701,1,0.7106227106227107,0.39130434782608703
sysdig,RESAMPLE_300_25_25,50,1403628071,50,46,50.0,15.217391304347824,$lt$ndev$entropy$la$ns$nuc$sexp$Buggy,DT,CFS,0.29,0.44,0.32,0.5916969901286521,1,0.4249084249084248,0.4782608695652174
sysdig,RESAMPLE_300_25_25,50,1403628071,50,46,50.0,15.217391304347824,$lt$ndev$entropy$la$ns$nuc$sexp$Buggy,LR,CFS,0.71,0.36,0.69,0.3244188985418978,0,0.6776556776556777,0.3478260869565217
sysdig,RESAMPLE_300_25_25,50,1403628071,50,46,50.0,15.217391304347824,$lt$ndev$entropy$la$ns$nuc$sexp$Buggy,RF,CFS,0.29,0.33,0.33,0.5573666624152201,0,0.4761904761904762,0.39130434782608703
sysdig,RESAMPLE_300_25_25,50,1403628071,50,46,50.0,15.217391304347824,$lt$ndev$entropy$la$ns$nuc$sexp$Buggy,NB,CFS,0.86,0.69,0.63,0.4998490292546882,1,0.5824175824175825,0.6086956521739131
