projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
tesseract,RESAMPLE_150_25_25,50,1319261324,50,114,50.0,37.719298245614034,$ld$entropy$age$la$lt$Buggy,KNN,CFS,0.67,0.42,0.65,0.3771864590346901,6,0.6259416966917786,0.3859649122807017
tesseract,RESAMPLE_150_25_25,50,1319261324,50,114,50.0,37.719298245614034,$ld$entropy$age$la$lt$Buggy,DT,CFS,0.49,0.35,0.52,0.4391733438159468,3,0.5681297084834589,0.412280701754386
tesseract,RESAMPLE_150_25_25,50,1319261324,50,114,50.0,37.719298245614034,$ld$entropy$age$la$lt$Buggy,LR,CFS,0.6,0.44,0.59,0.416495787193417,4,0.5840157222404192,0.42105263157894735
tesseract,RESAMPLE_150_25_25,50,1319261324,50,114,50.0,37.719298245614034,$ld$entropy$age$la$lt$Buggy,RF,CFS,0.47,0.25,0.51,0.4185531965175493,0,0.6057975761546021,0.35964912280701755
tesseract,RESAMPLE_150_25_25,50,1319261324,50,114,50.0,37.719298245614034,$ld$entropy$age$la$lt$Buggy,NB,CFS,0.63,0.39,0.63,0.3833913897287667,4,0.6167703897805438,0.3859649122807017
tesseract,RESAMPLE_150_25_25,50,1319261324,50,114,50.0,37.719298245614034,$ld$entropy$age$la$lt$Buggy,SVM,CFS,0.51,0.31,0.54,0.40897432507285053,3,0.6008843760235834,0.3771929824561404
tesseract,RESAMPLE_300_25_25,50,1319261324,50,114,50.0,37.719298245614034,$la$exp$entropy$age$ns$ld$lt$nuc$Buggy,KNN,CFS,0.7,0.34,0.69,0.3206741338282916,5,0.6798231247952833,0.32456140350877194
tesseract,RESAMPLE_300_25_25,50,1319261324,50,114,50.0,37.719298245614034,$la$exp$entropy$age$ns$ld$lt$nuc$Buggy,DT,CFS,0.47,0.23,0.51,0.4104169645639255,2,0.6198820831968556,0.34210526315789475
tesseract,RESAMPLE_300_25_25,50,1319261324,50,114,50.0,37.719298245614034,$la$exp$entropy$age$ns$ld$lt$nuc$Buggy,LR,CFS,0.58,0.24,0.61,0.3409983495834343,3,0.6709793645594497,0.30701754385964913
tesseract,RESAMPLE_300_25_25,50,1319261324,50,114,50.0,37.719298245614034,$la$exp$entropy$age$ns$ld$lt$nuc$Buggy,RF,CFS,0.63,0.31,0.64,0.3423929860915112,5,0.6590239109073043,0.3333333333333333
tesseract,RESAMPLE_300_25_25,50,1319261324,50,114,50.0,37.719298245614034,$la$exp$entropy$age$ns$ld$lt$nuc$Buggy,NB,CFS,0.77,0.59,0.65,0.4494518092050627,9,0.5879462823452343,0.456140350877193
tesseract,RESAMPLE_300_25_25,50,1319261324,50,114,50.0,37.719298245614034,$la$exp$entropy$age$ns$ld$lt$nuc$Buggy,SVM,CFS,0.56,0.3,0.58,0.3759809256901505,7,0.6311824434981985,0.3508771929824561
tesseract,RESAMPLE_25_25,50,1319261324,50,114,50.0,37.719298245614034,$lt$la$entropy$ld$exp$age$Buggy,KNN,CFS,0.63,0.35,0.63,0.362240634520209,7,0.6378971503439239,0.35964912280701755
tesseract,RESAMPLE_25_25,50,1319261324,50,114,50.0,37.719298245614034,$lt$la$entropy$ld$exp$age$Buggy,DT,CFS,0.58,0.62,0.52,0.5288102861848515,5,0.4808385194890272,0.543859649122807
tesseract,RESAMPLE_25_25,50,1319261324,50,114,50.0,37.719298245614034,$lt$la$entropy$ld$exp$age$Buggy,LR,CFS,0.84,0.44,0.76,0.32949779184867434,3,0.7002947920078612,0.3333333333333333
tesseract,RESAMPLE_25_25,50,1319261324,50,114,50.0,37.719298245614034,$lt$la$entropy$ld$exp$age$Buggy,RF,CFS,0.6,0.35,0.61,0.3743554725940994,6,0.6262692433671798,0.3684210526315789
tesseract,RESAMPLE_25_25,50,1319261324,50,114,50.0,37.719298245614034,$lt$la$entropy$ld$exp$age$Buggy,NB,CFS,0.91,0.55,0.76,0.3939410959574101,5,0.6788404847690795,0.3771929824561404
tesseract,RESAMPLE_25_25,50,1319261324,50,114,50.0,37.719298245614034,$lt$la$entropy$ld$exp$age$Buggy,SVM,CFS,0.63,0.37,0.63,0.3691568737440731,5,0.6308548968227973,0.3684210526315789
tesseract,RESAMPLE_150_25_25,50,1351196111,50,125,50.0,44.0,$exp$la$entropy$lt$age$Buggy,KNN,CFS,0.55,0.19,0.59,0.34720409427763177,0,0.6798701298701298,0.304
tesseract,RESAMPLE_150_25_25,50,1351196111,50,125,50.0,44.0,$exp$la$entropy$lt$age$Buggy,DT,CFS,0.38,0.24,0.42,0.4696426046300065,0,0.5694805194805195,0.408
tesseract,RESAMPLE_150_25_25,50,1351196111,50,125,50.0,44.0,$exp$la$entropy$lt$age$Buggy,LR,CFS,0.42,0.2,0.46,0.4350358586911054,1,0.6090909090909091,0.368
tesseract,RESAMPLE_150_25_25,50,1351196111,50,125,50.0,44.0,$exp$la$entropy$lt$age$Buggy,RF,CFS,0.51,0.16,0.55,0.3644760712915256,0,0.675974025974026,0.304
tesseract,RESAMPLE_150_25_25,50,1351196111,50,125,50.0,44.0,$exp$la$entropy$lt$age$Buggy,NB,CFS,0.58,0.29,0.6,0.3581261552296032,0,0.6480519480519481,0.344
tesseract,RESAMPLE_150_25_25,50,1351196111,50,125,50.0,44.0,$exp$la$entropy$lt$age$Buggy,SVM,CFS,0.45,0.14,0.5,0.3987034138443831,0,0.6558441558441559,0.32
tesseract,RESAMPLE_300_25_25,50,1351196111,50,125,50.0,44.0,$ld$entropy$lt$age$la$exp$Buggy,KNN,CFS,0.65,0.37,0.65,0.35867675325331305,0,0.6415584415584416,0.36
tesseract,RESAMPLE_300_25_25,50,1351196111,50,125,50.0,44.0,$ld$entropy$lt$age$la$exp$Buggy,DT,CFS,0.62,0.37,0.62,0.3766592011622785,0,0.6233766233766234,0.376
tesseract,RESAMPLE_300_25_25,50,1351196111,50,125,50.0,44.0,$ld$entropy$lt$age$la$exp$Buggy,LR,CFS,0.69,0.41,0.67,0.3654927106960336,1,0.6383116883116883,0.368
tesseract,RESAMPLE_300_25_25,50,1351196111,50,125,50.0,44.0,$ld$entropy$lt$age$la$exp$Buggy,RF,CFS,0.65,0.39,0.64,0.36613819329543335,0,0.6344155844155844,0.368
tesseract,RESAMPLE_300_25_25,50,1351196111,50,125,50.0,44.0,$ld$entropy$lt$age$la$exp$Buggy,NB,CFS,0.71,0.51,0.65,0.4178025221871698,1,0.5974025974025974,0.41600000000000004
tesseract,RESAMPLE_300_25_25,50,1351196111,50,125,50.0,44.0,$ld$entropy$lt$age$la$exp$Buggy,SVM,CFS,0.71,0.37,0.69,0.3336070164482629,1,0.6688311688311688,0.336
tesseract,RESAMPLE_25_25,50,1351196111,50,125,50.0,44.0,$lt$la$entropy$age$exp$ns$ld$Buggy,KNN,CFS,0.55,0.33,0.57,0.3965922048662853,1,0.6084415584415584,0.384
tesseract,RESAMPLE_25_25,50,1351196111,50,125,50.0,44.0,$lt$la$entropy$age$exp$ns$ld$Buggy,DT,CFS,0.44,0.43,0.46,0.5006792485219346,0,0.5038961038961038,0.488
tesseract,RESAMPLE_25_25,50,1351196111,50,125,50.0,44.0,$lt$la$entropy$age$exp$ns$ld$Buggy,LR,CFS,0.71,0.37,0.69,0.3336070164482629,1,0.6688311688311688,0.336
tesseract,RESAMPLE_25_25,50,1351196111,50,125,50.0,44.0,$lt$la$entropy$age$exp$ns$ld$Buggy,RF,CFS,0.42,0.21,0.46,0.4384237470992838,1,0.601948051948052,0.376
tesseract,RESAMPLE_25_25,50,1351196111,50,125,50.0,44.0,$lt$la$entropy$age$exp$ns$ld$Buggy,NB,CFS,0.73,0.44,0.69,0.3677652881042799,1,0.6422077922077922,0.368
tesseract,RESAMPLE_25_25,50,1351196111,50,125,50.0,44.0,$lt$la$entropy$age$exp$ns$ld$Buggy,SVM,CFS,0.62,0.39,0.62,0.3837711780286684,1,0.6162337662337662,0.384
tesseract,RESAMPLE_150_25_25,50,1391561636,50,187,50.0,50.80213903743316,$exp$entropy$la$lt$age$ld$Buggy,KNN,CFS,0.34,0.11,0.39,0.4751805647084658,1,0.6140732265446224,0.3903743315508021
tesseract,RESAMPLE_150_25_25,50,1391561636,50,187,50.0,50.80213903743316,$exp$entropy$la$lt$age$ld$Buggy,DT,CFS,0.42,0.21,0.46,0.4346442707175153,2,0.6072654462242563,0.39572192513368987
tesseract,RESAMPLE_150_25_25,50,1391561636,50,187,50.0,50.80213903743316,$exp$entropy$la$lt$age$ld$Buggy,LR,CFS,0.36,0.16,0.41,0.4684454849704882,2,0.5974256292906178,0.4064171122994653
tesseract,RESAMPLE_150_25_25,50,1391561636,50,187,50.0,50.80213903743316,$exp$entropy$la$lt$age$ld$Buggy,RF,CFS,0.36,0.14,0.41,0.4649011118988773,1,0.6082951945080092,0.39572192513368987
tesseract,RESAMPLE_150_25_25,50,1391561636,50,187,50.0,50.80213903743316,$exp$entropy$la$lt$age$ld$Buggy,NB,CFS,0.71,0.32,0.7,0.30514898809835594,1,0.6950228832951945,0.3048128342245989
tesseract,RESAMPLE_150_25_25,50,1391561636,50,187,50.0,50.80213903743316,$exp$entropy$la$lt$age$ld$Buggy,SVM,CFS,0.27,0.07,0.31,0.5156490735797581,1,0.6042334096109839,0.4010695187165775
tesseract,RESAMPLE_300_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$ld$age$lt$Buggy,KNN,CFS,0.58,0.38,0.59,0.4012579858258787,1,0.5992562929061785,0.4010695187165775
tesseract,RESAMPLE_300_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$ld$age$lt$Buggy,DT,CFS,0.48,0.5,0.48,0.5079560911946203,4,0.4921052631578947,0.5080213903743316
tesseract,RESAMPLE_300_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$ld$age$lt$Buggy,LR,CFS,0.59,0.3,0.61,0.3613581707942516,3,0.6425629290617848,0.3582887700534759
tesseract,RESAMPLE_300_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$ld$age$lt$Buggy,RF,CFS,0.41,0.25,0.45,0.4527577853426329,0,0.5802631578947368,0.4224598930481284
tesseract,RESAMPLE_300_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$ld$age$lt$Buggy,NB,CFS,0.74,0.43,0.7,0.3593661046805357,2,0.6510297482837529,0.3475935828877005
tesseract,RESAMPLE_300_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$ld$age$lt$Buggy,SVM,CFS,0.55,0.29,0.58,0.3814477918820689,3,0.6269450800915332,0.37433155080213903
tesseract,RESAMPLE_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$lt$age$nuc$Buggy,KNN,CFS,0.6,0.28,0.62,0.34631465090162084,1,0.6586956521739131,0.3422459893048128
tesseract,RESAMPLE_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$lt$age$nuc$Buggy,DT,CFS,0.6,0.29,0.62,0.35080585058050595,1,0.6532608695652175,0.3475935828877005
tesseract,RESAMPLE_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$lt$age$nuc$Buggy,LR,CFS,0.61,0.34,0.62,0.3641630460625116,1,0.6367848970251717,0.3636363636363637
tesseract,RESAMPLE_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$lt$age$nuc$Buggy,RF,CFS,0.53,0.28,0.56,0.3900284644485336,1,0.6218535469107552,0.3796791443850268
tesseract,RESAMPLE_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$lt$age$nuc$Buggy,NB,CFS,0.34,0.15,0.39,0.4811108464599217,4,0.5923340961098398,0.4117647058823529
tesseract,RESAMPLE_25_25,50,1391561636,50,187,50.0,50.80213903743316,$la$entropy$exp$lt$age$nuc$Buggy,SVM,CFS,0.54,0.21,0.58,0.35858504165018024,2,0.6651601830663615,0.33689839572192515
tesseract,RESAMPLE_150_25_25,50,1408222961,50,92,50.0,40.21739130434783,$la$lt$ns$exp$entropy$age$ld$nuc$Buggy,KNN,CFS,0.38,0.13,0.43,0.4486712535782365,0,0.6255528255528257,0.32608695652173914
tesseract,RESAMPLE_150_25_25,50,1408222961,50,92,50.0,40.21739130434783,$la$lt$ns$exp$entropy$age$ld$nuc$Buggy,DT,CFS,0.41,0.11,0.46,0.4274596813545057,0,0.6481572481572482,0.3043478260869565
tesseract,RESAMPLE_150_25_25,50,1408222961,50,92,50.0,40.21739130434783,$la$lt$ns$exp$entropy$age$ld$nuc$Buggy,LR,CFS,0.32,0.11,0.37,0.4839620052990016,0,0.6076167076167076,0.33695652173913043
tesseract,RESAMPLE_150_25_25,50,1408222961,50,92,50.0,40.21739130434783,$la$lt$ns$exp$entropy$age$ld$nuc$Buggy,RF,CFS,0.41,0.13,0.46,0.4299657422566059,0,0.6390663390663391,0.31521739130434784
tesseract,RESAMPLE_150_25_25,50,1408222961,50,92,50.0,40.21739130434783,$la$lt$ns$exp$entropy$age$ld$nuc$Buggy,NB,CFS,0.65,0.22,0.67,0.2924474977509165,0,0.7152334152334152,0.2717391304347826
tesseract,RESAMPLE_150_25_25,50,1408222961,50,92,50.0,40.21739130434783,$la$lt$ns$exp$entropy$age$ld$nuc$Buggy,SVM,CFS,0.41,0.13,0.46,0.4299657422566059,0,0.6390663390663391,0.31521739130434784
tesseract,RESAMPLE_300_25_25,50,1408222961,50,92,50.0,40.21739130434783,$ld$age$la$entropy$lt$exp$Buggy,KNN,CFS,0.73,0.4,0.7,0.3413546681912853,0,0.6648648648648651,0.3478260869565217
tesseract,RESAMPLE_300_25_25,50,1408222961,50,92,50.0,40.21739130434783,$ld$age$la$entropy$lt$exp$Buggy,DT,CFS,0.65,0.65,0.55,0.525298736036237,0,0.497051597051597,0.532608695652174
tesseract,RESAMPLE_300_25_25,50,1408222961,50,92,50.0,40.21739130434783,$ld$age$la$entropy$lt$exp$Buggy,LR,CFS,0.78,0.53,0.69,0.4029677289067186,0,0.6282555282555282,0.4021739130434783
tesseract,RESAMPLE_300_25_25,50,1408222961,50,92,50.0,40.21739130434783,$ld$age$la$entropy$lt$exp$Buggy,RF,CFS,0.57,0.27,0.6,0.3615093179357113,0,0.6474201474201474,0.33695652173913043
tesseract,RESAMPLE_300_25_25,50,1408222961,50,92,50.0,40.21739130434783,$ld$age$la$entropy$lt$exp$Buggy,NB,CFS,0.76,0.55,0.67,0.4223079069473577,0,0.6056511056511057,0.4239130434782609
tesseract,RESAMPLE_300_25_25,50,1408222961,50,92,50.0,40.21739130434783,$ld$age$la$entropy$lt$exp$Buggy,SVM,CFS,0.65,0.18,0.68,0.2797370402146364,0,0.7334152334152334,0.25
tesseract,RESAMPLE_25_25,50,1408222961,50,92,50.0,40.21739130434783,$la$exp$lt$entropy$ld$age$Buggy,KNN,CFS,0.84,0.78,0.54,0.5645955349888072,2,0.528009828009828,0.532608695652174
