projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
tiled,RESAMPLE_150_25_25,50,1301858172,50,54,50.0,31.48148148148148,$sexp$ld$age$exp$entropy$la$Buggy,KNN,CFS,0.53,0.51,0.52,0.4925187386070834,2,0.5079491255961844,0.5
tiled,RESAMPLE_150_25_25,50,1301858172,50,54,50.0,31.48148148148148,$sexp$ld$age$exp$entropy$la$Buggy,DT,CFS,0.41,0.35,0.44,0.4844938252145714,2,0.5302066772655007,0.4259259259259259
tiled,RESAMPLE_150_25_25,50,1301858172,50,54,50.0,31.48148148148148,$sexp$ld$age$exp$entropy$la$Buggy,LR,CFS,0.35,0.16,0.4,0.4716893511329113,1,0.595389507154213,0.3148148148148148
tiled,RESAMPLE_150_25_25,50,1301858172,50,54,50.0,31.48148148148148,$sexp$ld$age$exp$entropy$la$Buggy,RF,CFS,0.24,0.19,0.28,0.5570312539755974,0,0.5230524642289348,0.3703703703703704
tiled,RESAMPLE_150_25_25,50,1301858172,50,54,50.0,31.48148148148148,$sexp$ld$age$exp$entropy$la$Buggy,NB,CFS,0.35,0.11,0.4,0.4638817112939357,0,0.6224165341812401,0.2777777777777778
tiled,RESAMPLE_150_25_25,50,1301858172,50,54,50.0,31.48148148148148,$sexp$ld$age$exp$entropy$la$Buggy,SVM,CFS,0.41,0.19,0.45,0.4369286615408387,1,0.6112877583465818,0.3148148148148148
tiled,RESAMPLE_300_25_25,50,1301858172,50,54,50.0,31.48148148148148,$exp$entropy$la$ld$lt$age$Buggy,KNN,CFS,0.71,0.3,0.71,0.2957117458706165,0,0.7042925278219396,0.2962962962962963
tiled,RESAMPLE_300_25_25,50,1301858172,50,54,50.0,31.48148148148148,$exp$entropy$la$ld$lt$age$Buggy,DT,CFS,0.18,0.05,0.21,0.5835762729931714,1,0.5612082670906201,0.2962962962962963
tiled,RESAMPLE_300_25_25,50,1301858172,50,54,50.0,31.48148148148148,$exp$entropy$la$ld$lt$age$Buggy,LR,CFS,0.76,0.27,0.75,0.2533864053094333,0,0.7472178060413354,0.25925925925925924
tiled,RESAMPLE_300_25_25,50,1301858172,50,54,50.0,31.48148148148148,$exp$entropy$la$ld$lt$age$Buggy,RF,CFS,0.29,0.05,0.34,0.5005955138399915,0,0.6200317965023848,0.25925925925925924
tiled,RESAMPLE_300_25_25,50,1301858172,50,54,50.0,31.48148148148148,$exp$entropy$la$ld$lt$age$Buggy,NB,CFS,0.65,0.14,0.68,0.26723489554737617,0,0.7559618441971384,0.2037037037037037
tiled,RESAMPLE_300_25_25,50,1301858172,50,54,50.0,31.48148148148148,$exp$entropy$la$ld$lt$age$Buggy,SVM,CFS,0.59,0.16,0.63,0.31292710001491403,0,0.7130365659777425,0.24074074074074076
tiled,RESAMPLE_25_25,50,1301858172,50,54,50.0,31.48148148148148,$la$ld$lt$age$entropy$exp$sexp$nuc$ns$Buggy,KNN,CFS,0.65,0.27,0.66,0.3143354044968589,0,0.6883942766295706,0.2962962962962963
tiled,RESAMPLE_25_25,50,1301858172,50,54,50.0,31.48148148148148,$la$ld$lt$age$entropy$exp$sexp$nuc$ns$Buggy,DT,CFS,0.47,0.11,0.52,0.382076026235428,0,0.6812400635930048,0.24074074074074076
tiled,RESAMPLE_25_25,50,1301858172,50,54,50.0,31.48148148148148,$la$ld$lt$age$entropy$exp$sexp$nuc$ns$Buggy,LR,CFS,0.35,0.3,0.39,0.5035229905811371,1,0.5278219395866455,0.4074074074074074
tiled,RESAMPLE_25_25,50,1301858172,50,54,50.0,31.48148148148148,$la$ld$lt$age$entropy$exp$sexp$nuc$ns$Buggy,RF,CFS,0.24,0.11,0.28,0.5461055069965439,3,0.5635930047694754,0.3148148148148148
tiled,RESAMPLE_25_25,50,1301858172,50,54,50.0,31.48148148148148,$la$ld$lt$age$entropy$exp$sexp$nuc$ns$Buggy,NB,CFS,0.0,0.08,0.0,0.7094272836976586,3,0.4594594594594594,0.3703703703703704
tiled,RESAMPLE_25_25,50,1301858172,50,54,50.0,31.48148148148148,$la$ld$lt$age$entropy$exp$sexp$nuc$ns$Buggy,SVM,CFS,0.71,0.19,0.73,0.2472829751696237,0,0.7583465818759937,0.2222222222222222
tiled,RESAMPLE_150_25_25,50,1304294495,50,23,50.0,43.47826086956522,$ld$entropy$age$sexp$exp$la$Buggy,KNN,CFS,0.8,0.46,0.73,0.3556808622060582,3,0.6692307692307693,0.3478260869565217
tiled,RESAMPLE_150_25_25,50,1304294495,50,23,50.0,43.47826086956522,$ld$entropy$age$sexp$exp$la$Buggy,DT,CFS,0.8,0.31,0.78,0.2594942737451231,1,0.7461538461538462,0.2608695652173913
tiled,RESAMPLE_150_25_25,50,1304294495,50,23,50.0,43.47826086956522,$ld$entropy$age$sexp$exp$la$Buggy,LR,CFS,0.7,0.15,0.73,0.23839949565094976,1,0.7730769230769231,0.21739130434782608
tiled,RESAMPLE_150_25_25,50,1304294495,50,23,50.0,43.47826086956522,$ld$entropy$age$sexp$exp$la$Buggy,RF,CFS,0.6,0.15,0.64,0.30304177851680325,1,0.7230769230769232,0.2608695652173913
tiled,RESAMPLE_150_25_25,50,1304294495,50,23,50.0,43.47826086956522,$ld$entropy$age$sexp$exp$la$Buggy,NB,CFS,0.6,0.31,0.62,0.35684349245363706,1,0.6461538461538462,0.3478260869565217
tiled,RESAMPLE_150_25_25,50,1304294495,50,23,50.0,43.47826086956522,$ld$entropy$age$sexp$exp$la$Buggy,SVM,CFS,0.7,0.31,0.7,0.3038704956169797,2,0.6961538461538461,0.3043478260869565
tiled,RESAMPLE_300_25_25,50,1304294495,50,23,50.0,43.47826086956522,$exp$entropy$la$nuc$lt$ld$Buggy,KNN,CFS,0.7,0.31,0.7,0.3038704956169797,3,0.6961538461538461,0.3043478260869565
tiled,RESAMPLE_300_25_25,50,1304294495,50,23,50.0,43.47826086956522,$exp$entropy$la$nuc$lt$ld$Buggy,DT,CFS,0.6,0.54,0.57,0.4743104618297845,5,0.5307692307692308,0.4782608695652174
tiled,RESAMPLE_300_25_25,50,1304294495,50,23,50.0,43.47826086956522,$exp$entropy$la$nuc$lt$ld$Buggy,LR,CFS,0.7,0.23,0.71,0.2676326193402277,2,0.7346153846153846,0.2608695652173913
tiled,RESAMPLE_300_25_25,50,1304294495,50,23,50.0,43.47826086956522,$exp$entropy$la$nuc$lt$ld$Buggy,RF,CFS,0.7,0.15,0.73,0.23839949565094976,1,0.7730769230769231,0.21739130434782608
tiled,RESAMPLE_300_25_25,50,1304294495,50,23,50.0,43.47826086956522,$exp$entropy$la$nuc$lt$ld$Buggy,NB,CFS,0.6,0.15,0.64,0.30304177851680325,1,0.7230769230769232,0.2608695652173913
tiled,RESAMPLE_300_25_25,50,1304294495,50,23,50.0,43.47826086956522,$exp$entropy$la$nuc$lt$ld$Buggy,SVM,CFS,0.7,0.31,0.7,0.3038704956169797,3,0.6961538461538461,0.3043478260869565
tiled,RESAMPLE_25_25,50,1304294495,50,23,50.0,43.47826086956522,$la$entropy$ld$lt$age$sexp$exp$Buggy,KNN,CFS,0.8,0.46,0.73,0.3556808622060582,3,0.6692307692307693,0.3478260869565217
tiled,RESAMPLE_25_25,50,1304294495,50,23,50.0,43.47826086956522,$la$entropy$ld$lt$age$sexp$exp$Buggy,DT,CFS,0.6,0.23,0.63,0.3265382350275557,2,0.6846153846153846,0.3043478260869565
tiled,RESAMPLE_25_25,50,1304294495,50,23,50.0,43.47826086956522,$la$entropy$ld$lt$age$sexp$exp$Buggy,LR,CFS,0.7,0.31,0.7,0.3038704956169797,3,0.6961538461538461,0.3043478260869565
tiled,RESAMPLE_25_25,50,1304294495,50,23,50.0,43.47826086956522,$la$entropy$ld$lt$age$sexp$exp$Buggy,RF,CFS,0.3,0.23,0.34,0.5211786823488765,2,0.5346153846153846,0.43478260869565216
tiled,RESAMPLE_25_25,50,1304294495,50,23,50.0,43.47826086956522,$la$entropy$ld$lt$age$sexp$exp$Buggy,NB,CFS,0.5,0.31,0.53,0.4151352527869789,2,0.596153846153846,0.39130434782608703
tiled,RESAMPLE_25_25,50,1304294495,50,23,50.0,43.47826086956522,$la$entropy$ld$lt$age$sexp$exp$Buggy,SVM,CFS,0.5,0.15,0.54,0.3699112319552182,1,0.673076923076923,0.3043478260869565
tiled,RESAMPLE_150_25_25,50,1311202471,50,62,50.0,32.25806451612903,$sexp$age$ndev$entropy$exp$ns$nuc$la$ld$lt$Buggy,KNN,CFS,0.9,0.43,0.81,0.31118601301131377,1,0.7357142857142857,0.3225806451612903
tiled,RESAMPLE_150_25_25,50,1311202471,50,62,50.0,32.25806451612903,$sexp$age$ndev$entropy$exp$ns$nuc$la$ld$lt$Buggy,DT,CFS,0.7,0.38,0.68,0.3428736768500084,2,0.6595238095238095,0.3548387096774194
